,open,high,low,close,volume
2000-08-11,48.162141,49.314083,48.052433,49.259229,1466496
2000-08-14,49.039811,50.90486,47.558743,50.90486,1853202
2000-08-15,50.90486,51.508258,50.520879,51.014569,2116740
2000-08-16,50.90486,51.453404,50.191753,51.124278,1167637
2000-08-17,51.124278,51.233986,49.423792,50.082044,1517996
2000-08-18,50.246608,51.672821,50.082044,51.672821,1166041
2000-08-21,51.453404,52.056802,50.90486,51.892239,1057117
2000-08-22,51.343695,52.221365,51.288841,52.001948,919024
2000-08-23,52.001948,52.166511,51.508258,51.563113,1151343
2000-08-24,51.508258,52.385928,50.959714,51.563113,1329429
2000-08-25,51.453404,51.837384,51.014569,51.343695,1014048
2000-08-28,51.014569,53.044181,51.014569,52.6602,1740061
2000-08-29,52.879618,52.879618,51.947093,52.056802,1548873
2000-08-30,52.111656,52.385928,51.617967,51.837384,1085259
2000-08-31,51.837384,53.263598,51.837384,52.344792,1476750
2000-09-01,53.483016,53.483016,52.385928,52.934472,1050166
2000-09-05,53.318453,54.086414,53.263598,53.757288,1329998
2000-09-06,54.41554,54.634958,53.53787,54.031559,1598892
2000-09-07,54.031559,54.470394,53.702433,54.250977,823658
2000-09-08,53.866996,55.238356,53.428161,54.909229,1496576
2000-09-11,55.128647,55.677191,54.470394,55.29321,1091640
2000-09-12,55.512628,55.677191,54.854375,55.018938,1851151
2000-09-13,55.238356,56.061171,54.525249,56.061171,2293117
2000-09-14,55.841754,56.554861,55.29321,56.116026,1886244
2000-09-15,55.677191,56.17088,55.29321,55.677191,1763305
2000-09-18,56.390298,56.554861,54.909229,55.073793,1852290
2000-09-19,55.512628,56.006317,55.018938,55.402919,1602538
2000-09-20,55.183501,55.183501,53.318453,53.866996,2236717
2000-09-21,53.976705,55.348064,53.208744,54.525249,1649594
2000-09-22,54.580103,55.29321,54.196123,55.183501,1422174
2000-09-25,55.402919,56.609715,55.183501,56.445152,2334818
2000-09-26,56.609715,59.023308,56.609715,58.968453,3401506
2000-09-27,58.968453,59.571851,57.377676,58.200492,1726844
2000-09-28,57.981074,58.749036,57.04855,58.749036,1317921
2000-09-29,58.749036,58.968453,58.255346,58.694181,2067063
2000-10-02,57.92622,58.529618,55.732045,56.883987,1580662
2000-10-03,56.883987,57.103404,55.512628,56.006317,1579750
2000-10-04,56.061171,56.609715,54.854375,55.238356,1405767
2000-10-05,55.622336,56.335443,55.29321,56.061171,1804550
2000-10-06,56.061171,56.609715,55.622336,55.786899,1672724
2000-10-09,55.786899,56.609715,55.512628,55.841754,982145
2000-10-10,56.500006,57.267968,55.896608,56.883987,2199459
