,open,high,low,close,volume
2000-08-11,52.8125,55.625,52.6875,55.03125,1065200
2000-08-14,55.125,55.5,54.0,54.03125,818900
2000-08-15,54.1875,54.1875,52.9375,53.09375,579300
2000-08-16,53.1875,53.4375,52.4375,52.46875,518800
2000-08-17,52.5625,55.75,52.5625,55.21875,1594100
2000-08-18,56.75,56.75,55.0,55.71875,1128600
2000-08-21,55.8125,56.3125,55.375,55.4375,565300
2000-08-22,55.5,56.75,55.375,56.4375,805900
2000-08-23,56.4375,56.4375,55.0,55.0625,396700
2000-08-24,54.875,56.875,54.1875,56.5,842200
2000-08-25,56.5625,61.375,56.5625,60.71875,1480200
2000-08-28,60.75,61.5,59.5,59.59375,1363600
2000-08-29,59.9375,60.0625,58.125,59.1875,966200
2000-08-30,59.1875,60.4375,59.0625,60.09375,878100
2000-08-31,60.3125,62.375,60.25,61.65625,839500
2000-09-01,61.875,63.5,61.875,63.40625,761200
2000-09-05,63.125,63.75,62.5,63.59375,1212900
2000-09-06,63.625,65.75,63.5625,65.3125,821400
2000-09-07,65.375,70.6875,65.375,69.71875,2440400
2000-09-08,69.8125,71.5,68.8125,69.71875,1567200
2000-09-11,69.75,70.1875,67.1875,68.625,857200
2000-09-12,68.5625,68.5625,60.875,64.125,5581900
2000-09-13,50.0,53.125,48.125,51.0,9939400
2000-09-14,53.0,57.125,52.75,54.9375,3836600
2000-09-15,56.0,56.3125,54.375,55.1875,1843200
2000-09-18,55.1875,56.625,55.1875,56.0,998800
2000-09-19,55.75,57.8125,54.5625,57.5,822500
2000-09-20,57.5,59.6875,57.25,59.125,820400
2000-09-21,59.0,60.5625,59.0,59.75,1025300
2000-09-22,60.0,62.375,59.8125,61.53125,876500
2000-09-25,61.5,63.0,61.5,62.4375,771300
2000-09-26,62.625,64.0,62.5,63.125,1367600
2000-09-27,62.75,63.9375,61.125,61.4375,1439800
2000-09-28,61.4375,65.875,61.4375,65.0,930300
2000-09-29,65.0,65.5,64.1875,65.0,864700
2000-10-02,64.5,65.8125,64.1875,64.9375,693200
2000-10-03,64.6875,65.625,63.625,64.3125,909600
2000-10-04,63.875,64.625,61.5,62.875,641600
2000-10-05,62.625,66.1875,62.625,65.8125,919300
2000-10-06,65.8125,66.375,64.6875,66.0625,800900
2000-10-09,65.875,65.9375,64.5,64.875,496400
2000-10-10,64.875,67.875,64.875,66.75,488600
