,open,high,low,close,volume
2000-08-11,1707.19,1723.44,1698.44,1715.94,99560
2000-08-14,1725.94,1740.94,1709.69,1737.19,98465
2000-08-15,1734.69,1734.69,1707.19,1718.44,106455
2000-08-16,1718.44,1732.19,1707.19,1707.19,123800
2000-08-17,1728.44,1733.44,1717.19,1733.44,89520
2000-08-18,1708.44,1725.94,1708.44,1722.19,117015
2000-08-21,1723.44,1742.19,1709.69,1742.19,82740
2000-08-22,1744.69,1744.69,1715.94,1730.94,105615
2000-08-23,1734.69,1742.19,1697.19,1707.19,128170
2000-08-24,1705.94,1710.94,1674.69,1677.19,123225
2000-08-25,1690.94,1693.44,1673.44,1674.69,96465
2000-08-28,1683.44,1722.19,1683.44,1715.94,122230
2000-08-29,1717.19,1718.44,1687.19,1707.19,101665
2000-08-30,1708.44,1740.94,1707.19,1733.44,112980
2000-08-31,1743.44,1787.19,1738.44,1766.2526,161560
2000-09-01,1765.94,1767.19,1743.44,1753.44,98560
2000-09-05,1753.44,1778.44,1748.44,1755.94,91055
2000-09-06,1755.94,1772.19,1712.19,1738.44,194825
2000-09-07,1735.94,1743.44,1704.69,1719.69,151860
2000-09-08,1719.69,1759.69,1715.94,1759.69,175320
2000-09-11,1764.69,1819.69,1758.44,1814.69,177195
2000-09-12,1838.44,1842.19,1814.69,1838.1276,189990
2000-09-13,1838.44,1840.94,1814.69,1818.44,119630
2000-09-14,1815.94,1825.94,1808.44,1823.44,106520
2000-09-15,1804.69,1815.94,1783.44,1788.44,236090
2000-09-18,1793.44,1798.44,1743.44,1750.94,145435
2000-09-19,1768.44,1802.19,1752.19,1785.94,205445
2000-09-20,1780.94,1782.19,1734.69,1754.69,165235
2000-09-21,1743.44,1759.69,1723.44,1757.19,174170
2000-09-22,1762.19,1822.19,1760.94,1812.19,207410
2000-09-25,1835.94,1850.94,1824.69,1832.19,166480
2000-09-26,1817.19,1854.69,1817.19,1828.44,142170
2000-09-27,1825.94,1850.94,1810.94,1845.94,106800
2000-09-28,1853.44,1894.69,1848.44,1878.44,201765
2000-09-29,1888.44,1933.44,1884.69,1897.19,206280
2000-10-02,1885.94,1919.69,1848.44,1914.69,161185
2000-10-03,1908.44,1914.69,1887.19,1904.69,169505
2000-10-04,1888.44,1920.94,1873.44,1898.44,181360
2000-10-05,1897.19,1930.94,1893.44,1903.44,171330
2000-10-06,1913.44,1922.19,1835.94,1855.94,217835
2000-10-09,1847.19,1864.69,1830.94,1849.69,106930
2000-10-10,1852.19,1860.94,1820.94,1840.94,171695
2000-10-11,1839.69,1869.69,1815.94,1865.94,206040
2000-10-12,1848.44,1857.19,1780.94,1785.94,290920
2000-10-13,1790.94,1855.94,1779.69,1837.19,195905
2000-10-16,1855.94,1862.19,1817.19,1833.44,176575
2000-10-17,1829.69,1854.69,1812.19,1818.44,136060
2000-10-18,1803.44,1860.94,1783.44,1844.69,156035
2000-10-19,1843.44,1898.44,1839.69,1875.94,200255
2000-10-20,1863.44,1892.19,1858.44,1884.69,106995
2000-10-23,1887.19,1905.94,1879.69,1892.19,112985
2000-10-24,1912.19,1933.44,1903.44,1933.44,216555
2000-10-25,1970.94,1982.19,1949.69,1970.94,149220
2000-10-26,1933.44,1963.44,1808.44,1849.69,424515
2000-10-27,1849.69,1890.94,1843.44,1877.19,261530
2000-10-30,1885.94,1974.69,1885.94,1963.44,271355
2000-10-31,1970.94,1970.94,1903.44,1943.44,242000
2000-11-01,1953.44,1974.69,1913.44,1924.69,207580
2000-11-02,1929.69,1965.94,1902.19,1908.44,158160
2000-11-03,1894.69,1917.19,1868.44,1882.19,154525
2000-11-06,1883.44,1957.19,1883.44,1939.69,145830
2000-11-07,1957.19,1998.44,1947.19,1970.94,264260
2000-11-08,1992.19,2000.94,1955.94,1960.94,201540
2000-11-09,1980.94,1994.69,1954.69,1993.44,170515
2000-11-10,2002.19,2034.69,1979.69,1987.19,211720
2000-11-13,1963.44,1974.69,1903.44,1938.44,206475
2000-11-14,1955.94,1978.44,1947.19,1954.69,195790
2000-11-15,1955.94,1988.44,1929.69,1943.44,190370
2000-11-16,1950.94,1953.44,1919.69,1945.94,151545
2000-11-17,1950.94,1974.69,1908.44,1929.69,193085
2000-11-20,1915.94,1943.44,1897.19,1920.94,131775
2000-11-21,1922.19,1933.44,1877.19,1892.19,198890
2000-11-22,1890.94,1890.94,1808.44,1833.44,211735
2000-11-24,1850.94,1852.19,1829.69,1840.94,142835
2000-11-27,1850.94,1850.94,1804.69,1837.19,194495
2000-11-28,1840.94,1880.94,1823.44,1857.19,197045
2000-11-29,1880.94,1915.94,1869.69,1903.44,200930
2000-11-30,1914.69,1947.19,1903.44,1922.19,302050
2000-12-01,1923.44,1942.19,1915.94,1932.19,233845
2000-12-04,1923.44,1970.94,1910.94,1955.94,179135
2000-12-05,1955.94,2002.19,1955.94,1984.69,218110
2000-12-06,1984.69,2029.69,1983.44,2008.44,252460
2000-12-07,2003.44,2053.44,2003.44,2019.69,174730
2000-12-08,2018.44,2058.44,2018.44,2057.19,218665
2000-12-11,2052.19,2054.69,1978.44,1984.69,274310
2000-12-12,1982.19,1983.44,1935.94,1973.44,170470
2000-12-13,1967.19,1969.69,1935.94,1938.44,211305
2000-12-14,1933.44,1938.44,1883.44,1914.69,258740
2000-12-15,1883.44,1910.94,1858.44,1898.44,449905
2000-12-18,1888.44,1952.19,1883.44,1950.94,245425
2000-12-19,1952.19,1962.19,1850.94,1863.44,278715
2000-12-20,1865.94,1889.69,1833.44,1849.69,244730
2000-12-21,1873.44,1922.19,1867.19,1920.94,217240
2000-12-22,1923.44,1959.69,1902.19,1919.69,161785
2000-12-26,1919.69,1938.44,1904.69,1934.69,129620
2000-12-27,1934.69,2002.19,1934.69,1973.44,441680
2000-12-28,1970.94,1984.69,1938.44,1964.69,186760
2000-12-29,1975.94,1987.19,1953.44,1954.69,131090
2001-01-02,1949.69,1949.69,1900.94,1920.94,253565
2001-01-03,1920.94,1940.94,1884.69,1902.19,442280
2001-01-04,1902.19,1903.44,1743.44,1763.44,619260
2001-01-05,1788.44,1800.94,1729.69,1740.94,305160
2001-01-08,1750.94,1779.69,1734.69,1752.19,256865
2001-01-09,1748.44,1762.19,1723.44,1723.44,241520
2001-01-10,1715.94,1748.44,1704.69,1713.44,352940
2001-01-11,1733.44,1738.44,1649.69,1669.69,373970
2001-01-12,1669.69,1673.44,1599.69,1627.19,459985
2001-01-16,1628.44,1682.19,1623.44,1679.69,332605
2001-01-17,1693.44,1709.69,1677.19,1683.44,350795
2001-01-18,1683.44,1715.94,1674.69,1713.44,276080
2001-01-19,1703.44,1715.94,1655.94,1665.94,408685
2001-01-22,1665.94,1698.44,1653.44,1675.94,261475
2001-01-23,1693.44,1710.94,1647.19,1703.44,309505
2001-01-24,1708.44,1742.19,1698.44,1740.94,321900
2001-01-25,1749.69,1769.69,1737.19,1755.94,222530
2001-01-26,1775.94,1775.94,1728.44,1738.44,151670
2001-01-29,1758.44,1773.24,1725.84,1731.04,156695
2001-01-30,1726.04,1732.24,1693.44,1729.44,266585
2001-01-31,1713.44,1723.44,1658.44,1683.84,320970
2001-02-01,1692.44,1721.24,1683.44,1694.24,217350
2001-02-02,1694.24,1714.44,1673.44,1711.24,203025
2001-02-05,1742.44,1757.44,1724.04,1747.24,167885
2001-02-06,1752.24,1753.24,1707.44,1714.44,179140
2001-02-07,1719.44,1739.24,1713.64,1721.44,160610
2001-02-08,1721.44,1734.44,1668.44,1697.44,253210
2001-02-09,1697.44,1718.44,1678.44,1717.04,193035
2001-02-12,1738.44,1773.44,1736.44,1773.44,268320
2001-02-13,1773.44,1773.64,1752.64,1763.04,277010
2001-02-14,1763.04,1765.24,1703.64,1703.84,220390
2001-02-15,1703.84,1717.44,1696.64,1715.84,205305
2001-02-16,1719.44,1727.24,1706.44,1715.84,189265
2001-02-20,1715.84,1717.44,1667.44,1675.44,169310
2001-02-21,1675.44,1693.44,1606.44,1609.44,291880
2001-02-22,1643.44,1643.44,1575.84,1624.44,298490
2001-02-23,1624.64,1631.44,1578.04,1600.44,191660
2001-02-26,1595.44,1618.44,1591.44,1613.44,179465
2001-02-27,1613.44,1678.04,1613.44,1675.84,250735
2001-02-28,1691.44,1691.44,1612.64,1619.44,270480
2001-03-01,1619.44,1642.04,1597.44,1626.44,298005
2001-03-02,1623.44,1647.84,1605.44,1628.44,233250
2001-03-05,1653.44,1654.64,1604.64,1624.44,173220
2001-03-06,1643.44,1646.44,1597.44,1603.04,164365
2001-03-07,1618.44,1632.24,1611.44,1625.04,186485
2001-03-08,1633.44,1673.44,1623.44,1659.04,171580
2001-03-09,1657.44,1660.44,1610.04,1617.84,149650
2001-03-12,1608.44,1622.44,1525.04,1545.44,272015
2001-03-13,1563.24,1578.44,1533.64,1559.24,263275
2001-03-14,1525.44,1542.44,1465.24,1497.44,416280
2001-03-15,1507.44,1582.84,1506.44,1558.44,347130
2001-03-16,1558.44,1584.44,1542.44,1543.44,446350
2001-03-19,1543.44,1547.44,1508.44,1523.44,296155
2001-03-20,1543.44,1576.24,1522.44,1524.44,297655
2001-03-21,1514.44,1527.44,1487.44,1493.24,320555
2001-03-22,1484.44,1487.44,1436.24,1485.84,407990
2001-03-23,1473.44,1513.04,1463.84,1492.44,239600
2001-03-26,1498.44,1536.84,1498.44,1536.84,187260
2001-03-27,1524.44,1568.64,1520.44,1567.84,200080
2001-03-28,1567.64,1567.84,1537.44,1566.84,136540
2001-03-29,1563.44,1577.44,1543.44,1545.64,200810
2001-03-30,1563.44,1593.44,1562.44,1593.44,302245
2001-04-02,1603.44,1657.84,1598.44,1642.44,278500
2001-04-03,1623.44,1626.44,1577.44,1587.64,250870
2001-04-04,1543.44,1543.44,1483.44,1520.24,915820
2001-04-05,1525.44,1533.64,1517.44,1532.24,443705
2001-04-06,1542.44,1542.44,1503.64,1514.44,339215
2001-04-09,1523.44,1527.44,1503.44,1507.04,293080
2001-04-10,1528.44,1543.44,1513.44,1525.04,278895
2001-04-11,1525.24,1530.24,1519.44,1523.24,209210
2001-04-12,1523.44,1539.44,1523.24,1539.44,184175
2001-04-16,1533.44,1539.44,1517.84,1534.44,144815
2001-04-17,1531.64,1553.44,1520.64,1553.44,163685
2001-04-18,1567.44,1603.44,1552.44,1583.64,341810
2001-04-19,1588.44,1620.04,1588.44,1616.44,323235
2001-04-20,1616.44,1616.44,1563.44,1563.44,314290
2001-04-23,1571.44,1571.44,1538.84,1543.24,220285
2001-04-24,1543.24,1548.24,1523.44,1527.44,274355
2001-04-25,1527.64,1558.64,1527.44,1556.64,201845
2001-04-26,1558.44,1609.44,1552.04,1580.44,320980
2001-04-27,1588.44,1603.04,1588.44,1597.44,204405
2001-04-30,1609.44,1627.24,1608.84,1619.44,329965
2001-05-01,1619.44,1653.44,1611.44,1641.44,253715
2001-05-02,1641.44,1643.24,1620.64,1627.44,232350
2001-05-03,1627.44,1641.24,1605.44,1637.44,209350
2001-05-04,1631.44,1672.44,1625.44,1670.44,286455
2001-05-07,1665.44,1670.84,1659.84,1667.24,223020
2001-05-08,1673.44,1676.44,1658.64,1663.44,201425
2001-05-09,1663.24,1663.44,1645.84,1660.64,247595
2001-05-10,1663.44,1665.44,1623.44,1643.44,244305
2001-05-11,1643.44,1643.44,1614.04,1625.44,400860
2001-05-14,1630.44,1641.44,1625.64,1630.44,239440
2001-05-15,1632.44,1642.44,1624.44,1642.44,219260
2001-05-16,1646.44,1679.44,1636.44,1677.64,296685
2001-05-17,1678.44,1679.44,1654.44,1660.64,248960
2001-05-18,1667.44,1668.04,1642.64,1655.84,166760
2001-05-21,1655.84,1683.24,1648.24,1677.04,192020
2001-05-22,1676.84,1676.84,1636.04,1647.44,256980
2001-05-23,1643.44,1649.44,1611.44,1623.44,263165
2001-05-24,1633.44,1647.04,1631.44,1635.64,148020
2001-05-25,1639.44,1641.44,1625.44,1629.64,96375
2001-05-29,1633.44,1633.44,1618.44,1628.04,133590
2001-05-30,1635.44,1638.04,1613.44,1616.64,157780
2001-05-31,1613.44,1617.44,1591.84,1603.44,181080
2001-06-01,1610.44,1615.44,1581.24,1585.24,157385
2001-06-04,1583.44,1605.24,1583.24,1604.84,145790
2001-06-05,1604.84,1618.44,1599.44,1617.44,180900
2001-06-06,1617.04,1622.44,1603.44,1603.44,141565
2001-06-07,1613.44,1618.24,1603.44,1605.44,173545
2001-06-08,1613.44,1613.44,1591.44,1598.64,88965
2001-06-11,1599.44,1605.04,1591.44,1602.44,119735
2001-06-12,1602.44,1602.84,1583.84,1600.64,130900
2001-06-13,1608.44,1613.24,1593.84,1593.84,151220
2001-06-14,1593.84,1603.44,1590.64,1598.44,191395
2001-06-15,1593.44,1627.44,1593.24,1620.44,381265
