,open,high,low,close,volume
2000-08-11,3.101852,3.185185,3.092593,3.175926,213295
2000-08-14,3.175926,3.185185,3.138889,3.157407,928120
2000-08-15,3.194445,3.222222,3.157407,3.157407,191020
2000-08-16,3.175926,3.222222,3.166667,3.194445,188325
2000-08-17,3.194445,3.194445,3.148148,3.148148,108670
2000-08-18,3.166667,3.222222,3.166667,3.212963,643950
2000-08-21,3.231481,3.240741,3.212963,3.222222,41845
2000-08-22,3.194445,3.203703,3.12963,3.148148,174150
2000-08-23,3.157407,3.157407,3.037037,3.037037,241645
2000-08-24,3.074074,3.185185,3.074074,3.175926,170770
2000-08-25,3.175926,3.185185,3.148148,3.166667,427275
2000-08-28,3.166667,3.185185,3.157407,3.166667,162000
2000-08-29,3.166667,3.203703,3.166667,3.185185,175495
2000-08-30,3.166667,3.185185,3.148148,3.166667,203845
2000-08-31,3.157407,3.222222,3.037037,3.166667,2018245
2000-09-01,3.185185,3.185185,3.148148,3.148148,487345
2000-09-05,3.166667,3.185185,3.148148,3.175926,141750
2000-09-06,3.166667,3.175926,3.157407,3.166667,282145
2000-09-07,3.203703,3.388889,3.185185,3.37963,1366875
2000-09-08,3.342593,3.342593,3.185185,3.194445,504225
2000-09-11,3.212963,3.277778,3.203703,3.25,640570
2000-09-12,3.240741,3.25,3.166667,3.212963,2705400
2000-09-13,3.203703,3.203703,3.018519,3.175926,1030725
2000-09-14,3.185185,3.203703,3.12963,3.185185,982795
2000-09-15,3.148148,3.148148,3.083333,3.083333,383395
2000-09-18,3.055555,3.092593,3.046297,3.046297,238270
2000-09-19,3.046297,3.111111,3.046297,3.111111,474520
2000-09-20,3.111111,3.12037,3.037037,3.055555,203845
2000-09-21,3.018519,3.046297,2.972222,2.981481,319270
2000-09-22,2.944445,3.064815,2.944445,3.037037,156595
2000-09-25,3.037037,3.037037,2.990741,3.018519,100570
2000-09-26,3.037037,3.175926,3.027778,3.101852,223420
2000-09-27,3.083333,3.083333,2.990741,3.018519,504895
2000-09-28,3.018519,3.138889,3.009259,3.111111,232195
2000-09-29,3.074074,3.203703,3.037037,3.138889,495445
2000-10-02,3.138889,3.138889,3.064815,3.074074,293625
2000-10-03,3.055555,3.12963,3.055555,3.083333,135675
2000-10-04,3.083333,3.111111,3.064815,3.092593,170770
2000-10-05,3.101852,3.12037,3.083333,3.111111,255150
2000-10-06,3.074074,3.111111,3.055555,3.064815,122845
2000-10-09,3.083333,3.083333,3.037037,3.055555,358425
2000-10-10,3.055555,3.055555,2.981481,3.009259,997645
2000-10-11,3.009259,3.111111,2.990741,3.092593,315220
2000-10-12,3.074074,3.083333,2.981481,2.981481,204525
2000-10-13,2.981481,3.046297,2.962963,3.046297,350325
2000-10-16,3.055555,3.111111,3.046297,3.101852,116095
2000-10-17,3.138889,3.203703,3.074074,3.194445,1408720
2000-10-18,3.166667,3.194445,3.148148,3.166667,211270
2000-10-19,3.175926,3.212963,3.175926,3.194445,512995
2000-10-20,3.194445,3.25,3.194445,3.25,379345
2000-10-23,3.231481,3.240741,3.166667,3.212963,963220
2000-10-24,3.185185,3.203703,3.166667,3.203703,420520
2000-10-25,3.203703,3.203703,3.138889,3.157407,183595
2000-10-26,3.138889,3.222222,3.138889,3.194445,1226470
2000-10-27,3.194445,3.203703,3.138889,3.138889,168745
2000-10-30,3.138889,3.138889,3.111111,3.12037,720220
2000-10-31,3.12037,3.222222,3.037037,3.222222,478570
2000-11-01,3.203703,3.212963,3.175926,3.203703,188995
2000-11-02,3.166667,3.231481,3.166667,3.222222,747895
2000-11-03,3.222222,3.25,3.185185,3.240741,469800
2000-11-06,3.25,3.25,3.185185,3.222222,685795
2000-11-07,3.222222,3.277778,3.185185,3.259259,1046925
2000-11-08,3.25,3.259259,3.231481,3.240741,1622025
2000-11-09,3.25,3.25,3.111111,3.166667,291600
2000-11-10,3.138889,3.166667,3.111111,3.166667,1468795
2000-11-13,3.185185,3.194445,3.157407,3.175926,525820
2000-11-14,3.185185,3.203703,3.166667,3.194445,348970
2000-11-15,3.194445,3.259259,3.185185,3.259259,516375
2000-11-16,3.240741,3.259259,3.203703,3.212963,431325
2000-11-17,3.240741,3.305555,3.240741,3.287037,309145
2000-11-20,3.287037,3.287037,3.259259,3.268519,224775
2000-11-21,3.268519,3.277778,3.240741,3.259259,252445
2000-11-22,3.240741,3.259259,3.231481,3.259259,302395
2000-11-24,3.259259,3.314815,3.259259,3.314815,434695
2000-11-27,3.296297,3.388889,3.296297,3.37963,2567020
2000-11-28,3.37037,3.388889,3.333333,3.37963,652720
2000-11-29,3.351852,3.37037,3.333333,3.37037,567000
2000-11-30,3.37037,3.37963,3.361111,3.37037,1782670
2000-12-01,3.37037,3.37037,3.296297,3.361111,847795
2000-12-04,3.37037,3.37037,3.314815,3.333333,1394545
2000-12-05,3.333333,3.407407,3.333333,3.37963,582520
2000-12-06,3.388889,3.435185,3.388889,3.407407,1615270
2000-12-07,3.388889,3.490741,3.388889,3.453703,282820
2000-12-08,3.462963,3.537037,3.462963,3.537037,383395
2000-12-11,3.518519,3.666667,3.518519,3.666667,782995
2000-12-12,3.657407,3.685185,3.638889,3.648148,663520
2000-12-13,3.648148,3.657407,3.601852,3.611111,907870
2000-12-14,3.648148,3.657407,3.62963,3.638889,722925
2000-12-15,3.62037,3.62963,3.611111,3.62963,940270
2000-12-18,3.666667,3.740741,3.62963,3.712963,370575
2000-12-19,3.712963,3.712963,3.675926,3.694445,511645
2000-12-20,3.694445,3.731481,3.675926,3.712963,312520
2000-12-21,3.703703,3.768519,3.703703,3.759259,662175
2000-12-22,3.759259,3.87037,3.759259,3.87037,244345
2000-12-26,3.87037,3.888889,3.87037,3.87963,337495
2000-12-27,3.888889,3.990741,3.87963,3.990741,388120
2000-12-28,3.981481,3.990741,3.759259,3.916667,1247400
2000-12-29,3.916667,3.925926,3.842593,3.842593,1082695
2001-01-02,3.694445,3.703703,3.509259,3.657407,1503220
2001-01-03,3.62963,3.842593,3.62963,3.805555,969975
2001-01-04,3.787037,3.851852,3.75,3.824074,449550
2001-01-05,3.814815,3.814815,3.777778,3.796297,674325
2001-01-08,3.759259,4.064815,3.759259,4.064815,1111045
2001-01-09,4.009259,4.037037,3.888889,3.916667,1095525
2001-01-10,3.898148,4.101852,3.898148,4.101852,768820
2001-01-11,4.064815,4.064815,3.990741,4.009259,523795
2001-01-12,3.962963,4.0,3.888889,3.990741,1441120
2001-01-16,3.990741,3.990741,3.833333,3.87037,762745
2001-01-17,3.87037,4.092593,3.861111,4.064815,729670
2001-01-18,4.064815,4.064815,3.898148,3.925926,635170
2001-01-19,3.907407,4.009259,3.888889,3.990741,417820
2001-01-22,3.990741,3.990741,3.925926,3.944445,503545
2001-01-23,3.944445,3.944445,3.916667,3.944445,473170
2001-01-24,3.944445,3.972222,3.935185,3.953703,274045
2001-01-25,3.935185,3.935185,3.898148,3.935185,535945
2001-01-26,3.935185,3.935185,3.851852,3.907407,248395
2001-01-29,3.896297,3.917037,3.866667,3.911111,301725
2001-01-30,3.881481,3.925926,3.877037,3.917037,528525
2001-01-31,3.918519,3.992593,3.914074,3.946667,960520
2001-02-01,3.946667,3.954074,3.911111,3.954074,742495
2001-02-02,3.97037,3.97037,3.872593,3.887407,287550
2001-02-05,3.896297,3.918519,3.888889,3.911111,193720
2001-02-06,3.918519,3.954074,3.896297,3.911111,678375
2001-02-07,3.911111,3.92,3.891852,3.918519,269995
2001-02-08,3.918519,3.925926,3.88,3.899259,312520
2001-02-09,3.899259,3.925926,3.896297,3.90963,273375
2001-02-12,3.90963,4.014815,3.90963,4.007407,555520
2001-02-13,4.044445,4.128889,4.044445,4.059259,479925
2001-02-14,4.074074,4.148148,4.059259,4.142222,370575
2001-02-15,4.148148,4.195555,4.111111,4.157037,340200
2001-02-16,4.148148,4.148148,4.0,4.002963,585225
2001-02-20,3.888889,4.0,3.822222,3.964445,459675
2001-02-21,3.992593,4.074074,3.962963,4.022222,444820
2001-02-22,4.007407,4.020741,3.985185,4.01037,221395
2001-02-23,4.01037,4.016297,3.955555,4.016297,233545
2001-02-26,4.001481,4.137778,4.001481,4.103703,361795
2001-02-27,4.133333,4.216297,4.111111,4.115555,287550
2001-02-28,4.103703,4.103703,4.042963,4.088889,410395
2001-03-01,4.088889,4.09037,4.041481,4.081481,278095
2001-03-02,4.074074,4.162963,4.074074,4.128889,542020
2001-03-05,4.125926,4.24,4.122963,4.207407,307120
2001-03-06,4.192593,4.225185,4.192593,4.2,205870
2001-03-07,4.185185,4.257778,4.155555,4.164445,398245
2001-03-08,4.17037,4.177778,4.140741,4.157037,193720
2001-03-09,4.133333,4.148148,4.081481,4.145185,498150
2001-03-12,4.133333,4.133333,4.102222,4.103703,339520
2001-03-13,4.118519,4.118519,3.911111,4.007407,338175
2001-03-14,3.97037,4.062222,3.97037,4.014815,296995
2001-03-15,3.977778,4.0,3.92,4.0,453600
2001-03-16,3.985185,3.986667,3.776297,3.788148,538650
2001-03-19,3.751111,3.89037,3.718519,3.878519,518400
2001-03-20,3.875555,3.881481,3.795555,3.795555,288895
2001-03-21,3.780741,3.780741,3.66963,3.685926,218700
2001-03-22,3.682963,3.725926,3.503703,3.718519,697945
2001-03-23,3.74963,3.851852,3.702222,3.85037,627750
2001-03-26,3.853333,4.02963,3.853333,3.965926,820795
2001-03-27,3.955555,4.0,3.928889,3.964445,579820
2001-03-28,3.96,3.992593,3.925926,3.97037,1782670
2001-03-29,3.962963,4.014815,3.958519,3.998519,487345
2001-03-30,3.992593,4.088889,3.992593,4.088889,826200
2001-04-02,4.088889,4.118519,3.992593,3.995555,450220
2001-04-03,4.007407,4.008889,3.896297,3.962963,759375
2001-04-04,3.97037,3.998519,3.955555,3.992593,955120
2001-04-05,4.0,4.059259,4.0,4.044445,525145
2001-04-06,4.044445,4.044445,3.985185,3.991111,629095
2001-04-09,4.007407,4.087407,4.001481,4.072593,459675
2001-04-10,4.081481,4.10963,4.007407,4.02963,504225
2001-04-11,4.059259,4.131852,4.007407,4.037037,519070
2001-04-12,4.037037,4.065185,4.014815,4.060741,352350
2001-04-16,4.023703,4.023703,3.977778,3.994074,525145
2001-04-17,4.007407,4.134815,4.0,4.134815,527170
