,open,high,low,close,volume
2000-08-11,34.46006,34.75174,34.0017,34.75174,181491
2000-08-14,35.41844,35.66845,35.16843,35.41844,449378
2000-08-15,35.3351,37.12686,35.3351,36.08514,237438
2000-08-16,36.0018,36.6685,36.0018,36.0018,412779
2000-08-17,36.0018,36.16848,35.37677,35.66845,102745
2000-08-18,35.79346,36.6685,35.12675,35.16843,85646
2000-08-21,35.25176,36.16848,35.25176,35.62678,87596
2000-08-22,35.71012,37.46021,35.71012,37.04352,214189
2000-08-23,37.21019,38.08524,37.04352,37.54354,168142
2000-08-24,37.41854,38.0019,37.41854,37.66855,131543
2000-08-25,37.71022,38.79361,37.71022,38.6686,131843
2000-08-28,38.62693,38.6686,37.41854,37.58521,168742
2000-08-29,37.75189,37.83522,37.08519,37.29353,442778
2000-08-30,37.41854,37.91856,36.33515,36.50182,222139
2000-08-31,36.58516,37.29353,36.25181,37.08519,332233
2000-09-01,37.50188,37.91856,36.79351,37.50188,180891
2000-09-05,38.0019,38.25191,37.54354,37.54354,214489
2000-09-06,37.66855,39.75199,37.58521,38.91861,367932
2000-09-07,38.87695,39.16862,38.6686,38.87695,342583
2000-09-08,38.75194,39.83532,38.6686,38.6686,149243
2000-09-11,38.71027,40.91871,38.71027,40.91871,168892
2000-09-12,41.00205,41.75209,40.002,40.04367,355782
2000-09-13,40.04367,41.00205,38.75194,38.83527,177141
2000-09-14,39.3353,42.83548,39.3353,42.83548,490925
2000-09-15,42.33545,42.33545,39.75199,39.79366,279136
2000-09-18,39.50198,39.50198,36.75184,37.66855,230688
2000-09-19,37.75189,41.08539,37.50188,40.41869,471126
2000-09-20,41.00205,41.66875,39.83532,39.91866,496775
2000-09-21,39.877,40.002,38.12691,38.75194,245988
2000-09-22,38.79361,38.79361,37.21019,37.75189,306735
2000-09-25,37.75189,38.46025,36.62683,36.91851,463177
2000-09-26,36.79351,37.00185,35.3351,35.41844,230988
2000-09-27,35.37677,36.71017,34.6684,34.83508,277186
2000-09-28,34.83508,36.33515,34.25171,36.33515,312284
2000-09-29,36.16848,38.25191,35.00175,37.96023,324584
2000-10-02,38.16858,38.96028,36.75184,37.25186,202790
2000-10-03,37.16853,37.25186,36.21014,36.50182,95095
2000-10-04,36.50182,36.50182,34.41839,34.79341,139943
2000-10-05,35.25176,36.08514,34.91841,34.91841,140093
2000-10-06,34.96008,35.21009,33.58501,35.00175,297135
2000-10-09,35.16843,35.29343,34.12671,34.16837,96745
2000-10-10,34.16837,34.91841,33.37667,33.50167,214489
2000-10-11,33.41834,33.41834,32.0016,32.6683,319934
2000-10-12,32.7933,32.87664,31.25156,32.20994,179691
2000-10-13,32.08494,34.91841,32.04327,34.58506,307485
2000-10-16,34.54339,35.25176,34.25171,34.75174,185691
2000-10-17,34.87674,34.96008,32.50163,32.6683,296835
2000-10-18,32.25161,32.41829,31.41824,31.83492,228739
2000-10-19,31.95993,35.41844,31.95993,35.41844,402430
2000-10-20,36.0018,38.33525,36.0018,36.50182,187941
2000-10-23,36.58516,38.50193,36.58516,37.41854,242388
2000-10-24,37.41854,38.0019,37.25186,37.41854,183591
2000-10-25,37.25186,37.46021,36.04347,36.16848,146993
2000-10-26,36.08514,37.00185,34.83508,35.3351,237738
2000-10-27,35.75179,38.58526,35.75179,38.29358,410979
2000-10-30,38.0019,40.50203,37.87689,39.3353,351732
2000-10-31,39.3353,40.16867,38.83527,40.08534,130643
2000-11-01,40.25201,40.25201,38.71027,39.83532,162292
2000-11-02,39.58531,41.54374,39.58531,41.3354,148343
2000-11-03,41.37707,43.3355,40.83538,42.41879,163192
2000-11-06,42.83548,43.3355,41.91876,42.41879,185391
2000-11-07,42.46046,42.46046,40.002,40.37702,189291
2000-11-08,40.50203,40.50203,38.75194,39.16862,208040
2000-11-09,39.00195,39.00195,37.04352,38.33525,182091
2000-11-10,38.0019,38.0019,36.87684,37.37687,240888
2000-11-13,37.3352,37.3352,35.21009,36.25181,308685
2000-11-14,36.6685,37.91856,36.6685,36.75184,122394
2000-11-15,36.71017,39.08529,36.58516,38.75194,131393
2000-11-16,38.58526,39.41864,38.25191,38.54359,129294
2000-11-17,38.6686,38.75194,37.91856,38.33525,85346
2000-11-20,38.33525,38.33525,36.75184,37.71022,152692
2000-11-21,36.0018,36.0018,32.33495,32.87664,1051297
2000-11-22,33.08499,33.21,31.00155,31.3349,340483
2000-11-24,31.91826,33.16832,31.58491,32.91831,136643
2000-11-27,32.87664,34.08504,32.87664,33.83503,282886
2000-11-28,33.66835,34.21004,32.25161,32.33495,244038
2000-11-29,32.20994,32.91831,30.58486,30.70987,343633
2000-11-30,30.41819,31.50158,28.6681,29.45981,521824
2000-12-01,29.91816,32.33495,29.91816,31.66825,208190
2000-12-04,31.41824,31.45991,30.62653,31.00155,313334
2000-12-05,31.16822,33.83503,31.16822,33.62668,279886
2000-12-06,33.96003,35.58511,33.66835,33.75169,506075
2000-12-07,33.58501,34.58506,33.58501,34.16837,169492
2000-12-08,35.00175,37.3352,35.00175,36.75184,318584
2000-12-11,36.75184,38.58526,36.08514,37.66855,702565
2000-12-12,37.54354,37.54354,34.25171,34.29338,241038
2000-12-13,34.46006,35.41844,34.25171,34.46006,203690
2000-12-14,34.29338,34.29338,32.91831,33.58501,566072
2000-12-15,33.41834,33.83503,32.6683,33.335,199790
2000-12-18,33.83503,34.87674,33.79336,34.12671,106045
2000-12-19,34.04337,34.54339,31.79326,31.95993,342733
2000-12-20,31.95993,33.00165,31.66825,32.0016,360732
2000-12-21,31.95993,33.08499,31.91826,32.62663,127644
2000-12-22,33.25166,35.16843,33.08499,35.16843,262337
2000-12-26,35.12675,35.29343,34.62673,35.16843,198440
2000-12-27,35.16843,36.0018,34.58506,35.41844,163942
2000-12-28,35.46011,38.33525,35.37677,38.33525,234738
2000-12-29,38.33525,39.58531,36.5435,36.58516,222889
2001-01-02,36.58516,36.58516,33.25166,33.46001,219589
2001-01-03,33.58501,39.04362,33.58501,38.6686,429879
2001-01-04,38.50193,40.91871,37.83522,38.6686,325184
2001-01-05,38.41859,38.54359,36.96018,37.58521,372581
2001-01-08,37.58521,37.66855,36.50182,37.16853,221689
2001-01-09,37.21019,37.54354,35.66845,36.16848,200090
2001-01-10,36.33515,37.25186,35.50177,35.83512,258887
2001-01-11,36.08514,38.6686,36.08514,37.37687,186591
2001-01-12,37.50188,37.75189,36.46016,37.29353,94495
2001-01-16,37.29353,37.50188,36.41849,37.25186,280036
2001-01-17,37.58521,39.41864,37.58521,38.62693,213889
2001-01-18,38.6686,40.002,38.0019,38.91861,209540
2001-01-19,38.96028,39.00195,38.12691,38.12691,112944
2001-01-22,38.25191,39.66865,38.21024,39.16862,165442
2001-01-23,39.00195,40.83538,38.91861,40.83538,163192
2001-01-24,40.75204,42.25211,40.58536,41.3354,271636
2001-01-25,41.21039,41.21039,37.66855,39.25196,486726
2001-01-26,39.16862,39.21029,38.12691,38.41859,257237
2001-01-29,38.41525,39.83532,38.41525,39.3353,218089
2001-01-30,39.83532,41.50208,39.42197,41.20206,200240
2001-01-31,41.03539,41.9021,40.20201,41.00205,343483
2001-02-01,40.86871,40.86871,39.92866,40.20201,222739
2001-02-02,40.36869,40.46869,37.46854,37.60188,180591
2001-02-05,37.80189,38.66193,37.00852,37.16186,260687
2001-02-06,37.60188,37.60188,36.50182,36.96851,102295
2001-02-07,36.80184,37.66855,36.80184,37.4352,143093
2001-02-08,37.36853,37.36853,35.93513,35.97513,166642
2001-02-09,35.70179,35.83512,35.06175,35.4351,251087
2001-02-12,35.4351,36.02847,35.3351,36.02847,129744
2001-02-13,36.22848,38.6686,36.20181,36.20181,308835
2001-02-14,36.20181,36.23515,35.26176,35.76846,145643
