,open,high,low,close,volume
2000-08-11,17.032573,17.368943,17.001994,17.307785,311487
2000-08-14,17.216047,17.246627,16.665623,17.093731,464164
2000-08-15,17.001994,17.582997,17.001994,17.552418,559818
2000-08-16,17.582997,17.797051,17.49126,17.613576,288186
2000-08-17,17.766472,17.82763,17.613576,17.735893,384453
2000-08-18,17.644155,17.705313,17.445391,17.521839,274697
2000-08-21,17.674734,17.674734,17.430101,17.552418,261207
2000-08-22,17.338364,17.613576,17.307785,17.49126,297793
2000-08-23,17.49126,17.705313,17.399522,17.552418,421243
2000-08-24,17.46068,17.582997,17.368943,17.49126,248739
2000-08-25,17.582997,17.613576,17.246627,17.307785,162079
2000-08-28,17.12431,17.46068,17.093731,17.216047,361357
2000-08-29,17.12431,17.49126,17.063152,17.277206,351138
2000-08-30,17.154889,17.399522,17.154889,17.277206,307194
2000-08-31,17.246627,17.46068,17.216047,17.231337,475610
2000-09-01,17.063152,17.82763,17.063152,17.399522,602330
2000-09-05,17.368943,17.521839,17.12431,17.399522,408366
2000-09-06,17.582997,17.735893,17.521839,17.552418,390993
2000-09-07,17.613576,17.613576,17.277206,17.430101,267748
2000-09-08,17.46068,17.49126,16.726781,17.032573,400191
2000-09-11,17.032573,18.072263,17.032573,18.041684,801404
2000-09-12,17.858209,17.858209,17.185468,17.338364,470296
2000-09-13,17.216047,17.430101,17.032573,17.154889,222578
2000-09-14,17.216047,17.216047,17.001994,17.032573,382205
2000-09-15,16.971414,17.46068,16.910256,17.246627,418994
2000-09-18,17.246627,17.307785,16.910256,17.063152,312304
2000-09-19,17.001994,17.001994,16.635044,16.665623,331925
2000-09-20,16.604465,16.849098,16.482148,16.482148,418381
2000-09-21,16.482148,16.512728,16.145778,16.176357,414498
2000-09-22,16.023462,16.268095,15.992882,16.054041,388541
2000-09-25,15.992882,15.992882,15.3813,15.534196,451697
2000-09-26,15.656512,16.023462,15.564775,15.625933,489099
2000-09-27,15.534196,16.023462,15.534196,15.809408,648113
2000-09-28,15.809408,16.023462,15.564775,15.931724,473157
2000-09-29,16.08462,16.635044,16.054041,16.482148,581278
2000-10-02,16.573886,16.573886,16.08462,16.237515,855158
2000-10-03,16.329253,16.604465,16.237515,16.359832,866604
2000-10-04,16.512728,16.573886,16.176357,16.237515,357474
2000-10-05,16.329253,16.42099,15.901145,16.115199,1640416
2000-10-06,16.237515,16.512728,15.992882,16.08462,408775
2000-10-09,16.145778,16.573886,16.08462,16.237515,236272
2000-10-10,16.359832,16.512728,16.054041,16.237515,345824
2000-10-11,16.237515,16.818519,16.206936,16.42099,370555
2000-10-12,16.42099,16.665623,16.237515,16.573886,500545
2000-10-13,16.665623,16.696202,15.748249,15.839987,877845
2000-10-16,15.839987,16.08462,15.687091,15.870566,615002
2000-10-17,15.962303,16.023462,15.71767,15.778829,1041560
2000-10-18,15.71767,15.809408,15.503616,15.656512,310260
2000-10-19,15.595354,15.748249,15.534196,15.71767,498706
2000-10-20,15.625933,15.962303,15.625933,15.962303,494822
2000-10-23,15.992882,16.08462,15.656512,15.748249,366467
2000-10-24,15.687091,15.748249,15.534196,15.595354,512195
2000-10-25,15.687091,15.687091,15.350721,15.442458,376482
2000-10-26,15.411879,15.564775,15.289563,15.411879,416337
2000-10-27,15.320142,15.473037,15.197825,15.350721,334991
2000-10-30,15.350721,15.595354,15.258983,15.595354,706568
