,open,high,low,close,volume
2009-08-06,16.5,16.91,15.56,16.18,24198409
2009-08-07,16.15,16.76,16.03,16.43,2454272
2009-08-10,16.63,16.63,15.61,15.97,2420915
2009-08-11,15.98,16.0,15.5,15.67,2305371
2009-08-12,16.15,16.2,15.66,16.0,1451293
2009-08-13,16.0,16.72,16.0,16.55,1150559
2009-08-14,16.5,17.0,16.25,16.6,637782
2009-08-17,16.27,16.37,16.2,16.22,254388
2009-08-18,16.48,17.2,16.35,17.07,1446616
2009-08-19,16.84,17.94,16.8,17.89,2070763
2009-08-20,17.95,17.95,17.29,17.76,1882077
2009-08-21,17.79,17.97,17.58,17.82,863511
2009-08-24,17.52,17.85,17.3,17.5,1021584
2009-08-25,17.65,17.9,17.55,17.85,530724
2009-08-26,17.69,17.85,17.15,17.85,708574
2009-08-27,17.85,18.21,17.55,18.16,1161100
2009-08-28,18.1,19.0,18.0,18.47,1294949
2009-08-31,18.35,18.4,17.81,18.2,1004719
2009-09-01,18.25,18.44,16.94,17.85,1383480
2009-09-02,17.76,18.25,17.48,17.68,1293388
2009-09-03,17.97,17.97,17.0,17.45,3657607
2009-09-04,17.75,17.9989,17.49,17.76,1158584
2009-09-08,17.76,17.93,17.45,17.7,574890
2009-09-09,17.85,17.85,17.22,17.26,551181
2009-09-10,17.01,17.46,16.95,17.05,415199
2009-09-11,17.0,17.33,16.54,16.88,620281
2009-09-14,16.64,16.8999,16.31,16.65,1614491
2009-09-15,17.25,17.35,16.63,17.18,1987187
2009-09-16,17.4,17.75,17.11,17.58,2022369
2009-09-17,17.66,17.9,16.53,16.64,1446351
2009-09-18,16.57,17.02,16.18,16.2,899815
2009-09-21,16.28,16.63,15.87,16.61,552956
2009-09-22,16.96,17.37,16.82,17.25,1114012
2009-09-23,17.62,17.79,17.3,17.4,530281
2009-09-24,17.33,17.8488,16.75,17.49,778713
2009-09-25,17.48,17.48,17.1,17.13,468435
2009-09-28,17.32,17.85,17.03,17.65,233528
2009-09-29,17.55,17.84,16.95,17.03,356673
2009-09-30,17.0,17.33,16.96,17.07,512589
2009-10-01,17.0,17.09,16.21,16.31,660488
2009-10-02,16.2,16.36,15.9002,16.09,629503
2009-10-05,16.1,16.53,16.0,16.49,188821
2009-10-06,16.74,17.1993,16.44,16.47,469372
2009-10-07,16.57,16.61,15.92,16.13,291687
2009-10-08,16.11,16.18,15.94,16.01,557222
2009-10-09,15.98,16.45,15.94,16.25,870466
2009-10-12,16.22,16.45,16.04,16.34,1288739
2009-10-13,16.19,16.67,16.15,16.53,557288
2009-10-14,16.84,17.0,16.54,16.86,698887
2009-10-15,17.4,17.95,17.1,17.16,2091929
2009-10-16,17.23,17.23,16.21,16.43,1263745
2009-10-19,16.46,16.64,16.06,16.24,2142809
2009-10-20,16.34,16.73,16.27,16.53,488930
2009-10-21,16.37,16.91,16.11,16.49,233705
2009-10-22,16.33,16.33,15.61,16.28,983391
2009-10-23,16.13,16.41,15.92,16.05,1134065
2009-10-26,15.91,16.12,15.81,15.84,162329
2009-10-27,15.95,15.988,15.26,15.45,328758
2009-10-28,15.5,15.5,14.89,14.93,621970
2009-10-29,14.95,15.2,14.7184,15.04,1183263
2009-10-30,15.1,15.187,14.87,15.0,278090
2009-11-02,15.1,15.1,14.7201,14.87,276541
2009-11-03,14.68,14.82,14.44,14.49,363612
2009-11-04,14.6,15.25,14.33,14.78,805218
2009-11-05,15.02,15.74,14.85,15.32,274082
2009-11-06,15.32,15.686,14.87,15.29,257447
2009-11-09,15.26,15.74,15.09,15.66,252901
2009-11-10,15.69,15.69,15.18,15.45,146765
2009-11-11,15.53,15.53,15.12,15.36,153415
2009-11-12,15.4,15.95,15.4,15.6,129907
2009-11-13,15.61,15.75,15.41,15.58,62100
2009-11-16,15.63,16.21,15.53,16.01,155919
2009-11-17,15.83,16.19,15.58,16.07,98414
2009-11-18,16.15,16.15,15.8102,16.03,115476
2009-11-19,15.84,15.89,15.25,15.57,116564
2009-11-20,15.56,15.65,15.31,15.44,423659
2009-11-23,15.54,15.61,15.15,15.19,465213
2009-11-24,15.1,15.33,15.01,15.26,522719
2009-11-25,15.38,15.98,15.36,15.5,135298
2009-11-27,15.13,15.88,15.06,15.86,61579
2009-11-30,15.87,15.99,15.25,15.86,276449
2009-12-01,15.9,16.34,15.9,15.96,417794
2009-12-02,16.03,16.112,15.38,15.61,846414
2009-12-03,15.58,15.94,15.58,15.93,507845
2009-12-04,16.4,16.71,15.6001,16.52,946790
2009-12-07,16.5,16.93,16.5,16.87,308588
2009-12-08,16.61,16.97,16.55,16.75,249408
2009-12-09,16.61,16.81,16.34,16.81,96618
2009-12-10,16.8,16.99,16.75,16.77,255423
2009-12-11,16.69,16.7,16.46,16.58,77312
2009-12-14,16.74,16.9,16.69,16.85,224736
2009-12-15,16.85,16.9,16.71,16.74,140400
2009-12-16,16.88,17.13,16.74,17.0,315631
2009-12-17,16.91,16.982,16.14,16.31,148939
2009-12-18,16.3,16.8,16.23,16.39,417801
2009-12-21,16.79,16.85,16.36,16.49,144248
2009-12-22,16.5,16.73,16.23,16.73,312700
2009-12-23,16.75,16.84,16.65,16.78,223407
2009-12-24,16.72,17.0,16.72,16.78,30713
2009-12-28,16.75,17.8,16.75,17.38,795325
2009-12-29,17.52,17.68,17.4,17.53,227567
2009-12-30,17.31,17.78,17.31,17.69,302494
2009-12-31,17.61,18.29,17.61,18.29,555795
2010-01-04,18.3,18.9,18.01,18.86,538645
2010-01-05,18.95,19.24,18.1,19.0,301037
2010-01-06,18.95,19.3,18.59,19.15,533035
2010-01-07,19.04,19.17,18.65,19.03,271729
2010-01-08,18.9,19.3,18.8501,19.17,289844
2010-01-11,19.2,19.55,19.028,19.29,512688
2010-01-12,19.14,19.14,18.74,19.0,916630
2010-01-13,18.96,18.96,18.25,18.42,943829
2010-01-14,18.48,18.87,18.15,18.43,1065375
2010-01-15,18.56,18.56,18.15,18.24,160176
2010-01-19,17.9,18.15,17.3,17.81,381220
2010-01-20,17.71,18.01,17.44,17.96,193715
2010-01-21,17.87,18.49,17.79,17.985,338505
2010-01-22,17.88,18.06,17.38,17.56,923479
2010-01-25,17.67,17.8,17.46,17.65,261310
2010-01-26,17.03,18.0,16.842,17.76,765365
2010-01-27,17.64,17.95,17.25,17.41,696501
2010-01-28,17.55,17.74,17.25,17.72,14457574
2010-01-29,17.72,17.86,17.25,17.38,3356910
2010-02-01,17.38,17.69,17.29,17.5,509471
2010-02-02,17.51,17.8,17.35,17.7,1772835
2010-02-03,17.54,17.69,17.48,17.62,1285943
2010-02-04,17.38,17.58,17.06,17.22,1376659
2010-02-05,17.25,17.32,16.6,17.2,538668
2010-02-08,17.08,17.29,16.87,17.01,498280
2010-02-09,17.04,17.38,16.82,16.99,189575
2010-02-10,16.86,16.94,16.51,16.8,577918
2010-02-11,16.76,17.25,16.5,17.13,369975
2010-02-12,16.98,17.39,16.79,17.36,163128
2010-02-16,17.4,17.51,17.2701,17.48,422616
2010-02-17,17.6,17.6,17.17,17.41,507673
2010-02-18,17.47,17.5,17.3,17.45,461857
2010-02-19,17.5,17.62,17.36,17.53,374576
2010-02-22,17.5,17.59,17.23,17.35,846493
2010-02-23,17.35,17.49,17.13,17.38,1820172
2010-02-24,17.5,17.87,17.41,17.74,852244
2010-02-25,18.0,18.39,17.69,18.09,2319621
2010-02-26,18.05,18.19,17.96,18.15,280642
2010-03-01,18.7,18.8,18.12,18.3,872180
2010-03-02,18.19,18.74,18.19,18.72,980916
2010-03-03,18.75,19.94,18.75,18.91,1063392
2010-03-04,19.01,19.24,18.5019,19.06,396602
2010-03-05,19.05,19.66,19.05,19.36,376608
2010-03-08,19.48,19.52,19.09,19.31,221929
2010-03-09,19.44,20.0,19.15,19.35,922640
2010-03-10,19.46,19.98,19.36,19.74,544869
2010-03-11,19.79,19.974,19.79,19.86,394611
2010-03-12,19.9,20.0,19.44,19.65,498329
2010-03-15,19.56,19.56,19.03,19.42,179156
2010-03-16,19.42,19.68,19.16,19.5,162224
2010-03-17,19.59,19.99,19.56,19.89,309378
2010-03-18,19.94,20.0,19.48,19.98,211700
2010-03-19,20.0,20.28,19.69,20.11,636412
2010-03-22,19.87,20.15,19.7,19.94,473384
2010-03-23,19.98,20.3,19.95,20.22,281849
2010-03-24,20.2,20.2,19.57,19.62,153447
2010-03-25,19.75,19.75,19.31,19.65,583451
2010-03-26,19.66,20.2,19.66,19.91,524999
2010-03-29,20.09,20.4,19.94,20.22,296009
2010-03-30,20.28,20.51,19.96,20.38,353854
2010-03-31,20.39,20.68,20.17,20.5625,661925
2010-04-01,20.69,20.8,20.09,20.5,324587
2010-04-05,20.69,20.7,19.79,20.26,612018
2010-04-06,20.05,20.83,20.0,20.68,235796
2010-04-07,20.58,20.743,20.4,20.48,144590
2010-04-08,20.48,20.48,20.08,20.1,140137
2010-04-09,20.1,20.14,19.83,20.01,198244
2010-04-12,19.92,20.15,19.67,20.02,286662
2010-04-13,19.86,20.24,19.75,20.15,236614
2010-04-14,20.63,21.56,20.5,21.55,478214
2010-04-15,21.6,22.0,21.6,21.96,614764
2010-04-16,21.97,21.98,21.67,21.88,343840
2010-04-19,21.68,22.04,21.3,21.9,486725
2010-04-20,22.47,22.88,22.18,22.37,850560
2010-04-21,22.5,22.825,21.46,21.84,540128
2010-04-22,21.84,21.86,20.97,21.53,644024
2010-04-23,21.43,21.62,21.08,21.49,188569
2010-04-26,21.35,22.025,21.3,21.79,254940
2010-04-27,21.86,21.86,20.82,21.0,250597
2010-04-28,21.18,21.29,20.68,21.01,313845
2010-04-29,21.33,21.8,21.33,21.4,318404
2010-04-30,21.57,21.69,20.49,20.51,360236
2010-05-03,20.65,21.47,20.39,21.12,423829
2010-05-04,20.97,20.97,19.924,20.05,555980
2010-05-05,19.94,20.06,19.201,19.59,626582
2010-05-06,19.57,19.58,18.55,19.2,915403
2010-05-07,19.24,19.5,18.3812,19.29,602493
2010-05-10,20.0,20.91,20.0,20.74,894382
2010-05-11,20.33,20.8,20.17,20.66,217347
2010-05-12,20.56,20.92,20.5,20.72,353275
2010-05-13,20.83,20.83,20.32,20.46,291898
2010-05-14,20.41,20.486,19.72,20.23,504811
2010-05-17,20.25,20.52,19.92,20.52,292879
2010-05-18,20.6,20.88,19.94,20.08,338309
2010-05-19,19.84,20.28,18.93,20.02,578980
2010-05-20,19.77,20.3,19.44,20.1,1112266
2010-05-21,19.9,20.25,19.54,19.81,823217
2010-05-24,19.75,20.0,19.31,19.39,480191
2010-05-25,19.0,19.34,18.52,19.23,680399
2010-05-26,19.56,20.42,19.48,20.02,946103
2010-05-27,20.37,21.55,20.29,21.34,1065695
2010-05-28,21.43,21.49,20.3,20.65,795443
2010-06-01,20.66,20.99,20.34,20.39,456015
2010-06-02,20.34,21.11,20.34,21.11,861756
2010-06-03,21.06,22.0,21.06,21.66,646282
2010-06-04,21.4,21.44,20.58,20.81,315644
2010-06-07,20.88,21.1,20.5519,20.77,735203
2010-06-08,20.94,21.1,20.62,21.09,1192360
2010-06-09,21.25,21.9,20.96,21.07,802420
2010-06-10,21.5,21.97,21.488,21.8,1009886
2010-06-11,21.5,21.98,21.43,21.93,792824
2010-06-14,22.15,22.16,21.31,21.51,1340897
2010-06-15,21.75,22.7,21.57,22.25,1208178
2010-06-16,22.22,23.49,22.05,22.88,2692349
2010-06-17,23.29,23.694,23.03,23.35,2053558
2010-06-18,23.29,23.53,22.81,23.04,1271939
2010-06-21,23.39,23.4,22.38,22.99,711042
2010-06-22,22.89,23.04,22.1,22.26,1200756
2010-06-23,22.5,22.7,21.51,22.54,1144085
2010-06-24,22.65,22.68,20.73,21.24,1777097
2010-06-25,21.44,22.07,21.125,21.47,9588228
2010-06-28,21.54,21.86,20.52,21.75,966407
2010-06-29,21.28,21.29,20.36,20.97,1327384
2010-06-30,20.89,21.31,20.67,21.06,1345131
2010-07-01,21.32,21.55,20.68,21.41,1150279
2010-07-02,21.48,21.69,21.27,21.57,553376
2010-07-06,21.81,22.21,20.75,20.87,1058750
2010-07-07,20.75,21.69,20.5,21.67,949287
2010-07-08,21.76,22.0,21.35,21.79,291348
2010-07-09,21.74,22.01,21.5,22.01,325413
2010-07-12,21.85,22.38,21.45,22.1,499420
2010-07-13,22.31,22.5,22.14,22.48,658831
2010-07-14,22.5,22.862,22.22,22.29,538362
2010-07-15,22.25,23.0,21.91,22.91,835484
2010-07-16,22.69,22.95,21.98,21.99,659862
2010-07-19,22.05,22.37,21.78,22.27,526103
2010-07-20,22.03,22.09,21.6,22.0,712165
2010-07-21,22.17,22.36,21.72,21.77,503529
2010-07-22,22.03,22.935,21.89,22.85,839649
2010-07-23,22.9,23.13,22.5,22.88,631694
2010-07-26,22.89,22.95,21.91,22.8,689143
2010-07-27,22.85,23.06,22.23,22.42,971976
2010-07-28,22.38,22.55,21.77,21.8,354974
2010-07-29,21.91,21.99,21.36,21.77,510286
2010-07-30,21.58,21.91,21.09,21.76,277429
2010-08-02,21.98,22.8,21.6,21.83,1010429
2010-08-03,21.72,21.9,21.37,21.6,417552
2010-08-04,21.69,22.45,21.251,22.34,616797
2010-08-05,22.11,22.75,22.11,22.74,463831
2010-08-06,22.56,22.73,22.39,22.59,271585
2010-08-09,22.68,22.93,22.48,22.9,226668
2010-08-10,22.58,22.82,22.2,22.3,372157
2010-08-11,20.54,20.75,19.281,20.23,2334405
2010-08-12,20.45,20.89,20.2,20.41,1832323
2010-08-13,20.38,20.55,19.95,19.99,3957734
2010-08-16,19.99,20.3043,19.71,20.27,1485786
2010-08-17,20.39,20.71,20.29,20.37,774803
2010-08-18,20.32,20.82,20.09,20.75,833838
2010-08-19,20.67,20.85,20.38,20.51,589078
2010-08-20,20.29,20.55,20.29,20.43,415750
2010-08-23,20.44,20.57,20.22,20.4,577119
2010-08-24,20.0,20.48,19.95,20.24,1093008
2010-08-25,20.25,20.42,19.71,20.29,1122072
2010-08-26,20.52,21.02,20.26,20.6,776809
2010-08-27,20.62,20.647,20.01,20.31,1051759
2010-08-30,20.21,20.36,19.93,20.0,590370
2010-08-31,19.8,20.25,19.7,20.15,633835
