,open,high,low,close,volume
2000-08-11,18.875,18.9375,18.625,18.75,123200
2000-08-14,18.75,18.9375,18.5,18.9375,102300
2000-08-15,18.8125,19.0625,18.5,19.0,248000
2000-08-16,18.9375,19.375,18.8125,19.3125,246100
2000-08-17,19.375,20.3125,19.25,20.1875,658500
2000-08-18,20.375,21.0625,20.375,21.0625,924100
2000-08-21,20.8125,20.8125,20.0625,20.3125,227300
2000-08-22,20.375,20.6875,20.25,20.5,178300
2000-08-23,20.375,20.6875,19.375,19.5625,402800
2000-08-24,19.5,19.625,19.125,19.375,152600
2000-08-25,19.5625,19.875,19.34375,19.5,136800
2000-08-28,19.75,19.75,19.1875,19.25,143400
2000-08-29,19.25,19.5625,19.0,19.5,140700
2000-08-30,19.25,19.3125,19.0,19.125,198700
2000-08-31,18.9375,19.125,18.4375,18.76563,256800
2000-09-01,18.625,18.75,18.5625,18.6875,256900
2000-09-05,19.375,19.625,19.125,19.375,336200
2000-09-06,19.625,20.0,19.5,19.75,123600
2000-09-07,19.375,19.4375,19.25,19.4375,174600
2000-09-08,19.5,19.5625,19.0625,19.3125,406100
2000-09-11,19.5,19.53125,19.125,19.25,198000
2000-09-12,19.25,19.875,19.1875,19.875,201600
2000-09-13,20.25,20.25,19.5,20.0,191500
2000-09-14,20.125,20.75,19.9375,20.625,324600
2000-09-15,20.9375,20.9375,20.25,20.3125,982000
2000-09-18,20.4375,20.4375,19.625,19.625,378400
2000-09-19,19.875,20.1875,19.5,19.75,189100
2000-09-20,19.5625,19.6875,19.1875,19.5625,162600
2000-09-21,19.625,19.625,19.0625,19.3125,162800
2000-09-22,19.3125,19.375,19.0,19.125,142000
2000-09-25,19.125,19.25,18.875,18.875,213700
2000-09-26,18.9375,18.9375,18.5625,18.5625,225600
2000-09-27,18.6875,18.9375,18.4375,18.6875,784700
2000-09-28,18.8125,18.875,18.5,18.6875,224200
2000-09-29,18.5,18.6875,17.875,18.25,349400
2000-10-02,18.5,18.5,17.9375,18.0625,303500
2000-10-03,18.0625,18.3125,18.0,18.0625,284100
2000-10-04,18.125,18.6875,18.0,18.1875,103200
2000-10-05,18.25,18.3125,17.9375,18.1875,156400
2000-10-06,18.0625,18.1875,17.75,18.0625,344900
2000-10-09,18.25,18.25,17.8125,18.0,96600
2000-10-10,17.9375,18.4375,17.875,18.125,326000
2000-10-11,18.1875,18.1875,17.5625,17.75,110600
2000-10-12,17.625,17.8125,16.5625,16.6875,334900
2000-10-13,16.875,17.6875,16.875,17.5,153700
2000-10-16,17.625,17.625,16.75,17.375,194000
2000-10-17,17.5625,17.625,16.875,17.0,159300
2000-10-18,17.0,17.1875,16.25,17.1875,191000
2000-10-19,17.6875,18.125,17.25,17.875,317800
2000-10-20,17.75,18.0,17.625,17.8125,191000
2000-10-23,18.0,18.0,17.5625,17.5625,112500
2000-10-24,17.8125,18.3125,17.6875,18.0,397100
2000-10-25,18.1875,18.375,17.875,18.0625,251200
2000-10-26,18.0,18.5625,17.8125,18.25,166700
2000-10-27,18.125,18.5,17.875,18.25,257100
2000-10-30,18.25,19.0,18.25,19.0,200800
2000-10-31,18.875,19.5,18.5625,19.4375,262800
2000-11-01,19.375,19.4375,19.0625,19.375,215500
2000-11-02,19.3125,19.8125,19.0625,19.5,322800
2000-11-03,19.375,19.375,19.0,19.1875,349400
2000-11-06,19.125,19.25,18.9375,19.1875,66000
2000-11-07,19.1875,19.25,18.9375,18.9375,171800
2000-11-08,19.0,19.5,18.75,19.375,122300
2000-11-09,19.4375,19.75,19.0,19.375,154400
2000-11-10,19.5,19.5,18.625,18.625,185600
2000-11-13,18.375,18.5625,18.125,18.3125,167600
2000-11-14,18.3125,18.75,18.25,18.6875,174700
2000-11-15,18.875,18.875,18.1875,18.5625,175900
2000-11-16,18.5625,18.5625,18.0625,18.5,261100
2000-11-17,18.25,18.5,18.1875,18.3125,194500
2000-11-20,18.25,18.25,17.625,17.875,146400
2000-11-21,17.625,17.9375,17.375,17.625,163800
2000-11-22,17.8125,17.8125,17.3125,17.5,127100
2000-11-24,17.5,17.8125,17.5,17.6875,47400
2000-11-27,17.75,17.75,17.4375,17.5625,234200
2000-11-28,17.5625,17.625,17.25,17.625,131500
2000-11-29,17.625,17.625,16.9375,17.3125,136000
2000-11-30,17.3125,17.375,16.375,17.1875,179300
2000-12-01,17.25,17.25,16.75,17.0625,200100
2000-12-04,17.125,17.375,16.6875,17.125,257500
2000-12-05,17.1875,17.625,17.0,17.375,288300
2000-12-06,17.375,17.875,17.25,17.5,153000
2000-12-07,17.375,17.5,17.1875,17.1875,262400
2000-12-08,17.375,17.5625,17.125,17.4375,207300
2000-12-11,17.1875,18.0,17.0,18.0,330400
2000-12-12,17.9375,18.4375,17.875,18.375,203500
2000-12-13,18.3125,18.625,18.0,18.375,363200
2000-12-14,18.375,18.4375,17.8125,18.0,381500
2000-12-15,17.6875,18.1875,17.25,17.25,611000
2000-12-18,17.5,17.625,16.625,17.0,443600
2000-12-19,17.1875,17.1875,16.375,16.6875,382300
2000-12-20,16.8125,16.8125,15.875,16.0625,294500
2000-12-21,16.0625,16.4375,15.875,16.0,345400
2000-12-22,15.875,16.5625,15.875,16.4375,403800
2000-12-26,16.25,16.3125,15.5,15.9375,509500
2000-12-27,15.6875,16.5,15.6875,16.375,390900
2000-12-28,16.1875,16.875,16.1875,16.75,295800
2000-12-29,16.75,16.9375,16.375,16.4375,373300
2001-01-02,16.1875,16.1875,14.8125,15.0625,559500
2001-01-03,15.375,18.125,15.125,17.9375,1030100
2001-01-04,17.8125,18.5625,17.5,18.125,682800
2001-01-05,18.1875,18.375,17.5625,17.875,426000
2001-01-08,17.9375,18.4375,17.3125,17.5,382700
2001-01-09,17.3125,18.125,17.3125,17.8125,423000
2001-01-10,17.6875,17.875,17.0625,17.25,475100
2001-01-11,17.5,17.5,17.125,17.375,374200
2001-01-12,17.625,18.0,17.375,17.875,397500
2001-01-16,17.625,19.0,17.625,18.125,678800
2001-01-17,18.4375,18.875,18.0,18.625,381600
2001-01-18,18.9375,19.375,18.5625,18.9375,691200
2001-01-19,18.875,19.3125,18.8125,19.3125,528300
2001-01-22,19.1875,19.6875,19.1875,19.625,457900
2001-01-23,19.75,19.9375,19.1875,19.4375,289600
2001-01-24,19.4375,19.4375,19.0625,19.3125,206700
2001-01-25,18.625,18.9375,18.1875,18.8125,1076300
2001-01-26,18.75,19.0,18.0,18.8125,687200
2001-01-29,19.0,19.4,18.75,19.39,377700
2001-01-30,19.35,19.36,19.16,19.21,444700
2001-01-31,19.4,19.64,19.39,19.53,491200
2001-02-01,19.53,19.65,19.0,19.2,416500
2001-02-02,19.21,19.24,19.0,19.11,403100
2001-02-05,19.45,19.6,19.19,19.47,457400
2001-02-06,19.7,19.99,19.5,19.92,368600
2001-02-07,19.95,21.02,19.95,20.73,521600
2001-02-08,21.25,22.0,20.9,21.01,1014900
2001-02-09,21.02,21.04,20.16,20.51,717000
2001-02-12,20.26,20.27,19.8,19.9,736000
2001-02-13,20.15,20.73,20.13,20.34,478100
2001-02-14,20.14,20.34,20.08,20.27,228200
2001-02-15,20.27,20.67,20.2,20.51,212600
2001-02-16,20.51,20.59,20.25,20.52,1616300
2001-02-20,20.55,20.97,20.52,20.86,368500
2001-02-21,20.56,20.9,20.26,20.6,593300
2001-02-22,20.37,20.65,20.02,20.55,472300
2001-02-23,20.6,20.93,20.23,20.8,719200
2001-02-26,20.9,21.25,20.9,21.17,453800
2001-02-27,21.18,21.6,21.18,21.55,400600
2001-02-28,21.6,21.6,21.15,21.29,502600
2001-03-01,21.3,21.49,20.9,21.49,664800
2001-03-02,21.6,21.85,21.4,21.6,377700
2001-03-05,21.54,21.94,21.54,21.8,374000
2001-03-06,21.76,22.4,21.72,22.25,317600
2001-03-07,22.25,22.25,21.64,21.9,621100
2001-03-08,22.2,22.95,22.16,22.85,548800
2001-03-09,22.99,23.0,22.45,22.56,479300
2001-03-12,22.5,22.55,22.05,22.23,274700
2001-03-13,22.05,22.1,21.26,21.48,477200
2001-03-14,21.5,21.5,21.02,21.1,489800
2001-03-15,21.35,21.42,21.0,21.2,520100
2001-03-16,21.1,21.17,20.67,20.81,908600
2001-03-19,21.35,21.5,20.85,21.09,448300
2001-03-20,21.0,21.21,20.83,20.85,628700
2001-03-21,20.93,21.0,19.96,19.97,629700
2001-03-22,19.75,19.95,19.12,19.89,684100
2001-03-23,20.1,20.25,19.61,20.0,327200
2001-03-26,20.2,20.28,19.88,20.05,282800
2001-03-27,20.05,20.36,19.54,20.17,437900
2001-03-28,19.95,20.1,19.25,19.43,464300
2001-03-29,19.44,20.0,19.44,19.7,282000
2001-03-30,19.9,20.14,19.55,19.63,315600
2001-04-02,19.45,19.87,19.45,19.6,390100
2001-04-03,19.61,19.61,18.77,18.93,399100
2001-04-04,18.93,19.08,18.76,19.0,226900
2001-04-05,19.3,20.0,19.25,19.55,416400
2001-04-06,19.4,19.41,19.01,19.41,293700
2001-04-09,19.35,19.68,19.3,19.49,201300
2001-04-10,19.75,20.5,19.75,20.3,200100
2001-04-11,20.15,20.3,19.3,19.43,528800
2001-04-12,19.63,19.65,19.12,19.55,615900
2001-04-16,19.75,19.8,19.18,19.32,395100
2001-04-17,19.5,20.03,19.27,20.03,417500
2001-04-18,20.06,21.42,20.0,21.33,651700
2001-04-19,21.33,21.4,21.02,21.26,402100
2001-04-20,21.26,21.79,20.82,21.13,449800
2001-04-23,20.88,20.99,20.67,20.9,159900
2001-04-24,20.2,20.9,19.95,20.7,713100
2001-04-25,20.46,20.75,20.25,20.67,435800
2001-04-26,20.53,20.8,20.4,20.56,440400
2001-04-27,20.5,20.87,20.15,20.7,357800
2001-04-30,20.6,20.6,19.75,20.06,530100
2001-05-01,19.86,20.25,19.84,20.15,375900
2001-05-02,20.4,20.87,20.19,20.72,354800
2001-05-03,20.52,20.72,20.15,20.2,506300
2001-05-04,19.9,20.25,19.84,20.23,437200
2001-05-07,20.3,20.49,19.96,20.25,240100
2001-05-08,20.2,20.22,19.76,19.98,429000
2001-05-09,20.0,20.45,19.66,20.3,460400
2001-05-10,20.6,20.93,20.44,20.62,336300
2001-05-11,20.82,20.9,20.02,20.3,284500
2001-05-14,20.2,20.95,20.05,20.76,275900
2001-05-15,20.77,22.29,20.77,22.0,1243900
2001-05-16,21.9,23.55,21.69,23.45,1232500
2001-05-17,23.21,23.74,23.15,23.53,845000
2001-05-18,23.28,23.29,22.78,23.14,651800
2001-05-21,23.14,23.41,23.1,23.4,540800
2001-05-22,23.15,23.4,22.93,23.02,566100
2001-05-23,22.7,22.87,22.5,22.86,536400
2001-05-24,22.8,23.0,22.16,22.63,838100
2001-05-25,22.45,22.57,22.25,22.43,232000
2001-05-29,22.35,22.4,22.18,22.39,331000
2001-05-30,21.8,22.3,21.8,22.0,376800
2001-05-31,22.0,22.75,22.0,22.6,517600
2001-06-01,22.7,23.03,22.45,22.74,418100
2001-06-04,22.74,23.19,22.6,23.14,430200
2001-06-05,23.1,24.0,23.1,23.89,537400
2001-06-06,23.8,23.97,23.43,23.7,536700
2001-06-07,23.5,24.24,23.5,24.11,521800
2001-06-08,24.2,24.33,23.54,24.0,603400
