,open,high,low,close,volume
2006-08-18,18.33,18.39,18.01,18.21,1067000
2006-08-21,18.21,18.49,18.06,18.44,1111000
2006-08-22,18.49,18.49,18.16,18.3,936700
2006-08-23,18.25,18.26,17.73,17.82,3290500
2006-08-24,18.09,18.17,17.49,17.89,3653600
2006-08-25,17.86,18.06,17.82,18.0,1815700
2006-08-28,18.01,18.15,17.96,18.15,1263500
2006-08-29,18.15,18.35,18.02,18.3,1122800
2006-08-30,18.3,18.5,18.19,18.29,1316100
2006-08-31,18.4,18.46,18.27,18.35,1328300
2006-09-01,18.36,18.42,18.13,18.3,819200
2006-09-05,18.31,18.34,18.16,18.3,1231600
2006-09-06,18.41,18.45,18.23,18.31,1345100
2006-09-07,18.31,18.47,18.124,18.34,1885700
2006-09-08,18.44,18.9,18.4,18.7,1604300
2006-09-11,18.41,19.29,18.41,19.25,1717000
2006-09-12,19.36,19.94,19.31,19.73,1731500
2006-09-13,19.7,20.57,19.64,20.54,3554100
2006-09-14,20.3,20.3,19.87,20.02,2033800
2006-09-15,20.02,20.39,19.17,19.57,3064000
2006-09-18,19.32,19.59,19.16,19.39,1303300
2006-09-19,19.32,20.09,19.3,19.6,2457400
2006-09-20,19.93,20.14,19.79,19.88,1591900
2006-09-21,19.95,19.95,19.56,19.69,1388700
2006-09-22,19.5,19.81,19.22,19.25,1624900
2006-09-25,19.25,19.82,19.12,19.77,2239100
2006-09-26,19.8,20.0,19.64,19.93,1677700
2006-09-27,19.93,20.36,19.82,20.32,1361200
2006-09-28,20.32,20.45,20.0,20.16,1473100
2006-09-29,20.09,20.28,19.8,19.81,1272900
2006-10-02,19.81,20.41,19.47,20.05,2041400
2006-10-03,20.13,20.55,19.88,20.46,2061700
2006-10-04,20.47,20.6,20.4,20.46,2068200
2006-10-05,20.49,20.6,20.22,20.43,1962100
2006-10-06,20.44,20.44,20.09,20.1,1409100
2006-10-09,20.0,20.0,19.59,19.89,1884300
2006-10-10,19.9,19.98,19.59,19.96,2562900
2006-10-11,19.96,20.36,19.9,20.33,3563600
2006-10-12,20.33,20.83,20.27,20.74,2423400
2006-10-13,20.73,20.95,20.63,20.85,1410000
2006-10-16,21.0,21.18,20.94,20.95,1350200
2006-10-17,20.95,20.97,20.46,20.9,961000
2006-10-18,21.0,21.0,20.43,20.56,1016600
2006-10-19,20.39,20.84,20.35,20.55,675300
2006-10-20,20.62,20.65,20.33,20.56,700300
2006-10-23,20.56,20.88,20.33,20.81,886900
2006-10-24,20.81,21.03,20.5,20.67,978500
2006-10-25,20.8,20.93,20.2,20.44,864300
2006-10-26,20.35,20.82,20.21,20.77,1299300
2006-10-27,20.74,20.74,19.813,20.17,1216800
2006-10-30,20.17,20.98,20.16,20.88,1631900
2006-10-31,20.98,21.18,20.9,21.08,1451400
2006-11-01,21.0,21.06,20.52,20.61,1059200
2006-11-02,20.6,20.68,20.3,20.58,826800
2006-11-03,20.85,21.17,20.03,20.35,1382600
2006-11-06,20.55,21.71,20.55,21.57,3122600
2006-11-07,21.54,21.96,21.3,21.6,1367800
2006-11-08,21.5,21.76,21.31,21.59,735700
2006-11-09,21.75,21.78,21.06,21.28,1132800
2006-11-10,21.37,21.59,21.27,21.47,915300
2006-11-13,21.55,21.76,21.27,21.41,1726500
2006-11-14,21.5,21.61,21.3,21.53,1323500
2006-11-15,21.69,22.97,21.64,22.15,3795200
2006-11-16,24.45,26.36,23.1,23.1,13407200
2006-11-17,23.09,23.09,21.7,22.33,3232900
2006-11-20,22.4,22.63,22.23,22.5,2438300
2006-11-21,22.42,23.59,22.42,23.4,2539300
2006-11-22,23.19,23.42,23.102,23.16,1775800
2006-11-24,23.16,23.23,23.01,23.18,492000
2006-11-27,22.93,23.02,22.36,22.42,1773600
2006-11-28,22.3,22.48,22.01,22.33,1462800
2006-11-29,22.48,22.7,22.2,22.42,1959200
2006-11-30,23.42,23.47,21.9,22.31,1825200
2006-12-01,22.2,22.47,21.48,21.81,1550000
2006-12-04,21.97,23.13,21.97,22.9,1883200
2006-12-05,22.99,23.25,22.45,23.01,2179300
2006-12-06,23.1,23.54,23.07,23.42,1783300
2006-12-07,23.5,23.58,23.17,23.31,2017100
2006-12-08,23.21,23.6,23.21,23.39,2076800
2006-12-11,23.4,23.71,23.33,23.68,1685500
2006-12-12,23.56,23.69,23.12,23.25,1704500
2006-12-13,22.91,23.32,22.85,23.12,1261000
2006-12-14,23.36,23.99,23.34,23.93,1435600
2006-12-15,24.0,24.05,23.8,23.98,2313600
2006-12-18,24.0,24.11,23.81,23.88,1051700
2006-12-19,23.65,23.7,23.09,23.46,2118300
2006-12-20,23.47,23.87,23.31,23.32,1090100
2006-12-21,23.32,24.05,23.32,23.57,1422400
2006-12-22,23.56,23.56,23.16,23.32,950600
2006-12-26,23.0,23.18,22.79,23.06,1056400
2006-12-27,23.04,23.44,22.93,23.35,899900
2006-12-28,23.35,23.5,23.0,23.24,1013500
2006-12-29,23.17,23.49,22.72,22.92,1213900
2007-01-03,23.08,23.47,22.76,22.84,2113300
2007-01-04,22.97,23.49,22.76,23.14,1828600
2007-01-05,23.14,23.57,22.71,23.22,1391600
2007-01-08,23.11,24.08,22.87,24.02,1859000
2007-01-09,24.12,24.72,24.05,24.5,1927000
2007-01-10,24.32,24.39,23.92,24.2,1412400
2007-01-11,24.43,26.14,24.25,25.48,2946200
2007-01-12,25.47,25.98,25.03,25.92,1430500
2007-01-16,25.98,26.09,25.79,25.89,1105600
2007-01-17,25.6,25.68,25.29,25.33,1233700
2007-01-18,25.52,25.9,25.3,25.75,1105600
2007-01-19,25.79,26.06,25.51,25.95,1578300
2007-01-22,25.95,25.98,25.19,25.71,1345500
2007-01-23,25.77,26.0,25.4,25.72,936700
2007-01-24,25.95,26.25,25.68,25.9466,1276700
2007-01-25,25.82,26.34,25.12,25.4,1222400
2007-01-26,25.5,25.74,25.15,25.69,862400
2007-01-29,25.59,26.08,25.4678,26.01,1893900
2007-01-30,26.0,26.2,25.67,26.09,1529100
2007-01-31,25.97,26.08,25.76,25.93,2205500
2007-02-01,25.93,26.13,25.85,26.1,1509300
2007-02-02,26.13,26.33,25.86,26.0,1397200
2007-02-05,26.0,26.82,25.84,26.59,2147900
2007-02-06,26.65,26.8,26.408,26.6,1506000
2007-02-07,26.8,27.18,26.5,27.07,1455200
2007-02-08,27.0,27.49,26.85,27.42,2219900
2007-02-09,27.42,27.48,26.05,26.37,1951700
2007-02-12,26.46,26.52,26.1,26.18,892039
2007-02-13,26.36,26.49,26.23,26.35,1471179
2007-02-14,26.49,26.58,26.29,26.41,1094807
2007-02-15,26.46,26.72,26.0505,26.67,2061000
2007-02-16,26.6,26.6,26.17,26.41,1093200
2007-02-20,26.38,26.6,26.25,26.53,2003500
2007-02-21,26.45,26.93,26.36,26.9,1340000
2007-02-22,26.9,26.95,26.35,26.56,1346700
2007-02-23,26.53,26.75,26.17,26.7,1074500
2007-02-26,26.7,26.87,26.29,26.55,815689
2007-02-27,26.35,26.4,25.0,25.21,2099300
2007-02-28,25.15,25.36,24.13,25.01,2782000
2007-03-01,24.5,24.59,23.87,24.48,2913434
2007-03-02,24.48,24.66,24.02,24.07,1601300
2007-03-05,23.72,24.26,23.43,23.49,1841700
2007-03-06,23.9,24.22,23.582,24.09,1782800
2007-03-07,24.1,24.505,23.91,24.16,1309400
2007-03-08,24.36,24.99,24.36,24.75,1534900
2007-03-09,28.71,30.0,28.48,28.84,12790300
2007-03-12,29.5,29.95,29.32,29.81,3221800
2007-03-13,29.35,29.35,28.09,28.29,3818200
2007-03-14,28.0,30.44,27.99,30.04,6274200
2007-03-15,30.05,31.59,30.04,31.23,4232800
2007-03-16,31.24,31.2418,30.45,30.61,3084700
2007-03-19,31.15,31.75,30.87,31.48,2708600
2007-03-20,31.68,32.3,31.53,31.82,3282300
2007-03-21,32.05,32.88,31.84,32.4,3327600
2007-03-22,33.0,33.28,32.32,32.42,3658400
2007-03-23,32.42,33.38,32.2,33.17,3188405
2007-03-26,33.16,33.21,32.02,32.49,2320500
2007-03-27,32.15,32.36,31.8,32.06,1045800
2007-03-28,32.31,32.36,31.59,31.71,2292900
2007-03-29,32.0,32.43,31.6601,32.1,1434188
2007-03-30,31.8,32.1,31.05,31.28,2576142
2007-04-02,31.28,32.41,31.1,32.34,2105400
2007-04-03,32.44,33.71,32.44,33.16,2278900
2007-04-04,33.1,33.85,32.72,33.51,2870000
2007-04-05,33.57,34.14,33.09,33.86,2055500
2007-04-09,33.86,34.03,33.47,33.94,2110000
2007-04-10,33.94,34.55,33.86,34.26,2088600
2007-04-11,33.76,33.77,32.16,32.19,4135594
2007-04-12,31.95,32.59,31.68,32.55,2359497
2007-04-13,32.5,32.64,32.11,32.21,2140654
2007-04-16,32.4,32.75,31.94,32.6,1635055
2007-04-17,32.61,32.97,32.12,32.36,1720900
2007-04-18,32.11,32.39,31.9,32.11,1146925
2007-04-19,31.89,32.6,31.76,32.25,1024067
2007-04-20,32.93,32.94,32.05,32.17,1681500
2007-04-23,32.17,32.58,31.99,32.18,1604900
2007-04-24,32.18,32.53,31.9,32.27,2270940
2007-04-25,32.8,33.16,32.62,33.03,1782392
2007-04-26,32.78,33.19,32.54,32.9,1106000
2007-04-27,32.76,33.14,32.51,32.94,1087200
2007-04-30,32.69,32.7,32.19,32.2,1468400
2007-05-01,32.21,32.21,31.26,31.41,3080240
2007-05-02,31.85,32.26,31.78,32.18,1843790
2007-05-03,32.1,32.74,32.05,32.55,2047800
2007-05-04,33.28,33.28,32.34,32.75,1655787
2007-05-07,32.73,32.98,32.4,32.8,1390040
2007-05-08,32.84,33.11,32.52,33.08,1952187
2007-05-09,33.02,33.8,32.8,33.68,1811057
2007-05-10,33.67,33.9,33.1,33.5,2229197
2007-05-11,33.75,33.83,33.55,33.7,971375
2007-05-14,33.6,33.65,33.02,33.13,1198435
2007-05-15,33.25,33.4,32.45,32.66,2110538
2007-05-16,32.71,33.0,32.21,32.84,1311400
2007-05-17,32.83,32.83,32.32,32.44,1002717
2007-05-18,32.44,33.17,32.35,33.03,922800
2007-05-21,33.05,33.48,33.03,33.14,1221016
2007-05-22,33.19,33.47,33.16,33.28,1092428
2007-05-23,33.49,34.05,33.14,33.32,1440870
2007-05-24,33.4,33.58,32.85,32.89,1482600
