,open,high,low,close,volume
2000-08-11,2.089845,2.1640625,2.089845,2.13672,1411200
2000-08-14,2.13672,2.16797,2.128908,2.160158,3131200
2000-08-15,2.160158,2.1953125,2.1484375,2.1484375,1513600
2000-08-16,2.1484375,2.152345,2.125,2.144533,998400
2000-08-17,2.152345,2.152345,2.1015625,2.1328125,1689600
2000-08-18,2.1171875,2.125,2.09375,2.097658,1350400
2000-08-21,2.0859375,2.121095,2.082033,2.082033,1051200
2000-08-22,2.078125,2.082033,2.046875,2.0546875,2846400
2000-08-23,2.058595,2.0625,2.027345,2.050783,1454400
2000-08-24,2.058595,2.10547,2.058595,2.0859375,1144000
2000-08-25,2.078125,2.097658,2.066408,2.09375,902400
2000-08-28,2.0859375,2.1171875,2.082033,2.089845,857600
2000-08-29,2.082033,2.183595,2.07422,2.1640625,5049600
2000-08-30,2.144533,2.1484375,2.1328125,2.144533,1307200
2000-08-31,2.152345,2.1796875,2.144533,2.1640625,1174400
2000-09-01,2.1796875,2.1953125,2.16797,2.1875,1145600
2000-09-05,2.1875,2.21875,2.183595,2.214845,1083200
2000-09-06,2.23047,2.2421875,2.1953125,2.234375,3040000
2000-09-07,2.234375,2.246095,2.203125,2.21875,1683200
2000-09-08,2.207033,2.234375,2.191408,2.19922,1108800
2000-09-11,2.19922,2.236328,2.1796875,2.207033,2028800
2000-09-12,2.207033,2.207033,2.1875,2.1953125,2710400
2000-09-13,2.19922,2.19922,2.1796875,2.1796875,7427200
2000-09-14,2.15625,2.15625,2.07422,2.121095,6297600
2000-09-15,2.09375,2.160158,2.089845,2.125,4395200
2000-09-18,2.125,2.16797,2.097658,2.1015625,1593600
2000-09-19,2.078125,2.082033,2.035158,2.046875,3654400
2000-09-20,2.058595,2.0625,2.046875,2.046875,1168000
2000-09-21,2.035158,2.0390625,1.9921875,1.996095,2494400
2000-09-22,1.996095,2.03125,1.9921875,2.03125,2259200
2000-09-25,2.03125,2.058595,2.0078125,2.0234375,2134400
2000-09-26,2.0234375,2.046875,1.996095,2.0,1804800
2000-09-27,2.0,2.0,1.988283,2.0,2539200
2000-09-28,1.984375,1.996095,1.964845,1.9921875,3966400
2000-09-29,1.996095,2.0234375,1.9453125,1.98047,5204800
2000-10-02,1.972658,1.9765625,1.925783,1.933595,1420800
2000-10-03,1.94922,1.988283,1.9375,1.953125,4505600
2000-10-04,1.953125,2.03125,1.9296875,1.941408,3171200
2000-10-05,1.9453125,1.9453125,1.878908,1.8984375,2816000
2000-10-06,1.9140625,1.964845,1.88672,1.90625,1620800
2000-10-09,1.90625,1.964845,1.90625,1.953125,1486400
2000-10-10,1.9375,1.9375,1.90625,1.90625,1299200
2000-10-11,1.90625,1.90625,1.8671875,1.871095,1833600
2000-10-12,1.863283,1.890625,1.847658,1.875,1614400
2000-10-13,1.8828125,1.9296875,1.8828125,1.9296875,1947200
2000-10-16,1.9296875,1.9296875,1.863283,1.8984375,1132800
2000-10-17,1.894533,1.902345,1.839845,1.863283,1222400
2000-10-18,1.863283,1.863283,1.785158,1.82422,1625600
2000-10-19,1.8203125,1.910158,1.8125,1.88672,1664000
2000-10-20,1.878908,1.9140625,1.878908,1.90625,1414400
2000-10-23,1.90625,1.921875,1.871095,1.88672,1720000
2000-10-24,1.921875,2.09375,1.921875,2.07422,5707200
2000-10-25,2.058595,2.0625,1.964845,2.04297,3288000
2000-10-26,2.04297,2.15625,2.04297,2.1328125,2728000
2000-10-27,2.128908,2.13672,2.082033,2.1171875,1134400
2000-10-30,2.121095,2.1875,2.121095,2.1875,3108800
2000-10-31,2.183595,2.203125,2.144533,2.1953125,3686400
2000-11-01,2.1953125,2.203125,2.15625,2.175783,1040000
2000-11-02,2.183595,2.183595,2.15625,2.175783,1124800
2000-11-03,2.1796875,2.1875,2.144533,2.183595,955200
2000-11-06,2.1875,2.214845,2.16797,2.214845,1712000
2000-11-07,2.214845,2.246095,2.2109375,2.246095,724800
2000-11-08,2.246095,2.3203125,2.21875,2.3046875,1592000
2000-11-09,2.2890625,2.300783,2.238283,2.253908,1897600
2000-11-10,2.253908,2.253908,2.171875,2.2265625,1320000
2000-11-13,2.21875,2.29297,2.1875,2.253908,936000
2000-11-14,2.265625,2.29297,2.26172,2.2890625,1833600
2000-11-15,2.2890625,2.332033,2.28125,2.332033,2006400
2000-11-16,2.34375,2.371095,2.285158,2.3125,1939200
2000-11-17,2.328125,2.35547,2.308595,2.3203125,1476800
2000-11-20,2.332033,2.3671875,2.29297,2.3515625,1144000
2000-11-21,2.35547,2.35547,2.32422,2.34375,790400
2000-11-22,2.34375,2.3671875,2.3203125,2.359375,1067200
2000-11-24,2.359375,2.3984375,2.3515625,2.394533,921600
2000-11-27,2.394533,2.4296875,2.390625,2.4140625,2070400
2000-11-28,2.40625,2.421875,2.38672,2.394533,974400
2000-11-29,2.378908,2.378908,2.308595,2.3203125,1281600
2000-11-30,2.32422,2.44922,2.32422,2.433595,1324800
2000-12-01,2.425783,2.48047,2.425783,2.4375,2656000
2000-12-04,2.4375,2.496095,2.4375,2.484375,1846400
2000-12-05,2.5,2.527345,2.48047,2.5,2251200
2000-12-06,2.5,2.515625,2.4296875,2.433595,1944000
2000-12-07,2.4609375,2.46875,2.3984375,2.402345,825600
2000-12-08,2.38672,2.488283,2.38672,2.457033,2665600
2000-12-11,2.484375,2.496095,2.375,2.457033,3033600
2000-12-12,2.472658,2.472658,2.390625,2.441408,921600
2000-12-13,2.4453125,2.457033,2.390625,2.4296875,894400
2000-12-14,2.4140625,2.41797,2.35547,2.38672,1728000
2000-12-15,2.402345,2.496095,2.390625,2.457033,5230400
2000-12-18,2.453125,2.48047,2.441408,2.457033,2864000
2000-12-19,2.4609375,2.5859375,2.457033,2.550783,5529600
2000-12-20,2.53125,2.578125,2.503908,2.546875,1992000
2000-12-21,2.550783,2.63672,2.5234375,2.6328125,2169600
2000-12-22,2.644533,2.6875,2.6015625,2.6796875,2028800
2000-12-26,2.707033,2.8984375,2.671875,2.85547,3444800
2000-12-27,2.859375,2.921875,2.8515625,2.910158,3377600
2000-12-28,2.925783,2.9609375,2.910158,2.953125,3753600
2000-12-29,2.9375,2.996095,2.878908,2.878908,3985600
2001-01-02,2.863283,2.875,2.769533,2.777345,4024000
2001-01-03,2.76172,2.957033,2.76172,2.9453125,4220800
2001-01-04,2.941408,2.94922,2.910158,2.933595,2980800
2001-01-05,2.859375,2.90625,2.8359375,2.894533,5014400
2001-01-08,2.90625,2.964845,2.847658,2.8828125,3168000
2001-01-09,2.875,2.910158,2.85547,2.910158,3806400
2001-01-10,2.925783,3.0078125,2.910158,3.0,6652800
2001-01-11,3.0,3.050783,2.9609375,2.972658,7433600
2001-01-12,2.988283,2.988283,2.894533,2.9140625,2252800
2001-01-16,2.9140625,2.9140625,2.816408,2.8515625,5030400
2001-01-17,2.8515625,2.863283,2.796875,2.816408,3726400
2001-01-18,2.832033,2.8515625,2.8046875,2.8125,2704000
2001-01-19,2.8125,2.8125,2.6796875,2.6953125,2633600
2001-01-22,2.609375,2.691408,2.609375,2.652345,4380800
2001-01-23,2.6640625,2.7265625,2.65625,2.71875,2891200
2001-01-24,2.722658,2.785158,2.703125,2.746095,2323200
2001-01-25,2.76172,2.8046875,2.582033,2.621095,5616000
2001-01-26,2.625,2.625,2.496095,2.5,4905600
2001-01-29,2.5,2.5325,2.471875,2.525,5041600
2001-01-30,2.525,2.525,2.465625,2.495625,4182400
2001-01-31,2.499375,2.530625,2.486875,2.4975,4222400
2001-02-01,2.513125,2.6,2.510625,2.55625,2313600
2001-02-02,2.546875,2.58375,2.495625,2.495625,1876800
2001-02-05,2.49375,2.543125,2.49375,2.5425,2195200
2001-02-06,2.541875,2.5675,2.519375,2.563125,2388800
2001-02-07,2.5475,2.5625,2.5325,2.559375,1132800
2001-02-08,2.559375,2.575,2.53875,2.5525,1920000
2001-02-09,2.568125,2.568125,2.514375,2.528125,2728000
2001-02-12,2.525,2.568125,2.5,2.55375,1886400
2001-02-13,2.55375,2.59375,2.534375,2.561875,1246400
2001-02-14,2.555,2.603125,2.54375,2.568125,2148800
2001-02-15,2.55625,2.65625,2.55625,2.624375,2150400
2001-02-16,2.639375,2.670625,2.578125,2.59,1812800
2001-02-20,2.59375,2.655,2.5275,2.529375,1793600
2001-02-21,2.534375,2.56875,2.42,2.5,2120000
2001-02-22,2.5075,2.52,2.473125,2.49625,1387200
2001-02-23,2.49375,2.49375,2.38,2.44625,2718400
2001-02-26,2.461875,2.53125,2.45625,2.498125,1793600
2001-02-27,2.53125,2.584375,2.506875,2.5625,2449600
2001-02-28,2.563125,2.609375,2.559375,2.5875,3361600
2001-03-01,2.5875,2.6125,2.56375,2.564375,2916800
2001-03-02,2.55,2.6375,2.539375,2.599375,1955200
2001-03-05,2.615,2.665625,2.578125,2.580625,2537600
2001-03-06,2.59625,2.66125,2.59375,2.653125,2516800
2001-03-07,2.690625,2.789375,2.690625,2.7475,5467200
2001-03-08,2.7375,2.834375,2.7375,2.82625,3812800
2001-03-09,2.775,2.853125,2.76875,2.7825,2908800
2001-03-12,2.775,2.780625,2.711875,2.7125,2224000
2001-03-13,2.7125,2.800625,2.6875,2.79625,3390400
2001-03-14,2.771875,2.815625,2.7375,2.750625,5067200
2001-03-15,2.74375,2.820625,2.74375,2.77,2761600
2001-03-16,2.80625,2.84,2.72625,2.733125,4344000
2001-03-19,2.740625,2.833125,2.73375,2.804375,2644800
2001-03-20,2.80625,2.861875,2.77,2.773125,2011200
2001-03-21,2.784375,2.784375,2.7125,2.74625,2905600
2001-03-22,2.74375,2.7625,2.6125,2.733125,3827200
2001-03-23,2.733125,2.796875,2.68125,2.76625,3457600
2001-03-26,2.775,2.8675,2.7675,2.8325,1672000
2001-03-27,2.8275,2.8725,2.7825,2.865625,3264000
2001-03-28,2.85625,2.85625,2.75625,2.82375,1800000
2001-03-29,2.83125,2.855625,2.7625,2.826875,1894400
2001-03-30,2.81125,2.87,2.769375,2.866875,2040000
2001-04-02,2.86875,2.89375,2.8,2.84875,2768000
2001-04-03,2.84875,2.8875,2.760625,2.776875,1811200
2001-04-04,2.776875,2.903125,2.776875,2.893125,1620800
2001-04-05,2.90625,2.953125,2.874375,2.95125,1934400
2001-04-06,2.9375,2.9375,2.8375,2.891875,1915200
2001-04-09,2.896875,2.96875,2.896875,2.93625,2339200
2001-04-10,2.93125,2.9975,2.92125,2.95125,2251200
2001-04-11,2.946875,2.95,2.834375,2.88875,3140800
2001-04-12,2.904375,2.934375,2.825625,2.85375,2780800
2001-04-16,2.84375,2.874375,2.834375,2.871875,1876800
2001-04-17,2.874375,2.91875,2.840625,2.91875,1206400
2001-04-18,2.921875,2.996875,2.89875,2.974375,1596800
2001-04-19,2.99,2.999375,2.961875,2.990625,1824000
2001-04-20,2.978125,2.996875,2.93875,2.96375,1590400
2001-04-23,2.961875,2.978125,2.94375,2.964375,1195200
2001-04-24,2.96375,2.974375,2.9375,2.95,1430400
2001-04-25,2.95,3.01,2.94375,2.996875,1150400
2001-04-26,2.9375,3.006875,2.925,2.984375,5449600
2001-04-27,2.975,2.98125,2.89375,2.925,2652800
2001-04-30,2.9125,2.9175,2.86125,2.875,2155200
2001-05-01,2.8875,2.8875,2.81875,2.84375,2624000
2001-05-02,2.85625,2.85625,2.76875,2.815,3771200
2001-05-03,2.75,2.75625,2.6875,2.6875,3609600
2001-05-04,2.666875,2.736875,2.659375,2.73125,2419200
2001-05-07,2.73125,2.741875,2.693125,2.694375,2272000
2001-05-08,2.7,2.709375,2.678125,2.686875,1432000
2001-05-09,2.68125,2.68125,2.63125,2.653125,1912000
2001-05-10,2.703125,2.796875,2.700625,2.7875,4179200
2001-05-11,2.794375,2.840625,2.758125,2.771875,2456000
2001-05-14,2.765625,2.790625,2.75625,2.76875,1243200
2001-05-15,2.768125,2.824375,2.768125,2.8125,1192000
2001-05-16,2.8125,3.01875,2.80625,2.95625,2811200
2001-05-17,2.953125,3.08375,2.953125,3.021875,3752000
2001-05-18,3.015625,3.021875,2.974375,2.998125,1550400
2001-05-21,2.990625,3.06125,2.98125,3.04625,2297600
2001-05-22,3.016875,3.03125,2.97625,2.98625,2481600
