,open,high,low,close,volume
2000-08-11,40.8,41.1,40.64,40.78,38150000
2000-08-14,40.4,41.12,40.28,41.06,61600000
2000-08-15,40.96,40.96,40.28,40.5,39700000
2000-08-16,40.34,41.04,40.3,40.94,27200000
2000-08-17,41.06,41.08,40.58,40.88,21200000
2000-08-18,40.86,40.98,40.18,40.32,20450000
2000-08-21,40.2,40.48,40.06,40.28,38950000
2000-08-22,40.16,40.26,39.76,39.94,28000000
2000-08-23,39.6,39.6,39.06,39.08,33400000
2000-08-24,38.8,38.8,37.78,38.44,62400000
2000-08-25,38.44,38.56,37.64,37.78,26150000
2000-08-28,37.86,38.14,37.74,38.0,34800000
2000-08-29,38.06,38.06,37.44,37.94,31400000
2000-08-30,37.8,38.26,37.62,38.2,37100000
2000-08-31,38.36,38.38,37.62,38.26,84350000
2000-09-01,38.2,39.1,38.2,39.0,30900000
2000-09-05,38.76,39.22,38.74,38.9,33700000
2000-09-06,38.76,38.76,37.54,38.2,50950000
2000-09-07,37.7,38.1,37.52,37.7,34700000
2000-09-08,37.54,38.08,37.54,38.08,65500000
2000-09-11,38.02,38.42,37.84,37.86,39550000
2000-09-12,38.06,38.46,38.0,38.22,27500000
2000-09-13,37.7,38.14,37.62,38.08,42550000
2000-09-14,38.08,38.48,38.02,38.48,28300000
2000-09-15,38.52,38.56,38.1,38.1,41600000
2000-09-18,38.0,39.1,37.6,39.08,52450000
2000-09-19,39.1,39.12,37.02,37.12,117800000
2000-09-20,37.24,37.6,37.0,37.06,31200000
2000-09-21,37.0,37.2,36.44,36.6,45400000
2000-09-22,36.1,37.06,36.1,36.8,71500000
2000-09-25,36.7,37.76,36.7,37.28,74650000
2000-09-26,38.0,38.58,37.74,38.08,71150000
2000-09-27,38.36,38.5,38.08,38.2,38100000
2000-09-28,38.12,39.36,38.12,39.36,62200000
2000-09-29,39.2,41.72,39.2,41.4,145450000
2000-10-02,41.0,41.76,40.66,41.28,95000000
2000-10-03,41.4,41.56,40.16,40.16,43100000
2000-10-04,40.1,40.16,38.86,39.38,29300000
2000-10-05,39.28,39.96,39.2,39.5,22400000
2000-10-06,39.8,39.92,38.8,38.88,13650000
2000-10-09,38.8,39.2,38.4,39.14,28450000
2000-10-10,38.94,39.3,38.6,38.6,26700000
2000-10-11,38.0,38.18,37.0,37.4,70400000
2000-10-12,36.8,36.84,35.22,35.68,110850000
2000-10-13,35.68,38.86,35.58,37.86,900000
2000-10-16,37.42,38.18,37.16,37.8,46350000
2000-10-17,38.0,38.1,37.38,37.96,28950000
2000-10-18,37.2,37.76,36.56,37.7,38550000
2000-10-19,38.1,39.16,38.0,39.16,53150000
2000-10-20,39.06,39.56,38.92,39.12,28750000
2000-10-23,38.84,39.06,38.46,38.56,30800000
2000-10-24,38.12,39.0,38.02,38.68,23700000
2000-10-25,38.68,39.78,38.68,39.58,49050000
2000-10-26,39.58,39.9,39.0,39.9,35700000
2000-10-27,40.0,40.24,39.4,39.82,66700000
2000-10-30,39.7,42.0,39.68,41.7,141800000
2000-10-31,42.0,42.5,41.6,42.06,170900000
2000-11-01,41.5,42.26,41.36,42.04,46750000
2000-11-02,42.0,42.36,41.62,42.28,69600000
2000-11-03,42.12,42.3,41.64,41.9,48350000
2000-11-06,42.2,43.0,42.2,42.94,61750000
2000-11-07,42.84,43.0,42.52,42.64,58500000
2000-11-08,42.64,42.76,42.26,42.42,27150000
2000-11-09,42.02,42.18,40.54,40.64,40500000
2000-11-10,40.64,41.12,39.8,40.86,31400000
2000-11-13,40.98,43.6,40.98,43.16,1175000
2000-11-14,43.92,43.92,43.14,43.8,106300000
2000-11-15,43.9,43.98,43.5,43.54,31900000
2000-11-16,43.56,43.6,43.0,43.08,23350000
2000-11-17,43.0,43.06,41.9,42.36,83400000
2000-11-20,42.2,42.2,41.68,41.98,128250000
2000-11-21,41.92,41.98,41.2,41.36,41950000
2000-11-22,41.0,41.32,40.64,41.28,23750000
2000-11-24,41.6,42.0,41.6,41.82,19500000
2000-11-27,42.0,42.0,41.44,41.66,13500000
2000-11-28,41.56,41.7,41.42,41.42,26100000
2000-11-29,41.46,43.0,41.42,43.0,85950000
2000-11-30,42.72,43.72,42.0,43.48,108000000
2000-12-01,43.36,43.56,42.7,43.0,70750000
2000-12-04,42.9,43.16,42.74,43.08,28400000
2000-12-05,43.2,43.94,43.08,43.74,49100000
2000-12-06,43.54,43.7,43.14,43.48,36100000
2000-12-07,43.36,43.62,43.02,43.06,32400000
2000-12-08,43.28,45.8,43.2,45.8,103100000
2000-12-11,45.7,46.16,45.0,46.16,62450000
2000-12-12,46.0,46.26,45.24,45.46,62400000
2000-12-13,45.56,46.0,45.3,45.6,64900000
2000-12-14,45.36,46.38,44.76,44.76,78300000
2000-12-15,44.8,45.18,44.14,44.76,58750000
2000-12-18,44.8,45.34,44.44,45.22,400000
2000-12-19,44.9,44.94,44.42,44.54,52150000
2000-12-20,44.34,44.54,43.4,43.52,38200000
2000-12-21,43.52,44.62,43.42,43.42,51600000
2000-12-22,43.4,44.56,43.3,43.7,62650000
2000-12-26,43.8,44.38,43.52,43.98,68800000
2000-12-27,43.9,45.12,43.84,45.12,55400000
2000-12-28,44.7,46.56,44.7,46.1,54100000
2000-12-29,46.44,47.5,45.84,47.08,90750000
2001-01-02,47.46,49.5,47.3,48.22,230200000
2001-01-03,48.22,48.6,46.2,46.7,110450000
2001-01-04,46.6,46.8,45.04,45.88,110950000
