,open,high,low,close,volume
2000-08-11,534.375,547.5,532.0313,543.2813,973693
2000-08-14,551.25,556.4063,540.0,555.0,714600
2000-08-15,555.9375,557.8125,547.9688,554.5313,682013
2000-08-16,556.875,561.0938,544.6875,548.9063,855053
2000-08-17,547.5,564.375,546.5625,560.625,908026
2000-08-18,564.375,564.8438,556.875,560.8594,664240
2000-08-21,562.5,576.5625,561.5625,576.5625,1010240
2000-08-22,576.5625,587.3438,571.875,579.8438,1517453
2000-08-23,577.5,580.3125,548.7891,565.3125,1024346
2000-08-24,576.5625,578.4375,569.0625,575.625,744026
2000-08-25,575.625,583.125,569.0625,569.5313,569133
2000-08-28,570.0,591.25,568.75,588.75,770180
2000-08-29,582.5,583.75,570.625,580.0,767870
2000-08-30,576.25,585.0,568.125,580.0,735420
2000-08-31,572.5,587.5,572.5,583.9063,768020
2000-09-01,586.25,590.625,571.875,575.0,715170
2000-09-05,576.875,587.5,573.125,575.625,690080
2000-09-06,565.625,575.0,540.0,549.2188,2870960
2000-09-07,549.375,551.875,535.625,547.5,2154030
2000-09-08,545.625,565.0,543.75,565.0,1709180
2000-09-11,565.0,567.5,555.625,567.5,984610
2000-09-12,571.25,571.25,559.375,565.0,897020
2000-09-13,557.5,563.75,547.5,557.5,954260
2000-09-14,563.75,566.875,555.0,562.1875,1052950
2000-09-15,562.5,563.125,546.875,550.625,1347880
2000-09-18,541.875,545.625,530.625,535.0,1017440
2000-09-19,539.375,544.375,535.625,542.5,989330
2000-09-20,542.5,542.5,518.125,531.875,1033310
2000-09-21,526.25,532.5,512.5,515.0,1186080
2000-09-22,530.625,532.5,517.5,527.5,1339860
2000-09-25,533.125,547.5,531.875,541.25,960790
2000-09-26,535.625,548.125,534.375,535.0,936580
2000-09-27,538.75,541.875,511.25,511.25,1036250
2000-09-28,525.625,541.25,520.0,534.375,1209020
2000-09-29,545.0,549.375,534.375,540.625,1212670
2000-10-02,540.625,554.375,535.625,553.75,1112640
2000-10-03,555.625,571.25,555.0,568.75,1459220
2000-10-04,561.25,567.5,540.0,547.5,1398130
2000-10-05,547.5,565.0,547.5,561.25,1147190
2000-10-06,566.875,566.875,525.625,535.0,1471290
2000-10-09,534.375,536.875,523.125,526.25,630070
2000-10-10,526.25,527.5,500.0,510.0,1712620
2000-10-11,500.625,504.375,481.875,495.0,2250900
2000-10-12,490.0,494.375,450.0,467.5,2853370
2000-10-13,467.5,505.0,467.5,498.125,1576910
2000-10-16,493.75,512.5,487.5,508.125,1213500
2000-10-17,518.125,527.5,483.125,493.75,1523680
2000-10-18,451.875,507.5,445.0,495.625,2100090
2000-10-19,506.875,519.375,504.375,513.125,1150910
2000-10-20,512.5,526.875,507.5,509.375,1032490
2000-10-23,511.25,517.5,498.125,504.375,821740
2000-10-24,511.875,523.75,509.375,516.875,1043840
2000-10-25,519.375,533.75,502.5,506.25,1073490
2000-10-26,508.75,513.125,475.0,490.0,1508920
2000-10-27,499.375,508.75,492.5,502.5,1303190
2000-10-30,503.125,523.75,502.5,515.625,928690
2000-10-31,521.25,530.0,518.75,526.25,1123340
2000-11-01,520.0,526.875,509.375,516.875,1194390
2000-11-02,525.0,541.25,521.25,530.625,1228270
2000-11-03,538.75,541.875,529.375,539.375,977920
2000-11-06,547.5,555.625,545.625,548.75,1012430
2000-11-07,548.75,558.125,545.625,547.5,709380
2000-11-08,545.0,545.625,528.125,530.625,1105180
2000-11-09,526.25,533.75,515.0,526.875,1295750
2000-11-10,522.5,533.125,515.0,515.0,972480
2000-11-13,502.5,511.25,486.25,505.0,1419740
2000-11-14,510.625,521.25,500.625,507.5,1108110
2000-11-15,502.5,518.125,496.875,501.875,1240140
2000-11-16,501.875,521.875,500.0,516.875,991040
2000-11-17,515.625,528.125,506.25,511.0938,1210410
2000-11-20,514.375,518.125,491.875,493.75,1131630
2000-11-21,490.625,493.75,471.25,491.25,1845850
2000-11-22,483.125,485.625,465.0,470.625,1367540
2000-11-24,481.875,482.5,473.125,473.125,493680
2000-11-27,481.25,483.75,473.125,474.375,1112090
2000-11-28,474.375,489.375,470.625,476.25,1229220
2000-11-29,481.25,498.125,476.25,494.375,1129110
2000-11-30,491.25,506.875,480.625,498.125,2204010
2000-12-01,508.75,512.5,485.0,489.375,1325230
2000-12-04,484.375,487.5,467.5,478.125,1669640
2000-12-05,488.125,510.0,479.375,507.5,1797820
2000-12-06,508.75,525.625,487.5,497.5,2296220
2000-12-07,485.0,505.625,483.75,497.5,957890
2000-12-08,504.375,524.375,504.375,515.0,1343700
2000-12-11,524.375,532.5,520.0,528.75,1349610
2000-12-12,526.875,528.125,516.25,526.25,1138370
2000-12-13,530.0,536.875,516.875,530.0,1227410
2000-12-14,513.75,519.375,503.75,507.5,1342750
2000-12-15,498.125,507.5,480.625,480.625,2604500
2000-12-18,492.5,503.125,491.875,493.75,1700980
2000-12-19,494.375,510.0,490.0,502.5,2484740
2000-12-20,496.25,500.0,476.875,480.0,1608050
2000-12-21,478.75,495.0,472.5,487.5,1567150
2000-12-22,496.875,503.75,488.75,500.625,1007610
2000-12-26,509.375,514.375,506.875,509.375,725720
2000-12-27,498.125,512.5,498.125,508.75,899150
2000-12-28,515.625,520.625,510.625,512.5,978930
2000-12-29,517.5,521.875,510.0,510.625,931420
2001-01-02,517.5,518.75,500.625,505.0,1324690
2001-01-03,505.0,550.0,503.75,549.375,3399110
2001-01-04,551.25,573.75,549.375,556.875,2825980
2001-01-05,552.5,555.625,525.0,536.875,2292640
2001-01-08,536.25,541.25,527.5,533.75,1213830
2001-01-09,533.75,538.125,521.25,521.875,1328900
2001-01-10,520.625,543.75,518.75,539.375,1526410
2001-01-11,540.0,553.125,537.5,550.0,1390300
2001-01-12,547.5,548.125,523.125,531.25,1345940
2001-01-16,525.625,548.75,520.0,546.875,1479140
2001-01-17,545.0,549.375,530.625,538.125,1350480
2001-01-18,539.375,542.5,533.75,542.5,1414600
2001-01-19,542.5,548.75,540.0,543.75,1209900
2001-01-22,546.875,552.5,530.0,538.75,1570940
2001-01-23,542.5,554.375,538.125,548.75,1174820
2001-01-24,551.875,563.125,545.625,558.125,1573560
2001-01-25,560.0,566.25,545.0,553.125,1262110
2001-01-26,553.75,557.5,545.625,551.875,1237110
2001-01-29,557.0,564.0,554.0,562.0,948210
2001-01-30,565.0,565.4,555.1,562.0,1210210
2001-01-31,567.0,569.9,552.0,559.7,1559030
2001-02-01,557.5,566.0,555.3,561.1,1031170
2001-02-02,561.1,566.9,550.0,554.6,865460
2001-02-05,562.0,565.0,555.1,563.0,896000
2001-02-06,563.0,563.0,550.0,551.3,892830
2001-02-07,556.5,556.9,540.6,543.6,1011920
2001-02-08,547.5,549.7,537.5,541.0,972080
2001-02-09,544.5,545.0,535.0,540.5,1129400
2001-02-12,540.5,555.0,540.3,554.5,788880
2001-02-13,555.0,559.6,542.5,545.9,1085930
2001-02-14,547.0,548.4,535.0,536.5,1077070
2001-02-15,539.0,547.0,535.6,540.7,981590
2001-02-16,534.0,549.5,533.7,540.0,1120440
2001-02-20,540.1,542.9,507.5,512.0,1362260
2001-02-21,505.1,513.0,479.5,483.0,1835370
2001-02-22,484.5,491.8,463.0,486.0,2191980
2001-02-23,485.0,491.0,455.0,482.0,1772930
2001-02-26,485.0,503.0,482.2,503.0,1339590
2001-02-27,500.0,517.0,488.5,498.0,1629530
2001-02-28,500.0,502.0,484.0,491.8,1469710
2001-03-01,483.0,488.7,472.6,486.5,1447170
2001-03-02,482.0,494.9,475.2,480.0,1398630
2001-03-05,484.0,487.6,474.7,482.5,1201160
2001-03-06,494.0,497.5,483.3,486.3,1219910
2001-03-07,490.0,504.8,485.2,504.5,1000850
2001-03-08,504.5,515.0,500.0,507.5,1109100
2001-03-09,502.5,502.6,488.0,491.3,1090310
2001-03-12,477.5,482.0,462.5,471.0,1782150
2001-03-13,470.5,483.9,463.0,483.9,1990270
2001-03-14,455.0,468.5,441.0,449.0,2535130
2001-03-15,459.5,469.0,458.5,464.0,1766200
2001-03-16,460.5,472.7,455.0,455.0,2023750
2001-03-19,460.5,467.5,446.5,463.0,1308160
2001-03-20,469.5,469.5,437.5,443.0,1696210
2001-03-21,443.1,450.0,415.9,422.5,2109140
2001-03-22,418.0,421.5,390.0,406.0,3046000
2001-03-23,415.0,431.0,412.5,428.5,1957780
2001-03-26,436.0,444.0,431.2,442.0,1384670
2001-03-27,443.5,465.0,431.5,464.5,2087950
2001-03-28,457.0,458.0,445.5,451.0,1438250
2001-03-29,448.0,453.8,442.2,447.0,1119100
2001-03-30,446.5,450.5,436.0,449.8,1717440
2001-04-02,445.5,462.5,441.0,460.7,1566130
2001-04-03,448.0,454.5,430.6,437.0,1508210
2001-04-04,432.5,439.5,414.0,427.0,2094130
2001-04-05,438.6,450.0,435.0,450.0,1628510
2001-04-06,444.0,447.3,427.5,427.5,1656870
2001-04-09,434.5,440.0,427.0,428.3,1116570
2001-04-10,442.0,460.0,440.5,454.0,1634650
2001-04-11,465.0,475.0,460.0,463.4,1369290
2001-04-12,461.7,474.2,460.0,473.0,962380
2001-04-16,479.0,481.0,462.0,469.5,1155850
2001-04-17,469.0,479.3,462.5,479.2,1021100
2001-04-18,486.0,524.9,483.0,500.5,2272810
2001-04-19,498.0,514.4,497.1,503.0,1486120
2001-04-20,502.9,502.9,485.5,494.2,1422160
2001-04-23,494.5,494.5,480.5,484.9,1055140
2001-04-24,488.5,498.0,482.1,487.0,1033500
2001-04-25,487.5,497.0,482.6,493.0,1000940
2001-04-26,492.8,503.5,490.1,495.1,1009940
2001-04-27,504.5,510.0,498.6,509.1,1060750
2001-04-30,514.8,514.8,491.5,491.5,1137190
2001-05-01,492.0,504.7,489.3,504.0,977700
2001-05-02,504.0,510.3,499.0,506.0,1055420
2001-05-03,500.0,510.0,495.1,510.0,950230
2001-05-04,500.0,512.5,497.5,507.8,1091390
2001-05-07,500.5,508.6,497.0,506.5,877060
2001-05-08,506.5,506.5,496.0,498.0,899160
2001-05-09,491.0,496.0,489.1,494.5,893870
2001-05-10,500.0,501.8,494.6,496.0,929690
2001-05-11,499.5,501.3,489.1,492.6,684960
2001-05-14,492.6,501.0,491.0,501.0,793440
2001-05-15,503.3,510.0,501.5,505.5,929390
2001-05-16,505.5,520.0,500.0,517.9,1363010
