,open,high,low,close,volume
2000-08-11,25.0,25.25,24.6875,24.875,4846800
2000-08-14,25.0,25.625,24.875,25.375,2943100
2000-08-15,25.8125,25.9375,25.1875,25.5625,2902600
2000-08-16,25.75,26.75,25.6875,26.5,3933100
2000-08-17,26.4375,27.25,26.3125,27.1875,4354500
2000-08-18,27.5625,28.9375,27.375,28.4375,5953300
2000-08-21,29.6875,30.0,28.875,30.0,4887800
2000-08-22,29.5,30.375,29.375,30.0,3591200
2000-08-23,30.0,31.4375,29.5,30.0,3542800
2000-08-24,30.0625,30.3125,29.875,29.9375,2473200
2000-08-25,29.9375,29.9375,28.8125,28.9375,2343200
2000-08-28,29.75,31.875,29.375,31.5,5583900
2000-08-29,32.25,34.25,32.125,33.0,7255000
2000-08-30,33.0625,33.3125,32.0625,32.5,3566800
2000-08-31,32.75,33.0625,31.5,32.375,3400200
2000-09-01,32.0,32.125,31.4375,32.0,2567400
2000-09-05,32.0625,32.625,31.8125,31.9375,2197500
2000-09-06,32.0,32.25,31.25,31.75,2049700
2000-09-07,31.875,32.6875,31.875,32.5625,2550800
2000-09-08,32.75,33.0,31.6875,31.75,2452900
2000-09-11,30.0,30.6875,29.4375,29.875,4384900
2000-09-12,29.25,29.9375,29.125,29.1875,3524900
2000-09-13,29.0,29.0625,27.625,28.25,6318000
2000-09-14,28.25,28.9375,26.5,27.5,6833200
2000-09-15,27.0,28.6875,27.0,28.4375,5387300
2000-09-18,27.6875,28.375,27.0625,27.375,3494100
2000-09-19,27.375,27.75,27.0,27.5,3060100
2000-09-20,27.375,27.4375,26.375,27.0,2903600
2000-09-21,27.375,27.375,25.0,25.0,1768500
2000-09-22,25.75,26.6875,24.75,26.5,3559900
2000-09-25,26.3125,26.875,25.875,26.1875,3186900
2000-09-26,26.1875,27.125,26.0625,26.625,3446700
2000-09-27,26.75,26.875,24.875,25.25,4336700
2000-09-28,25.25,27.0,25.25,26.875,4375900
2000-09-29,26.0,26.0,25.0,25.3125,5990900
2000-10-02,25.3125,25.6875,24.875,24.875,2133600
2000-10-03,25.25,26.1875,24.375,24.4375,5229200
2000-10-04,24.625,28.5,23.625,28.0625,13511800
2000-10-05,28.0,28.3125,27.4375,27.9375,3275500
2000-10-06,27.8125,28.25,26.625,27.0,2411400
2000-10-09,27.25,27.6875,27.0,27.5625,1757800
2000-10-10,27.625,27.6875,26.9375,27.4375,2045700
2000-10-11,27.0,27.1875,25.875,26.25,3163400
2000-10-12,26.375,26.75,25.0625,25.25,2556400
2000-10-13,25.25,26.0625,25.0625,25.9375,2481700
2000-10-16,26.0,26.125,25.125,25.4375,2200900
2000-10-17,25.5625,25.625,24.625,25.0,1951500
2000-10-18,24.625,25.0625,23.875,24.375,3295300
2000-10-19,24.5,26.125,24.4375,25.8125,2024600
2000-10-20,25.25,26.9375,25.25,26.375,2085500
2000-10-23,26.3125,26.375,25.4375,25.625,3222800
2000-10-24,26.0625,27.0,25.8125,26.6875,2719600
2000-10-25,26.6875,29.3125,25.25,28.6875,9725300
2000-10-26,29.0,31.3125,28.8125,31.0,8856100
2000-10-27,31.0,31.125,30.5625,31.125,4348400
2000-10-30,30.625,31.8125,30.5625,31.25,3823900
2000-10-31,31.0,32.0,31.0,31.875,2431600
2000-11-01,31.6875,32.1875,31.25,32.0625,2677600
2000-11-02,32.0,33.625,32.0,33.3125,2987700
2000-11-03,33.0625,33.1875,31.0,32.25,2699700
2000-11-06,32.4375,32.5,32.0625,32.3125,1248900
2000-11-07,32.1875,32.75,31.875,32.25,1253000
2000-11-08,32.25,32.4375,31.5,32.25,1589400
2000-11-09,31.375,32.4375,31.125,31.9375,2733300
2000-11-10,31.6875,31.6875,30.5,30.8125,2287300
2000-11-13,30.1875,30.25,28.9375,29.875,2511400
2000-11-14,30.25,30.8125,30.0,30.6875,1733600
2000-11-15,30.5,31.1875,30.3125,30.75,1194200
2000-11-16,30.75,30.9375,30.25,30.4375,1256900
2000-11-17,30.5,30.9375,29.8125,30.125,1515200
2000-11-20,30.0,30.0625,28.625,29.625,1567600
2000-11-21,29.625,29.875,28.5625,28.9375,1521900
2000-11-22,28.75,29.1875,27.0625,27.625,1659900
2000-11-24,28.1875,28.875,28.1875,28.6875,989100
2000-11-27,29.1875,29.1875,28.5,28.75,1521000
2000-11-28,28.5,28.5,26.8125,26.9375,1405200
2000-11-29,27.1875,27.25,26.0625,26.5625,1664600
2000-11-30,26.0,27.25,24.8125,26.125,2435400
2000-12-01,26.125,27.4375,26.0625,27.0,1831200
2000-12-04,26.8125,27.4375,26.5,26.625,2029500
2000-12-05,27.0,28.875,26.9375,28.5625,1745800
