,open,high,low,close,volume
2000-08-11,130.0,130.625,128.75,130.0,397320
2000-08-14,130.625,134.375,129.375,133.125,294380
2000-08-15,132.5,135.625,129.375,129.375,432390
2000-08-16,133.125,133.125,129.375,130.625,364980
2000-08-17,130.0,130.625,128.125,128.125,301400
2000-08-18,128.75,129.375,125.0,126.875,473110
2000-08-21,125.625,130.0,125.625,130.0,283940
2000-08-22,128.75,131.25,126.875,128.125,264470
2000-08-23,127.5,129.375,126.25,126.25,283250
2000-08-24,128.125,129.375,126.25,128.125,220510
2000-08-25,130.0,131.875,129.375,131.25,351180
2000-08-28,132.5,132.5,129.375,130.625,511990
2000-08-29,130.625,131.25,128.75,128.75,361190
2000-08-30,128.75,133.75,128.75,130.625,476080
2000-08-31,131.25,133.125,130.0,132.0313,544440
2000-09-01,132.5,133.75,129.375,129.375,273190
2000-09-05,130.0,148.75,128.75,148.75,379970
2000-09-06,130.0,133.125,130.0,130.0,341730
2000-09-07,130.625,131.25,129.375,130.0,294960
2000-09-08,130.0,131.25,127.5,127.5,347090
2000-09-11,130.0,131.875,128.75,130.625,215500
2000-09-12,129.375,130.625,127.5,130.0,219360
2000-09-13,128.125,128.75,126.25,128.125,280620
2000-09-14,127.5,129.375,125.0,126.25,220110
2000-09-15,125.625,127.5,123.75,126.875,260810
2000-09-18,125.0,126.25,120.0,120.0,340930
2000-09-19,121.875,122.5,117.5,117.5,428340
2000-09-20,118.75,119.375,112.5,115.0,531400
2000-09-21,116.875,116.875,106.25,112.5,661120
2000-09-22,108.75,112.5,106.25,107.5,539490
2000-09-25,110.0,110.625,106.875,107.5,398630
2000-09-26,108.75,109.375,106.25,107.5,233630
2000-09-27,109.375,111.25,105.0,106.25,359600
2000-09-28,106.875,112.5,106.25,112.5,306950
2000-09-29,111.25,111.25,107.5,108.75,266060
2000-10-02,109.375,109.375,105.0,106.25,374390
2000-10-03,107.5,107.5,101.25,101.875,318960
2000-10-04,101.875,105.625,100.625,103.75,467120
2000-10-05,104.375,107.5,103.75,104.375,393720
2000-10-06,104.375,104.375,97.5,98.75,593450
2000-10-09,99.375,100.0,97.5,100.0,210440
2000-10-10,100.0,101.25,95.0,96.875,399470
2000-10-11,96.25,96.25,91.25,94.375,576250
2000-10-12,95.0,95.0,88.125,91.875,353040
2000-10-13,90.625,91.875,87.5,90.625,335050
2000-10-16,91.875,96.875,90.625,95.0,375190
2000-10-17,94.375,96.25,88.75,89.375,343450
2000-10-18,85.625,86.25,81.25,85.0,542870
2000-10-19,93.125,98.75,89.375,97.5,1413330
2000-10-20,95.0,102.5,94.375,98.125,571620
2000-10-23,99.375,101.875,98.125,98.125,344770
2000-10-24,100.0,101.875,98.75,100.0,345700
2000-10-25,99.375,100.0,96.875,97.5,173140
2000-10-26,101.25,104.375,96.25,99.375,591980
2000-10-27,105.0,111.25,100.625,109.375,799930
2000-10-30,111.875,121.875,110.625,118.75,769730
2000-10-31,119.375,123.125,118.75,120.0,521650
2000-11-01,120.625,124.375,116.25,120.625,377930
2000-11-02,120.0,127.5,120.0,121.875,384510
2000-11-03,123.125,127.5,122.5,125.625,310740
2000-11-06,126.875,127.5,124.375,125.625,263980
2000-11-07,125.0,125.625,117.5,123.125,347670
2000-11-08,120.0,123.75,120.0,123.75,274540
2000-11-09,118.75,122.5,118.75,121.875,350170
2000-11-10,120.0,121.875,119.375,120.0,311330
2000-11-13,116.875,118.125,107.5,115.0,577160
2000-11-14,112.5,113.75,106.25,106.875,825340
2000-11-15,106.875,110.0,104.375,109.375,704670
2000-11-16,108.75,108.75,103.75,105.625,2512980
2000-11-17,105.625,106.25,100.0,101.25,551640
2000-11-20,101.875,102.5,96.25,98.75,279620
2000-11-21,98.125,98.75,95.0,97.5,369930
2000-11-22,95.625,96.25,89.375,92.5,665580
2000-11-24,96.25,97.5,93.75,96.25,141340
2000-11-27,96.875,98.125,93.125,93.75,468930
2000-11-28,95.625,98.75,95.0,95.625,340630
2000-11-29,94.375,95.625,92.5,94.375,404340
2000-11-30,93.75,94.375,87.5,91.875,485310
2000-12-01,93.125,94.375,91.25,92.5,336740
2000-12-04,91.875,92.5,87.5,88.75,279920
2000-12-05,88.125,93.75,86.875,93.75,776970
2000-12-06,93.75,94.375,91.875,93.125,410580
2000-12-07,92.5,93.125,90.0,91.875,336910
2000-12-08,93.75,93.75,91.25,93.125,382020
2000-12-11,92.5,101.875,91.25,100.625,370100
2000-12-12,100.0,105.0,100.0,103.75,393040
2000-12-13,108.125,109.375,105.625,107.5,478530
2000-12-14,106.25,106.875,103.125,105.625,259260
2000-12-15,101.25,103.125,98.75,100.625,334120
2000-12-18,99.375,102.5,96.875,100.625,318630
2000-12-19,98.125,100.0,94.375,96.25,353350
2000-12-20,89.375,95.0,86.25,95.0,697970
2000-12-21,90.0,91.875,88.125,89.375,406300
2000-12-22,89.375,94.375,89.375,93.75,474300
2000-12-26,93.125,95.0,90.0,90.625,377210
2000-12-27,91.875,96.25,91.25,93.75,711260
2000-12-28,93.75,94.375,91.25,93.75,573380
2000-12-29,93.125,98.125,91.25,96.25,1072770
2001-01-02,97.5,100.0,96.25,96.25,290390
2001-01-03,98.125,115.625,98.125,113.125,1006080
2001-01-04,112.5,118.125,110.0,113.125,766860
2001-01-05,116.25,116.875,108.75,112.5,499420
2001-01-08,113.125,116.25,108.75,110.0,518350
2001-01-09,110.625,113.75,110.0,111.875,433860
2001-01-10,112.5,116.875,111.25,116.25,307900
2001-01-11,114.375,119.375,113.75,118.75,286100
2001-01-12,118.75,125.0,117.5,125.0,486700
2001-01-16,123.125,124.375,120.625,123.75,230180
2001-01-17,123.75,129.375,123.125,128.125,481050
2001-01-18,124.375,140.0,124.375,133.75,892300
2001-01-19,133.125,133.75,128.125,130.625,489670
2001-01-22,128.75,131.25,125.625,128.75,312590
2001-01-23,128.75,132.5,128.125,131.875,324110
2001-01-24,132.5,136.25,131.25,132.5,449930
2001-01-25,133.75,136.875,128.75,130.0,423020
2001-01-26,129.375,130.0,126.25,126.25,298950
2001-01-29,126.3,131.0,125.4,128.60001,304610
2001-01-30,129.0,131.89999,128.7,130.0,355570
2001-01-31,130.0,130.8,127.7,128.10001,221690
2001-02-01,128.10001,134.89999,128.10001,133.0,479660
2001-02-02,133.0,134.39999,122.6,131.8,334130
2001-02-05,131.5,133.5,130.10001,132.8,445730
2001-02-06,132.8,133.3,131.5,132.0,415500
2001-02-07,140.0,141.0,135.0,138.0,1301540
2001-02-08,133.0,135.0,132.5,133.10001,3742070
2001-02-09,133.10001,133.7,129.7,131.89999,949520
2001-02-12,131.89999,134.5,131.5,134.5,601060
2001-02-13,135.5,137.3,134.89999,135.89999,1007590
2001-02-14,136.89999,139.8,135.7,137.5,924810
2001-02-15,137.5,139.2,137.0,138.0,596580
2001-02-16,137.89999,137.89999,135.60001,137.8,439770
2001-02-20,137.8,139.8,133.0,135.3,655170
2001-02-21,133.0,133.89999,130.0,131.2,680830
2001-02-22,131.0,133.0,129.89999,132.0,620920
2001-02-23,130.0,131.0,124.7,130.10001,687670
2001-02-26,132.5,132.5,130.0,131.3,592360
2001-02-27,130.3,132.8,130.3,131.3,661460
2001-02-28,131.5,132.0,128.7,130.8,359260
2001-03-01,130.0,131.5,129.8,131.0,599090
2001-03-02,131.10001,133.89999,130.60001,132.3,643390
2001-03-05,134.0,135.8,133.5,134.0,520450
2001-03-06,136.5,136.89999,134.3,135.60001,558760
2001-03-07,135.89999,144.8,135.8,141.89999,1595130
2001-03-08,145.0,148.89999,140.5,147.60001,1882520
2001-03-09,147.5,147.89999,143.0,147.3,613760
2001-03-12,144.5,145.5,138.60001,139.60001,477640
2001-03-13,139.89999,144.8,139.89999,144.3,772810
2001-03-14,135.0,146.10001,135.0,142.2,954220
2001-03-15,145.0,145.5,142.0,143.60001,755270
2001-03-16,139.0,145.60001,138.8,145.3,769320
2001-03-19,145.0,149.89999,143.2,147.39999,799820
2001-03-20,148.0,148.60001,142.10001,143.0,366880
2001-03-21,142.5,146.3,135.39999,135.7,720670
2001-03-22,135.2,138.0,127.0,131.60001,1257640
2001-03-23,136.0,138.0,131.89999,135.3,573820
2001-03-26,137.5,142.5,136.0,139.5,625380
2001-03-27,141.5,143.0,138.89999,143.0,436390
2001-03-28,143.0,147.5,140.5,142.5,1150510
2001-03-29,142.60001,146.3,142.5,145.0,642560
2001-03-30,151.0,151.39999,145.5,145.89999,974610
2001-04-02,146.5,147.89999,142.60001,144.2,543170
2001-04-03,142.5,143.0,137.5,138.89999,488240
2001-04-04,140.5,141.5,138.60001,140.0,489960
2001-04-05,142.5,145.0,142.0,145.0,615080
2001-04-06,145.0,146.2,141.5,145.0,458680
2001-04-09,144.0,154.89999,143.8,154.5,1552510
2001-04-10,155.0,159.10001,152.0,157.10001,1233800
2001-04-11,159.0,159.39999,151.0,154.5,689210
2001-04-12,149.5,155.39999,149.5,154.8,564220
2001-04-16,155.89999,158.5,154.60001,157.0,429850
2001-04-17,157.0,164.0,156.0,164.0,1222170
2001-04-18,165.0,174.0,164.60001,168.89999,1639280
2001-04-19,169.5,179.89999,169.39999,179.89999,1850180
2001-04-20,173.5,177.39999,172.5,173.60001,710950
2001-04-23,170.5,172.8,167.7,171.0,1205520
2001-04-24,170.0,174.89999,169.5,170.89999,520490
2001-04-25,171.0,175.3,170.2,173.7,767270
2001-04-26,176.8,181.5,174.5,177.5,910610
2001-04-27,179.2,181.8,176.3,181.5,403550
2001-04-30,173.5,177.8,172.0,177.39999,1886560
2001-05-01,177.5,177.5,173.5,174.0,880360
2001-05-02,176.5,179.89999,173.8,179.0,992790
2001-05-03,177.0,177.89999,173.3,175.60001,475370
2001-05-04,173.0,177.0,172.0,176.5,371720
2001-05-07,176.5,180.3,175.10001,179.89999,586340
2001-05-08,179.89999,181.5,177.8,178.39999,616610
2001-05-09,178.10001,180.5,177.8,179.39999,576820
2001-05-10,180.0,180.0,174.0,174.8,311710
2001-05-11,175.39999,176.0,167.60001,171.0,562330
2001-05-14,169.0,173.2,168.0,173.2,476450
2001-05-15,172.8,180.2,172.5,179.0,725150
2001-05-16,174.0,181.39999,173.39999,181.0,886140
2001-05-17,180.0,181.3,178.0,178.2,542080
2001-05-18,177.5,180.89999,176.89999,179.3,412750
2001-05-21,178.0,184.8,177.89999,182.0,545480
2001-05-22,184.5,190.0,183.0,189.5,1013260
2001-05-23,188.5,190.0,185.7,186.39999,411770
2001-05-24,186.0,191.10001,183.5,190.3,511490
2001-05-25,190.2,195.0,187.3,188.7,463500
2001-05-29,187.5,188.5,184.89999,187.5,431900
2001-05-30,187.60001,189.5,185.89999,189.5,622560
2001-05-31,189.5,192.89999,188.0,191.8,945440
2001-06-01,190.5,191.5,188.5,189.8,461740
2001-06-04,189.8,190.10001,187.5,190.0,285100
2001-06-05,190.5,193.89999,189.7,192.2,502450
2001-06-06,190.2,191.7,182.7,184.8,589980
2001-06-07,186.0,186.0,177.2,180.89999,972300
2001-06-08,182.89999,184.0,181.0,184.0,476310
2001-06-11,183.0,184.5,182.10001,182.60001,240480
2001-06-12,177.7,186.5,176.10001,182.7,727540
2001-06-13,183.0,186.0,183.0,185.0,446850
2001-06-14,185.5,188.8,184.3,186.0,620740
2001-06-15,186.0,186.0,182.89999,184.5,1258240
2001-06-18,180.60001,192.39999,179.3,190.2,1399170
2001-06-19,195.0,198.0,193.60001,195.60001,1400180
2001-06-20,195.60001,200.0,195.2,200.0,1026000
2001-06-21,199.0,203.7,198.0,203.7,885500
2001-06-22,203.7,203.7,199.5,200.3,753460
2001-06-25,202.3,202.3,196.7,197.7,714340
2001-06-26,194.2,201.5,194.10001,201.2,562970
2001-06-27,200.0,201.39999,197.5,197.5,593730
2001-06-28,197.5,200.89999,194.89999,196.5,792940
2001-06-29,199.89999,200.60001,195.0,195.0,717050
2001-07-02,198.5,201.5,198.10001,201.10001,550660
2001-07-03,204.89999,205.0,199.3,202.3,763770
2001-07-05,202.3,209.5,201.0,209.0,1102020
2001-07-06,210.0,210.10001,202.5,205.0,704650
2001-07-09,203.0,204.5,201.3,202.5,637410
2001-07-10,202.5,204.5,200.10001,201.39999,617790
2001-07-11,200.2,206.89999,199.60001,206.3,599000
2001-07-12,209.0,209.0,204.5,207.5,608860
2001-07-13,207.5,209.39999,204.0,208.10001,488750
2001-07-16,207.5,207.5,204.7,205.2,337810
2001-07-17,202.7,207.0,202.7,205.2,568370
2001-07-18,205.2,206.3,201.10001,201.7,870300
2001-07-19,204.89999,215.3,204.89999,215.3,1841430
2001-07-20,205.5,212.0,205.5,211.89999,3955560
2001-07-23,211.5,211.8,206.7,207.39999,520550
2001-07-24,206.0,206.89999,202.5,204.10001,503820
2001-07-25,205.0,206.89999,202.5,206.7,416200
2001-07-26,205.0,207.0,201.2,204.89999,570480
2001-07-27,203.5,209.2,203.2,208.2,437900
2001-07-30,208.2,208.2,203.3,205.10001,571400
2001-07-31,205.0,205.10001,201.10001,203.5,790140
2001-08-01,204.89999,204.89999,194.5,197.3,1812480
2001-08-02,196.89999,197.5,191.0,195.0,1073810
2001-08-03,195.0,195.10001,191.0,195.0,689030
2001-08-06,195.5,197.2,194.3,195.89999,408180
2001-08-07,195.10001,200.0,194.10001,200.0,685980
2001-08-08,198.5,200.60001,196.10001,198.7,846200
2001-08-09,197.10001,200.0,193.2,193.8,708070
2001-08-10,192.5,193.60001,185.0,192.0,688250
2001-08-13,192.10001,197.39999,190.0,196.2,875830
2001-08-14,197.0,201.5,196.7,199.5,714970
2001-08-15,199.5,203.2,199.0,203.10001,681360
2001-08-16,202.5,203.5,201.0,201.5,642270
2001-08-17,201.5,201.60001,199.60001,200.39999,999920
2001-08-20,200.39999,200.39999,197.5,200.3,412540
2001-08-21,201.0,206.60001,199.7,205.2,1080100
2001-08-22,205.60001,206.3,200.0,203.8,460560
2001-08-23,203.8,208.0,203.0,207.7,659740
2001-08-24,207.7,208.0,205.5,206.10001,532260
2001-08-27,206.10001,206.10001,200.7,201.2,349930
2001-08-28,199.10001,199.89999,195.39999,197.0,579290
2001-08-29,196.89999,198.7,193.0,193.5,343750
2001-08-30,191.2,194.0,185.10001,190.5,696910
2001-08-31,189.2,192.39999,187.0,190.7,423210
2001-09-04,192.5,192.5,188.10001,188.7,307870
2001-09-05,188.7,189.7,183.3,186.0,826350
2001-09-06,182.0,185.89999,181.89999,182.60001,568200
2001-09-07,180.2,181.5,170.7,175.0,1221380
2001-09-10,172.5,178.89999,171.3,177.60001,836300
2001-09-17,130.3,180.0,129.10001,144.0,3808210
2001-09-18,139.0,146.0,137.5,139.0,1390100
2001-09-19,139.0,140.89999,122.0,125.0,2421310
2001-09-20,119.0,119.9,112.5,116.9,2228170
2001-09-21,110.0,116.9,106.0,110.3,1361250
2001-09-24,115.0,128.60001,113.0,115.4,1987620
2001-09-25,117.0,122.5,113.0,121.5,1141490
2001-09-26,120.5,120.9,114.5,115.9,987060
2001-09-27,116.0,117.5,110.6,114.4,1264680
2001-09-28,120.0,130.8,120.0,128.0,2705410
2001-10-01,128.0,129.39999,125.0,126.7,1138880
2001-10-02,124.5,126.5,118.1,121.8,1427120
2001-10-03,125.4,131.5,123.5,129.0,1537110
2001-10-04,132.5,132.8,129.0,131.7,1139830
2001-10-05,131.7,132.0,125.2,130.0,667670
2001-10-08,129.0,129.0,118.8,121.5,1017960
2001-10-09,123.9,124.5,119.2,120.4,855710
2001-10-10,120.1,125.8,120.1,124.8,493650
2001-10-11,129.8,138.0,127.4,136.5,1476360
2001-10-12,133.5,137.0,131.5,136.3,663890
2001-10-15,134.0,135.39999,129.5,130.5,877930
2001-10-16,133.5,134.39999,128.3,130.5,894970
2001-10-17,135.5,135.5,127.7,128.5,846030
2001-10-18,128.5,131.0,125.6,130.3,568650
2001-10-19,130.3,132.2,128.60001,131.39999,549890
2001-10-22,131.39999,136.2,131.0,134.5,497150
2001-10-23,134.5,140.10001,134.5,138.10001,835360
2001-10-24,145.0,145.5,133.10001,137.5,1245950
2001-10-25,135.5,137.10001,132.8,136.0,705970
2001-10-26,135.89999,140.39999,135.3,138.5,538750
2001-10-29,136.0,139.5,132.5,134.10001,442460
2001-10-30,133.10001,134.5,128.3,128.89999,620750
2001-10-31,130.0,131.39999,126.3,129.60001,524820
2001-11-01,130.0,134.8,128.0,133.7,578230
2001-11-02,133.7,134.60001,130.2,134.60001,338490
