,open,high,low,close,volume
2004-06-10,6.33333,6.33667,6.03333,6.11667,35097600
2004-06-14,6.08333,6.12667,6.05333,6.06667,2313600
2004-06-15,6.07,6.25,6.07,6.25,2499600
2004-06-16,6.25,6.36667,6.25,6.33333,2810100
2004-06-17,6.35333,6.36667,6.26667,6.35,1390200
2004-06-18,6.35,6.39667,6.33333,6.34333,708300
2004-06-21,6.33,6.36667,6.3,6.36333,508500
2004-06-22,6.33,6.36333,6.3,6.35333,1125900
2004-06-23,6.28333,6.29667,6.15667,6.29667,1033500
2004-06-24,6.26667,6.35,6.25,6.33333,857700
2004-06-25,6.33333,6.35,6.25,6.33333,809100
2004-06-28,6.25,6.35667,6.21667,6.33333,1184400
2004-06-29,6.33333,6.36667,6.33333,6.36667,608700
2004-06-30,6.35,6.4,6.34667,6.36667,552600
2004-07-01,6.35,6.38333,6.33333,6.36667,380100
2004-07-02,6.35,6.38333,6.26667,6.38333,246600
2004-07-06,6.35333,6.36667,6.33333,6.36333,137100
2004-07-07,6.34,6.35,6.33333,6.35,181200
2004-07-08,6.36333,6.36333,6.33667,6.35,190500
2004-07-09,6.35,6.35667,6.33333,6.33333,226500
2004-07-12,6.33333,6.35,6.30333,6.30333,176700
2004-07-13,6.28333,6.35333,6.26,6.35333,578100
2004-07-14,6.34,6.37333,6.32333,6.36667,303600
2004-07-15,6.34333,6.35,6.30333,6.35,312900
2004-07-16,6.34333,6.36,6.3,6.3,268800
2004-07-19,6.3,6.33333,6.29333,6.33333,212700
2004-07-20,6.32667,6.34667,6.29,6.33333,505200
2004-07-21,6.32667,6.35,6.32333,6.33667,165000
2004-07-22,6.33333,6.40667,6.32333,6.40667,231000
2004-07-23,6.25,6.3,6.16333,6.3,1555800
2004-07-26,6.21667,6.26,6.21333,6.26,420900
2004-07-27,6.25667,6.28,6.25667,6.26,113700
2004-07-28,6.25333,6.30333,6.23333,6.28667,131100
2004-07-29,6.25667,6.3,6.25667,6.3,91800
2004-07-30,6.3,6.34667,6.27667,6.31333,1072200
2004-08-02,6.29667,6.34667,6.28333,6.34,203100
2004-08-03,6.34,6.40667,6.33333,6.39,222900
2004-08-04,6.35,6.36667,6.32667,6.35,386400
2004-08-05,6.5,6.66667,6.38667,6.57,1145100
2004-08-06,6.53333,6.53333,6.43333,6.47333,144900
2004-08-09,6.44,6.44,6.35667,6.36,469800
2004-08-10,6.33333,6.48,6.33333,6.43333,328800
2004-08-11,6.45,6.48,6.41667,6.43333,138900
2004-08-12,6.45,6.5,6.41667,6.41667,279600
2004-08-13,6.45,6.45333,6.37333,6.4,420300
2004-08-16,6.35,6.41667,6.35,6.38667,473700
2004-08-17,6.38667,6.39667,6.25667,6.28333,743400
2004-08-18,6.3,6.31667,6.26,6.30333,68100
2004-08-19,6.30333,6.40667,6.30333,6.37333,119700
2004-08-20,6.39333,6.46667,6.38,6.46667,150300
2004-08-23,6.43333,6.43667,6.35,6.39333,663300
2004-08-24,6.39667,6.44333,6.35,6.43333,185400
2004-08-25,6.45,6.46667,6.37333,6.44667,91800
2004-08-26,6.46667,6.49667,6.44667,6.48,188100
2004-08-27,6.48,6.49667,6.41667,6.44333,211800
2004-08-30,6.46,6.47667,6.42333,6.47333,63300
2004-08-31,6.47333,6.53333,6.46667,6.49667,717900
2004-09-01,6.53333,6.61333,6.53333,6.58,650400
2004-09-02,6.54667,6.66667,6.54667,6.65667,1025700
2004-09-03,6.66667,6.96667,6.63,6.86667,161100
2004-09-07,6.9,6.92333,6.84667,6.91333,445200
2004-09-08,6.83333,6.84333,6.76667,6.77333,191700
2004-09-09,6.85667,7.23667,6.85667,7.13333,963000
2004-09-10,7.16667,7.53333,7.16667,7.45333,961800
2004-09-13,7.61333,7.63333,7.45333,7.52,852000
2004-09-14,7.46667,7.63,7.44333,7.59,709200
2004-09-15,7.56,7.58333,7.48333,7.49667,530700
2004-09-16,7.49667,7.49667,7.35,7.39667,688800
2004-09-17,7.37667,7.37667,7.3,7.33333,565200
2004-09-20,7.36667,7.56,7.36667,7.46667,696600
2004-09-21,7.45,7.5,7.42333,7.45333,571200
2004-09-22,7.43333,7.5,7.42667,7.48333,474300
2004-09-23,7.48333,7.70333,7.44,7.64667,972600
2004-09-24,7.6,7.6,7.45333,7.53333,503700
