,open,high,low,close,volume
2000-08-11,20.3125,21.0,20.25,20.5,431000
2000-08-14,20.75,20.9375,20.5,20.875,298600
2000-08-15,20.75,20.9375,20.4375,20.625,476100
2000-08-16,20.375,20.5,19.8125,20.25,718700
2000-08-17,20.25,20.4375,20.0,20.0,745900
2000-08-18,19.75,20.1875,19.75,20.0,776900
2000-08-21,20.0,20.25,19.8125,20.0,938400
2000-08-22,20.0,20.1875,19.8125,20.0625,495900
2000-08-23,20.0,20.1875,19.875,20.0625,380200
2000-08-24,20.0625,20.125,19.75,19.875,310200
2000-08-25,19.75,19.75,18.875,19.0625,558200
2000-08-28,19.125,20.625,19.0625,20.0625,1561800
2000-08-29,20.0625,20.125,18.75,19.1875,510400
2000-08-30,19.1875,19.625,18.9375,18.9375,561100
2000-08-31,18.6875,19.0,18.5,18.64063,881400
2000-09-01,18.625,19.5,18.5625,18.875,495200
2000-09-05,18.625,19.375,18.4375,18.9375,604000
2000-09-06,18.5625,19.1875,18.5625,19.0,1029800
2000-09-07,19.0,19.0,18.3125,18.375,446200
2000-09-08,18.25,18.3125,17.5,18.125,937200
2000-09-11,18.125,18.125,17.875,17.9375,411300
2000-09-12,17.9375,18.375,17.75,18.3125,357200
2000-09-13,18.3125,18.3125,17.5625,17.8125,464900
2000-09-14,17.6875,17.8125,16.75,16.9375,994100
2000-09-15,17.0,17.875,16.875,16.875,980100
2000-09-18,17.0,17.125,16.625,16.75,634000
2000-09-19,16.75,16.75,16.5625,16.75,427300
2000-09-20,16.9375,16.9375,15.9375,16.0,2222400
2000-09-21,16.125,16.4375,16.0,16.125,635300
2000-09-22,16.25,16.8125,16.125,16.25,526300
2000-09-25,16.5,16.5,15.9375,15.9375,665600
2000-09-26,16.0,16.375,15.9375,16.25,506100
2000-09-27,16.3125,16.375,16.0625,16.3125,323300
2000-09-28,16.375,16.4375,16.125,16.3125,254500
2000-09-29,16.4375,16.4375,15.9375,15.9375,395700
2000-10-02,16.0,16.5625,16.0,16.4375,604400
2000-10-03,16.25,16.5625,16.1875,16.3125,474400
2000-10-04,16.375,16.625,15.875,16.0,335800
2000-10-05,16.3125,16.75,15.9375,16.125,733000
2000-10-06,16.3125,16.625,16.0625,16.0625,636400
2000-10-09,16.1875,16.5,16.125,16.125,387600
2000-10-10,16.3125,16.375,16.0625,16.0625,583700
2000-10-11,16.1875,16.25,15.75,15.9375,533900
2000-10-12,16.0,16.0625,15.375,15.5,870100
2000-10-13,15.6875,15.75,15.0625,15.25,699700
2000-10-16,15.5,15.625,15.125,15.25,486100
2000-10-17,15.75,17.5,15.625,17.4375,7046700
2000-10-18,17.4375,17.5,16.25,17.0625,548800
2000-10-19,16.875,17.3125,16.5625,17.3125,481800
2000-10-20,17.5625,17.625,16.6875,16.875,330900
2000-10-23,17.0,17.0,16.6875,16.8125,316300
2000-10-24,17.0,17.1875,16.8125,17.1875,457800
2000-10-25,17.4375,17.625,17.0625,17.1875,387300
2000-10-26,17.0625,17.5,16.875,17.4375,570100
2000-10-27,17.625,18.25,17.5,18.0625,767800
2000-10-30,18.25,18.375,17.8125,18.25,460200
2000-10-31,18.125,18.4375,17.875,18.375,353100
2000-11-01,18.375,19.0625,18.25,18.875,890100
2000-11-02,19.125,19.25,18.75,18.8125,1935000
2000-11-03,18.8125,19.125,18.8125,19.125,338800
2000-11-06,19.0625,19.3125,19.0625,19.3125,284000
2000-11-07,19.3125,19.4375,18.0625,18.4375,688400
2000-11-08,18.5625,18.875,18.3125,18.4375,534400
2000-11-09,18.5,19.375,18.5,19.25,479400
2000-11-10,19.25,19.9375,19.25,19.9375,894500
2000-11-13,20.0,20.0,18.9375,19.75,834400
2000-11-14,19.6875,19.9375,19.0625,19.8125,549400
2000-11-15,19.625,19.6875,19.25,19.5,451200
2000-11-16,19.6875,19.6875,19.3125,19.5625,275300
2000-11-17,19.625,19.6875,19.125,19.375,418500
2000-11-20,19.5,20.0,19.125,19.5,1149400
2000-11-21,19.3125,21.9375,19.3125,21.9375,2077400
2000-11-22,21.1875,21.1875,19.75,20.75,838000
2000-11-24,20.75,20.875,20.5625,20.75,180500
2000-11-27,20.5625,20.9375,20.25,20.875,403600
2000-11-28,20.9375,21.6875,20.875,21.625,769100
2000-11-29,21.5,22.0,21.3125,22.0,671600
2000-11-30,22.0,22.0,21.75,21.9375,705900
2000-12-01,21.625,21.6875,21.1875,21.375,682900
2000-12-04,21.25,21.625,21.125,21.25,605700
2000-12-05,21.125,22.375,21.0,22.1875,1939000
2000-12-06,22.25,22.4375,21.8125,22.375,368200
2000-12-07,22.25,23.125,22.125,22.9375,1375900
2000-12-08,21.0,21.0,19.6875,19.9375,1959300
2000-12-11,19.8125,19.8125,18.3125,18.4375,1177600
2000-12-12,18.5,18.8125,18.25,18.25,675600
2000-12-13,18.3125,18.6875,18.25,18.5625,348800
2000-12-14,18.4375,18.5,17.75,17.8125,408700
2000-12-15,17.625,18.0625,17.625,17.6875,973900
2000-12-18,17.9375,18.4375,17.625,18.125,364700
2000-12-19,18.25,18.6875,18.1875,18.4375,558700
2000-12-20,18.5,18.9375,18.1875,18.75,716400
2000-12-21,18.75,18.9375,18.5,18.625,399900
2000-12-22,18.5,19.1875,18.3125,18.8125,508000
2000-12-26,18.75,19.0625,18.625,18.625,288700
2000-12-27,18.75,19.0,18.625,18.9375,520100
2000-12-28,19.0625,19.125,18.6875,18.875,505000
2000-12-29,18.875,19.125,18.8125,19.0,330800
2001-01-02,18.8125,18.9375,18.375,18.375,265000
2001-01-03,18.625,19.0,18.3125,18.4375,594600
2001-01-04,18.375,18.625,17.90625,18.25,478500
2001-01-05,18.25,18.5625,18.0625,18.125,333000
2001-01-08,17.75,18.4375,17.625,18.0,511700
2001-01-09,18.0,18.4375,18.0,18.25,354300
2001-01-10,18.125,18.375,18.0,18.1875,405700
2001-01-11,18.25,18.3125,17.3125,17.3125,740300
2001-01-12,17.1875,17.875,17.1875,17.625,504600
2001-01-16,17.4375,17.875,17.0,17.1875,741600
2001-01-17,17.25,17.375,17.1875,17.25,468800
2001-01-18,17.1875,17.25,16.875,16.9375,479100
2001-01-19,16.9375,17.375,16.9375,17.25,707200
2001-01-22,17.5,18.0625,17.4375,17.9375,748800
2001-01-23,18.625,19.0,18.0625,18.8125,1253900
2001-01-24,18.8125,19.75,18.8125,19.5,824800
2001-01-25,19.75,19.75,19.3125,19.4375,636900
2001-01-26,19.4375,19.6875,19.3125,19.5,334900
2001-01-29,19.6,19.85,19.3,19.61,417700
2001-01-30,19.45,20.0,19.4,19.97,569900
2001-01-31,19.97,20.75,19.4,20.21,946300
2001-02-01,20.25,20.71,19.4,20.64,734700
2001-02-02,20.55,20.72,20.26,20.56,524000
2001-02-05,20.57,21.47,20.55,21.26,673200
2001-02-06,21.26,21.3,21.01,21.02,515600
2001-02-07,21.02,21.4,21.01,21.34,556500
2001-02-08,21.34,22.2,21.34,21.87,691700
2001-02-09,21.87,22.12,21.25,21.61,396400
2001-02-12,21.55,22.04,21.36,21.8,536700
2001-02-13,21.4,21.65,21.4,21.58,383500
2001-02-14,21.58,21.8,21.3,21.38,518100
2001-02-15,21.13,21.8,20.0,20.91,1236600
2001-02-16,21.16,21.98,21.0,21.98,805900
2001-02-20,21.97,22.0,21.55,21.89,619700
2001-02-21,21.88,23.0,21.63,22.83,1369800
2001-02-22,22.75,23.0,22.46,22.95,2022500
2001-02-23,22.9,22.9,21.45,21.75,631500
2001-02-26,22.0,22.9,21.55,22.57,816800
2001-02-27,22.7,22.84,22.35,22.55,638000
2001-02-28,22.8,22.98,22.35,22.7,762400
2001-03-01,23.1,23.9,22.8,23.64,1121300
2001-03-02,23.8,23.89,22.7,23.13,939500
2001-03-05,23.0,23.25,22.6,22.78,759200
2001-03-06,22.75,23.0,22.4,22.54,628900
2001-03-07,22.54,23.16,22.4,22.74,471600
2001-03-08,22.95,23.42,22.93,23.42,440100
2001-03-09,23.05,23.75,22.81,23.4,442900
2001-03-12,23.4,23.49,22.78,22.87,428300
2001-03-13,22.75,22.94,22.05,22.49,552900
2001-03-14,21.5,22.0,21.4,21.88,488300
2001-03-15,21.8,22.35,21.48,22.26,391900
2001-03-16,21.0,22.38,21.0,21.94,1122600
2001-03-19,21.95,22.31,21.76,21.97,426500
2001-03-20,21.95,21.95,21.32,21.42,403900
2001-03-21,21.2,21.35,20.8,21.03,378600
2001-03-22,20.5,21.15,20.34,21.07,896400
2001-03-23,21.07,21.3,20.33,21.29,614300
2001-03-26,21.29,21.44,21.0,21.3,533400
2001-03-27,21.25,21.54,21.21,21.54,503800
2001-03-28,21.5,21.8,21.02,21.12,436700
2001-03-29,17.75,18.4,17.75,18.1,2971300
2001-03-30,18.1,18.1,17.67,17.78,1249900
2001-04-02,17.78,17.93,17.65,17.78,1147600
2001-04-03,17.85,17.9,16.82,16.9,840400
2001-04-04,16.87,16.94,16.3,16.6,1104800
2001-04-05,16.8,16.8,16.0,16.26,3473200
2001-04-06,16.2,16.25,16.01,16.2,2054200
2001-04-09,16.2,16.35,16.07,16.21,1200900
2001-04-10,16.45,16.54,16.33,16.5,1498900
2001-04-11,16.3,16.7,15.88,16.36,3343300
2001-04-12,16.36,16.85,16.1,16.85,2081100
2001-04-16,16.9,18.4,16.9,17.9,1718800
2001-04-17,17.7,17.89,17.6,17.87,706200
2001-04-18,17.63,18.3,17.59,18.17,573200
2001-04-19,18.7,18.75,17.6,17.9,750500
2001-04-20,17.75,18.13,17.5,17.94,713900
2001-04-23,18.35,18.65,18.09,18.2,670900
2001-04-24,18.4,18.6,18.27,18.28,337800
2001-04-25,18.15,18.75,18.0,18.38,312700
2001-04-26,18.13,18.25,17.9,18.01,1094900
2001-04-27,18.01,18.68,18.0,18.63,851700
2001-04-30,18.63,18.73,18.1,18.13,535300
2001-05-01,18.05,18.67,18.05,18.57,473400
2001-05-02,18.32,18.43,17.5,18.03,854400
2001-05-03,18.0,18.1,17.4,17.61,426700
2001-05-04,17.3,17.99,17.25,17.85,394400
2001-05-07,17.8,18.25,17.6,18.0,820400
