,open,high,low,close,volume
2005-01-21,16.0,16.2,15.5,16.0,22144500
2005-01-24,16.05,16.08,16.0,16.0,3509900
2005-01-25,16.0,16.01,15.5,15.65,2995500
2005-01-26,15.55,15.63,15.5,15.59,1487500
2005-01-27,15.59,15.85,15.1,15.78,858300
2005-01-28,15.8,16.02,15.78,16.0,697300
2005-01-31,16.05,16.26,16.02,16.13,1641900
2005-02-01,16.13,16.28,16.0,16.2,838100
2005-02-02,16.2,16.34,16.16,16.2,759200
2005-02-03,16.21,16.21,15.99,16.01,729500
2005-02-04,16.04,16.07,16.0,16.04,926600
2005-02-07,16.03,16.1,15.75,15.75,1128300
2005-02-08,15.75,16.0,15.71,15.8,274900
2005-02-09,15.83,15.94,15.68,15.79,410500
2005-02-10,15.7,15.71,15.5,15.58,551600
2005-02-11,15.52,15.74,15.25,15.57,842000
2005-02-14,15.3,15.65,15.1,15.6,652500
2005-02-15,15.57,16.0,15.55,15.94,438400
2005-02-16,15.95,16.14,15.81,16.1,514800
2005-02-17,16.15,16.7,16.11,16.5,928500
2005-02-18,16.57,16.8,16.4,16.74,2403100
2005-02-22,16.52,16.79,16.37,16.45,782700
2005-02-23,16.4,16.75,16.35,16.6,474500
2005-02-24,16.51,16.75,16.45,16.75,482900
2005-02-25,16.75,17.27,16.75,17.27,1240600
2005-02-28,17.25,17.25,16.55,16.7,993300
2005-03-01,16.68,16.68,16.12,16.16,916800
2005-03-02,16.55,16.71,16.05,16.36,1275400
2005-03-03,16.5,16.7,16.25,16.25,836400
2005-03-04,16.4,16.76,16.35,16.51,1138700
2005-03-07,16.68,17.16,16.67,17.09,1395900
2005-03-08,17.45,17.45,17.2,17.25,1201500
2005-03-09,17.5,18.24,17.36,17.95,1465300
2005-03-10,17.95,18.09,17.39,17.9,966700
2005-03-11,18.05,18.08,17.9,18.0,722300
2005-03-14,18.03,18.16,17.42,17.85,1093100
2005-03-15,17.98,18.25,17.52,17.65,687800
2005-03-16,17.45,17.7,17.18,17.32,726300
2005-03-17,17.22,17.5,17.22,17.39,301200
2005-03-18,17.35,17.4,17.17,17.26,383200
2005-03-21,17.26,17.35,16.76,16.95,394800
2005-03-22,17.07,17.14,16.99,16.99,282500
2005-03-23,17.0,17.3,16.7,16.9,766900
2005-03-24,18.15,18.65,17.75,18.09,2373600
2005-03-28,18.3,18.34,17.78,17.83,732200
2005-03-29,17.78,18.0,17.4,17.41,457300
2005-03-30,17.47,17.85,17.45,17.7,522800
2005-03-31,17.7,18.2,17.7,17.99,1568500
2005-04-01,17.99,18.16,17.5,18.1,472000
2005-04-04,18.02,18.05,17.16,17.39,317800
2005-04-05,17.39,17.43,17.15,17.33,294300
2005-04-06,17.4,17.48,17.2,17.25,339900
2005-04-07,17.25,17.39,17.13,17.28,148700
2005-04-08,17.18,17.18,17.02,17.02,256800
2005-04-11,17.05,17.14,16.98,17.08,198600
2005-04-12,17.07,17.31,16.72,17.31,353500
2005-04-13,17.31,17.31,16.79,16.81,307000
2005-04-14,16.8,16.87,16.13,16.18,393000
2005-04-15,16.17,16.17,15.53,15.65,367600
2005-04-18,15.0,15.36,14.95,15.3,887200
2005-04-19,15.5,15.6,15.35,15.6,583900
2005-04-20,15.63,15.69,15.05,15.1,186800
2005-04-21,15.2,15.38,15.07,15.24,980800
2005-04-22,15.15,15.21,14.7,15.0,858800
2005-04-25,15.05,15.27,15.0,15.27,438900
2005-04-26,15.27,15.32,14.75,14.78,408600
2005-04-27,14.78,14.78,14.2,14.3,496200
2005-04-28,14.32,14.41,14.06,14.1,445600
2005-04-29,14.5,14.7,14.29,14.55,874600
2005-05-02,14.6,15.12,14.6,15.12,862700
2005-05-03,15.02,15.35,15.02,15.12,353400
2005-05-04,15.15,15.21,15.0,15.21,573700
2005-05-05,15.22,15.57,15.16,15.5,517700
2005-05-06,15.55,15.77,15.41,15.47,335500
2005-05-09,15.5,16.0,15.5,15.91,839900
2005-05-10,15.75,16.2,14.7,15.15,1417000
2005-05-11,15.14,15.24,15.0,15.09,816500
2005-05-12,15.07,15.28,14.68,14.85,770900
2005-05-13,14.85,14.9,14.25,14.26,420000
2005-05-16,14.3,14.51,14.06,14.06,592700
2005-05-17,14.08,14.16,13.54,14.16,805600
2005-05-18,14.21,14.81,14.08,14.64,640000
2005-05-19,15.45,15.45,15.11,15.28,698600
2005-05-20,15.4,15.67,15.25,15.55,381100
2005-05-23,15.6,16.3,15.51,16.25,756600
2005-05-24,16.25,16.25,15.8,16.1,604300
2005-05-25,16.02,16.11,15.78,15.94,336200
2005-05-26,16.04,16.04,15.41,15.62,330900
2005-05-27,15.6,15.63,15.2,15.53,297500
2005-05-31,15.52,15.53,15.32,15.48,261900
2005-06-01,15.5,15.94,15.5,15.76,457000
2005-06-02,15.7,15.95,15.64,15.95,333500
2005-06-03,15.9,15.9,15.8,15.88,195900
2005-06-06,15.87,15.87,15.8,15.85,295100
2005-06-07,15.9,15.9,15.69,15.82,247100
2005-06-08,15.81,15.81,15.74,15.79,575200
2005-06-09,15.8,15.84,15.75,15.8,492300
2005-06-10,15.8,15.8,15.74,15.8,236700
2005-06-13,15.75,15.78,15.54,15.64,149600
2005-06-14,15.6,15.8,15.55,15.7,528500
2005-06-15,15.76,15.87,15.72,15.87,1340000
2005-06-16,15.87,16.38,15.87,16.3,633500
2005-06-17,16.35,16.35,15.4,15.65,354400
2005-06-20,15.64,15.75,15.2,15.38,248200
2005-06-21,15.35,15.6,15.25,15.47,191100
2005-06-22,15.52,15.86,15.52,15.86,277900
2005-06-23,15.85,15.9,15.57,15.78,235400
2005-06-24,15.75,15.85,15.65,15.84,481100
2005-06-27,15.84,15.84,15.5,15.67,145700
2005-06-28,15.56,15.76,15.56,15.72,468700
2005-06-29,15.73,15.86,15.65,15.8,713200
2005-06-30,15.8,15.96,15.8,15.89,788200
2005-07-01,15.94,16.0,15.89,15.97,237100
2005-07-05,15.92,16.06,15.88,16.04,244000
2005-07-06,16.02,16.23,15.97,16.22,333500
2005-07-07,16.03,16.11,15.88,16.1,311100
2005-07-08,16.1,16.25,15.92,16.23,1252400
2005-07-11,16.4,17.01,16.4,16.94,766000
2005-07-12,17.1,17.5,17.0,17.42,1072800
2005-07-13,17.41,17.85,17.4,17.78,676900
2005-07-14,17.88,17.89,17.55,17.77,353300
2005-07-15,17.77,17.98,17.76,17.86,281700
2005-07-18,17.15,17.79,17.15,17.69,480900
2005-07-19,17.84,18.09,17.66,17.98,499400
2005-07-20,17.95,18.47,17.77,18.42,1111800
2005-07-21,18.5,18.7,18.23,18.53,600400
2005-07-22,18.5,18.5,18.36,18.42,139000
2005-07-25,18.4,18.55,18.38,18.4,1887400
2005-07-26,18.4,18.47,18.21,18.4,408800
2005-07-27,18.4,18.85,18.4,18.79,331000
2005-07-28,18.7,18.78,18.56,18.7,219700
2005-07-29,18.7,18.82,18.5,18.82,197300
2005-08-01,18.87,18.87,18.63,18.81,199200
2005-08-02,18.8,18.98,18.8,18.88,251200
2005-08-03,18.88,19.0,18.57,18.59,530700
2005-08-04,18.6,18.6,18.33,18.44,1220900
2005-08-05,18.48,18.49,18.26,18.44,61700
2005-08-08,18.49,18.56,18.3,18.42,92700
2005-08-09,19.25,19.3,18.72,19.01,910100
2005-08-10,19.25,19.28,19.02,19.12,270500
2005-08-11,19.05,19.63,19.05,19.58,320700
2005-08-12,19.48,19.61,19.3,19.61,343100
2005-08-15,19.62,19.89,19.5,19.74,223800
2005-08-16,19.61,19.77,19.55,19.6,742100
2005-08-17,19.58,19.58,19.32,19.44,445000
2005-08-18,19.41,19.44,19.14,19.23,331800
2005-08-19,19.23,19.23,19.06,19.21,180500
2005-08-22,19.21,19.72,19.11,19.46,582200
2005-08-23,19.55,20.06,19.55,20.06,468100
2005-08-24,19.93,19.97,19.71,19.75,437900
2005-08-25,19.79,19.85,18.79,19.15,633400
2005-08-26,19.15,19.38,18.73,18.83,307300
2005-08-29,18.67,18.7,18.01,18.61,387600
2005-08-30,18.6,18.67,18.26,18.41,273300
2005-08-31,18.41,18.55,18.05,18.43,451000
2005-09-01,18.5,18.8,18.35,18.65,433400
2005-09-02,18.65,18.7,18.45,18.59,115900
2005-09-06,18.66,18.74,18.48,18.66,190400
2005-09-07,18.6,19.03,18.59,18.82,230200
2005-09-08,18.87,19.05,18.83,18.89,211300
2005-09-09,18.9,19.05,18.7,19.03,108100
2005-09-12,19.1,19.26,18.77,19.23,144600
2005-09-13,19.23,19.33,19.07,19.26,219300
2005-09-14,19.15,19.34,19.06,19.13,885000
2005-09-15,19.13,19.14,18.34,18.48,540500
2005-09-16,18.51,18.63,18.35,18.42,114400
2005-09-19,18.46,18.46,17.87,18.15,210300
2005-09-20,18.1,18.1,17.65,17.68,684900
2005-09-21,17.57,17.58,16.95,17.11,259500
2005-09-22,17.11,17.21,16.65,17.1,413500
2005-09-23,17.02,17.53,16.96,17.35,554600
2005-09-26,17.45,17.45,17.03,17.11,296100
2005-09-27,17.05,17.14,16.57,16.95,288900
2005-09-28,16.96,17.06,16.74,16.86,319100
2005-09-29,16.9,17.04,16.69,17.03,174800
2005-09-30,17.03,17.52,16.95,17.25,232700
2005-10-03,17.3,17.34,16.69,16.77,207900
2005-10-04,16.72,17.18,16.7,16.92,96600
2005-10-05,16.92,16.92,16.65,16.86,186000
2005-10-06,16.86,16.86,16.51,16.7,309100
2005-10-07,16.68,17.18,16.68,17.03,141300
2005-10-10,17.08,17.08,16.57,16.68,111800
2005-10-11,16.68,17.18,16.68,16.85,251400
2005-10-12,16.81,16.87,16.67,16.68,159400
2005-10-13,16.68,16.87,16.6,16.71,152300
2005-10-14,16.7,17.12,16.47,16.93,138400
2005-10-17,16.93,16.93,16.66,16.68,137100
2005-10-18,16.7,16.74,16.52,16.6,159800
2005-10-19,16.61,16.83,16.49,16.62,146500
2005-10-20,16.62,16.71,16.32,16.35,288400
2005-10-21,16.45,16.48,16.3,16.31,205200
2005-10-24,16.37,16.81,16.32,16.66,336100
2005-10-25,16.75,16.77,16.4,16.5,173200
2005-10-26,16.45,16.75,16.4,16.48,216300
2005-10-27,16.47,16.5,16.25,16.26,67200
2005-10-28,16.42,17.25,16.42,17.25,252600
2005-10-31,17.4,17.64,17.34,17.64,278600
2005-11-01,17.62,17.86,17.31,17.8,234500
2005-11-02,17.83,18.22,17.75,18.22,408900
2005-11-03,18.21,18.4,17.89,17.92,191100
2005-11-04,17.92,18.16,17.67,18.12,133700
2005-11-07,18.2,18.5,17.75,18.3,228400
2005-11-08,18.3,18.3,17.63,17.75,207100
2005-11-09,17.6,17.6,15.58,16.57,1067800
2005-11-10,16.6,16.74,16.2,16.3,1589500
2005-11-11,17.49,17.8,17.33,17.55,985700
2005-11-14,17.25,17.29,16.85,17.01,2238300
2005-11-15,17.05,17.35,16.92,17.15,687900
2005-11-16,17.14,17.2,16.75,17.1,815900
2005-11-17,17.12,17.35,16.97,17.09,544100
2005-11-18,17.09,17.25,16.98,17.01,244700
2005-11-21,17.0,17.02,16.86,16.89,176200
2005-11-22,16.98,17.42,16.98,17.16,827900
2005-11-23,17.18,17.4,17.15,17.37,670400
2005-11-25,17.37,17.52,17.31,17.52,302500
2005-11-28,17.56,17.58,17.35,17.42,232300
2005-11-29,17.5,17.62,17.28,17.41,525100
2005-11-30,17.45,17.53,17.16,17.3,552800
2005-12-01,17.4,17.5,17.33,17.49,410600
2005-12-02,17.4,17.5,17.33,17.4,291800
2005-12-05,17.4,17.59,17.17,17.5,279100
2005-12-06,17.61,17.75,17.5,17.65,295500
2005-12-07,17.7,17.75,17.36,17.4,381900
2005-12-08,17.51,17.53,17.1,17.2,674400
2005-12-09,17.2,17.34,17.07,17.1,533400
2005-12-12,17.22,17.6,17.15,17.45,769400
2005-12-13,18.75,18.9,18.38,18.79,3478700
2005-12-14,18.9,18.99,18.5,18.7,1961700
2005-12-15,18.75,18.95,18.58,18.88,1818700
2005-12-16,18.9,19.38,18.86,19.29,987800
2005-12-19,19.44,19.69,19.31,19.64,972000
2005-12-20,19.75,19.75,19.27,19.33,275700
2005-12-21,19.34,19.51,18.97,19.15,288500
2005-12-22,19.19,19.23,19.02,19.09,251400
2005-12-23,19.13,19.5,19.13,19.39,280600
2005-12-27,19.38,19.76,19.33,19.35,232400
2005-12-28,19.45,19.45,18.84,19.3,580100
2005-12-29,19.3,19.58,19.04,19.18,236800
2005-12-30,19.04,19.19,18.82,19.12,279400
2006-01-03,19.35,19.84,18.9,19.77,651700
2006-01-04,19.77,19.95,19.45,19.8,216800
2006-01-05,19.8,19.96,19.45,19.77,611800
2006-01-06,19.83,19.89,19.63,19.73,218700
2006-01-09,19.74,19.74,19.22,19.38,560500
2006-01-10,19.28,19.64,19.27,19.5,303800
2006-01-11,19.41,19.51,19.25,19.27,170200
2006-01-12,19.27,19.29,18.9,19.02,227800
2006-01-13,19.09,19.4,19.04,19.14,211300
2006-01-17,19.25,20.12,19.12,20.05,1104200
2006-01-18,20.0,20.23,19.58,19.81,1366400
2006-01-19,19.9,20.1,19.83,20.0,471000
2006-01-20,20.0,20.0,19.54,19.62,210000
2006-01-23,19.6,19.86,19.47,19.73,585000
2006-01-24,19.8,20.31,19.75,20.29,355600
2006-01-25,20.29,20.52,20.15,20.34,662900
2006-01-26,20.35,20.51,20.22,20.35,358400
2006-01-27,20.59,20.6,20.17,20.28,191900
2006-01-30,20.38,20.49,19.85,20.16,392500
2006-01-31,20.15,20.48,20.12,20.47,242900
2006-02-01,20.35,20.49,20.16,20.18,419100
2006-02-02,20.21,20.5,19.9,20.02,470800
2006-02-03,19.93,20.26,19.5,20.22,533000
2006-02-06,20.25,20.74,20.16,20.62,650400
2006-02-07,20.62,20.62,20.12,20.32,515900
2006-02-08,20.33,20.33,20.15,20.24,304800
2006-02-09,20.2,20.65,20.2,20.32,331400
2006-02-10,20.35,20.65,20.05,20.63,206600
2006-02-13,20.58,20.58,20.13,20.19,224800
2006-02-14,20.18,20.22,19.55,20.22,686600
2006-02-15,20.26,21.63,20.26,21.15,1193900
2006-02-16,22.0,22.0,20.25,20.68,1232100
2006-02-17,20.62,21.31,20.3,21.22,721400
2006-02-21,21.45,21.56,21.1,21.38,299100
2006-02-22,21.38,21.57,21.22,21.57,400400
2006-02-23,21.7,21.72,21.34,21.59,414200
2006-02-24,21.57,21.72,21.38,21.51,505000
2006-02-27,21.6,21.96,21.57,21.86,488100
2006-02-28,21.84,21.85,21.35,21.4,330600
2006-03-01,21.45,21.47,21.09,21.39,307900
2006-03-02,21.35,21.97,21.01,21.9,271700
2006-03-03,21.75,21.91,21.59,21.73,366500
2006-03-06,21.7,21.7,20.87,20.98,288700
2006-03-07,21.35,21.36,20.37,20.49,586800
2006-03-08,20.38,20.58,20.08,20.35,676700
2006-03-09,20.45,20.55,20.23,20.3,256400
2006-03-10,20.3,20.67,20.2,20.62,98600
2006-03-13,20.65,21.0,20.31,20.87,315600
2006-03-14,20.78,20.84,20.58,20.73,111600
2006-03-15,20.8,21.56,20.8,21.5,391500
2006-03-16,21.5,21.75,21.14,21.69,406600
2006-03-17,21.7,21.7,20.86,21.02,248900
2006-03-20,21.15,21.68,20.92,21.04,436900
2006-03-21,21.12,21.46,21.0,21.02,269300
2006-03-22,21.09,21.39,20.99,21.37,287200
