,open,high,low,close,volume
2000-08-11,6.99219,7.734375,6.99219,7.625,8582400
2000-08-14,7.757815,7.78125,7.296875,7.55469,5032000
2000-08-15,7.578125,7.58594,7.1875,7.30469,4400800
2000-08-16,7.33594,7.484375,7.078125,7.46094,4833600
2000-08-17,7.414065,7.515625,7.234375,7.49219,2250400
2000-08-18,7.53125,7.546875,7.03125,7.21875,2860800
2000-08-21,7.17578,7.17969,6.859375,7.09375,3292800
2000-08-22,7.16797,7.359375,7.08594,7.296875,2143200
2000-08-23,7.421875,7.484375,7.0625,7.33594,2489600
2000-08-24,7.515625,7.96094,7.351565,7.859375,12780800
2000-08-25,8.007815,8.53125,8.0,8.421875,13888000
2000-08-28,8.539065,8.8125,8.445315,8.578125,9147200
2000-08-29,8.640625,8.765625,8.453125,8.703125,5300000
2000-08-30,8.695315,8.695315,8.25,8.671875,6027200
2000-08-31,8.664065,9.375,8.625,9.25,15420800
2000-09-01,9.359375,9.5,9.0625,9.34375,7760800
2000-09-05,9.46875,9.5,8.875,8.882815,5339200
2000-09-06,8.921875,8.96094,7.921875,8.05469,9605600
2000-09-07,8.0625,8.5625,8.05469,8.421875,4744800
2000-09-08,8.539065,8.726565,7.984375,8.0,4104800
2000-09-11,7.71875,8.25,7.5625,8.125,8813600
2000-09-12,8.3125,8.375,7.625,7.8125,6249600
2000-09-13,7.75,8.375,7.74219,8.3125,6737600
2000-09-14,8.4375,8.65625,8.234375,8.59375,14856000
2000-09-15,8.683595,8.882815,8.5,8.75,4172000
2000-09-18,8.703125,8.92969,8.3125,8.4375,4381600
2000-09-19,8.195315,8.390625,7.703125,8.171875,22169600
2000-09-20,8.140625,8.140625,7.828125,7.953125,6473600
2000-09-21,7.566405,7.953125,7.5,7.890625,8796800
2000-09-22,7.625,8.671875,7.484375,8.609375,8352000
2000-09-25,8.71875,8.734375,7.875,7.92969,8350400
2000-09-26,8.234375,8.25,7.382815,7.445315,13496800
2000-09-27,7.55469,7.734375,6.57422,6.875,43185600
2000-09-28,6.75,7.40625,6.6875,7.101565,19696000
2000-09-29,7.08594,7.640625,7.078125,7.4375,9607200
2000-10-02,7.34375,7.484375,7.078125,7.375,5326400
2000-10-03,7.390625,7.40625,6.828125,6.859375,6944000
2000-10-04,6.86328,6.998045,6.625,6.90625,7048800
2000-10-05,6.9375,7.23828,6.578125,6.625,8883200
2000-10-06,6.685545,6.78125,5.765625,6.0,10701600
2000-10-09,6.0,6.0,5.484375,5.89844,7908000
2000-10-10,5.9375,6.46875,5.90625,6.1875,8946400
2000-10-11,6.17969,6.60742,6.09375,6.4375,5851200
2000-10-12,6.78125,7.203125,6.484375,6.515625,16105600
2000-10-13,6.484375,7.125,6.25,7.02344,6496000
2000-10-16,7.21094,7.453125,7.0625,7.21875,2336000
2000-10-17,7.390625,8.96875,7.296875,8.101565,20669600
2000-10-18,7.984375,8.75,7.820315,8.578125,12088000
2000-10-19,8.6875,8.8125,8.0,8.77344,9897600
2000-10-20,8.595705,9.296875,8.5,9.132815,8860000
2000-10-23,9.0,9.0625,8.4375,8.46875,9227200
