,open,high,low,close,volume
2000-08-11,3.052235,3.156408,3.052235,3.135573,418180
2000-08-14,3.135573,3.198078,3.135573,3.14599,230388
2000-08-15,3.14599,3.166825,3.104323,3.104323,328184
2000-08-16,3.125155,3.125155,3.00015,3.010568,230988
2000-08-17,3.020985,3.020985,3.00015,3.010568,137392
2000-08-18,3.010568,3.020985,2.979315,2.989733,360580
2000-08-21,2.989733,3.020985,2.968898,2.989733,140992
2000-08-22,3.00015,3.031403,2.968898,2.979315,312584
2000-08-23,2.989733,3.00015,2.989733,2.989733,167392
2000-08-24,2.968898,3.00015,2.968898,3.00015,236388
2000-08-25,3.00015,3.00015,2.968898,2.989733,188992
2000-08-28,2.989733,3.020985,2.958483,2.958483,681564
2000-08-29,2.937648,2.989733,2.937648,2.989733,235188
2000-08-30,2.958483,3.010568,2.958483,3.00015,447576
2000-08-31,2.979315,3.010568,2.979315,2.989733,116996
2000-09-01,3.00015,3.031403,2.958483,3.031403,314384
2000-09-05,3.052235,3.052235,2.968898,2.989733,290384
2000-09-06,3.00015,3.11474,2.989733,3.093905,251388
2000-09-07,3.104323,3.130365,3.04182,3.07307,362380
2000-09-08,3.062653,3.083488,2.979315,3.010568,266988
2000-09-11,3.010568,3.020985,2.989733,2.989733,243588
2000-09-12,2.968898,2.974108,2.906395,2.906395,554372
2000-09-13,2.937648,2.958483,2.85431,2.864728,533372
2000-09-14,2.864728,2.92723,2.625133,2.677218,1223340
2000-09-15,2.614715,2.698053,2.614715,2.635548,955752
2000-09-18,2.656383,2.677218,2.604298,2.6668,776360
2000-09-19,2.677218,2.73972,2.6668,2.73972,484176
2000-09-20,2.750138,2.791805,2.718885,2.78139,478776
2000-09-21,2.760555,2.875145,2.760555,2.843893,383980
2000-09-22,2.833475,2.895978,2.823058,2.88556,401980
2000-09-25,2.895978,2.895978,2.791805,2.81264,382780
2000-09-26,2.81264,2.85431,2.802223,2.85431,813560
2000-09-27,2.843893,2.92723,2.843893,2.92723,282584
2000-09-28,2.92723,3.00015,2.92723,2.948065,920952
2000-09-29,2.92723,3.07307,2.916813,3.062653,1108744
2000-10-02,3.052235,3.062653,2.85431,2.875145,907156
2000-10-03,2.85431,2.948065,2.85431,2.875145,459576
2000-10-04,2.906395,2.92723,2.833475,2.85431,323984
2000-10-05,2.88556,3.00015,2.875145,2.979315,724764
2000-10-06,2.979315,3.062653,2.979315,3.010568,355184
2000-10-09,3.031403,3.031403,2.916813,2.92723,298184
2000-10-10,2.92723,2.92723,2.88556,2.906395,86396
2000-10-11,2.864728,3.083488,2.864728,3.04182,628168
2000-10-12,3.031403,3.04182,2.948065,3.00015,456576
2000-10-13,2.979315,3.07307,2.979315,3.07307,350384
2000-10-16,3.062653,3.104323,3.031403,3.104323,283184
2000-10-17,3.083488,3.125155,3.052235,3.083488,658168
2000-10-18,3.052235,3.07307,3.010568,3.031403,299384
2000-10-19,3.04182,3.083488,2.989733,3.083488,284384
2000-10-20,3.052235,3.052235,2.989733,3.00015,312584
2000-10-23,3.00015,3.00015,2.968898,2.989733,193792
2000-10-24,2.979315,3.057445,2.958483,3.04182,637768
2000-10-25,3.031403,3.04182,2.989733,3.010568,367780
2000-10-26,3.00015,3.04182,2.989733,3.04182,230388
2000-10-27,3.020985,3.229328,3.010568,3.21891,750564
2000-10-30,3.18766,3.323083,3.18766,3.312665,850756
2000-10-31,3.312665,3.323083,3.21891,3.291833,818360
2000-11-01,3.291833,3.385586,3.291833,3.312665,712164
2000-11-02,3.312665,3.37517,3.270998,3.3335,734964
2000-11-03,3.364754,3.396004,3.312665,3.354335,491976
2000-11-06,3.37517,3.385586,3.343918,3.354335,139792
2000-11-07,3.323083,3.385586,3.323083,3.37517,349784
2000-11-08,3.364754,3.427256,3.364754,3.385586,290984
2000-11-09,3.396004,3.427256,3.3335,3.427256,692364
2000-11-10,3.427256,3.541844,3.427256,3.541844,574772
2000-11-13,3.500176,3.500176,3.416838,3.489758,388780
2000-11-14,3.489758,3.62518,3.489758,3.55226,802760
2000-11-15,3.573096,3.73977,3.55226,3.66685,626368
2000-11-16,3.66685,3.66685,3.531428,3.604348,338984
2000-11-17,3.646016,3.698104,3.59393,3.646016,202788
2000-11-20,3.66685,3.66685,3.59393,3.614766,117596
2000-11-21,3.646016,3.656434,3.583514,3.656434,207588
2000-11-22,3.656434,3.656434,3.541844,3.604348,250788
2000-11-24,3.604348,3.604348,3.562678,3.562678,64196
2000-11-27,3.531428,3.656434,3.531428,3.55226,263388
2000-11-28,3.531428,3.604348,3.437674,3.468924,379780
2000-11-29,3.489758,3.52101,3.458508,3.510594,530372
2000-11-30,3.47934,3.573096,3.47934,3.531428,287384
2000-12-01,3.510594,3.646016,3.510594,3.614766,432580
2000-12-04,3.614766,3.62518,3.55226,3.614766,309584
2000-12-05,3.614766,3.62518,3.500176,3.55226,408580
2000-12-06,3.55226,3.62518,3.541844,3.583514,830960
2000-12-07,3.583514,3.66685,3.583514,3.656434,237588
2000-12-08,3.66685,3.92728,3.66685,3.896028,1012148
2000-12-11,3.896028,3.906446,3.864778,3.88561,888556
2000-12-12,3.843944,3.896028,3.78144,3.78144,422380
2000-12-13,3.760606,3.833526,3.66685,3.698104,722364
2000-12-14,3.698104,3.791858,3.656434,3.656434,329984
2000-12-15,3.59393,3.635598,3.416838,3.52101,850756
2000-12-18,3.562678,3.562678,3.458508,3.55226,487176
2000-12-19,3.55226,3.646016,3.55226,3.562678,338984
2000-12-20,3.531428,3.656434,3.510594,3.59393,370780
2000-12-21,3.573096,3.729354,3.573096,3.62518,427780
2000-12-22,3.62518,3.729354,3.604348,3.729354,297584
2000-12-26,3.708518,3.73977,3.604348,3.687686,338384
2000-12-27,3.708518,3.92728,3.708518,3.896028,1032548
2000-12-28,3.896028,3.906446,3.802274,3.864778,637168
2000-12-29,3.88561,3.906446,3.708518,3.708518,534572
2001-01-02,3.708518,3.718936,3.583514,3.604348,805760
2001-01-03,3.646016,3.646016,3.458508,3.489758,1028948
2001-01-04,3.52101,3.52101,3.291833,3.302248,398380
2001-01-05,3.3335,3.37517,3.26058,3.312665,623368
2001-01-08,3.323083,3.729354,3.323083,3.698104,1115344
2001-01-09,3.708518,3.78144,3.62518,3.66685,788360
2001-01-10,3.62518,3.802274,3.604348,3.771024,1105744
2001-01-11,3.73977,3.833526,3.687686,3.750188,2095696
2001-01-12,3.750188,3.823108,3.718936,3.81269,435580
2001-01-16,3.78144,3.833526,3.750188,3.78144,470376
2001-01-17,3.771024,3.896028,3.718936,3.833526,562172
2001-01-18,3.833526,3.937698,3.718936,3.906446,988152
2001-01-19,3.88561,3.937698,3.85436,3.92728,341384
2001-01-22,3.937698,4.07312,3.937698,4.021036,1492724
2001-01-23,4.021036,4.104374,3.979366,4.104374,663568
2001-01-24,4.07312,4.14604,4.0002,4.062704,625768
2001-01-25,4.041868,4.104374,4.021036,4.083538,319184
2001-01-26,4.041868,4.052286,3.937698,3.937698,453576
2001-01-29,3.95853,4.0002,3.93353,3.950198,346784
2001-01-30,3.991868,4.14354,3.991868,4.08687,448776
2001-01-31,4.08687,4.165208,4.060202,4.165208,557372
2001-02-01,4.14354,4.155208,4.040204,4.155208,467376
2001-02-02,4.0002,4.0002,3.485176,3.503508,6481476
2001-02-05,3.545178,3.698518,3.541844,3.643516,1148944
2001-02-06,3.66685,3.675186,3.541844,3.550178,659968
2001-02-07,3.551846,3.638516,3.550178,3.616848,455376
2001-02-08,3.65685,3.678518,3.58518,3.601848,921552
2001-02-09,3.60018,3.66685,3.573514,3.62518,1010948
2001-02-12,3.64185,3.66685,3.536844,3.57518,574172
2001-02-13,3.583514,3.665184,3.516844,3.530178,609568
2001-02-14,3.500176,3.516844,3.475174,3.47684,490176
2001-02-15,3.47684,3.47684,3.418506,3.441838,266988
2001-02-16,3.433506,3.603514,3.433506,3.568514,433780
2001-02-20,3.583514,3.65685,3.545178,3.561846,518976
2001-02-21,3.550178,3.550178,3.496844,3.505176,586172
2001-02-22,3.511844,3.51851,3.468508,3.500176,715764
2001-02-23,3.516844,3.516844,3.42017,3.46684,485376
2001-02-26,3.500176,3.555178,3.491844,3.495176,493776
2001-02-27,3.495176,3.583514,3.47684,3.545178,498576
2001-02-28,3.516844,3.648516,3.516844,3.643516,696564
2001-03-01,3.633516,3.633516,3.53351,3.550178,433780
2001-03-02,3.536844,3.66685,3.51351,3.581846,413980
