,open,high,low,close,volume
2000-08-11,974.5,1012.0,962.0,999.5,2062
2000-08-14,1012.0,1099.5,999.5,1087.0,7829
2000-08-15,1087.0,1099.5,1037.0,1062.0,3687
2000-08-16,1062.0,1062.0,1037.0,1062.0,5342
2000-08-17,1062.0,1099.5,1037.0,1049.5,5746
2000-08-18,1062.0,1062.0,1024.5,1037.0,2820
2000-08-21,1049.5,1087.0,1037.0,1087.0,8237
2000-08-22,1087.0,1099.5,1049.5,1062.0,2514
2000-08-23,1074.5,1162.0,1062.0,1149.5,11011
2000-08-24,1149.5,1162.0,1112.0,1112.0,3953
2000-08-25,1124.5,1124.5,1074.5,1087.0,3599
2000-08-28,1087.0,1149.5,1087.0,1137.0,3124
2000-08-29,1137.0,1174.5,1112.0,1137.0,4172
2000-08-30,1124.5,1162.0,1124.5,1149.5,2740
2000-08-31,1162.0,1199.5,1137.0,1187.0,6011
2000-09-01,1199.5,1224.5,1162.0,1224.5,4229
2000-09-05,1224.5,1237.0,1187.0,1187.0,5769
2000-09-06,1199.5,1224.5,1174.5,1212.0,7657
2000-09-07,1199.5,1262.0,1187.0,1224.5,9473
2000-09-08,1237.0,1237.0,1199.5,1212.0,5996
2000-09-11,1212.0,1249.5,1212.0,1224.5,7529
2000-09-12,1237.0,1262.0,1212.0,1224.5,5685
2000-09-13,1237.0,1237.0,1187.0,1199.5,6614
2000-09-14,1212.0,1237.0,1137.0,1137.0,11373
2000-09-15,1149.5,1212.0,1149.5,1183.876,8278
2000-09-18,1199.5,1224.5,1199.5,1215.126,4760
2000-09-19,1212.0,1212.0,1162.0,1174.5,3242
2000-09-20,1199.5,1199.5,1124.5,1137.0,5643
2000-09-21,1137.0,1137.0,1062.0,1062.0,11830
2000-09-22,1062.0,1074.5,999.5,1008.876,5261
2000-09-25,999.5,999.5,887.0,924.5,13303
2000-09-26,962.0,1062.0,962.0,1012.0,8196
2000-09-27,1049.5,1087.0,1012.0,1012.0,4741
2000-09-28,1024.5,1087.0,962.0,974.5,5222
2000-09-29,974.5,1099.5,974.5,1099.5,7621
2000-10-02,1124.5,1187.0,1124.5,1174.5,7317
2000-10-03,1174.5,1174.5,1137.0,1149.5,1922
2000-10-04,1149.5,1149.5,1087.0,1137.0,4806
2000-10-05,1124.5,1137.0,1087.0,1099.5,3545
2000-10-06,1087.0,1124.5,1049.5,1074.5,2176
2000-10-09,1087.0,1112.0,1074.5,1099.5,2460
2000-10-10,1124.5,1187.0,1124.5,1162.0,6904
2000-10-11,1162.0,1199.5,1149.5,1149.5,7784
2000-10-12,1162.0,1237.0,1149.5,1149.5,8890
2000-10-13,1162.0,1174.5,1074.5,1074.5,5029
2000-10-16,1062.0,1087.0,987.0,999.5,5338
2000-10-17,1012.0,1037.0,987.0,999.5,2723
2000-10-18,999.5,1012.0,949.5,962.0,3055
2000-10-19,974.5,1012.0,962.0,987.0,4063
2000-10-20,987.0,1012.0,974.5,999.5,3542
2000-10-23,1012.0,1037.0,999.5,1012.0,3847
2000-10-24,999.5,1024.5,937.0,949.5,6054
2000-10-25,949.5,962.0,812.0,824.5,7969
2000-10-26,862.0,912.0,799.5,899.5,6923
2000-10-27,837.0,874.5,762.0,799.5,9484
2000-10-30,799.5,862.0,799.5,837.0,4328
2000-10-31,824.5,874.5,762.0,787.0,5282
2000-11-01,812.0,874.5,812.0,874.5,5593
2000-11-02,862.0,862.0,799.5,824.5,3126
2000-11-03,824.5,837.0,799.5,812.0,2110
2000-11-06,812.0,824.5,749.5,762.0,4975
2000-11-07,774.5,824.5,749.5,774.5,6943
2000-11-08,787.0,799.5,749.5,774.5,17670
2000-11-09,799.5,824.5,787.0,824.5,6714
2000-11-10,799.5,837.0,799.5,799.5,3708
2000-11-13,799.5,849.5,774.5,787.0,4207
2000-11-14,824.5,874.5,824.5,849.5,7112
2000-11-15,874.5,937.0,874.5,912.0,13766
2000-11-16,924.5,949.5,874.5,899.5,6326
2000-11-17,899.5,899.5,849.5,874.5,3688
2000-11-20,887.0,899.5,862.0,874.5,3142
2000-11-21,862.0,974.5,862.0,962.0,11435
2000-11-22,962.0,1012.0,924.5,987.0,6549
2000-11-24,974.5,987.0,949.5,962.0,1332
2000-11-27,962.0,962.0,924.5,924.5,2864
2000-11-28,949.5,949.5,824.5,849.5,4972
2000-11-29,837.0,849.5,787.0,812.0,8470
2000-11-30,812.0,837.0,774.5,824.5,6886
2000-12-01,849.5,924.5,849.5,887.0,6054
2000-12-04,924.5,1012.0,924.5,974.5,7300
2000-12-05,987.0,1037.0,924.5,937.0,6265
2000-12-06,962.0,1049.5,962.0,1012.0,8427
2000-12-07,1024.5,1049.5,987.0,1012.0,2859
2000-12-08,999.5,1012.0,962.0,1012.0,3927
2000-12-11,1062.0,1174.5,1062.0,1124.5,16906
2000-12-12,1124.5,1162.0,1037.0,1074.5,11518
2000-12-13,1099.5,1112.0,1049.5,1074.5,16944
2000-12-14,1074.5,1099.5,1037.0,1049.5,3701
2000-12-15,1049.5,1087.0,987.0,1012.0,8082
2000-12-18,1062.0,1099.5,1062.0,1087.0,14977
2000-12-19,1112.0,1137.0,1049.5,1062.0,10739
2000-12-20,1074.5,1124.5,1024.5,1124.5,14461
2000-12-21,1249.5,1312.0,1224.5,1274.5,33470
2000-12-22,1299.5,1374.5,1287.0,1362.0,22729
2000-12-26,1412.0,1612.0,1412.0,1562.0,21762
2000-12-27,1612.0,1649.5,1449.5,1574.5,17775
2000-12-28,1562.0,1712.0,1537.0,1712.0,17253
2000-12-29,1737.0,1762.0,1674.5,1687.0,11544
2001-01-02,1637.0,1649.5,1437.0,1462.0,16076
2001-01-03,1462.0,1499.5,1337.0,1437.0,13879
2001-01-04,1412.0,1437.0,1274.5,1374.5,15330
2001-01-05,1424.5,1537.0,1399.5,1462.0,10555
2001-01-08,1487.0,1637.0,1487.0,1612.0,10306
2001-01-09,1612.0,1637.0,1462.0,1487.0,9631
2001-01-10,1487.0,1549.5,1487.0,1524.5,7196
2001-01-11,1587.0,1587.0,1462.0,1462.0,8911
2001-01-12,1487.0,1612.0,1487.0,1612.0,12874
2001-01-16,1662.0,1712.0,1612.0,1662.0,10758
2001-01-17,1662.0,1662.0,1437.0,1474.5,13576
2001-01-18,1474.5,1512.0,1362.0,1437.0,13277
2001-01-19,1412.0,1487.0,1374.5,1474.5,6914
2001-01-22,1562.0,1599.5,1499.5,1512.0,6439
2001-01-23,1512.0,1524.5,1399.5,1462.0,10285
2001-01-24,1462.0,1487.0,1412.0,1474.5,5874
2001-01-25,1474.5,1574.5,1462.0,1537.0,5206
2001-01-26,1537.0,1549.5,1474.5,1524.5,3225
2001-01-29,1528.0,1536.0,1448.0,1466.0,6109
2001-01-30,1438.0,1456.0,1364.0,1426.0,6212
2001-01-31,1414.0,1452.0,1384.0,1386.0,6155
2001-02-01,1374.0,1452.0,1366.0,1438.0,3861
2001-02-02,1450.0,1480.0,1442.0,1478.0,4695
2001-02-05,1472.0,1534.0,1464.0,1486.0,6479
2001-02-06,1482.0,1598.0,1468.0,1598.0,8268
2001-02-07,1606.0,1662.0,1600.0,1656.0,11550
2001-02-08,1660.0,1676.0,1566.0,1572.0,8691
2001-02-09,1612.0,1712.0,1594.0,1712.0,18062
2001-02-12,1732.0,1738.0,1642.0,1738.0,10359
2001-02-13,1746.0,1752.0,1662.0,1674.0,6322
2001-02-14,1682.0,1722.0,1664.0,1674.0,7735
2001-02-15,1678.0,1678.0,1578.0,1622.0,6966
2001-02-16,1642.0,1690.0,1602.0,1630.0,9293
2001-02-20,1682.0,1728.0,1630.0,1662.0,7489
2001-02-21,1822.0,1822.0,1574.0,1578.0,9905
2001-02-22,1552.0,1562.0,1490.0,1540.0,8403
2001-02-23,1526.0,1540.0,1392.0,1436.0,9033
2001-02-26,1456.0,1510.0,1456.0,1492.0,6002
2001-02-27,1498.0,1522.0,1474.0,1498.0,2648
2001-02-28,1512.0,1520.0,1478.0,1486.0,5841
2001-03-01,1482.0,1482.0,1446.0,1482.0,4374
2001-03-02,1462.0,1548.0,1462.0,1500.0,3345
2001-03-05,1510.0,1602.0,1506.0,1564.0,4570
2001-03-06,1604.0,1612.0,1572.0,1580.0,4258
2001-03-07,1642.0,1776.0,1642.0,1774.0,20213
2001-03-08,1822.0,1874.0,1772.0,1856.0,18387
2001-03-09,1856.0,1856.0,1738.0,1744.0,7858
2001-03-12,1762.0,1762.0,1632.0,1642.0,8142
2001-03-13,1646.0,1658.0,1464.0,1584.0,10616
2001-03-14,1502.0,1580.0,1474.0,1504.0,5320
2001-03-15,1502.0,1532.0,1436.0,1450.0,7873
2001-03-16,1452.0,1482.0,1422.0,1462.0,5005
2001-03-19,1462.0,1508.0,1462.0,1494.0,3325
2001-03-20,1498.0,1608.0,1498.0,1520.0,6396
2001-03-21,1540.0,1540.0,1442.0,1442.0,5130
2001-03-22,1444.0,1452.0,1286.0,1382.0,10921
2001-03-23,1382.0,1480.0,1382.0,1440.0,4309
2001-03-26,1440.0,1474.0,1364.0,1400.0,5079
2001-03-27,1402.0,1414.0,1364.0,1396.0,5832
2001-03-28,1396.0,1408.0,1342.0,1342.0,4059
2001-03-29,1326.0,1332.0,1192.0,1298.0,10642
2001-03-30,1352.0,1432.0,1308.0,1432.0,8449
2001-04-02,1402.0,1422.0,1262.0,1312.0,10338
2001-04-03,1312.0,1312.0,1164.0,1192.0,10373
2001-04-04,1182.0,1300.0,1174.0,1268.0,10974
2001-04-05,1322.0,1336.0,1266.0,1332.0,6445
2001-04-06,1332.0,1392.0,1264.0,1322.0,4008
2001-04-09,1342.0,1416.0,1334.0,1414.0,4100
2001-04-10,1412.0,1486.0,1412.0,1462.0,6933
2001-04-11,1466.0,1498.0,1392.0,1402.0,4411
2001-04-12,1412.0,1498.0,1406.0,1466.0,3959
2001-04-16,1472.0,1518.0,1456.0,1478.0,3298
2001-04-17,1362.0,1402.0,1318.0,1348.0,12771
2001-04-18,1356.0,1356.0,1252.0,1260.0,13211
2001-04-19,1274.0,1280.0,1162.0,1212.0,20572
2001-04-20,1218.0,1248.0,1152.0,1194.0,8021
2001-04-23,1212.0,1264.0,1202.0,1252.0,9851
2001-04-24,1252.0,1274.0,1190.0,1202.0,9337
2001-04-25,1202.0,1232.0,1182.0,1220.0,7274
2001-04-26,1232.0,1296.0,1224.0,1262.0,13461
2001-04-27,1268.0,1278.0,1212.0,1218.0,7672
2001-04-30,1312.0,1372.0,1286.0,1322.0,28537
2001-05-01,1400.0,1428.0,1346.0,1414.0,20489
2001-05-02,1412.0,1414.0,1280.0,1280.0,14147
2001-05-03,1292.0,1330.0,1282.0,1282.0,7866
2001-05-04,1302.0,1338.0,1302.0,1320.0,4543
2001-05-07,1338.0,1370.0,1316.0,1334.0,8538
2001-05-08,1348.0,1354.0,1292.0,1328.0,5293
2001-05-09,1330.0,1348.0,1318.0,1348.0,4757
2001-05-10,1354.0,1396.0,1354.0,1376.0,4955
2001-05-11,1384.0,1392.0,1372.0,1382.0,3099
2001-05-14,1408.0,1492.0,1408.0,1480.0,8669
2001-05-15,1510.0,1552.0,1492.0,1514.0,13835
2001-05-16,1552.0,1552.0,1412.0,1462.0,9496
2001-05-17,1482.0,1522.0,1438.0,1484.0,8737
2001-05-18,1502.0,1516.0,1464.0,1468.0,10896
2001-05-21,1498.0,1512.0,1486.0,1500.0,12299
2001-05-22,1548.0,1548.0,1468.0,1488.0,8810
2001-05-23,1492.0,1510.0,1426.0,1450.0,7704
2001-05-24,1460.0,1462.0,1412.0,1412.0,7324
2001-05-25,1424.0,1432.0,1384.0,1384.0,7096
2001-05-29,1398.0,1438.0,1314.0,1350.0,6917
2001-05-30,1348.0,1348.0,1282.0,1322.0,9322
2001-05-31,1314.0,1342.0,1298.0,1312.0,7060
2001-06-01,1322.0,1328.0,1284.0,1322.0,3437
2001-06-04,1342.0,1470.0,1342.0,1462.0,10077
