,open,high,low,close,volume
2000-08-11,34.020833,35.3125,34.020833,35.0625,1322400
2000-08-14,35.0,35.145833,34.666667,34.666667,2560800
2000-08-15,34.666667,34.979167,34.333333,34.333333,2048400
2000-08-16,34.75,34.979167,34.270833,34.270833,2241900
2000-08-17,34.208333,34.875,34.0,34.0,1538100
2000-08-18,34.0,34.083333,33.729167,33.729167,1672500
2000-08-21,33.729167,33.75,33.25,33.583333,1469700
2000-08-22,33.583333,34.0625,33.416667,33.770833,1738200
2000-08-23,33.979167,34.25,32.791667,32.875,2047200
2000-08-24,32.25,32.791667,32.25,32.4375,1637400
2000-08-25,32.666667,32.666667,32.354167,32.458333,925200
2000-08-28,32.458333,33.270833,32.458333,33.041667,1948200
2000-08-29,32.958333,33.0,32.604167,32.791667,2214000
2000-08-30,32.666667,32.958333,32.583333,32.6875,1408800
2000-08-31,32.666667,32.708333,32.416667,32.421877,2301600
2000-09-01,32.4375,32.4375,31.0625,31.375,2033100
2000-09-05,31.375,31.958333,31.354167,31.697917,2019000
2000-09-06,31.75,32.0,31.645833,31.708333,1425300
2000-09-07,31.75,31.8125,30.833333,30.833333,2042400
2000-09-08,30.166667,30.333333,29.666667,29.979167,3261900
2000-09-11,29.958333,30.854167,29.958333,30.645833,2243100
2000-09-12,30.833333,31.041667,30.25,30.25,2176200
2000-09-13,30.333333,30.458333,30.166667,30.395833,2705400
2000-09-14,30.583333,31.333333,30.541667,31.083333,2061300
2000-09-15,31.083333,31.083333,30.333333,30.333333,3795000
2000-09-18,30.333333,30.375,29.104167,29.375,2472300
2000-09-19,29.333333,29.791667,29.25,29.5625,3059100
2000-09-20,29.583333,29.625,28.958333,29.333333,2820300
2000-09-21,29.916667,30.291667,29.416667,29.666667,2266800
2000-09-22,30.083333,31.0625,30.0,30.9375,2518800
2000-09-25,31.333333,31.566667,30.916667,31.383333,3018300
2000-09-26,32.333333,32.333333,31.293333,31.916667,3801000
2000-09-27,32.0,34.666667,31.916667,34.116667,3861900
2000-09-28,34.333333,34.583333,33.75,34.583333,3472200
2000-09-29,34.333333,35.333333,34.333333,34.8,3167400
2000-10-02,34.8,36.513333,34.683333,36.253333,3239400
2000-10-03,36.166667,36.166667,35.373333,35.666667,2183400
2000-10-04,36.333333,36.66,35.7,35.933333,2760000
2000-10-05,35.916667,37.493333,35.916667,37.476667,2295000
2000-10-06,38.25,38.55,36.65,36.65,3176100
2000-10-09,36.65,36.913333,36.343333,36.42,1554000
2000-10-10,36.42,37.566667,36.216667,36.833333,2466600
2000-10-11,36.5,37.4,36.373333,37.35,2345400
2000-10-12,37.333333,37.416667,36.55,36.92,3466500
2000-10-13,36.92,37.583333,36.866667,37.583333,1991100
2000-10-16,37.333333,38.616667,37.21,38.416667,2661300
2000-10-17,38.42,38.75,37.283333,38.4,2298900
2000-10-18,38.166667,38.663333,37.833333,38.303333,1923000
2000-10-19,37.5,38.276667,37.5,37.833333,1731900
2000-10-20,37.833333,38.366667,37.616667,37.966667,1856100
2000-10-23,37.966667,37.966667,36.46,36.59,1578000
2000-10-24,36.6,37.766667,36.553333,37.05,2218500
2000-10-25,36.083333,36.7,36.08,36.5,1826700
2000-10-26,36.666667,37.85,36.533333,37.166667,2703900
2000-10-27,37.166667,38.483333,37.166667,38.22,1901100
2000-10-30,38.22,39.616667,38.15,39.516667,4108200
2000-10-31,39.516667,41.0,39.516667,40.65,4608000
2000-11-01,40.0,40.0,39.0,40.0,2669100
2000-11-02,40.0,40.0,38.333333,38.476667,2348700
2000-11-03,38.5,39.6,38.383333,38.696667,2673600
2000-11-06,38.77,39.916667,38.77,39.656667,3915900
2000-11-07,38.833333,40.686667,38.8,39.966667,2344800
2000-11-08,39.9,42.333333,39.583333,41.673333,2873700
2000-11-09,41.166667,42.566667,40.133333,41.066667,2901900
2000-11-10,40.666667,43.666667,40.666667,43.046667,3073200
2000-11-13,43.046667,44.72,42.17,42.666667,4513800
2000-11-14,42.583333,42.65,41.463333,42.25,3397500
2000-11-15,42.253333,43.299997,41.646667,42.39,2813400
2000-11-16,42.473333,43.75,42.333333,43.75,2128200
2000-11-17,43.333333,44.166667,42.233333,42.756667,1873200
2000-11-20,41.333333,42.5,40.466667,42.023333,2947800
2000-11-21,41.666667,41.95,41.0,41.31,1749300
2000-11-22,41.583333,41.583333,40.133333,41.056667,1584900
2000-11-24,40.666667,41.533333,40.25,41.1,1233600
2000-11-27,41.5,41.5,39.9,40.333333,2478900
2000-11-28,40.336667,41.216667,40.25,40.25,2392500
2000-11-29,40.233333,41.86,40.233333,41.663333,1612500
2000-11-30,42.333333,44.61667,42.25,43.916667,3777600
2000-12-01,44.166667,44.533337,42.316667,42.636667,2716800
2000-12-04,42.333333,43.833333,42.066667,42.616667,1652100
2000-12-05,42.666667,43.919997,42.666667,43.450003,1944300
2000-12-06,42.833333,43.88333,42.833333,43.413337,1736400
2000-12-07,43.1,43.65,41.916667,42.820003,1667700
2000-12-08,42.85,43.966663,42.533333,43.083333,1776300
2000-12-11,43.0,44.25,42.833333,42.833333,1440300
2000-12-12,42.533333,42.896667,41.533333,42.376667,2199900
2000-12-13,42.46,43.243333,40.883333,41.173333,2441100
2000-12-14,41.183333,41.25,39.033333,40.903333,2766600
2000-12-15,39.57,40.7,39.57,39.783333,4021800
2000-12-18,39.516667,40.833333,39.333333,40.593333,3527400
2000-12-19,40.666667,40.7,39.1,40.166667,2244600
2000-12-20,39.98,42.783337,39.666667,42.546667,3470100
2000-12-21,42.25,42.833333,41.65,42.37,2205000
2000-12-22,42.37,44.166667,42.366667,43.816667,2330100
2000-12-26,43.5,44.216663,43.34,43.77,1066200
2000-12-27,43.333333,44.833333,43.0,44.233333,1582800
2000-12-28,43.9,45.0,43.6,45.0,2503500
2000-12-29,45.0,45.583333,44.1,44.1,1589700
2001-01-02,44.433333,44.983333,42.616667,42.803333,1867800
2001-01-03,42.700003,43.62,42.416667,42.833333,2882400
2001-01-04,42.333333,42.333333,37.666667,38.0,5146800
2001-01-05,38.3,40.033333,37.583333,38.333333,4346400
2001-01-08,39.166667,40.066667,38.49,39.65,1925100
2001-01-09,39.666667,40.1,39.533333,39.933333,2666400
2001-01-10,39.933333,41.083333,39.933333,40.916667,3167100
2001-01-11,40.75,40.883333,38.25,38.796667,1848900
