,open,high,low,close,volume
2000-08-11,6.498331,6.560831,6.467081,6.529581,119200
2000-08-14,6.560831,6.842081,6.560831,6.810831,238400
2000-08-15,6.935831,6.998331,6.842081,6.873331,202600
2000-08-16,6.967081,7.123331,6.904581,6.904581,307000
2000-08-17,6.935831,7.029581,6.873331,6.904581,136200
2000-08-18,6.904581,6.935831,6.904581,6.904581,42600
2000-08-21,7.029581,7.060831,6.685831,6.873331,251200
2000-08-22,6.842081,6.873331,6.592081,6.810831,410200
2000-08-23,6.810831,6.810831,6.592081,6.654581,706400
2000-08-24,6.685831,6.685831,6.435831,6.467081,114400
2000-08-25,6.623331,6.685831,6.435831,6.685831,48000
2000-08-28,6.717081,6.967081,6.592081,6.935831,180800
2000-08-29,6.935831,7.217081,6.842081,7.123331,402000
2000-08-30,7.123331,7.435831,7.123331,7.248331,257400
2000-08-31,7.310831,7.810831,7.310831,7.717081,174600
2000-09-01,7.748331,7.842081,7.498331,7.498331,237800
2000-09-05,7.560831,7.592081,7.185831,7.217081,187000
2000-09-06,7.217081,7.217081,6.342081,6.748331,164000
2000-09-07,6.842081,7.248331,6.810831,7.029581,182800
2000-09-08,7.029581,7.060831,6.935831,6.967081,144600
2000-09-11,6.967081,7.060831,6.748331,6.873331,565400
2000-09-12,6.873331,6.935831,6.810831,6.904581,297200
2000-09-13,6.904581,6.935831,6.810831,6.873331,97600
2000-09-14,6.717081,6.998331,6.717081,6.935831,174200
2000-09-15,6.810831,6.967081,6.810831,6.967081,297200
2000-09-18,6.967081,7.029581,6.873331,6.904581,269600
2000-09-19,6.998331,6.998331,6.560831,6.560831,161200
2000-09-20,6.185831,6.498331,5.185831,5.779581,508400
2000-09-21,5.654581,5.654581,5.217081,5.498331,348800
2000-09-22,5.404581,6.529581,5.342081,6.185831,247400
2000-09-25,6.217081,6.217081,5.717081,5.748331,184000
2000-09-26,5.623331,5.717081,5.342081,5.654581,206000
2000-09-27,5.592081,5.904581,5.560831,5.810831,117000
2000-09-28,5.810831,5.998331,5.560831,5.560831,100600
2000-09-29,5.685831,5.685831,5.310831,5.342081,230400
2000-10-02,5.467081,5.810831,5.373331,5.810831,230200
2000-10-03,5.810831,5.935831,5.717081,5.779581,171000
2000-10-04,5.685831,5.842081,5.592081,5.654581,92200
2000-10-05,5.592081,5.810831,5.592081,5.779581,177400
2000-10-06,5.592081,6.029581,5.592081,5.967081,170400
2000-10-09,6.092081,6.748331,6.092081,6.748331,272400
2000-10-10,6.748331,7.279581,6.623331,7.279581,215200
2000-10-11,7.404581,7.623331,6.842081,7.060831,339800
2000-10-12,7.185831,7.279581,6.717081,6.904581,179800
2000-10-13,7.029581,7.310831,6.998331,7.310831,607800
2000-10-16,7.310831,7.467081,6.779581,6.904581,137800
