,open,high,low,close,volume
2000-08-11,23.9375,24.5,23.875,24.1875,119000
2000-08-14,24.1875,24.1875,23.5,24.125,195900
2000-08-15,24.25,24.75,24.0625,24.125,177300
2000-08-16,24.125,24.5,24.125,24.25,81900
2000-08-17,23.75,24.0625,23.625,23.8125,174000
2000-08-18,23.625,24.5,23.625,24.25,95100
2000-08-21,24.375,24.9375,24.375,24.6875,138100
2000-08-22,24.6875,24.75,24.3125,24.375,100300
2000-08-23,24.5,24.5625,23.8125,23.9375,115600
2000-08-24,23.875,24.0,23.75,23.9375,66300
2000-08-25,23.6875,24.1875,23.6875,23.875,297200
2000-08-28,23.9375,25.4375,23.875,25.1875,164300
2000-08-29,25.0,25.1875,24.875,25.125,197900
2000-08-30,24.5,24.75,24.25,24.6875,210000
2000-08-31,24.875,25.25,24.75,25.14063,129800
2000-09-01,25.1875,25.6875,25.0625,25.3125,159600
2000-09-05,25.0625,25.3125,24.875,25.3125,213600
2000-09-06,25.5,25.75,25.3125,25.75,129800
2000-09-07,25.5,26.0,25.5,25.9375,177600
2000-09-08,26.0,26.0,25.75,26.0,167000
2000-09-11,26.0625,26.375,25.8125,25.8125,125500
2000-09-12,23.5,23.875,22.0,22.375,1071200
2000-09-13,22.125,22.125,21.25,22.0625,956800
2000-09-14,22.25,22.5,21.5625,22.1875,276100
2000-09-15,22.375,22.375,21.125,21.3125,447000
2000-09-18,21.3125,21.5,21.0,21.1875,153900
2000-09-19,21.5625,21.6875,20.875,21.3125,247700
2000-09-20,21.4375,21.9375,21.25,21.6875,89100
2000-09-21,21.5625,21.75,21.5,21.5625,109000
2000-09-22,21.3125,21.4375,21.125,21.25,110700
2000-09-25,21.5,22.0,21.375,21.625,91400
2000-09-26,21.5625,22.0,21.5,21.8125,189900
2000-09-27,21.8125,22.375,21.8125,22.125,71200
2000-09-28,22.3125,22.5,22.125,22.1875,273300
2000-09-29,22.25,23.375,21.875,22.875,307900
2000-10-02,22.6875,23.0,21.96875,22.625,146400
2000-10-03,22.625,23.25,22.625,23.0625,105400
2000-10-04,23.0625,23.8125,23.0625,23.25,69000
2000-10-05,23.4375,23.6875,22.875,22.9375,66500
2000-10-06,23.0,23.3125,22.625,22.875,66900
2000-10-09,23.0625,23.5,22.375,23.0,65100
2000-10-10,22.9375,23.1875,22.875,22.9375,103300
2000-10-11,22.9375,23.3125,22.4375,22.5,145000
2000-10-12,22.75,22.8125,22.375,22.5,63300
2000-10-13,22.3125,22.875,22.25,22.875,136400
2000-10-16,22.875,24.0,22.875,24.0,210200
2000-10-17,23.8125,23.8125,22.375,22.875,155600
2000-10-18,22.9375,24.0625,22.5,23.875,146700
2000-10-19,23.875,24.3125,23.375,23.875,128600
2000-10-20,23.6875,24.25,23.4375,24.125,109200
2000-10-23,24.375,24.875,24.25,24.625,100400
2000-10-24,24.4375,24.6875,24.25,24.5625,131900
2000-10-25,24.5625,24.625,24.0,24.1875,93300
2000-10-26,24.375,24.75,24.0625,24.3125,103300
2000-10-27,24.375,24.5,24.0,24.1875,142800
2000-10-30,24.4375,25.5625,24.4375,25.4375,219700
2000-10-31,25.25,26.3125,25.25,26.1875,178400
2000-11-01,26.1875,26.4375,25.5,26.125,126300
2000-11-02,26.0625,26.5,26.0625,26.375,89900
2000-11-03,26.4375,26.78125,25.625,25.9375,81500
2000-11-06,26.0,26.0,25.5,25.75,101300
2000-11-07,25.75,25.875,24.375,25.8125,94000
2000-11-08,25.875,26.125,25.4375,25.875,105500
2000-11-09,25.625,25.875,25.5,25.875,69000
2000-11-10,25.625,25.6875,25.125,25.1875,94000
2000-11-13,25.25,25.3125,24.8125,24.9375,141100
2000-11-14,24.9375,25.0,24.5,24.8125,192300
2000-11-15,24.9375,25.25,24.8125,25.1875,96000
2000-11-16,24.9375,25.0,24.5,24.75,51000
2000-11-17,24.8125,25.375,24.5,25.0,104200
