,open,high,low,close,volume
2020-07-01,25.0,25.87,24.25,25.35,37148431
2020-07-02,25.3,27.6,25.0,27.1,6754535
2020-07-06,27.75,28.2,26.31,27.39,6394085
2020-07-07,26.26,27.4,26.06,26.6,2995178
2020-07-08,26.89,26.98,25.55,26.49,8779908
2020-07-09,26.35,26.4,24.9,25.88,2736296
2020-07-10,25.88,26.35,25.5,26.25,1200363
2020-07-13,26.25,27.13,25.4202,25.48,1503448
2020-07-14,25.4,25.73,25.18,25.39,855521
2020-07-15,25.44,25.8,25.3,25.5,891541
2020-07-16,25.49,26.38,24.71,25.59,1158483
2020-07-17,25.65,26.0,25.35,25.71,260413
2020-07-20,25.71,26.3199,25.5,26.11,404117
2020-07-21,26.2,26.46,25.58,25.67,524846
2020-07-22,25.6,26.1889,25.51,25.69,533583
2020-07-23,25.58,26.09,24.97,25.46,545737
2020-07-24,25.25,25.42,24.91,25.14,658373
2020-07-27,25.24,25.47,24.4,25.29,914996
2020-07-28,25.35,25.6,24.85,25.21,1156107
2020-07-29,25.1,25.7,25.01,25.28,471361
2020-07-30,25.02,25.32,24.67,24.67,518840
2020-07-31,24.72,25.59,24.6372,25.5,765724
2020-08-03,25.49,25.74,24.9,25.56,1137756
2020-08-04,25.55,26.66,25.14,26.54,1421055
2020-08-05,26.5,27.3,26.24,27.04,1267639
2020-08-06,26.41,26.63,24.84,25.05,2399162
2020-08-07,24.9,26.05,24.8201,26.05,849029
2020-08-10,25.81,26.0899,24.69,24.7,1315480
2020-08-11,24.76,25.6,24.76,25.55,573636
