,open,high,low,close,volume
2000-08-11,40.125,40.125,39.375,40.125,495400
2000-08-14,40.625,42.25,40.4375,41.9375,1320400
2000-08-15,41.9375,42.4375,40.6875,40.75,1220400
2000-08-16,40.75,42.75,40.375,42.75,1399200
2000-08-17,43.0,44.1875,42.5,43.9375,1497000
2000-08-18,43.9375,44.0,42.5,43.3125,1310200
2000-08-21,43.75,44.125,42.375,44.125,1609900
2000-08-22,44.0625,44.375,43.5,44.25,714300
2000-08-23,45.0,46.25,45.0,46.125,2917700
2000-08-24,46.0,46.0625,45.125,46.0,1329300
2000-08-25,45.75,45.8125,44.375,45.25,743600
2000-08-28,45.0,45.875,44.75,45.875,1387600
2000-08-29,45.875,46.0,44.8125,45.10938,1078200
2000-08-30,45.0625,45.5625,44.125,44.625,1011300
2000-08-31,44.875,45.0,44.4375,44.8125,752200
2000-09-01,44.8125,45.0625,44.6875,45.0625,363900
2000-09-05,45.0625,45.5,44.125,44.6875,624900
2000-09-06,44.875,46.9375,44.875,46.5625,1441500
2000-09-07,46.5625,46.5625,44.9375,46.125,627100
2000-09-08,45.75,45.8125,44.5,45.25,1533400
2000-09-11,45.5,47.4375,45.5,47.125,1597800
2000-09-12,47.9375,47.9375,46.3125,47.0,1855600
2000-09-13,46.625,46.625,45.0625,45.5,989700
2000-09-14,45.375,46.4375,44.75,45.4375,868500
2000-09-15,46.25,46.5625,45.5,45.5625,1226900
2000-09-18,45.6875,46.125,43.1875,43.5625,1271500
2000-09-19,43.625,44.125,42.5,42.75,762100
2000-09-20,43.75,44.375,41.75,42.5,864300
2000-09-21,41.8125,42.5,40.625,41.0,1185700
2000-09-22,41.25,41.9375,40.625,40.6875,738700
2000-09-25,40.75,41.75,39.375,41.0625,1529500
2000-09-26,42.0,42.4375,41.625,41.75,786300
2000-09-27,41.75,42.25,40.9375,41.125,1460200
2000-09-28,41.0625,41.5,39.9375,41.0,1104000
2000-09-29,41.625,42.6875,40.875,41.0,1083200
2000-10-02,41.5625,42.25,40.5,41.9375,599400
2000-10-03,42.0,42.375,41.1875,41.5,983400
2000-10-04,40.125,40.625,38.5625,38.5625,1375000
2000-10-05,38.5625,39.125,38.0,38.5,1020800
2000-10-06,39.0,39.5,38.375,38.375,740600
2000-10-09,38.8125,39.4375,38.625,38.8125,377000
2000-10-10,39.6875,40.4375,39.3125,40.0,700200
2000-10-11,40.75,41.25,39.5625,40.1875,1124400
2000-10-12,40.125,42.375,39.25,39.875,2452700
2000-10-13,40.125,40.125,38.4375,38.75,2009400
2000-10-16,39.0,39.0,37.375,37.8125,1156800
2000-10-17,38.0625,39.3125,37.8125,37.9375,1175400
2000-10-18,38.8125,39.25,37.5,37.875,1022900
2000-10-19,37.875,39.0,37.625,38.125,770500
2000-10-20,38.0,39.875,37.875,39.1875,1376900
2000-10-23,39.4375,39.625,37.875,38.5,975200
2000-10-24,38.25,38.875,36.6875,36.9375,1310500
2000-10-25,36.5,36.625,34.875,34.875,1987000
2000-10-26,35.5,36.3125,34.5,36.0625,1368100
2000-10-27,36.0625,36.3125,34.375,34.5625,1571800
2000-10-30,34.625,35.5,34.0,34.6875,1008300
2000-10-31,35.125,35.4375,34.375,34.5625,765300
2000-11-01,35.6875,36.6875,35.1875,36.125,1394800
2000-11-02,35.875,35.9375,34.875,35.125,1030500
2000-11-03,35.25,35.6875,34.875,35.375,1073000
2000-11-06,35.625,35.625,34.625,35.0625,713500
2000-11-07,35.6875,36.3125,35.375,35.9375,600100
2000-11-08,36.3125,37.25,36.1875,36.6875,1010300
2000-11-09,37.25,37.3125,35.0625,35.5,797100
2000-11-10,35.5,36.625,35.0,35.125,895300
2000-11-13,35.625,35.75,33.5625,34.0,1931600
2000-11-14,34.0,35.75,33.625,35.125,885100
2000-11-15,36.125,36.5625,36.0,36.125,826900
2000-11-16,36.375,36.8125,35.5625,36.625,1132500
2000-11-17,36.5625,36.5625,34.6875,34.875,1078500
2000-11-20,35.375,35.8125,34.9375,35.4375,1246200
2000-11-21,35.4375,36.1875,35.4375,35.9375,841400
2000-11-22,35.75,35.8125,34.625,34.625,683900
2000-11-24,34.6875,36.4375,34.6875,36.0,247200
2000-11-27,36.125,36.375,34.6875,35.0625,979800
2000-11-28,35.0625,36.0,35.0,35.375,992300
2000-11-29,35.375,35.375,31.5,31.5,2663300
2000-11-30,32.0625,32.5,29.8125,30.1875,2057600
2000-12-01,31.4375,32.875,29.5625,32.0625,2200000
2000-12-04,32.0,32.8125,31.8125,32.0,1052500
2000-12-05,32.75,32.75,31.0,31.5,1134900
2000-12-06,31.75,32.8125,31.25,31.9375,1026000
2000-12-07,32.125,33.25,31.8125,33.25,1582400
2000-12-08,33.4375,34.3125,33.0625,34.0625,1583400
2000-12-11,34.25,35.25,34.25,34.875,1366200
2000-12-12,35.125,35.4375,34.9375,35.375,1033700
2000-12-13,35.125,35.625,33.8125,34.4375,1154500
2000-12-14,34.4375,35.0,33.1875,34.5,1006600
2000-12-15,34.5,35.25,34.5,35.0,796700
2000-12-18,35.375,37.75,35.375,37.5625,1041200
2000-12-19,37.5625,38.6875,37.4375,38.5,1060400
2000-12-20,38.25,38.25,36.6875,36.75,823600
2000-12-21,36.25,37.6875,36.25,37.5,758200
2000-12-22,37.5,37.9375,37.0,37.5625,603700
2000-12-26,37.5625,39.75,37.5625,39.5,569600
2000-12-27,39.9375,40.125,38.4375,38.9375,602900
2000-12-28,39.0,39.875,38.375,39.4375,974800
2000-12-29,39.9375,40.5625,39.1875,40.0,1092300
2001-01-02,40.0625,41.3125,39.6875,39.9375,679300
2001-01-03,39.6875,40.0625,37.75,37.8125,1295900
2001-01-04,37.5625,37.625,35.625,37.125,1487600
2001-01-05,37.375,38.5625,37.0,37.5625,852600
2001-01-08,37.75,38.4375,37.25,37.6875,879800
2001-01-09,38.375,39.0,38.0,38.25,703100
2001-01-10,37.5,38.875,37.5,37.875,1444000
2001-01-11,38.125,38.625,37.375,38.0,1032100
2001-01-12,38.0625,38.5,37.4375,38.4375,946100
2001-01-16,39.1875,39.375,37.9375,38.875,775200
2001-01-17,37.875,38.0,36.375,36.6875,985700
2001-01-18,37.1875,37.1875,35.25,35.6875,736900
2001-01-19,35.375,36.375,34.5625,34.75,1771000
2001-01-22,35.0,35.5625,34.75,34.9375,1219000
2001-01-23,35.9375,36.0,35.0,35.5,1513100
2001-01-24,35.5,38.5,35.125,38.3125,2858300
2001-01-25,38.9375,40.5,38.4375,40.4375,2028200
2001-01-26,40.4375,41.4375,40.0,40.625,1817700
2001-01-29,40.63,41.02,39.38,39.38,614100
2001-01-30,39.85,40.5,38.9,39.86,710300
2001-01-31,40.3,40.63,40.05,40.49,723400
2001-02-01,39.75,39.9,39.35,39.66,783400
2001-02-02,39.7,41.27,39.7,41.2,877700
2001-02-05,41.4,41.94,41.35,41.73,812000
2001-02-06,42.1,43.09,41.18,43.04,1173600
2001-02-07,43.04,44.29,41.9,43.43,1065500
2001-02-08,43.43,43.85,42.6,43.03,596300
2001-02-09,42.9,43.77,42.6,43.3,700300
2001-02-12,43.15,43.16,42.4,42.47,959000
2001-02-13,42.5,43.42,42.01,42.26,725000
2001-02-14,42.3,43.25,42.03,42.75,708900
2001-02-15,42.5,42.75,42.0,42.56,1248000
2001-02-16,43.45,43.72,42.57,43.09,678900
2001-02-20,43.34,43.45,42.16,42.65,458200
2001-02-21,42.9,43.24,41.46,41.9,653100
2001-02-22,42.5,42.6,40.08,41.0,606800
2001-02-23,40.88,41.85,39.0,39.0,653600
2001-02-26,39.2,41.75,39.2,41.17,802100
2001-02-27,41.2,42.3,41.0,41.3,993300
2001-02-28,41.3,42.0,40.53,41.9,1415000
2001-03-01,41.95,42.23,41.27,41.28,902800
2001-03-02,41.8,42.93,41.3,42.76,697600
2001-03-05,42.81,44.34,42.7,44.23,817300
2001-03-06,44.23,44.7,43.48,44.3,1081800
2001-03-07,44.3,44.98,43.58,44.98,3468700
2001-03-08,45.0,45.6,44.1,45.04,1050200
2001-03-09,45.04,45.65,44.1,44.67,959700
2001-03-12,44.68,44.94,43.0,43.04,699000
2001-03-13,43.2,43.2,41.75,42.25,1186100
2001-03-14,42.0,43.0,40.95,41.35,1195100
2001-03-15,41.39,41.7,40.45,40.72,1385200
2001-03-16,40.3,41.85,40.3,40.32,942800
2001-03-19,40.5,41.55,40.5,41.06,773400
2001-03-20,41.06,41.98,41.06,41.65,1015700
2001-03-21,41.4,41.73,40.85,40.91,761800
2001-03-22,41.0,41.22,39.7,40.72,2208600
2001-03-23,40.97,41.58,40.1,41.28,1134500
2001-03-26,41.75,42.18,41.45,41.45,1045200
2001-03-27,41.85,41.98,40.76,40.76,853200
2001-03-28,40.51,40.72,40.0,40.12,1447500
2001-03-29,39.3,39.5,38.53,39.01,2469200
2001-03-30,39.45,39.93,39.27,39.35,695900
2001-04-02,39.5,39.5,37.3,38.04,1632000
2001-04-03,38.2,38.72,36.6,36.6,1136400
2001-04-04,37.25,38.7,37.25,37.96,1010000
2001-04-05,38.5,39.9,37.8,39.22,885500
2001-04-06,37.25,38.5,36.9,38.05,5064800
2001-04-09,38.2,38.84,38.01,38.48,1669500
2001-04-10,38.61,39.13,38.06,39.1,3559900
2001-04-11,39.29,39.48,38.4,38.61,1943800
2001-04-12,38.9,39.83,38.85,39.48,1446900
