,open,high,low,close,volume
2000-08-11,37.661551,39.125606,37.661551,38.822698,423891
2000-08-14,38.721729,39.125606,38.51979,39.075121,278054
2000-08-15,39.17609,39.226575,38.620759,38.822698,255647
2000-08-16,38.822698,39.226575,38.671244,38.822698,350106
2000-08-17,38.974152,39.529483,38.974152,39.378029,230515
2000-08-18,39.378029,39.478998,38.999394,39.327544,234353
2000-08-21,39.226575,39.378029,39.024637,39.024637,453479
2000-08-22,39.125606,39.17609,38.721729,38.772213,369914
2000-08-23,38.822698,39.075121,38.216882,38.368336,434166
2000-08-24,38.267367,39.327544,38.166397,39.024637,328565
2000-08-25,39.125606,39.630452,38.974152,39.529483,640169
2000-08-28,39.579968,39.882876,39.428514,39.781906,374866
2000-08-29,39.579968,40.791599,39.478998,40.539176,556728
2000-08-30,40.387722,40.589661,39.478998,39.882876,498047
2000-08-31,39.983845,39.983845,39.428514,39.491624,551281
2000-09-01,39.579968,40.03433,39.024637,39.024637,584583
2000-09-05,39.024637,39.529483,39.024637,39.327544,282140
2000-09-06,39.428514,40.185784,39.327544,40.03433,287835
2000-09-07,39.882876,39.983845,39.478998,39.630452,341440
2000-09-08,39.680937,39.731422,39.075121,39.579968,501513
2000-09-11,39.579968,40.084814,39.27706,40.084814,432804
2000-09-12,40.084814,40.943053,39.706179,40.438207,739952
2000-09-13,40.791599,41.649838,40.640145,41.397415,613552
2000-09-14,41.245961,41.4479,40.943053,41.4479,284368
2000-09-15,41.649838,41.649838,40.084814,40.135299,1195784
2000-09-18,39.93336,40.084814,38.671244,38.721729,815594
2000-09-19,38.721729,38.721729,37.10622,37.964459,1564584
2000-09-20,37.964459,37.964459,37.10622,37.510097,675700
2000-09-21,37.510097,37.510097,36.752827,37.055735,501390
2000-09-22,37.055735,37.055735,36.197496,36.803312,527635
2000-09-25,36.803312,38.923667,36.803312,38.065428,555366
2000-09-26,38.267367,38.671244,37.510097,37.712036,511170
2000-09-27,37.560582,38.469305,37.308158,38.065428,783282
2000-09-28,38.216882,39.882876,38.115913,39.630452,782663
2000-09-29,39.478998,39.832391,37.813005,37.913974,887274
2000-10-02,38.115913,38.115913,37.560582,37.712036,469078
2000-10-03,37.76252,38.368336,37.510097,38.115913,874770
2000-10-04,37.661551,37.712036,37.055735,37.10622,876999
2000-10-05,37.10622,37.308158,36.096527,36.096527,905349
2000-10-06,36.147011,36.197496,34.026656,34.481018,1761797
2000-10-09,34.682956,35.541195,34.481018,35.187803,473535
2000-10-10,35.288772,35.288772,33.673263,34.279079,676443
2000-10-11,34.329564,35.036349,33.925687,34.531502,742923
2000-10-12,34.93538,34.985864,33.218901,33.370355,600430
2000-10-13,33.572294,35.743134,33.521809,34.985864,1058613
2000-10-16,35.541195,35.692649,34.380048,34.733441,543605
2000-10-17,34.531502,34.632472,27.56462,29.07916,5948590
2000-10-18,29.281099,30.391761,29.281099,30.189822,2603514
2000-10-19,30.49273,30.694669,30.189822,30.391761,1124227
2000-10-20,29.987884,30.290792,29.129645,29.886914,998570
2000-10-23,29.987884,31.300485,29.684976,30.442246,1202221
2000-10-24,30.49273,31.048061,30.341276,30.846123,910549
2000-10-25,30.745153,30.745153,29.886914,30.442246,461402
2000-10-26,30.543215,31.350969,30.49273,31.149031,715687
2000-10-27,31.048061,32.512116,30.5937,32.209208,878361
2000-10-30,32.310178,33.925687,32.108239,33.067447,1022340
2000-10-31,33.269386,34.329564,33.117932,34.279079,683623
2000-11-01,35.238288,35.238288,34.026656,34.531502,593744
2000-11-02,34.531502,35.086834,34.531502,34.93538,642398
2000-11-03,35.137318,35.59168,34.279079,34.83441,723982
2000-11-06,34.83441,34.93538,34.581987,34.83441,291672
2000-11-07,34.83441,34.884895,34.430533,34.783926,421291
2000-11-08,34.83441,34.884895,34.380048,34.733441,557719
2000-11-09,34.581987,34.682956,33.824717,34.481018,624447
2000-11-10,34.329564,34.329564,33.117932,33.319871,408663
2000-11-13,33.016963,33.370355,32.915994,33.168417,766693
2000-11-14,33.471325,33.521809,32.461632,33.067447,1615218
2000-11-15,32.966478,35.036349,32.966478,34.17811,836021
2000-11-16,34.632472,34.884895,34.127625,34.430533,633732
