,open,high,low,close,volume
2000-08-11,26.09375,26.4375,26.09375,26.375,1000000
2000-08-14,26.375,27.625,26.375,27.5,1064400
2000-08-15,27.5,27.78125,27.09375,27.09375,1160000
2000-08-16,27.09375,27.9375,27.0625,27.625,919200
2000-08-17,27.75,28.875,27.75,28.46875,1707400
2000-08-18,29.25,29.46875,27.84375,28.34375,898800
2000-08-21,28.21875,28.75,27.875,28.125,869400
2000-08-22,27.875,28.625,27.875,28.15625,681000
2000-08-23,28.5,31.375,28.25,30.99219,1923400
2000-08-24,30.5,30.5,29.125,29.6875,3655400
2000-08-25,29.75,30.125,29.5625,29.84375,2165600
2000-08-28,30.09375,30.46875,29.5,30.15625,1201400
2000-08-29,30.46875,31.0,30.1875,30.375,31008800
2000-08-30,30.1875,30.5,29.875,30.46875,3368000
2000-08-31,30.0625,30.21875,29.125,29.28906,1835600
2000-09-01,29.75,30.375,29.75,29.9375,1722000
2000-09-05,29.9375,29.96875,29.40625,29.8125,969200
2000-09-06,29.875,30.34375,29.8125,30.34375,2468400
2000-09-07,30.375,30.375,29.71875,30.03125,1545000
2000-09-08,30.0,30.0,29.15625,29.28125,1164400
2000-09-11,29.15625,30.1875,28.875,30.03125,1606200
2000-09-12,29.625,30.25,29.4375,29.625,1350400
2000-09-13,29.59375,29.625,28.5,29.09375,1738600
2000-09-14,28.96875,29.09375,28.75,29.0625,947600
2000-09-15,29.34375,31.125,29.3125,31.0,3739800
2000-09-18,31.1875,31.28125,30.25,30.50781,1661200
2000-09-19,30.71875,30.71875,29.4375,29.46875,1731000
2000-09-20,29.6875,30.21875,29.46875,29.75,1663200
2000-09-21,29.75,29.75,28.4375,28.75,2652800
2000-09-22,28.6875,28.875,28.03125,28.21875,1209200
2000-09-25,27.75,28.91,27.42,28.875,2437200
2000-09-26,29.75,29.75,29.2,29.5,1881600
2000-09-27,29.5,30.05,29.5,30.05,1839600
2000-09-28,30.1,30.275,29.725,29.95,1056200
2000-09-29,30.25,30.4,30.0,30.075,1702000
2000-10-02,30.08,30.5,30.08,30.35,1363400
2000-10-03,30.325,30.5,30.115,30.435,1130200
2000-10-04,30.05,30.055,29.5,29.5,1272400
2000-10-05,29.325,29.37,28.205,28.25,1943000
2000-10-06,28.25,29.2,27.93,28.245,1498400
2000-10-09,28.5,28.9,28.5,28.875,1011800
2000-10-10,29.295,30.555,29.25,30.225,1860200
2000-10-11,30.75,32.0,30.75,31.45,2204000
2000-10-12,31.62,32.37,31.59,32.0,2784400
2000-10-13,32.0,32.0,30.7,31.035,1801400
2000-10-16,30.625,30.825,30.125,30.25,1100400
2000-10-17,30.25,31.075,30.25,30.545,1482200
2000-10-18,30.75,30.905,30.5,30.5,1295000
