,open,high,low,close,volume
2006-10-26,24.45,26.25,23.73,23.88,356600
2006-10-27,24.0,24.72,23.77,24.5,464000
2006-10-30,24.5,24.5,23.7,24.1,158200
2006-10-31,24.2,24.3,23.8,24.2,124200
2006-11-01,24.0,24.1,23.6,23.8,453800
2006-11-02,24.0,24.0,23.6,23.7,283800
2006-11-03,23.61,23.65,22.28,22.9,783200
2006-11-06,22.8,22.9,22.5,22.5,293000
2006-11-07,22.3,22.7,22.2,22.4,259600
2006-11-08,22.4,22.6,21.3,22.0,761100
2006-11-09,20.4,21.2,19.8,21.0,2431100
2006-11-10,21.0,21.27,20.7,21.0,655700
2006-11-13,20.9,21.0,19.9,20.4,479800
2006-11-14,20.2,21.0,20.2,21.05,364000
2006-11-15,21.0,21.3,20.8,21.2,402700
2006-11-16,21.2,21.5,21.2,21.54,1043600
2006-11-17,21.53,22.26,21.22,22.26,543100
2006-11-20,22.1,22.2,21.5,22.2,410900
2006-11-21,22.2,22.4,21.7,22.4,375900
2006-11-22,22.43,22.8,22.4,22.5,196400
2006-11-24,22.6,22.7,22.2,22.6,111200
2006-11-27,22.6,22.7,21.7,21.8,334600
2006-11-28,21.7,22.8,21.5,22.5,333100
2006-11-29,22.58,22.7,22.26,22.6,598900
2006-11-30,22.5,23.8,22.5,23.8,596500
2006-12-01,23.95,23.9,23.0,23.5,220500
2006-12-04,23.1,24.1,23.1,24.1,211700
2006-12-05,24.0,24.0,23.3,23.8,187000
2006-12-06,23.6,24.0,23.6,23.97,167600
2006-12-07,23.8,23.8,23.4,23.66,185700
2006-12-08,23.69,23.7,23.4,23.7,123700
2006-12-11,23.8,24.7,23.2,24.75,308000
2006-12-12,24.6,24.6,23.9,24.4,465800
2006-12-13,24.3,24.3,23.7,24.0,157600
2006-12-14,24.0,24.0,23.6,23.8,298700
2006-12-15,23.66,24.39,23.64,24.35,373700
2006-12-18,24.2,24.3,23.6,23.7,147900
2006-12-19,23.0,23.8,23.0,23.8,285700
2006-12-20,23.6,23.9,23.4,23.9,200700
2006-12-21,23.9,23.9,23.3,23.4,365300
2006-12-22,23.39,23.45,22.99,23.1,155700
2006-12-26,22.8,23.1,22.5,22.64,149700
2006-12-27,22.6,22.8,22.5,22.5,135500
2006-12-28,22.3,22.8,22.1,22.7,304600
2006-12-29,22.41,22.76,22.35,22.65,241400
2007-01-03,22.0,22.5,22.0,22.34,396800
2007-01-04,22.2,22.2,21.8,22.1,249800
2007-01-05,22.12,22.6,22.12,22.3,377300
2007-01-08,22.3,22.9,22.1,22.6,310500
2007-01-09,22.6,23.1,22.6,23.1,309000
2007-01-10,23.0,23.0,22.5,22.6,738400
2007-01-11,22.6,22.7,22.3,22.5,770100
2007-01-12,22.21,22.6,22.2,22.5,435800
2007-01-16,22.4,22.8,22.3,22.7,829800
2007-01-17,22.5,22.7,22.3,22.73,403700
2007-01-18,22.7,22.7,22.5,22.7,229300
2007-01-19,22.7,22.73,22.19,22.5,566600
2007-01-22,22.4,22.5,22.2,22.35,285000
2007-01-23,22.25,22.35,22.15,22.28,139300
2007-01-24,22.15,22.23,22.04,22.12,173800
2007-01-25,22.11,22.27,21.34,21.95,1228300
2007-01-26,22.06,22.06,21.56,21.7,561800
2007-01-29,21.8,22.7,21.8,22.62,1295000
2007-01-30,22.72,22.86,22.5,22.61,613300
2007-01-31,22.55,23.39,22.39,23.39,727900
2007-02-01,23.15,24.31,23.15,24.31,606500
2007-02-02,24.31,24.33,23.93,24.12,395200
2007-02-05,24.0,24.74,23.9,24.64,517400
2007-02-06,24.6,24.6,23.6,23.93,803700
2007-02-07,23.9,24.24,23.83,24.21,168500
2007-02-08,24.23,24.38,24.16,24.29,264300
2007-02-09,24.37,24.55,24.21,24.54,370500
2007-02-12,24.54,24.6,24.26,24.48,538100
2007-02-13,24.5,24.7,24.37,24.65,242464
2007-02-14,24.57,24.8,24.5,24.79,307013
2007-02-15,24.85,25.74,24.8201,25.58,753900
2007-02-16,25.58,25.89,25.41,25.73,288000
2007-02-20,25.66,25.8,25.15,25.2,671000
2007-02-21,25.15,25.16,24.78,25.09,318800
2007-02-22,25.0,25.25,24.74,25.14,471900
2007-02-23,25.0,25.13,24.672,24.75,717500
