,open,high,low,close,volume
2013-08-14,75.598802,76.916168,73.353293,75.299401,9092489
2013-08-15,74.640719,77.005988,74.550898,76.347305,573708
2013-08-16,77.365269,78.053892,76.497006,76.946108,272389
2013-08-19,76.946108,77.065868,73.862275,75.598802,279711
2013-08-20,75.449102,75.718563,75.02994,75.598802,138548
2013-08-21,75.239521,76.257485,75.11976,75.149701,198269
2013-08-22,75.149701,75.808383,75.149701,75.299401,76797
2013-08-23,75.149701,76.317365,75.149701,76.197605,71441
2013-08-26,76.317365,78.473054,75.781437,77.754491,175058
2013-08-27,76.047904,78.353293,75.838323,78.053892,110816
2013-08-28,77.874251,78.443114,77.335329,78.083832,81750
2013-08-29,78.053892,79.011976,78.024251,78.982036,176906
2013-08-30,79.281437,79.700599,78.143713,78.562874,313785
2013-09-03,76.856287,80.05988,76.736527,79.94012,148573
2013-09-04,80.688623,82.335329,80.449102,82.005988,261593
2013-09-05,81.856287,81.946108,80.329341,80.838323,271498
2013-09-06,82.365269,82.365269,80.02994,80.568862,125518
2013-09-09,80.449102,81.407186,80.0,80.239521,135347
2013-09-10,79.94012,81.407186,79.790419,81.257485,100506
2013-09-11,80.718563,84.94012,80.599102,84.670659,220035
2013-09-12,84.820359,85.928144,83.592814,85.299401,88401
2013-09-13,86.137725,86.467066,85.269461,85.359281,99262
2013-09-16,84.491018,85.149701,81.257485,82.185629,189195
2013-09-17,82.784431,83.802395,82.365269,83.802395,284662
2013-09-18,83.832335,84.730539,83.652695,84.191617,153185
2013-09-19,84.491018,84.580838,83.293413,83.592814,86305
2013-09-20,83.233533,83.652695,80.05988,80.359281,316145
2013-09-23,81.676647,81.886228,78.562874,80.359281,451399
2013-09-24,80.808383,80.808383,79.311377,80.359281,210067
2013-09-25,80.748503,80.778443,78.323353,79.281437,216098
2013-09-26,79.281437,80.01497,78.892216,79.221557,218947
2013-09-27,78.862275,79.281437,78.053892,78.083832,260362
2013-09-30,78.053892,80.239521,76.377246,77.934132,997721
2013-10-01,78.473054,78.802395,77.754491,78.473054,209773
2013-10-02,79.371257,81.227545,78.682635,80.508982,565269
2013-10-03,80.958084,86.796407,80.958084,84.431138,405203
2013-10-04,84.760479,89.221557,84.730539,87.664671,336458
2013-10-07,87.57485,88.413174,86.676647,87.934132,134450
2013-10-08,88.053892,88.053892,86.317365,86.556886,100150
2013-10-09,86.467066,87.203293,84.251497,86.676647,126267
2013-10-10,87.724551,89.341317,86.407186,87.48503,237021
2013-10-11,87.125749,87.365269,85.838323,86.377246,46429
2013-10-14,85.658683,87.39521,85.269461,85.269461,92825
2013-10-15,85.209581,85.778443,83.083832,84.191617,180191
2013-10-16,84.94012,87.724551,84.91018,86.526946,110881
2013-10-17,86.736527,87.48503,85.748503,87.48503,169484
2013-10-18,87.904192,89.371257,87.694611,87.904192,151458
2013-10-21,87.814371,88.982036,86.407186,87.39521,78301
2013-10-22,87.305389,87.964072,86.886228,87.125749,61731
2013-10-23,86.946108,86.975749,85.988024,86.826347,39019
2013-10-24,87.035928,87.36497,85.778443,86.796407,54150
2013-10-25,86.437126,86.946108,85.449102,86.077844,41804
2013-10-28,86.347305,88.622754,86.137725,87.335329,104404
2013-10-29,87.694611,88.383234,86.347305,87.365269,76106
2013-10-30,87.844311,88.293413,85.08982,86.916168,84308
2013-10-31,87.155689,89.011976,86.58982,86.976048,122494
2013-11-01,86.856287,87.245509,85.688623,86.946108,64861
2013-11-04,87.125749,88.203593,86.916168,87.814371,55782
2013-11-05,87.814371,88.143713,86.077844,87.48503,46694
2013-11-06,87.784431,87.904192,86.616766,86.826347,84971
2013-11-07,87.245509,87.275449,84.221557,85.359281,79930
2013-11-08,85.11976,86.826347,84.790419,84.91018,99339
2013-11-11,85.033234,85.359281,84.191617,84.91018,129581
2013-11-12,85.02994,85.389222,84.191617,84.850299,85628
2013-11-13,84.401198,84.820359,83.568862,84.041916,139922
2013-11-14,85.149701,87.54491,84.700599,85.628743,318256
2013-11-15,86.197605,86.766467,83.547006,86.077844,142564
2013-11-18,86.437126,88.323353,85.568862,86.706587,84729
2013-11-19,86.826347,86.826347,82.387725,82.934132,408155
2013-11-20,83.203593,85.02994,80.838323,84.371257,135658
2013-11-21,84.700599,86.736527,83.832335,86.497006,114767
2013-11-22,86.526946,87.45509,86.018263,87.42515,162603
2013-11-25,87.155689,88.413174,86.556886,86.946108,51826
2013-11-26,86.736527,88.413174,86.407186,86.646707,161126
2013-11-27,86.646707,90.0,86.646707,89.820359,161270
2013-11-29,90.149701,90.988024,88.592814,88.682635,32872
2013-12-02,88.652695,88.712575,87.39521,88.323353,309169
2013-12-03,88.383234,89.610778,86.736527,87.634731,137731
2013-12-04,87.664671,89.91018,87.39521,89.550898,108629
2013-12-05,89.281437,92.035928,89.191617,90.778443,99365
2013-12-06,91.317365,93.203593,90.988024,92.784431,193725
2013-12-09,92.964072,97.42515,92.724551,96.556886,274842
2013-12-10,96.796407,96.796407,94.583832,95.658683,165210
2013-12-11,95.449102,95.826347,93.443114,93.592814,127357
2013-12-12,93.173653,94.835329,92.335329,94.131737,121488
2013-12-13,94.790419,98.772455,94.221557,97.125749,166688
2013-12-16,95.868263,99.850299,93.502994,99.730539,220263
2013-12-17,99.640719,99.640719,96.467066,97.245509,345386
2013-12-18,98.892216,101.377246,97.964072,100.538922,236841
2013-12-19,100.508982,102.155689,100.419162,102.065868,119528
2013-12-20,101.946108,103.592814,101.377545,103.353293,855545
2013-12-23,103.113772,104.94012,102.275449,104.431138,92347
2013-12-24,104.041916,104.191617,103.587725,104.041916,46330
2013-12-26,104.221557,104.97006,103.203593,103.622754,26816
2013-12-27,104.041916,104.640719,102.60479,103.892216,66512
2013-12-30,104.101796,104.610479,102.761377,104.101796,100701
2013-12-31,104.431138,106.437126,103.383234,106.347305,109188
2014-01-02,105.808383,106.137725,101.946108,102.51497,121782
2014-01-03,103.443114,106.137725,101.047904,101.526946,313178
2014-01-06,102.005988,106.077844,101.556886,105.658683,315576
2014-01-07,106.197605,106.287425,103.952096,105.658683,142369
2014-01-08,106.077844,106.437126,104.041916,105.11976,151196
2014-01-09,106.047904,106.047904,100.07485,102.51497,382407
2014-01-10,102.904192,103.383234,99.191617,100.299401,332411
2014-01-13,100.449102,101.826347,96.826347,97.45509,268605
2014-01-14,100.239521,104.191617,97.664671,98.323353,261909
2014-01-15,98.143713,103.143713,98.023952,100.479042,269540
2014-01-16,99.790419,102.934132,98.383234,102.035928,172893
2014-01-17,102.095808,103.173653,100.748503,103.023952,150824
2014-01-21,104.011976,104.011976,99.730539,101.826347,207282
2014-01-22,100.598802,100.958084,98.532934,99.610778,137525
2014-01-23,99.850299,99.850299,97.874251,99.101796,115043
2014-01-24,98.802395,99.790419,98.113772,99.101796,136164
2014-01-27,99.071856,100.658683,95.568862,97.634731,146860
2014-01-28,97.964072,99.550898,96.796407,98.443114,101283
2014-01-29,97.48503,98.832335,96.826347,98.652695,98383
2014-01-30,99.700599,99.700599,97.45509,98.083832,105278
2014-01-31,97.39521,100.359281,97.065868,98.982036,47242
2014-02-03,96.946108,98.353293,92.694611,94.520958,294771
2014-02-04,94.850299,94.850299,90.239521,91.047904,292735
2014-02-05,90.419162,93.592814,89.401198,92.005988,436421
2014-02-06,94.311377,99.251497,94.251497,99.101796,2585479
2014-02-07,98.682635,100.299401,97.754491,98.802395,321848
2014-02-10,98.323353,99.101796,97.306287,98.952096,211765
2014-02-11,98.952096,98.952096,96.856287,97.005988,329920
2014-02-12,97.335329,101.407186,97.155689,100.868263,579735
2014-02-13,100.359281,101.616766,99.071856,101.227545,189294
2014-02-14,101.137725,102.934132,100.419162,101.736527,311860
2014-02-18,102.065868,103.083832,100.778443,101.736527,120321
2014-02-19,101.796407,102.245509,98.982036,99.850299,153196
2014-02-20,99.550898,100.05988,98.922156,99.401198,87086
2014-02-21,99.431138,99.431138,97.784431,98.862275,123999
2014-02-24,98.802395,101.227545,98.323353,100.359281,108315
2014-02-25,100.299401,100.958084,98.652695,98.952096,128823
2014-02-26,99.281437,101.467066,98.952096,100.179641,187362
2014-02-27,99.700599,101.287425,99.610778,100.359281,156084
2014-02-28,100.568862,102.125749,99.670659,100.778443,396887
2014-03-03,99.700599,101.736527,99.251497,100.808383,157608
2014-03-04,101.856287,103.982036,101.437126,102.634731,195222
2014-03-05,102.57485,102.694611,100.221557,100.838323,316133
2014-03-06,102.994012,110.179641,98.682635,101.826347,502679
2014-03-07,101.946108,102.215569,100.299401,101.437126,209605
2014-03-10,101.856287,102.54491,100.08982,101.497006,167473
2014-03-11,101.916168,102.005988,100.269461,100.628743,156012
2014-03-12,100.05988,100.05988,97.784431,99.550898,231157
2014-03-13,100.838323,100.838323,96.437126,96.856287,320608
2014-03-14,96.137725,98.562874,95.958084,98.293413,267187
2014-03-17,98.502994,101.317365,98.143713,101.317365,220177
2014-03-18,101.317365,102.51497,101.317365,102.095808,127063
2014-03-19,101.916168,104.221557,100.479042,102.994012,104446
2014-03-20,102.664671,104.161677,101.437126,102.60479,112434
2014-03-21,102.784431,103.383234,100.209581,101.377246,310048
2014-03-24,101.437126,101.766467,98.443114,99.041916,152149
2014-03-25,99.491018,99.715569,98.353293,99.071856,160333
2014-03-26,99.580838,101.946108,99.287425,99.311377,178489
2014-03-27,99.491018,99.700599,98.772455,99.610778,64080
2014-03-28,100.02994,102.095808,99.131737,99.640719,96995
