,open,high,low,close,volume
2000-08-11,12.09375,12.28125,11.96875,12.04297,283600
2000-08-14,12.02344,12.04688,11.9375,11.9375,367600
2000-08-15,11.98438,12.03125,11.75,11.75,314800
2000-08-16,11.78125,12.03125,11.78125,12.03125,335200
2000-08-17,11.98438,12.01563,11.6875,11.70313,125200
2000-08-18,11.71875,11.71875,11.40625,11.48438,239600
2000-08-21,11.45313,11.57813,11.25,11.28125,241600
2000-08-22,11.26563,11.40625,10.8125,10.8125,667200
2000-08-23,10.90625,11.0,10.5625,10.78125,1414800
2000-08-24,10.75,11.1875,10.75,11.0625,1228800
2000-08-25,11.09375,11.375,11.0,11.28125,420400
2000-08-28,11.30469,11.5,11.25,11.25,466800
2000-08-29,11.35938,11.57813,11.26563,11.5,713600
2000-08-30,11.5625,11.92188,11.46875,11.75,952800
2000-08-31,11.71875,12.25,11.6875,12.25,912800
2000-09-01,12.28125,12.34375,12.0625,12.25,1203200
2000-09-05,12.26563,12.28125,11.96875,12.09375,406800
2000-09-06,12.15625,12.1875,12.0625,12.125,588400
2000-09-07,12.14063,12.21875,12.09375,12.10938,586800
2000-09-08,12.13281,12.4375,12.09375,12.4375,1763200
2000-09-11,12.25,12.42188,12.17188,12.17188,516800
2000-09-12,12.21875,12.40625,12.15625,12.30469,469600
2000-09-13,12.28125,12.59375,12.28125,12.48438,455600
2000-09-14,12.46875,12.48438,12.32813,12.375,367600
2000-09-15,12.375,12.53125,12.34375,12.40625,850000
2000-09-18,12.34375,12.40625,11.46875,11.66406,361200
2000-09-19,11.65625,11.95313,11.65625,11.9375,552000
2000-09-20,11.96875,12.14063,11.8125,12.09375,648800
2000-09-21,11.96875,12.21875,11.96875,12.01563,597200
2000-09-22,11.90625,12.4375,11.90625,12.4375,520400
2000-09-25,12.28906,12.40625,12.0,12.0625,790400
2000-09-26,12.0,12.09375,11.21875,11.23438,1013600
2000-09-27,11.40625,11.46875,11.0,11.09375,518400
2000-09-28,11.125,11.5625,11.09375,11.5,1413200
2000-09-29,11.4375,11.5625,11.09375,11.26563,1444000
2000-10-02,11.375,11.375,10.9375,11.04688,2405600
2000-10-03,11.0625,11.26563,11.0625,11.13672,1158400
2000-10-04,10.59375,11.17188,10.54688,10.96875,1043600
2000-10-05,10.84375,11.0,10.75,10.8125,592800
2000-10-06,10.78516,10.96875,10.09375,10.40625,780400
2000-10-09,10.40625,10.40625,9.9375,10.01563,733600
2000-10-10,9.9375,10.09375,9.9375,10.0,1766000
2000-10-11,9.9375,10.25,9.90625,10.03125,1316800
2000-10-12,10.03516,10.28125,9.96875,10.125,1262800
2000-10-13,10.99609,11.03125,10.6875,10.89063,7403600
2000-10-16,11.15234,11.17188,10.875,10.98438,1869600
2000-10-17,11.0,11.0625,10.5625,10.84375,2734400
2000-10-18,10.76563,10.875,10.59375,10.75,1067600
2000-10-19,10.75,11.84375,10.75,11.78125,1872000
2000-10-20,11.625,12.15625,11.625,12.0,773600
2000-10-23,11.91016,12.125,11.71875,11.76563,688400
2000-10-24,11.76953,12.29688,11.75,12.0,585200
2000-10-25,11.84375,12.23438,11.84375,12.0,686000
2000-10-26,12.0,12.375,11.35938,12.34375,1012000
2000-10-27,12.34375,12.46875,12.07813,12.45313,299600
2000-10-30,12.4375,12.8125,12.14063,12.78125,1169600
2000-10-31,12.78125,13.03125,12.53125,12.96875,2282000
2000-11-01,12.89063,13.23438,12.76563,13.03125,1654400
2000-11-02,12.94531,13.17188,12.90625,13.15625,1875600
2000-11-03,13.15625,13.90625,13.01563,13.40625,1154800
2000-11-06,13.60938,14.375,13.375,13.84375,2098400
2000-11-07,13.78125,14.0,13.70313,13.93359,494000
2000-11-08,13.3125,13.32813,12.625,13.07813,1841200
2000-11-09,13.0625,13.625,13.04688,13.57813,563200
2000-11-10,13.5625,13.71875,13.3125,13.3125,605600
2000-11-13,13.15625,13.5625,13.125,13.5,790800
2000-11-14,13.64063,14.0,13.5625,13.98438,859600
2000-11-15,13.875,14.5,13.8125,14.3125,1002400
2000-11-16,14.25,14.59375,14.1875,14.375,1140800
2000-11-17,14.48047,14.48438,14.125,14.29688,1663200
2000-11-20,14.20313,14.34375,14.1875,14.25,1240000
2000-11-21,14.35938,14.375,14.125,14.26563,1117600
2000-11-22,14.28125,14.3125,14.0,14.1875,399200
2000-11-24,14.17188,14.40625,14.17188,14.375,697600
2000-11-27,14.40234,14.75,14.3125,14.71875,1358000
2000-11-28,14.67188,14.71875,13.65625,13.76563,1035200
2000-11-29,13.79688,13.84766,13.40625,13.4375,867600
2000-11-30,13.42188,13.4375,12.53125,12.96875,1406800
2000-12-01,12.875,13.20313,12.4375,13.125,872000
2000-12-04,13.125,13.75,12.9375,13.3125,858000
2000-12-05,13.375,13.44922,12.9375,12.9375,1114400
2000-12-06,12.97656,13.125,12.6875,12.75,1103200
2000-12-07,13.0,13.0,12.71875,12.85938,2204800
2000-12-08,12.93359,13.15625,12.90625,13.0,1760800
2000-12-11,13.12109,13.8125,13.0,13.29688,3352800
2000-12-12,13.42188,14.40625,13.26563,14.21875,17024400
2000-12-13,14.29688,15.03125,13.5625,13.625,4728400
2000-12-14,13.59375,13.82813,13.15625,13.5625,2530000
2000-12-15,13.25,13.26563,11.76563,11.98438,13648000
2000-12-18,12.14063,12.5,11.875,12.125,5699200
2000-12-19,12.125,12.57813,12.125,12.17188,1931200
2000-12-20,12.0,12.09375,11.53125,11.6875,2393200
2000-12-21,11.64063,11.65625,10.6875,11.625,2472400
2000-12-22,11.60938,12.4375,11.25,12.07813,881600
2000-12-26,12.42188,12.5,11.875,12.03125,596800
2000-12-27,12.125,12.75,12.0,12.69141,636400
2000-12-28,12.84375,13.78125,12.79688,13.46484,1763600
2000-12-29,13.41016,14.0,13.25,13.42188,1958400
2001-01-02,13.64453,13.6875,12.25,12.40625,2412800
2001-01-03,12.28125,13.59375,12.21875,13.59375,4147200
2001-01-04,13.375,14.51563,13.375,13.9375,3183200
2001-01-05,14.0,14.0,13.71875,13.75,1654800
2001-01-08,13.75,13.8125,13.25,13.75,2389600
2001-01-09,13.76563,13.875,12.64063,13.1875,1688400
2001-01-10,13.125,13.15625,12.875,12.875,1311200
2001-01-11,12.8125,13.09375,12.8125,13.07813,882400
2001-01-12,13.0625,13.15625,12.46875,12.96875,1021600
2001-01-16,12.96875,12.96875,12.59375,12.90625,1068800
2001-01-17,12.9375,13.25,12.875,13.09375,940000
2001-01-18,13.09375,13.1875,12.98438,13.12109,877600
2001-01-19,13.125,13.125,12.78125,12.78125,1572400
2001-01-22,12.89063,13.10938,12.78125,13.10938,2196800
2001-01-23,12.92188,13.28125,12.8125,12.82813,3930000
2001-01-24,12.82813,12.875,12.70313,12.8125,1530400
2001-01-25,12.82813,13.4375,12.60938,13.14063,1257600
2001-01-26,13.1875,13.65625,12.96875,13.39063,856400
2001-01-29,13.5,14.625,13.47656,14.625,2609600
2001-01-30,14.40625,15.01563,14.17969,14.25,2484400
2001-01-31,14.22266,14.90625,14.09375,14.57813,2395200
2001-02-01,14.57813,14.85938,13.9375,14.46875,816400
2001-02-02,14.53125,14.5625,14.03125,14.125,739200
2001-02-05,14.14063,14.375,13.89453,14.32813,455600
2001-02-06,14.3125,14.46875,14.21875,14.3125,724400
2001-02-07,14.3125,14.39063,14.20313,14.26563,746000
2001-02-08,14.26563,14.26563,14.0,14.25391,303200
2001-02-09,14.28125,14.28125,13.73438,13.875,979600
2001-02-12,13.8125,14.1875,13.75,14.01172,1208800
2001-02-13,13.96875,14.4375,13.96875,14.1875,1701200
2001-02-14,14.21875,14.40625,14.15625,14.375,3659200
2001-02-15,14.35938,14.78125,14.35938,14.53125,1167200
2001-02-16,14.5,14.625,14.17188,14.29688,954400
2001-02-20,14.26563,14.6875,14.21875,14.53125,2773600
2001-02-21,14.20313,15.1875,14.1875,14.85938,1837600
2001-02-22,14.90625,14.90625,14.59375,14.79688,2876000
2001-02-23,14.73438,14.78125,14.5,14.57813,3490400
2001-02-26,14.65625,14.71875,14.25,14.53125,2544800
2001-02-27,14.53125,14.71875,14.5,14.67188,2289600
2001-02-28,14.65625,14.6875,14.35938,14.59375,1635200
2001-03-01,14.51563,14.57813,14.34375,14.5625,2427600
2001-03-02,14.54688,14.54688,13.75,13.9375,3490400
2001-03-05,13.9375,14.40625,13.6875,14.0,1190400
2001-03-06,14.03125,14.26563,13.9375,14.15625,2008800
2001-03-07,14.15625,14.375,14.09375,14.1875,1682000
2001-03-08,14.1875,14.28125,13.75,13.84375,1673200
2001-03-09,13.84375,13.84375,13.10938,13.29688,3791200
2001-03-12,13.125,13.21875,11.8125,12.125,4108400
2001-03-13,12.1875,12.54688,11.71875,12.4375,2515200
2001-03-14,12.25391,12.26563,11.46875,11.51563,2471600
2001-03-15,11.83594,12.07813,11.45313,11.6875,1232000
2001-03-16,11.625,11.65625,10.875,11.0625,2909200
2001-03-19,11.15625,12.0,11.125,11.75,4083600
2001-03-20,11.76563,12.0625,11.6875,11.75,2914400
2001-03-21,11.4375,12.34375,11.42188,11.96875,2022800
2001-03-22,11.89063,11.89063,11.42188,11.5,5368800
2001-03-23,11.46875,11.6875,11.09375,11.25,1550000
2001-03-26,11.4375,12.1875,11.39453,12.10938,3308000
2001-03-27,12.11328,12.4375,12.09375,12.28125,3415200
2001-03-28,12.23438,12.39063,12.0625,12.26563,1985200
2001-03-29,12.21875,12.3125,11.96875,12.1875,1358400
2001-03-30,12.3125,12.90625,12.15625,12.60938,2008400
2001-04-02,12.71875,12.84375,12.42188,12.54688,2019600
2001-04-03,12.5,12.5,11.8125,11.89063,1808000
2001-04-04,11.82813,11.92188,11.53125,11.76563,2234400
2001-04-05,11.85938,11.93359,11.5,11.78125,2384800
2001-04-06,11.75391,11.76563,11.4375,11.45313,1942800
2001-04-09,11.5,11.575,11.4375,11.5125,1288000
2001-04-10,11.625,12.025,11.5275,11.65,1599200
2001-04-11,11.6175,11.6175,11.4225,11.5,2526800
2001-04-12,11.2475,11.3125,11.15,11.3125,6311200
2001-04-16,11.3625,11.475,11.2475,11.375,2318400
2001-04-17,11.375,11.8725,11.375,11.75,1954000
2001-04-18,11.9725,13.1,11.965,12.6,4205600
2001-04-19,12.7325,12.875,12.55,12.715,1153600
2001-04-20,12.7475,12.8125,11.5625,12.36,5734800
2001-04-23,12.3725,12.375,11.9,11.955,951600
2001-04-24,11.95,12.0375,11.6375,11.67,1612800
2001-04-25,11.6475,12.04,11.6375,12.0075,1344400
2001-04-26,12.01,12.3775,12.0025,12.2025,2264000
2001-04-27,12.25,12.3375,12.1475,12.23,934400
2001-04-30,12.2125,12.5625,12.2125,12.5075,2353600
2001-05-01,12.4975,13.0025,12.485,12.975,2232400
2001-05-02,12.9725,13.0825,12.6525,12.875,1045200
2001-05-03,12.8525,12.8525,12.45,12.4725,1271200
2001-05-04,12.4375,12.56,12.375,12.5,1344400
2001-05-07,12.43,12.555,12.2875,12.2875,984000
2001-05-08,12.3975,12.65,12.3125,12.61,2738400
2001-05-09,12.5,12.5975,12.3225,12.4275,706800
2001-05-10,13.4375,14.5625,13.3675,13.93,10986800
2001-05-11,13.8875,14.055,13.66,13.755,3915600
2001-05-14,13.6875,14.655,13.625,14.525,2924400
2001-05-15,14.5875,14.9825,14.55,14.8925,3812400
2001-05-16,14.84,15.6775,14.49,15.615,4893200
2001-05-17,15.475,16.3875,15.25,16.32,3587600
2001-05-18,15.95,16.0,15.3375,15.5,4403200
2001-05-21,15.405,15.9375,15.39,15.88,2672400
2001-05-22,15.8775,15.9375,14.9925,15.34,3239200
2001-05-23,15.3225,15.425,14.96,15.2,2754000
2001-05-24,15.1375,16.06,15.05,15.975,3315200
2001-05-25,15.9375,16.0625,15.6375,15.9525,1198400
2001-05-29,15.925,16.0575,15.615,15.86,1556400
2001-05-30,15.755,16.125,15.5,15.7575,1056800
2001-05-31,15.9625,16.1725,15.58,16.0975,1358800
2001-06-01,16.125,16.1925,15.6525,15.9625,1415600
2001-06-04,16.0325,16.3125,15.8975,16.1725,1042000
2001-06-05,16.1925,16.48,16.075,16.275,1846400
2001-06-06,16.4275,16.43,15.78,15.8625,1637600
2001-06-07,15.7975,16.2,15.7475,15.91,804000
2001-06-08,16.0625,16.125,15.65,15.975,968400
2001-06-11,15.8525,16.0125,15.0,15.65,1526800
2001-06-12,15.5,15.67,15.25,15.6225,757600
2001-06-13,15.4825,15.485,14.9,15.2,2026000
2001-06-14,15.1225,15.1225,14.35,14.705,2260800
2001-06-15,14.5425,14.95,14.4375,14.875,1754800
2001-06-18,14.8125,15.235,14.47,14.515,1618800
2001-06-19,14.5525,14.9425,14.07,14.24,1231600
2001-06-20,14.2,14.8275,14.1575,14.7625,1830400
2001-06-21,14.875,15.0925,14.3875,14.6075,1130800
2001-06-22,14.635,15.055,14.4,14.685,2198800
2001-06-25,14.6625,14.7625,14.3875,14.63,902800
2001-06-26,14.625,14.77,14.4225,14.6025,924800
2001-06-27,14.6025,14.715,14.375,14.5375,668800
2001-06-28,14.4925,15.325,14.4925,15.1125,840800
2001-06-29,15.115,15.4375,12.5,15.0,876800
2001-07-02,15.0025,15.25,14.78,15.135,499600
2001-07-03,15.0375,15.2475,14.8275,15.18,182000
2001-07-05,15.0075,15.2175,14.8825,15.0,510400
2001-07-06,14.875,14.875,14.3825,14.5175,829600
2001-07-09,14.625,14.775,13.7,13.9975,2545200
2001-07-10,14.0125,14.18,13.775,14.0125,2245200
2001-07-11,14.125,14.15,13.6875,13.755,2219200
2001-07-12,13.7575,14.55,13.75,14.4275,2359200
2001-07-13,14.365,15.0475,14.315,14.76,1214400
2001-07-16,14.74,14.995,14.685,14.75,1069200
2001-07-17,14.7025,14.8125,14.425,14.7675,1048000
2001-07-18,14.7225,14.875,14.5625,14.8025,1133600
2001-07-19,14.975,14.975,14.8125,14.875,858400
2001-07-20,14.8125,15.4,14.6875,15.3325,1873600
2001-07-23,15.4375,15.565,15.0,15.2925,712800
2001-07-24,15.235,15.255,14.715,14.8025,443600
2001-07-25,14.8775,14.8775,14.085,14.4275,1057600
2001-07-26,14.44,14.87,14.44,14.85,706400
2001-07-27,14.755,15.2975,14.755,15.25,670400
2001-07-30,15.4625,15.4625,14.95,15.2525,568400
2001-07-31,14.84,14.9,13.9,14.205,4370400
2001-08-01,14.325,14.475,14.01,14.025,1551600
2001-08-02,14.2,14.24,13.9625,14.175,1405200
2001-08-03,13.9875,14.1625,13.725,13.7875,1662400
2001-08-06,13.78,14.0,13.7025,13.9025,2259200
2001-08-07,13.83,14.55,13.58,14.2625,3950400
2001-08-08,14.1775,14.3075,13.75,13.7625,3258400
2001-08-09,13.7625,13.9425,13.7625,13.8325,756000
2001-08-10,13.85,13.935,13.7075,13.7475,784000
