,open,high,low,close,volume
2012-10-12,17.82,18.28,17.495,17.5,6468591
2012-10-15,17.55,17.8325,17.5,17.75,633045
2012-10-16,17.57,17.95,17.25,17.79,180249
2012-10-17,17.7,18.07,17.5,17.7,120963
2012-10-18,17.6,17.87,17.52,17.7,146014
2012-10-19,17.72,17.8,17.41,17.41,298003
2012-10-22,17.5,17.51,16.93,17.03,359738
2012-10-23,16.85,17.295,16.75,17.13,166064
2012-10-24,16.92,17.47,16.92,17.39,158165
2012-10-25,17.98,17.98,16.245,17.03,206839
2012-10-26,17.51,17.51,16.6,17.14,199414
2012-10-31,16.5,17.03,16.5,17.03,36351
2012-11-01,17.1,17.48,16.51,17.23,202951
2012-11-02,16.99,17.23,16.56,17.0,72011
2012-11-05,16.79,17.0,16.5,16.71,33296
2012-11-06,16.52,17.48,16.09,17.01,370536
2012-11-07,16.75,17.4,16.75,17.06,155770
2012-11-08,16.29,17.27,16.29,16.75,141575
2012-11-09,16.33,16.94,16.33,16.55,209549
2012-11-12,16.46,16.55,16.36,16.5,12780
2012-11-13,16.52,16.76,15.97,16.04,47581
2012-11-14,15.97,16.47,15.65,16.05,123384
2012-11-15,16.38,17.26,15.71,16.7,366964
2012-11-16,16.91,17.69,16.27,16.82,104600
2012-11-19,16.85,17.25,16.5,17.12,77185
2012-11-20,17.14,17.29,16.83,17.13,251385
2012-11-21,17.12,17.4799,16.85,17.2,33045
2012-11-23,17.25,17.55,17.06,17.32,93965
2012-11-26,17.3,17.42,17.06,17.26,77338
2012-11-27,17.07,17.3325,16.93,17.23,55711
2012-11-28,17.45,17.4899,16.98,17.25,93914
2012-11-29,17.46,18.3499,17.2,18.16,164381
2012-11-30,18.44,18.48,17.77,18.0,44179
2012-12-03,18.01,18.5,17.39,18.1,47580
2012-12-04,18.23,18.23,17.411,17.83,30014
2012-12-05,17.58,18.1,17.58,17.98,32976
2012-12-06,17.76,17.78,17.32,17.62,41897
2012-12-07,17.68,17.85,17.6,17.75,42417
2012-12-10,17.89,17.92,17.36,17.62,72255
2012-12-11,17.41,17.84,17.2,17.54,72142
2012-12-12,17.47,17.78,17.47,17.64,57934
2012-12-13,17.41,17.98,17.29,17.88,135814
2012-12-14,17.43,17.65,17.25,17.57,44645
2012-12-17,17.66,18.5,17.5,17.98,107589
2012-12-18,17.93,19.25,17.7,18.8,142519
2012-12-19,18.8,19.89,18.131,19.18,192556
2012-12-20,18.95,19.02,18.44,19.02,200482
2012-12-21,18.62,19.18,17.68,18.98,1936469
2012-12-24,19.05,19.45,18.01,18.64,158969
2012-12-26,18.75,19.0,18.27,18.65,81266
2012-12-27,18.57,19.4875,18.39,18.54,162079
2012-12-28,18.41,18.92,18.31,18.78,66402
2012-12-31,18.74,19.22,18.57,19.12,125602
2013-01-02,19.46,19.92,18.6,19.24,189639
2013-01-03,19.24,19.455,18.646,19.14,89043
2013-01-04,19.25,20.49,18.97,20.05,173262
2013-01-07,19.89,21.24,19.64,20.77,210266
2013-01-08,20.69,21.1,20.38,20.6,229402
2013-01-09,20.71,20.97,20.4,20.47,171762
2013-01-10,20.54,21.99,20.34,21.63,235116
2013-01-11,21.6,21.78,20.55,21.67,166209
2013-01-14,21.68,22.47,21.68,21.8,130391
2013-01-15,21.67,22.903,21.17,21.72,59255
2013-01-16,21.08,21.52,20.06,21.28,239495
2013-01-17,21.37,21.81,20.76,21.12,129703
2013-01-18,21.17,21.79,20.31,20.54,119334
2013-01-22,20.6,21.89,20.6,21.79,160068
2013-01-23,21.74,21.74,20.95,21.43,42697
2013-01-24,21.24,22.59,21.19,21.43,114479
2013-01-25,21.55,22.71,21.55,22.0,71174
2013-01-28,22.2,22.25,21.34,21.64,90921
2013-01-29,21.68,22.16,21.63,22.13,113675
2013-01-30,22.04,22.88,22.04,22.67,340437
2013-01-31,22.5308,22.5308,21.55,22.42,260328
2013-02-01,22.56,22.95,22.36,22.7,93563
2013-02-04,22.65,22.71,21.845,22.54,80062
2013-02-05,22.58,22.65,22.16,22.63,38700
2013-02-06,22.49,22.83,22.21,22.63,136010
2013-02-07,22.06,22.69,22.0,22.42,61301
2013-02-08,22.39,22.75,22.04,22.05,96356
2013-02-11,22.13,22.13,21.3,21.56,59101
2013-02-12,21.52,21.76,21.05,21.57,154657
2013-02-13,21.55,22.01,21.23,21.56,321610
2013-02-14,21.55,22.93,21.55,22.0,379434
2013-02-15,22.07,22.65,21.7,22.3,146483
2013-02-19,22.318,22.82,22.23,22.82,101906
2013-02-20,22.81,23.28,21.21,21.28,96160
2013-02-21,21.29,21.29,20.55,20.73,76889
2013-02-22,22.25,22.63,20.23,20.98,310533
2013-02-25,21.0,21.08,19.57,19.74,167600
2013-02-26,19.84,20.52,19.7001,20.05,119261
2013-02-27,20.09,21.5,19.85,20.96,158491
2013-02-28,20.98,23.31,20.2,22.71,204937
2013-03-01,22.5,22.81,21.91,22.34,45933
2013-03-04,22.37,22.87,21.83,22.39,38946
2013-03-05,22.41,23.88,22.39,23.7,108678
2013-03-06,23.83,24.03,23.38,23.55,13734
2013-03-07,23.5,24.885,22.53,24.51,129662
2013-03-08,24.77,24.96,23.89,24.9,127124
2013-03-11,24.92,24.99,24.08,24.49,218100
2013-03-12,24.52,24.99,24.3,24.93,107234
2013-03-13,24.87,26.39,24.67,25.75,308782
2013-03-14,25.86,25.86,24.22,24.86,152902
2013-03-15,24.92,24.96,23.5,24.15,186150
2013-03-18,23.87,24.55,23.63,23.99,38800
2013-03-19,24.23,25.14,23.57,23.76,87196
2013-03-20,24.04,24.3,23.65,24.0,80937
2013-03-21,23.92,24.47,23.885,24.31,132949
2013-03-22,24.39,24.62,24.24,24.55,48093
2013-03-25,24.69,25.33,24.616,25.2,196969
2013-03-26,25.23,25.87,25.08,25.65,191337
2013-03-27,25.44,26.27,25.44,26.11,83519
2013-03-28,26.24,27.21,26.04,26.84,157467
2013-04-01,26.93,27.97,26.93,27.4,216512
2013-04-02,27.47,27.89,26.75,27.04,493365
2013-04-03,27.05,27.05,24.48,24.92,526602
2013-04-04,24.87,25.27,23.83,25.05,135048
2013-04-05,24.69,25.37,24.565,25.18,56391
2013-04-08,25.17,26.35,25.023,26.05,144182
2013-04-09,26.3,27.39,26.14,26.76,285213
2013-04-10,26.75,27.24,25.92,26.08,230069
2013-04-11,26.14,26.7,25.1,26.5,165505
2013-04-12,26.5,27.045,26.23,26.63,275729
2013-04-15,26.36,26.36,25.01,25.8,378730
2013-04-16,26.07,26.77,25.862,26.74,166255
2013-04-17,26.51,26.535,25.41,25.8,159983
2013-04-18,25.91,26.67,25.46,26.51,74087
2013-04-19,26.75,26.82,26.09,26.22,126805
2013-04-22,26.35,27.34,26.21,26.98,149208
2013-04-23,27.05,27.685,26.96,27.49,107101
2013-04-24,27.43,27.624,27.04,27.1,77900
2013-04-25,27.51,27.682,27.17,27.3,68430
2013-04-26,27.29,27.37,26.35,26.88,146952
2013-04-29,26.98,26.98,25.78,26.04,343480
2013-04-30,26.46,26.739,26.13,26.26,171587
2013-05-01,26.1,27.01,25.95,26.44,347031
2013-05-02,26.46,27.245,26.46,27.1,168369
2013-05-03,27.44,27.66,27.16,27.48,85906
2013-05-06,27.58,29.4,27.58,28.76,392994
2013-05-07,28.71,28.805,27.876,28.54,264200
2013-05-08,28.38,29.75,27.51,29.53,200868
2013-05-09,29.57,29.67,28.466,28.68,189645
2013-05-10,28.65,28.7,27.9125,28.58,89364
2013-05-13,28.46,29.0,28.35,28.66,51610
2013-05-14,28.61,28.91,28.531,28.87,73631
2013-05-15,28.29,29.77,27.19,29.48,601795
2013-05-16,31.17,31.6,29.73,29.94,3939161
2013-05-17,30.52,32.41,30.2,31.43,913935
2013-05-20,31.62,32.25,31.24,32.03,545021
2013-05-21,32.4,32.4,31.23,31.71,297714
2013-05-22,32.25,34.84,31.87,32.54,876359
2013-05-23,31.98,34.3,31.522,33.27,609661
2013-05-24,33.39,34.6694,32.77,34.32,792218
2013-05-28,34.77,35.91,34.31,34.95,383226
2013-05-29,34.81,35.31,34.31,34.96,229908
2013-05-30,34.78,35.65,34.4,34.95,355472
2013-05-31,34.63,35.23,33.67,33.77,596720
2013-06-03,33.66,34.75,32.88,34.6,338745
2013-06-04,34.62,35.43,33.6,34.08,175120
2013-06-05,34.27,34.68,33.82,33.94,165024
2013-06-06,33.88,35.87,33.61,34.58,110040
2013-06-07,34.85,35.64,34.15,35.45,134981
2013-06-10,34.56,35.56,33.5,34.74,234382
2013-06-11,34.56,35.24,34.18,34.46,123232
2013-06-12,34.75,35.044,34.19,34.43,65656
2013-06-13,34.54,35.3,33.42,34.97,282035
2013-06-14,34.96,35.63,34.6,34.89,145803
2013-06-17,35.24,35.28,33.79,34.45,186715
2013-06-18,33.85,35.47,33.2,35.01,611161
2013-06-19,35.24,35.48,34.15,34.61,3342575
2013-06-20,34.31,34.31,32.47,32.64,641994
2013-06-21,32.8,33.51,31.6,33.15,1297801
2013-06-24,32.91,32.91,30.755,32.02,797576
2013-06-25,32.59,33.35,31.49,32.92,405930
2013-06-26,33.24,33.73,32.99,33.65,325096
2013-06-27,33.71,33.77,32.96,33.06,290749
2013-06-28,33.15,33.68,32.61,33.32,902061
2013-07-01,33.49,34.65,33.42,34.27,245086
2013-07-02,34.11,34.68,33.5075,34.56,119534
2013-07-03,34.53,36.238,34.2,35.2,192173
2013-07-05,35.74,36.22,34.75,35.89,224683
2013-07-08,36.07,37.8,35.64,36.1,498568
2013-07-09,36.45,36.93,35.795,36.5,280083
2013-07-10,36.54,37.25,35.821,37.16,278277
2013-07-11,38.13,38.13,37.33,37.6,319928
2013-07-12,37.39,37.67,36.23,37.25,117744
2013-07-15,37.2,37.83,36.23,37.27,243183
2013-07-16,37.18,37.91,36.62,37.71,213213
2013-07-17,37.19,38.87,37.19,37.66,207434
2013-07-18,37.55,39.45,37.46,38.08,294473
2013-07-19,38.15,39.8,37.37,39.36,348058
2013-07-22,39.11,39.61,38.55,39.47,150820
2013-07-23,39.9,40.0,38.67,38.79,182485
2013-07-24,38.92,39.01,37.07,37.41,252779
2013-07-25,37.26,38.24,37.1,37.75,222615
2013-07-26,37.5,39.14,37.15,37.47,244056
