,open,high,low,close,volume
2000-08-11,15.1875,15.375,15.0625,15.375,319000
2000-08-14,15.4375,15.625,15.125,15.625,789600
2000-08-15,15.625,16.125,15.625,16.0625,3438500
2000-08-16,16.0625,16.5,15.5,16.0,2219700
2000-08-17,15.9375,15.9375,15.375,15.8125,1494800
2000-08-18,15.75,15.75,14.5,14.5,1978800
2000-08-21,14.5,15.1875,14.3125,14.9375,1376000
2000-08-22,14.8125,14.8125,14.25,14.625,1439300
2000-08-23,14.75,15.375,14.75,15.0,1492800
2000-08-24,14.875,15.125,14.8125,14.875,610600
2000-08-25,14.9375,15.125,14.75,14.75,571400
2000-08-28,14.75,14.9375,14.5,14.5625,424700
2000-08-29,14.4375,14.4375,14.1875,14.25,359900
2000-08-30,14.3125,14.375,13.6875,14.1875,852500
2000-08-31,14.1875,14.5,14.0,14.0,1475600
2000-09-01,14.0,14.75,14.0,14.3125,607800
2000-09-05,14.375,14.5,14.3125,14.4375,441500
2000-09-06,14.5,14.5,14.3125,14.375,475200
2000-09-07,14.375,14.375,14.0625,14.125,333500
2000-09-08,14.0625,14.25,14.0,14.0,234000
2000-09-11,14.125,14.4375,14.125,14.375,477100
2000-09-12,14.375,14.375,14.0625,14.1875,541000
2000-09-13,14.25,14.3125,14.0,14.125,337700
2000-09-14,14.0,14.375,14.0,14.0,297900
2000-09-15,14.125,14.75,14.0,14.4375,1154700
2000-09-18,14.5,14.5,13.9375,14.1875,298600
2000-09-19,14.1875,14.25,13.875,14.1875,403000
2000-09-20,14.125,14.3125,14.0625,14.25,348900
2000-09-21,14.25,14.6875,14.125,14.1875,399900
2000-09-22,14.125,14.125,13.75,13.8125,404200
2000-09-25,13.9375,13.9375,13.0625,13.0625,591400
2000-09-26,13.1875,13.375,12.5625,12.8125,303300
2000-09-27,12.5625,13.5,12.5625,13.0,548300
2000-09-28,13.0,13.125,12.9375,13.0625,258200
2000-09-29,13.0,13.125,12.0,12.375,908900
2000-10-02,12.625,13.3125,12.625,13.1875,564900
2000-10-03,13.3125,13.4375,12.875,12.875,314900
2000-10-04,12.875,13.0625,12.5625,12.8125,266100
2000-10-05,13.0,13.9375,12.9375,13.25,338600
2000-10-06,13.375,13.4375,12.875,13.0,372700
2000-10-09,12.875,13.25,12.75,13.1875,143100
2000-10-10,13.0625,13.0625,12.8125,12.875,170300
2000-10-11,12.8125,12.8125,12.3125,12.8125,330000
2000-10-12,12.6875,12.75,11.875,12.1875,446800
2000-10-13,11.875,12.0625,11.5,11.875,989900
2000-10-16,11.875,12.3125,11.875,12.0,387300
2000-10-17,12.0625,12.125,11.4375,11.5,1900900
2000-10-18,11.375,11.875,11.3125,11.875,1113300
2000-10-19,12.0,12.5,11.9375,12.5,603200
2000-10-20,12.5625,13.25,12.5,13.0625,511800
2000-10-23,13.0,13.0625,12.8125,12.9375,251700
2000-10-24,13.0,13.75,13.0,13.4375,771900
2000-10-25,13.3125,13.5,13.3125,13.5,516200
2000-10-26,13.5,13.5,12.9375,13.3125,201400
2000-10-27,13.1875,13.3125,12.875,13.125,296900
2000-10-30,13.25,14.125,13.1875,13.875,357400
2000-10-31,14.0,14.375,13.875,14.125,430300
2000-11-01,14.0,14.1875,13.8125,13.9375,447500
2000-11-02,14.0625,14.5,14.0,14.3125,1890200
2000-11-03,14.3125,14.5625,14.1875,14.5,629400
2000-11-06,14.5,14.75,14.0,14.625,783900
2000-11-07,14.6875,15.0,14.6875,15.0,396500
2000-11-08,15.0,15.3125,14.9375,14.9375,482100
2000-11-09,14.9375,14.9375,13.9375,14.125,263200
2000-11-10,14.0,14.25,13.5,13.875,248000
2000-11-13,14.0,14.6875,13.4375,14.625,415400
2000-11-14,14.5625,14.5625,13.9375,14.0,585100
2000-11-15,14.0,14.75,14.0,14.75,1030700
2000-11-16,14.5625,14.6875,14.125,14.375,379800
2000-11-17,14.25,14.625,14.125,14.375,145300
2000-11-20,14.375,14.375,13.6875,14.25,193400
2000-11-21,14.125,14.25,13.625,13.875,469200
2000-11-22,14.0,14.0,13.5,13.625,940300
2000-11-24,13.5,13.75,13.375,13.75,262800
2000-11-27,13.625,14.125,13.625,14.0,610400
2000-11-28,13.9375,13.9375,13.125,13.125,321300
2000-11-29,13.25,13.25,13.0625,13.1875,254000
2000-11-30,13.25,13.625,13.0625,13.4375,622400
2000-12-01,13.375,14.25,13.375,13.4375,469100
2000-12-04,13.5625,13.9375,13.4375,13.9375,336000
2000-12-05,13.9375,14.5,13.9375,14.1875,917200
2000-12-06,13.9375,14.4375,13.375,13.375,479900
2000-12-07,13.25,13.375,13.0625,13.125,422000
2000-12-08,13.25,14.0,13.25,13.625,478400
2000-12-11,13.6875,14.625,13.25,14.3125,684400
2000-12-12,14.0,14.5,13.875,14.375,346200
2000-12-13,14.125,14.25,13.875,13.9375,435300
2000-12-14,14.0625,14.125,13.5625,13.625,215000
2000-12-15,13.5,13.5625,12.75,12.75,637900
2000-12-18,13.0625,13.3125,13.0,13.0625,581200
2000-12-19,13.125,13.25,12.9375,13.1875,501200
2000-12-20,12.875,13.3125,12.75,13.0625,787700
2000-12-21,13.0,14.375,12.9375,14.25,825200
2000-12-22,14.0,15.125,13.8125,14.9375,586900
2000-12-26,14.9375,15.625,14.9375,15.125,1775600
2000-12-27,15.0,16.0,14.875,16.0,504100
2000-12-28,15.8125,16.25,15.4375,16.0625,716600
2000-12-29,16.0,16.375,15.25,15.5,511500
2001-01-02,15.3125,15.375,14.4375,14.8125,676800
2001-01-03,14.9375,16.75,14.75,16.375,2007200
2001-01-04,15.0,15.5625,14.9375,15.375,1407300
2001-01-05,15.0,15.0,14.1875,14.625,666400
2001-01-08,14.75,15.25,14.625,15.125,668600
2001-01-09,15.1875,15.625,14.9375,15.375,1219900
2001-01-10,15.0,15.0625,14.5625,14.8125,1174700
2001-01-11,14.75,14.75,13.6875,13.75,1119300
2001-01-12,13.9375,14.0,13.0,13.1875,968300
2001-01-16,13.3125,13.4375,12.875,12.9375,1496900
2001-01-17,13.0,13.1875,12.375,13.1875,1696700
2001-01-18,13.125,13.625,12.5,12.625,748700
2001-01-19,12.5,12.5,10.5625,10.75,3219300
2001-01-22,11.0,11.1875,10.375,10.4375,2222000
2001-01-23,9.75,11.9375,9.75,11.8125,7441600
2001-01-24,11.8125,12.0625,11.5625,11.6875,1629400
2001-01-25,11.625,12.0,11.5625,11.625,1500800
2001-01-26,11.75,12.375,11.6875,12.3125,1184100
2001-01-29,12.31,13.14,12.26,13.14,1080400
2001-01-30,12.75,13.05,12.51,12.75,1556800
2001-01-31,12.85,13.18,12.85,12.95,851400
2001-02-01,12.95,13.24,12.02,12.4,1484900
2001-02-02,12.3,12.5,12.0,12.08,907000
2001-02-05,12.08,12.15,11.25,11.68,906500
2001-02-06,11.5,12.5,11.45,12.4,860000
2001-02-07,12.4,13.19,12.07,12.91,1760100
2001-02-08,13.09,13.19,12.57,12.74,1518300
2001-02-09,12.64,12.89,11.86,11.9,700200
2001-02-12,11.5,12.39,11.42,12.04,679700
2001-02-13,12.34,12.65,11.85,11.99,596900
2001-02-14,11.89,12.33,11.89,12.19,508000
2001-02-15,12.09,12.24,11.76,11.8,714800
2001-02-16,11.9,11.99,11.64,11.74,229400
2001-02-20,11.54,11.9,11.54,11.56,237500
2001-02-21,11.5,11.58,11.1,11.3,468700
2001-02-22,11.2,11.3,10.2,11.1,938300
2001-02-23,11.11,11.21,10.68,11.0,500800
2001-02-26,11.1,11.76,11.1,11.67,289800
2001-02-27,11.25,11.6,11.12,11.39,1362900
2001-02-28,11.39,11.39,10.9,11.01,907400
2001-03-01,11.01,11.13,10.67,11.05,715800
2001-03-02,11.05,11.12,10.6,10.6,1533200
2001-03-05,10.7,11.05,10.7,10.9,605700
2001-03-06,11.0,11.75,11.0,11.6,646700
2001-03-07,12.5,12.5,11.76,12.2,1330400
2001-03-08,12.15,12.88,12.05,12.43,885700
2001-03-09,12.44,12.44,12.14,12.14,818500
2001-03-12,12.2,12.31,12.0,12.21,686800
2001-03-13,12.31,12.59,12.1,12.5,1097700
2001-03-14,12.25,12.68,12.01,12.25,874200
2001-03-15,12.25,13.5,12.25,13.5,1463600
2001-03-16,13.55,13.55,12.91,13.11,1151600
2001-03-19,13.2,13.78,13.2,13.77,765900
2001-03-20,13.7,13.98,13.25,13.39,629400
2001-03-21,13.49,13.56,13.18,13.3,631500
2001-03-22,13.05,13.21,12.7,13.16,751600
2001-03-23,13.26,13.75,13.25,13.75,391300
2001-03-26,13.65,13.65,13.32,13.35,340600
2001-03-27,13.4,13.5,12.75,13.49,417300
2001-03-28,13.39,13.4,13.01,13.05,356100
2001-03-29,13.0,13.75,12.9,13.7,962800
2001-03-30,13.8,14.13,13.4,13.8,500300
2001-04-02,13.8,13.8,13.28,13.55,543300
2001-04-03,13.65,13.75,12.9,13.05,549700
2001-04-04,13.05,13.3,12.6,13.06,775800
2001-04-05,13.0,13.15,12.9,12.98,772200
2001-04-06,13.45,13.47,12.92,13.35,466900
2001-04-09,13.35,13.5,13.07,13.3,409300
2001-04-10,12.85,13.39,12.85,13.1,328500
2001-04-11,13.0,13.32,12.65,12.85,408600
2001-04-12,12.75,13.5,12.59,13.45,680700
2001-04-16,13.46,13.58,13.08,13.15,473500
2001-04-17,13.25,13.25,13.0,13.25,215700
2001-04-18,13.24,14.11,13.18,13.95,506700
2001-04-19,13.9,13.9,13.64,13.71,291300
2001-04-20,13.7,13.75,13.02,13.2,713800
2001-04-23,13.2,13.7,13.2,13.39,372400
2001-04-24,13.4,13.4,13.0,13.3,338300
2001-04-25,13.2,13.33,13.03,13.12,366100
2001-04-26,13.05,13.79,13.05,13.39,588700
2001-04-27,13.49,13.5,13.0,13.25,551600
2001-04-30,13.33,13.39,13.03,13.24,529400
2001-05-01,13.1,13.75,13.04,13.75,592400
2001-05-02,13.6,13.65,13.2,13.34,417400
2001-05-03,13.35,13.8,13.1,13.75,521200
2001-05-04,13.55,14.2,13.45,14.19,831800
2001-05-07,13.75,14.09,13.7,13.75,315000
2001-05-08,13.92,14.01,13.54,13.85,256100
2001-05-09,13.9,14.48,13.74,14.02,626400
2001-05-10,14.2,14.75,13.76,13.99,920100
2001-05-11,13.99,14.02,13.75,13.8,445800
2001-05-14,13.81,13.88,13.66,13.69,377100
2001-05-15,13.69,13.75,13.45,13.7,338500
2001-05-16,13.5,13.81,13.31,13.8,1049000
2001-05-17,13.75,14.0,13.42,13.92,1115400
2001-05-18,13.95,14.14,13.91,14.04,637300
2001-05-21,14.04,14.75,13.95,14.64,907300
2001-05-22,14.65,14.75,14.58,14.6,454200
2001-05-23,14.5,14.5,14.1,14.1,391000
2001-05-24,14.2,14.25,13.89,13.99,579000
2001-05-25,13.95,14.18,13.8,14.12,502900
2001-05-29,14.11,14.43,14.03,14.2,620400
2001-05-30,13.5,14.01,13.47,13.54,586100
2001-05-31,13.54,13.65,13.3,13.3,865800
2001-06-01,13.4,13.4,13.05,13.07,855600
2001-06-04,13.0,13.18,12.64,12.85,5218900
2001-06-05,12.85,13.6,12.85,13.55,2826700
2001-06-06,13.65,13.75,13.39,13.71,1207700
2001-06-07,13.8,13.85,13.45,13.79,1547900
2001-06-08,13.7,14.0,13.66,13.99,393500
2001-06-11,13.96,13.96,13.7,13.75,477300
2001-06-12,13.7,13.92,13.48,13.87,1276100
2001-06-13,13.9,14.04,13.78,14.0,1076400
2001-06-14,14.1,14.3,14.01,14.25,2199300
2001-06-15,14.75,15.63,14.69,15.54,3407100
2001-06-18,15.65,16.23,15.59,15.95,1906600
2001-06-19,16.0,16.09,15.41,15.41,1310000
2001-06-20,15.15,16.03,15.12,15.9,1279000
2001-06-21,15.9,16.1,15.28,15.48,883000
2001-06-22,15.58,15.58,14.9,14.99,699300
2001-06-25,14.99,15.19,14.91,14.97,623200
2001-06-26,14.95,15.02,14.7,14.75,792900
2001-06-27,14.8,15.1,14.73,15.0,958100
2001-06-28,15.0,15.65,15.0,15.65,812000
2001-06-29,15.6,15.6,15.1,15.3,1670900
2001-07-02,15.5,16.07,15.42,16.0,1005200
2001-07-03,15.75,16.34,15.75,16.2,642800
2001-07-05,16.0,16.05,15.65,15.75,787000
2001-07-06,15.75,15.8,15.31,15.45,768800
2001-07-09,15.45,15.55,14.99,15.0,795300
2001-07-10,15.03,15.06,14.41,14.65,587100
2001-07-11,14.65,14.95,14.58,14.95,782200
2001-07-12,15.1,15.55,15.1,15.48,525700
2001-07-13,15.4,15.65,15.18,15.58,550700
2001-07-16,15.48,15.98,15.36,15.64,711900
2001-07-17,15.56,16.05,15.47,15.98,1245000
2001-07-18,15.88,16.25,15.6,16.15,1528200
2001-07-19,16.2,17.24,16.2,16.3,2175600
2001-07-20,16.25,16.28,15.73,15.81,2288100
2001-07-23,15.96,16.02,15.78,15.85,674700
2001-07-24,15.83,15.83,15.5,15.67,680200
2001-07-25,15.62,15.85,15.25,15.6,740700
2001-07-26,15.57,15.57,15.13,15.36,588000
2001-07-27,15.51,16.06,15.51,15.98,1488300
2001-07-30,16.1,16.37,16.1,16.32,2763000
2001-07-31,16.3,16.8,16.15,16.5,1729800
2001-08-01,16.5,16.75,16.24,16.34,1801800
2001-08-02,16.8,16.86,16.0,16.83,2460400
2001-08-03,16.95,17.65,16.8,17.1,1456000
2001-08-06,17.05,17.05,16.35,16.48,675100
2001-08-07,16.45,17.0,16.25,17.0,1083900
2001-08-08,16.95,17.15,16.46,16.55,1430200
2001-08-09,17.1,17.4,16.7,16.94,2110700
2001-08-10,17.0,17.39,17.0,17.19,1186600
2001-08-13,17.24,18.0,17.2,18.0,2132200
2001-08-14,17.9,18.3,17.61,17.8,2224500
2001-08-15,17.9,18.2,17.83,17.83,508700
2001-08-16,17.9,18.19,17.75,17.97,1315500
2001-08-17,17.87,18.0,17.61,17.65,501000
2001-08-20,17.9,18.55,17.82,18.44,1490000
2001-08-21,19.0,19.1,17.31,17.65,2829900
2001-08-22,17.5,18.2,17.46,18.2,1805700
2001-08-23,18.45,19.0,18.25,18.98,1902100
2001-08-24,18.95,19.05,18.6,18.8,1809300
2001-08-27,18.75,18.95,18.46,18.95,842100
2001-08-28,18.9,18.94,18.3,18.4,752600
2001-08-29,18.45,18.55,18.35,18.4,643600
2001-08-30,18.3,18.4,17.6,17.9,1012400
2001-08-31,17.88,18.0,17.88,17.95,1028600
2001-09-04,18.0,18.15,17.89,17.9,498100
2001-09-05,17.88,17.88,17.25,17.65,541000
2001-09-06,17.55,17.95,17.0,17.92,1104200
2001-09-07,17.75,17.75,16.55,16.89,917100
2001-09-10,16.89,16.92,16.51,16.61,527000
2001-09-17,15.5,15.5,14.25,14.41,1048300
2001-09-18,14.2,14.58,13.4,14.5,1322000
2001-09-19,14.4,14.75,13.85,14.15,1516700
2001-09-20,13.5,13.8,12.7,12.9,2225800
2001-09-21,12.15,14.05,11.9,14.05,1874100
2001-09-24,14.5,15.3,14.4,15.19,1980000
2001-09-25,15.25,15.31,15.02,15.2,1031600
2001-09-26,15.2,15.21,14.91,14.99,894500
2001-09-27,15.0,15.95,14.96,15.9,1228800
2001-09-28,15.7,16.25,15.25,15.25,1296500
2001-10-01,15.25,15.65,15.14,15.14,661900
2001-10-02,15.15,15.5,15.12,15.5,599100
2001-10-03,15.75,16.65,15.57,16.06,1384800
2001-10-04,16.0,16.01,15.4,15.4,970800
2001-10-05,15.3,15.4,14.4,15.1,1767500
2001-10-08,15.1,15.4,15.0,15.11,472300
2001-10-09,15.15,15.35,15.0,15.35,1348600
2001-10-10,15.3,16.1,15.27,16.02,328200
2001-10-11,16.0,16.9,15.64,16.34,1542000
2001-10-12,16.3,16.3,15.4,15.6,893000
2001-10-15,15.7,15.77,15.4,15.75,429400
2001-10-16,15.75,15.85,15.49,15.8,905300
2001-10-17,16.2,16.24,15.0,15.15,1847500
2001-10-18,15.25,15.49,15.15,15.24,458300
2001-10-19,15.18,15.96,15.18,15.75,871400
2001-10-22,15.5,15.77,15.38,15.76,470800
2001-10-23,15.8,16.25,15.65,15.94,753600
2001-10-24,15.85,15.86,15.25,15.25,670600
2001-10-25,15.26,15.5,15.09,15.47,1273600
2001-10-26,15.47,15.77,15.4,15.75,767100
2001-10-29,15.75,15.75,15.1,15.17,966800
2001-10-30,15.15,15.15,14.0,14.18,2205200
2001-10-31,14.28,14.75,14.25,14.5,1887100
2001-11-01,14.47,14.6,14.17,14.3,1148000
2001-11-02,14.45,15.04,14.45,14.94,1234200
2001-11-05,15.0,15.2,14.78,15.02,1262700
2001-11-06,14.87,15.24,14.62,15.02,1109200
2001-11-07,15.05,15.29,15.01,15.2,1028700
2001-11-08,15.3,15.5,14.8,14.98,885400
2001-11-09,15.0,15.1,14.95,15.04,772300
2001-11-12,14.9,15.0,14.67,14.98,669500
2001-11-13,15.2,15.4,14.9,15.0,1506100
2001-11-14,15.0,15.96,14.9,15.89,1166500
2001-11-15,15.85,16.65,15.8,16.42,969400
2001-11-16,16.35,16.45,15.9,16.11,1049400
2001-11-19,16.3,17.01,16.29,16.72,1714700
2001-11-20,16.75,16.75,16.32,16.45,1033100
2001-11-21,16.45,16.45,15.25,16.08,1350300
