,open,high,low,close,volume
2000-08-11,43.5625,44.9375,43.5,44.75,2497700
2000-08-14,44.25,44.8125,43.8125,44.75,2059000
2000-08-15,44.8125,44.8125,43.875,44.3125,2017800
2000-08-16,44.75,44.875,43.8125,44.0625,2912000
2000-08-17,44.1875,44.4375,43.9375,44.0625,4716900
2000-08-18,44.875,44.9375,44.5,44.5625,4301900
2000-08-21,44.625,44.8125,44.375,44.4375,2057500
2000-08-22,44.5,44.625,44.0,44.375,2355200
2000-08-23,44.25,44.3125,43.0,43.8125,3813800
2000-08-24,43.3125,43.625,41.625,41.875,3372200
2000-08-25,42.0,42.1875,41.5,41.5,2555700
2000-08-28,42.5,43.0,42.0,42.4375,2223800
2000-08-29,42.5,42.5,40.75,41.5,2818200
2000-08-30,41.1875,42.25,41.1875,41.5625,2408700
2000-08-31,41.9375,42.25,41.6875,42.14063,2069700
2000-09-01,42.125,42.3125,41.25,41.5625,2814700
2000-09-05,41.5625,41.9375,40.625,41.0,2848600
2000-09-06,41.875,43.4375,41.875,42.5,4618600
2000-09-07,42.625,44.125,42.5625,43.875,4657400
2000-09-08,43.9375,45.75,43.8125,45.3125,6236300
2000-09-11,45.5,46.8125,45.4375,46.375,7027000
2000-09-12,47.0,49.125,46.375,48.75,7377100
2000-09-13,51.75,52.1875,51.0,51.625,8452000
2000-09-14,51.1875,51.1875,50.1875,50.5625,5341600
2000-09-15,50.25,51.0625,49.375,49.5,3507900
2000-09-18,49.0,49.125,48.0625,48.1875,3622100
2000-09-19,48.0,49.25,47.4375,47.9375,3797400
2000-09-20,47.5,48.1875,46.875,48.1875,2666400
2000-09-21,47.875,49.3125,46.25,49.25,5850600
2000-09-22,49.5,50.75,49.5,50.0,10083400
2000-09-25,50.25,51.125,50.125,50.75,2972300
2000-09-26,50.75,51.5625,50.1875,51.0,3509100
2000-09-27,50.8125,51.8125,50.25,51.6875,4054000
2000-09-28,51.75,54.4375,51.6875,54.125,4394000
2000-09-29,54.0,55.125,53.8125,54.0625,3990100
2000-10-02,54.0,55.25,53.25,55.0625,2732300
2000-10-03,55.0625,55.4375,53.625,53.8125,3625900
2000-10-04,53.625,54.5625,52.25,52.25,3296900
2000-10-05,52.375,54.3125,52.375,53.6875,2553800
2000-10-06,53.4375,53.6875,50.9375,51.9375,2610800
2000-10-09,50.6875,53.3125,50.6875,52.4375,2373700
2000-10-10,52.625,52.625,49.875,50.75,3128900
