,open,high,low,close,volume
2000-08-11,8.41751,8.75088,8.22304,8.72309,150510
2000-08-14,8.72309,8.77866,8.33417,8.38973,461429
2000-08-15,8.33417,8.44529,8.1397,8.1397,312494
2000-08-16,8.15359,8.19526,8.02858,8.11192,376612
2000-08-17,8.08414,8.1397,8.0008,8.11192,160184
2000-08-18,8.11192,8.25082,8.08414,8.1397,347365
2000-08-21,8.1397,8.25082,8.11192,8.22304,448605
2000-08-22,8.27861,8.27861,8.0008,8.02858,442081
2000-08-23,8.11192,8.16748,7.97997,8.02858,219803
2000-08-24,8.02858,8.05636,7.66743,8.0008,249275
2000-08-25,8.05636,8.05636,7.66743,7.66743,224528
2000-08-28,7.68132,7.97302,7.68132,7.75077,634437
2000-08-29,7.88968,7.88968,7.75077,7.75077,297420
2000-08-30,7.83412,7.83412,7.72299,7.77856,221828
2000-08-31,7.79245,7.83412,7.66743,7.75077,444556
2000-09-01,7.63965,7.88968,7.61187,7.66743,384487
2000-09-05,7.72299,7.72299,7.44519,7.52853,406309
2000-09-06,7.55631,7.58409,7.50075,7.50075,191681
2000-09-07,7.52853,7.61187,7.50075,7.52853,117663
2000-09-08,7.61187,7.61187,7.05626,7.22294,814869
2000-09-11,7.30629,7.33407,6.94514,7.02848,851090
2000-09-12,7.08404,7.33407,7.08404,7.16738,642086
2000-09-13,7.19516,7.27851,7.11182,7.27851,593041
2000-09-14,7.30629,7.63965,7.2924,7.58409,251525
2000-09-15,7.61187,7.8619,7.33407,7.42436,327567
2000-09-18,7.59798,7.59798,7.38963,7.44519,296295
2000-09-19,5.77836,5.88948,5.33387,5.33387,4100440
2000-09-20,5.44499,5.50055,5.1394,5.38943,3540471
2000-09-21,5.36165,5.66723,5.33387,5.66723,1575292
2000-09-22,5.52833,5.66723,5.50055,5.61167,1369888
2000-09-25,5.76447,6.11172,5.76447,5.91726,1907584
2000-09-26,5.94504,6.38953,5.80614,6.27841,2782297
2000-09-27,6.20895,6.30619,6.0006,6.05616,3513024
2000-09-28,6.07005,6.07005,5.83392,6.0006,354565
2000-09-29,5.97282,6.16728,5.77836,5.91726,772348
2000-10-02,5.88948,6.0006,5.44499,5.61167,383137
2000-10-03,5.61167,5.68112,5.55611,5.55611,357489
2000-10-04,5.58389,5.63945,5.52833,5.52833,370313
2000-10-05,5.52833,5.66723,5.44499,5.44499,244326
2000-10-06,5.44499,5.61167,5.38943,5.38943,150735
2000-10-09,5.33387,5.58389,5.33387,5.47277,267948
2000-10-10,5.41721,5.52833,5.25052,5.25052,276047
2000-10-11,5.32692,5.38943,5.19496,5.27831,307319
2000-10-12,5.44499,5.44499,5.16718,5.27831,181782
2000-10-13,5.16718,5.33387,5.1394,5.25052,398885
2000-10-16,5.27831,5.36165,5.25052,5.30609,146685
2000-10-17,5.27831,5.36165,5.11162,5.11162,260524
2000-10-18,5.24358,5.25052,4.66713,5.16718,280547
2000-10-19,5.06301,5.22274,4.88938,5.19496,255574
2000-10-20,5.16024,6.0006,5.11162,5.61167,621838
2000-10-23,5.68807,5.69501,5.19496,5.22274,173233
2000-10-24,5.38248,5.38248,4.97272,5.02828,348940
2000-10-25,5.0005,5.11162,4.88938,4.97272,680782
2000-10-26,5.0005,5.0005,4.91716,4.97272,251300
2000-10-27,4.88938,4.91716,4.66713,4.88938,254000
2000-10-30,4.8616,4.97272,4.77826,4.97272,701255
2000-10-31,4.97272,5.83392,4.91716,5.80614,569418
2000-11-01,5.66723,6.25063,5.61167,6.25063,712279
2000-11-02,6.41731,6.41731,6.11172,6.22284,411709
2000-11-03,6.1395,6.27841,6.1395,6.25063,327117
2000-11-06,6.19506,6.22284,5.44499,5.69501,203605
2000-11-07,5.72279,5.97282,5.72279,5.97282,325542
2000-11-08,6.05616,6.30619,6.0006,6.22284,618013
2000-11-09,6.22284,6.77846,6.22284,6.58399,1161109
2000-11-10,6.61177,7.08404,6.58399,7.05626,1266173
2000-11-13,6.80624,6.88958,6.55621,6.8618,447930
2000-11-14,6.77846,7.0007,6.61177,6.8618,237801
2000-11-15,6.72289,6.75068,6.50065,6.63955,488201
2000-11-16,6.56316,6.8618,6.55621,6.61177,296295
2000-11-17,6.66733,6.83402,6.63955,6.69511,149160
2000-11-20,6.66733,6.75068,6.61177,6.69511,190556
2000-11-21,6.69511,6.77846,6.63955,6.63955,612389
2000-11-22,6.66039,6.66039,6.52843,6.55621,771448
2000-11-24,6.52843,6.66733,6.50065,6.66733,161084
2000-11-27,6.55621,6.69511,6.55621,6.69511,234877
2000-11-28,6.68122,6.69511,6.55621,6.55621,605414
2000-11-29,6.50065,6.69511,6.50065,6.63955,332967
2000-11-30,6.63955,6.88958,6.61177,6.61177,1344466
