,open,high,low,close,volume
2009-11-18,8.5,8.75,8.165,8.31,27342312
2009-11-19,8.285,8.56,8.03,8.445,4443782
2009-11-20,8.44,8.48,8.03,8.47,2279804
2009-11-23,8.53,8.585,8.3,8.45,2371508
2009-11-24,8.4,8.525,8.365,8.505,935844
2009-11-25,8.575,8.64,8.475,8.6,855938
2009-11-27,8.385,8.84,8.35,8.445,347988
2009-11-30,8.525,8.66,8.405,8.495,867574
2009-12-01,8.5,8.62,8.314,8.41,824994
2009-12-02,8.45,8.45,8.075,8.31,1920332
2009-12-03,8.31,8.43,8.26,8.34,1140070
2009-12-04,8.425,8.65,8.18,8.64,1625348
2009-12-07,8.56,8.805,8.42,8.46,1046360
2009-12-08,8.475,8.475,8.225,8.275,415970
2009-12-09,8.25,8.625,8.25,8.495,810956
2009-12-10,8.59,8.59,8.385,8.46,152510
2009-12-11,8.415,8.485,8.33,8.47,262236
2009-12-14,8.45,8.605,8.405,8.5,157278
2009-12-15,8.55,8.62,8.425,8.5,488948
2009-12-16,8.5,9.17,8.5,9.125,1564408
2009-12-17,9.15,9.23,8.905,8.975,1343368
2009-12-18,9.09,9.185,8.775,8.79,3898442
2009-12-21,8.825,8.98,8.6,8.815,605562
2009-12-22,8.855,8.885,8.555,8.615,522636
2009-12-23,8.65,9.08495,8.605,8.98,804546
2009-12-24,8.995,9.27505,8.955,9.18,475184
2009-12-28,9.335,9.39,8.75,8.865,1107206
2009-12-29,8.865,9.2,8.865,9.175,663284
2009-12-30,9.15,9.165,8.95,9.01,234468
2009-12-31,9.03,9.12,8.765,8.785,303446
2010-01-04,8.94,9.1,8.81505,9.0,715920
2010-01-05,9.015,9.3,9.0,9.195,822670
2010-01-06,9.44,9.925,9.40005,9.705,1873348
2010-01-07,9.765,9.805,9.5,9.725,275192
2010-01-08,9.775,10.295,9.61,10.055,914114
2010-01-11,10.125,10.125,9.845,10.025,375616
2010-01-12,9.945,10.12,9.845,9.895,947234
2010-01-13,9.88,9.94,9.205,9.72,781634
2010-01-14,9.73,10.035,9.625,9.95,706660
2010-01-15,9.98,9.98,9.575,9.815,650960
2010-01-19,9.825,10.24,9.81,9.9,617140
2010-01-20,9.86,10.0,9.44,9.53,463174
2010-01-21,9.575,9.575,9.125,9.195,710898
2010-01-22,9.2,9.42,8.915,8.94,929140
2010-01-25,9.065,9.065,8.85,9.005,491156
