,open,high,low,close,volume
2000-08-11,56.125,57.375,55.75,56.5625,12111100
2000-08-14,56.375,57.1875,55.8125,57.0,7795000
2000-08-15,56.75,57.375,56.1875,57.25,10792200
2000-08-16,57.25,57.25,56.1875,56.8125,7451700
2000-08-17,56.3125,57.25,56.0,56.6875,10330000
2000-08-18,56.1875,56.5,55.75,56.1875,8319800
2000-08-21,56.6875,57.0625,56.125,56.5625,7814200
2000-08-22,56.625,56.9375,56.0625,56.25,8087500
2000-08-23,56.25,58.0625,56.125,57.9375,11312800
2000-08-24,58.0625,59.5625,57.75,58.9375,11981300
2000-08-25,59.0625,59.5625,58.875,59.25,8098400
2000-08-28,59.5,60.5,59.4375,60.0,12556000
2000-08-29,59.5625,59.9375,59.1875,59.875,8230700
2000-08-30,59.125,59.3125,57.125,57.5,10482400
2000-08-31,57.25,59.3125,57.1875,58.625,11900600
2000-09-01,59.25,59.6875,57.8125,58.5,7741000
2000-09-05,58.4375,58.9375,57.8125,57.8125,9308200
2000-09-06,58.9375,59.25,58.5,59.0,14609500
2000-09-07,58.875,59.1875,58.1875,59.0,8031500
2000-09-08,58.8125,60.0,58.25,59.875,10879400
2000-09-11,59.5,60.0625,58.6875,59.6875,11777500
2000-09-12,59.5,59.75,58.9375,59.0625,10180000
2000-09-13,58.8125,59.625,58.5625,59.0625,7604800
2000-09-14,59.1875,59.375,58.3125,59.0,7924800
2000-09-15,58.5,58.625,56.375,56.75,20244200
2000-09-18,56.6875,58.375,56.625,57.5,12821300
2000-09-19,57.5625,57.9375,56.625,57.0,11888400
2000-09-20,56.625,57.0625,55.0,56.625,14211900
2000-09-21,55.625,57.875,55.5625,56.25,10721700
2000-09-22,57.875,58.0,55.125,57.3125,14249900
2000-09-25,57.0,58.3125,56.875,58.0625,11003200
2000-09-26,57.0625,58.8125,57.0625,58.0,14044800
2000-09-27,58.1875,59.5,57.8125,59.4375,14682200
2000-09-28,59.1875,59.75,58.625,59.0,11164700
2000-09-29,58.375,58.875,57.6875,57.8125,10709500
2000-10-02,58.0,58.875,57.75,58.5,11895100
2000-10-03,58.625,59.875,58.5,59.0625,12229500
2000-10-04,58.875,59.75,58.625,58.875,11419200
2000-10-05,59.125,59.9375,58.75,59.75,11778600
2000-10-06,59.5,59.9375,57.8125,59.4375,14005500
2000-10-09,59.125,59.8125,58.4375,58.5,9687600
2000-10-10,58.75,59.1875,57.5625,58.0625,11007800
2000-10-11,56.75,57.6875,55.3125,56.625,18511200
2000-10-12,56.5625,57.125,54.0,54.5,17409000
2000-10-13,54.625,57.625,54.5,57.0,15552900
2000-10-16,57.0,57.875,56.625,57.75,12994200
2000-10-17,57.6875,57.6875,54.9375,55.625,16856000
2000-10-18,53.75,55.8125,52.875,55.5,18415100
2000-10-19,55.5,55.9375,54.75,55.625,13189000
2000-10-20,54.75,55.25,51.625,52.125,18000100
2000-10-23,51.625,52.0,49.0,49.75,71299296
2000-10-24,50.5,53.375,50.0625,53.375,45995300
2000-10-25,53.375,53.875,52.125,52.9375,29252400
2000-10-26,53.0,53.375,51.375,52.125,18670400
2000-10-27,52.6875,53.1875,51.8125,52.25,15464000
2000-10-30,52.4375,54.0,52.25,54.0,18234800
2000-10-31,54.125,54.9375,53.8125,54.8125,17172100
2000-11-01,54.75,54.9375,53.875,54.4375,15900200
2000-11-02,54.25,55.0,53.5,53.6875,14338200
2000-11-03,53.8125,53.875,52.9375,53.3125,12062500
2000-11-06,53.5625,54.5625,53.3125,54.5,11944700
2000-11-07,54.5,55.0625,54.25,54.9375,9680200
2000-11-08,54.875,55.25,54.125,54.5625,9482600
2000-11-09,54.0625,54.875,53.125,54.5625,12295100
2000-11-10,53.75,54.9375,53.25,53.875,12252700
2000-11-13,52.0,53.25,50.5,51.4375,18458500
2000-11-14,51.4375,53.125,51.25,52.75,14707500
2000-11-15,52.375,53.0625,51.5625,52.5,12136300
2000-11-16,52.25,53.5625,52.0625,52.625,10313200
2000-11-17,52.6875,53.4375,51.1875,51.875,11987700
2000-11-20,51.25,51.9375,49.875,50.0625,14794900
2000-11-21,50.0625,51.5625,50.0625,50.75,12194000
2000-11-22,50.0,50.0625,48.375,48.5625,22223500
2000-11-24,49.5,49.8125,49.0625,49.375,6303000
2000-11-27,50.125,50.8125,49.125,49.125,16086000
2000-11-28,49.125,50.46875,48.75,49.8125,14812300
2000-11-29,49.25,50.9375,49.0,49.6875,12740000
2000-11-30,49.25,50.0625,47.9375,49.5625,20149100
2000-12-01,50.875,51.4375,50.3125,51.0,18202900
2000-12-04,51.0,51.875,50.8125,51.625,11993500
2000-12-05,51.75,54.5,51.625,54.125,19991000
2000-12-06,53.5625,54.125,52.875,53.9375,15878700
2000-12-07,53.125,54.125,53.125,53.5,10359200
2000-12-08,54.5,55.5625,54.3125,55.1875,16858500
2000-12-11,55.1875,56.1875,54.375,55.3125,16445000
2000-12-12,53.875,55.0625,52.3125,52.8125,25319900
2000-12-13,52.8125,53.625,52.75,53.0,17563400
2000-12-14,52.75,52.8125,51.4375,51.4375,15750200
2000-12-15,50.375,51.25,49.25,49.8125,35899600
2000-12-18,50.5625,51.4375,50.5,51.0,13941300
2000-12-19,51.0,51.4375,50.125,50.125,15377800
2000-12-20,48.5625,49.4375,47.4375,47.4375,20264400
2000-12-21,47.5625,48.5,47.1875,47.875,19675700
2000-12-22,48.125,49.375,47.875,48.875,11699900
2000-12-26,48.625,49.4375,48.0625,49.3125,9113800
2000-12-27,49.1875,49.75,48.1875,48.1875,12231700
2000-12-28,48.9375,49.1875,47.625,48.4375,12562000
2000-12-29,48.5,48.8125,47.625,47.9375,10983300
2001-01-02,46.75,46.875,42.625,43.75,36837700
2001-01-03,44.25,47.9375,43.8125,47.8125,39205800
