,open,high,low,close,volume
2013-11-29,397.56623,406.93139,397.56623,406.93139,2909
2013-12-02,444.08994,414.78605,355.32633,392.503,60893
2013-12-03,396.48471,396.48471,376.81182,384.99275,49486
2013-12-04,387.89897,387.89897,370.70936,376.08678,57133
2013-12-05,376.08678,379.25885,374.07478,376.13512,35954
2013-12-06,378.26191,379.13197,370.99938,378.20149,42955
2013-12-09,375.47049,376.84203,364.99359,367.04185,61611
2013-12-10,366.74579,378.17733,365.54946,374.84212,103023
2013-12-11,375.17443,376.31034,367.89377,367.96628,54114
2013-12-12,368.22609,370.37705,366.15971,368.92696,52346
2013-12-13,367.90586,376.85412,367.48201,372.44947,41404
2013-12-16,370.37705,380.43705,370.37705,377.77855,39236
2013-12-17,378.7634,379.54887,374.30438,379.05946,53387
2013-12-18,378.12295,386.66035,375.543,386.46096,47611
2013-12-19,384.31,386.36429,381.12584,382.88407,77669
2013-12-20,384.26166,390.57559,383.66954,388.83548,112092
2013-12-23,386.93828,394.03164,386.93828,393.94101,42906
2013-12-24,393.78391,395.14942,393.36701,394.52709,18462
2013-12-26,394.94399,397.26413,393.88663,396.67201,20064
2013-12-27,397.14329,397.85625,395.75966,397.72937,14620
2013-12-30,398.17044,400.05555,396.1826,400.05555,28359
2013-12-31,399.64469,401.49356,399.37884,400.7806,29518
2014-01-02,400.60538,401.03436,395.41527,396.1826,57621
2014-01-03,398.55108,405.10066,396.54513,404.06143,59102
2014-01-06,404.83481,405.63236,398.14023,402.09776,91331
2014-01-07,398.90756,403.55389,394.20686,400.38786,59337
2014-01-08,401.844,402.39986,394.61772,398.44233,109132
2014-01-09,401.19146,404.66563,396.33366,402.73822,50502
2014-01-10,401.6144,403.23367,396.94994,398.28523,39713
2014-01-13,394.27936,395.86842,390.3762,390.79311,47442
2014-01-14,392.10423,395.34276,390.98041,394.40625,32616
2014-01-15,394.38208,396.14635,391.82043,393.1918,39056
2014-01-16,392.96824,394.78689,392.03777,394.35187,20095
2014-01-17,390.46684,395.68716,374.62461,389.91701,35426
2014-01-21,390.5333,393.05283,387.29476,388.37025,45794
2014-01-22,387.36123,392.1284,386.29783,390.31578,27105
2014-01-23,389.4276,389.4276,386.872,387.78417,27009
2014-01-24,383.69371,383.97768,379.86305,379.86305,43950
2014-01-27,381.49441,386.33408,380.04432,385.55466,36838
2014-01-28,385.76009,389.57866,383.37952,388.66027,36812
2014-01-29,386.72681,386.72681,379.66971,382.49134,40024
2014-01-30,381.80255,389.07717,381.80255,388.46088,28510
2014-01-31,383.44598,384.87795,377.97794,378.26796,58513
2014-02-03,378.2317,379.42803,370.37705,370.98126,55093
2014-02-04,371.81506,380.95062,369.45262,380.1289,47025
2014-02-05,378.30421,388.07419,377.38582,386.88995,73885
2014-02-06,386.30387,390.00764,386.30387,389.90493,56469
2014-02-07,389.90493,392.7326,389.90493,391.63899,30635
2014-02-10,391.82629,391.82629,387.041,390.47892,67000
2014-02-11,391.67524,393.18575,390.94416,392.22507,41421
2014-02-12,393.69933,395.9802,392.43654,395.6932,36055
2014-02-13,393.796,399.98305,392.79302,397.77166,117253
2014-02-14,397.77166,399.5299,396.11614,398.04355,36580
2014-02-18,398.56317,400.97394,397.56623,399.49364,65252
2014-02-19,399.29426,402.32132,396.21282,398.48462,43655
2014-02-20,397.246,408.62317,397.246,408.19418,58978
2014-02-21,399.37884,414.00058,399.37884,413.57764,62861
2014-02-24,413.36617,427.32328,413.36617,423.99411,42709
2014-02-25,423.11802,440.45263,423.11802,437.7458,116649
2014-02-26,437.22014,438.6521,432.27171,433.3774,78989
2014-02-27,432.5436,437.81226,430.19929,435.3894,49206
2014-02-28,437.90289,440.28406,432.60402,434.24141,55380
2014-03-03,433.41366,435.00875,422.21776,423.84306,62642
2014-03-04,425.93361,427.85498,421.06977,422.76758,64542
2014-03-05,421.8794,422.94884,419.92178,422.33255,35120
2014-03-06,424.77354,426.47135,423.09385,423.52888,41537
2014-03-07,426.75533,426.81575,423.69806,424.67082,31481
2014-03-10,423.72222,433.1176,423.16636,431.84272,63857
2014-03-11,432.95446,435.90902,426.21154,428.47731,58650
2014-03-12,427.70393,443.46157,427.70393,441.54624,134015
2014-03-13,444.02952,450.19844,431.57688,432.16295,110366
2014-03-14,430.91225,434.39851,427.86102,433.78826,29799
2014-03-17,434.54352,436.85762,431.61917,431.72188,50372
2014-03-18,434.58581,435.69755,431.26269,433.34115,41421
2014-03-19,435.12959,435.80328,432.00586,433.13572,30895
2014-03-20,433.13572,433.21427,426.30217,427.06951,40130
2014-03-21,435.81839,439.64904,425.72214,427.38974,83989
2014-03-24,428.60419,429.17214,414.19393,422.9428,88028
2014-03-25,423.11198,424.3083,417.34183,421.73439,50602
2014-03-26,422.46548,423.60138,420.41723,423.2449,48778
2014-03-27,422.87634,424.11496,420.96101,422.9428,51626
2014-03-28,423.14823,430.0422,422.4836,426.3203,62856
2014-03-31,426.56802,427.35349,423.83098,425.20857,68074
2014-04-01,425.11189,441.71542,425.11189,439.99344,82579
2014-04-02,442.59756,445.35273,437.58266,438.26541,55535
2014-04-03,438.6521,442.82111,438.6521,441.0085,38726
2014-04-04,441.83022,441.86043,427.35953,427.77643,30334
2014-04-07,426.08466,429.55279,423.11198,423.60742,36595
2014-04-08,422.91863,423.16031,417.83123,417.95207,83470
2014-04-09,420.41119,432.40463,418.79796,431.97565,72050
2014-04-10,430.67661,435.93319,418.16355,418.52607,98754
2014-04-11,408.4419,418.27835,408.4419,411.68648,55514
2014-04-14,416.1878,416.27843,404.29102,407.63831,61601
2014-04-15,405.92237,410.05513,390.27349,400.19452,97112
2014-04-16,402.02526,403.60223,400.26702,400.56913,68175
2014-04-17,401.17333,408.42378,401.17333,407.8377,53377
2014-04-21,407.20933,408.59296,404.82876,405.88008,32071
2014-04-22,407.69873,414.25435,407.69873,411.00977,36055
2014-04-23,408.4419,418.25418,408.35127,417.31162,39711
2014-04-24,420.56224,421.95795,415.99445,417.98229,71503
2014-04-25,417.97624,418.66504,416.29656,417.52309,51692
2014-04-28,420.04866,420.04866,407.69873,408.29085,38925
2014-04-29,409.51739,409.51739,404.45416,404.89523,41431
2014-04-30,406.10968,407.08547,402.87114,405.55985,41960
2014-05-01,405.55985,410.21826,405.39672,408.50837,42394
2014-05-02,410.68954,416.70741,410.4539,413.60785,35876
2014-05-05,411.52939,411.52939,405.11878,405.22754,35822
2014-05-06,405.55985,407.2335,402.40591,403.68682,45578
2014-05-07,406.15197,408.80443,404.71397,408.80443,35208
2014-05-08,402.46028,407.78936,400.11996,401.4271,31173
2014-05-09,400.58725,402.95573,400.15827,402.94969,26482
2014-05-12,405.42088,411.60189,405.42088,409.35425,28010
2014-05-13,408.16397,410.27264,406.02509,406.85889,19682
2014-05-14,409.65031,409.65031,402.25486,403.00407,37573
2014-05-15,401.88629,401.88629,396.97411,400.16431,22843
2014-05-16,400.91352,401.79566,398.96194,400.91352,17990
2014-05-19,401.71107,411.05811,401.58419,410.88893,53803
2014-05-20,409.14278,412.17588,407.88604,407.88604,60611
2014-05-21,408.17605,410.45995,402.36965,405.27588,41009
2014-05-22,403.81974,406.09759,401.18541,404.01309,33149
2014-05-23,410.35723,410.77413,405.49943,409.22133,23677
2014-05-27,410.85268,412.53841,409.4328,410.0793,30776
2014-05-28,410.85872,413.53534,409.92825,411.57772,14960
2014-05-29,413.49305,413.49305,410.43578,410.62912,14938
2014-05-30,410.24847,411.03394,407.85583,409.00986,24006
2014-06-02,410.53849,411.68044,408.18814,411.6321,19169
2014-06-03,411.31187,416.5322,410.52037,415.32983,23371
2014-06-04,413.84953,418.35085,411.46897,418.11521,26363
2014-06-05,417.89165,421.46854,416.97931,420.8583,9081
2014-06-06,419.38404,423.547,417.3237,422.03649,24260
2014-06-09,422.87634,426.67678,421.94586,425.9034,26138
2014-06-10,425.78256,427.40787,423.8189,427.14806,32624
2014-06-11,425.61338,429.85489,425.61338,427.35953,23727
2014-06-12,427.77643,432.10555,425.40795,427.9154,35797
2014-06-13,427.24473,427.24473,421.3477,422.3386,23152
2014-06-16,423.45033,425.54692,419.32966,419.60759,20160
2014-06-17,418.9611,422.04254,416.99139,419.06985,21189
2014-06-18,418.07292,420.55619,418.07292,419.71031,19202
2014-06-19,419.91574,425.16627,418.85838,424.66478,23796
2014-06-20,427.17223,429.95157,424.92459,429.95157,66944
2014-06-23,428.92442,431.58896,428.92442,430.56785,17710
2014-06-24,430.13887,430.77933,428.65253,429.34132,49979
2014-06-25,429.49237,433.43178,429.49237,432.96654,26477
2014-06-26,432.01794,434.73686,430.66453,433.72784,17902
2014-06-27,433.54054,437.68538,433.42574,434.82749,53846
2014-06-30,437.46182,438.16874,432.14483,433.88493,22995
2014-07-01,435.02688,436.72288,433.24448,436.38634,21961
2014-07-02,437.35307,440.39825,437.26884,440.22303,28882
2014-07-03,440.94808,444.95395,440.26533,444.95395,30105
2014-07-07,442.88153,444.58539,440.02969,441.06892,21656
2014-07-08,440.86349,440.86349,435.02688,436.04798,37113
2014-07-09,436.12653,445.70316,434.41663,444.93583,45451
2014-07-10,444.05973,444.05973,436.80928,437.7458,26578
2014-07-11,437.81226,438.75482,435.06313,438.36813,19880
2014-07-14,438.71252,442.76069,438.05394,441.05684,54186
2014-07-15,439.38319,440.13845,422.04858,422.48965,75279
2014-07-16,421.74648,423.6618,418.54419,420.29639,41105
2014-07-17,418.74358,423.26907,418.74358,418.75567,16894
2014-07-18,420.55015,425.43212,420.55015,421.73439,71070
2014-07-21,421.33562,421.73318,415.78298,416.29656,42030
2014-07-22,417.23307,419.92178,414.87063,419.81302,53144
2014-07-23,418.33272,419.19674,416.42344,417.00347,19293
2014-07-24,418.47169,418.53815,415.90382,416.64699,15243
2014-07-25,414.48394,417.54726,414.48394,416.63491,36237
2014-07-28,416.90076,419.32966,414.87063,418.69525,27141
2014-07-29,417.7406,420.21784,415.91591,416.63491,32707
2014-07-30,418.59253,419.39008,415.37212,417.19682,20203
2014-07-31,414.23622,416.3026,413.01573,414.33289,25395
2014-08-01,412.73175,421.81898,412.73175,419.84323,40600
2014-08-04,419.39008,432.32101,417.82519,430.62223,51580
2014-08-05,432.00586,435.63108,428.96671,428.96671,44784
2014-08-06,427.81268,431.38353,427.17223,428.75524,24276
2014-08-07,429.55883,430.77933,421.50479,422.36881,18008
2014-08-08,423.2449,424.75541,418.42335,424.59228,31469
2014-08-11,424.75541,431.94544,424.75541,428.8217,18401
2014-08-12,428.45314,431.33513,427.24473,430.48327,35593
2014-08-13,431.92127,432.00586,428.48939,430.2295,19938
2014-08-14,430.61619,432.34421,423.60742,424.10891,54645
2014-08-15,426.79762,431.81856,424.75541,430.37451,24855
2014-08-18,433.21427,435.83651,432.61611,434.9,12472
2014-08-19,435.99361,437.57662,433.22635,433.26865,19864
2014-08-20,430.22346,436.23529,430.22346,434.99667,18634
2014-08-21,432.61006,438.0479,432.61006,438.0479,18369
