,open,high,low,close,volume
2000-08-11,17.4375,17.625,17.34375,17.40625,1569000
2000-08-14,17.34375,17.4375,17.25,17.375,684800
2000-08-15,17.5,17.5,17.21875,17.25,1412000
2000-08-16,17.3125,17.3125,16.875,16.9375,2076000
2000-08-17,16.875,17.0,16.5625,16.71875,3111200
2000-08-18,16.46875,16.71875,16.46875,16.59375,2348400
2000-08-21,16.5625,16.671875,16.46875,16.46875,670400
2000-08-22,16.46875,16.5,16.21875,16.25,1732400
2000-08-23,16.125,16.71875,16.09375,16.59375,2364200
2000-08-24,16.5625,16.65625,16.40625,16.40625,952600
2000-08-25,16.40625,16.40625,16.0625,16.15625,1366000
2000-08-28,16.1875,16.5625,16.125,16.375,1489200
2000-08-29,16.5625,16.5625,16.0625,16.125,1660600
2000-08-30,16.125,16.125,15.9375,16.03125,1821400
2000-08-31,15.9375,16.15625,15.78125,16.070315,1386000
2000-09-01,16.03125,16.09375,15.90625,15.9375,1046400
2000-09-05,15.75,16.03125,15.75,15.84375,1085400
2000-09-06,15.90625,15.96875,15.6875,15.9375,844600
2000-09-07,15.9375,16.03125,15.875,16.0,907400
2000-09-08,15.96875,16.3125,15.84375,16.09375,1359000
2000-09-11,16.15625,16.15625,15.75,15.875,1466000
2000-09-12,16.0625,16.34375,15.78125,16.25,1962200
2000-09-13,16.375,16.53125,16.28125,16.40625,1943400
2000-09-14,16.40625,16.53125,16.09375,16.21875,1795000
2000-09-15,16.1875,16.65625,16.15625,16.40625,3106400
2000-09-18,16.4375,16.46875,16.28125,16.28125,876400
2000-09-19,16.28125,16.4375,16.25,16.3125,834200
2000-09-20,16.3125,16.5625,16.21875,16.46875,1564200
2000-09-21,16.625,17.0,16.625,16.78125,2533200
2000-09-22,16.96875,17.4375,16.96875,17.21875,3026400
2000-09-25,17.34375,17.46875,16.9375,17.0,1627400
2000-09-26,17.125,17.4375,17.0625,17.40625,4990600
2000-09-27,17.625,17.875,17.4375,17.75,2907000
2000-09-28,18.0,18.1875,17.875,17.90625,1655200
2000-09-29,18.0,18.21875,17.59375,17.75,2148800
2000-10-02,17.6875,17.875,17.5,17.8125,1365000
2000-10-03,17.84375,18.03125,17.75,17.875,1702200
2000-10-04,17.8125,18.40625,17.8125,18.1875,1871000
2000-10-05,18.09375,18.625,18.0625,18.5,2340600
2000-10-06,18.5,18.84375,18.5,18.71875,2414800
2000-10-09,18.71875,18.8125,18.53125,18.5625,1427200
2000-10-10,18.6875,18.84375,18.53125,18.78125,3311000
2000-10-11,18.65625,18.96875,18.65625,18.84375,1010800
2000-10-12,18.75,18.90625,18.59375,18.8125,1137400
