,open,high,low,close,volume
2000-08-11,90.86591,93.24068,89.63687,91.6575,5312331
2000-08-14,91.67833,95.19881,91.34503,93.69896,6048005
2000-08-15,93.6573,94.86551,91.67833,91.82415,5704170
2000-08-16,92.9907,98.3235,92.15745,96.657,4386739
2000-08-17,94.69886,97.82355,93.324,96.9903,9296430
2000-08-18,97.6569,99.99,96.90697,99.96917,7982898
2000-08-21,99.6567,100.9899,98.53181,99.90668,6243324
2000-08-22,99.6567,101.48985,98.6568,100.15665,5641764
2000-08-23,99.3234,100.30247,97.3236,98.74013,4729673
2000-08-24,99.40672,100.57327,97.90688,100.05249,4778578
2000-08-25,100.05249,101.03156,99.46922,100.48995,3454245
2000-08-28,101.3232,105.48945,101.19821,103.82295,6176418
2000-08-29,103.90627,104.78119,101.9898,103.19801,5264626
2000-08-30,105.82275,113.322,105.78109,109.989,12888689
2000-08-31,108.9891,109.989,108.15585,109.3224,7786679
2000-09-01,109.61404,113.322,108.6558,113.322,6996400
2000-09-05,112.9887,112.9887,108.19751,109.3224,10366337
2000-09-06,108.57247,108.6558,103.9896,104.01043,8860486
2000-09-07,104.3229,107.38509,104.3229,106.40603,9846385
2000-09-08,104.15625,104.94784,100.17748,101.61484,8594059
2000-09-11,101.6565,104.90617,97.26111,98.6568,12077708
2000-09-12,99.6567,100.9899,93.15735,95.9904,14835884
2000-09-13,94.9905,97.9902,93.324,95.3238,17532252
2000-09-14,97.57358,101.6565,97.57358,100.9899,11852685
2000-09-15,100.48995,103.15635,96.82365,99.49005,11083708
2000-09-18,99.99,101.48985,95.19881,96.82365,11287729
2000-09-19,97.9902,102.78139,97.15695,102.6564,9550255
2000-09-20,102.23978,105.48945,99.6567,105.15615,11787879
2000-09-21,104.3229,106.3227,96.3237,97.3236,11107111
2000-09-22,100.3233,106.61433,99.3234,106.61433,15162016
2000-09-25,106.3227,112.6554,105.9894,107.3226,13463846
2000-09-26,108.9891,111.57217,105.9894,108.3225,12966097
2000-09-27,107.61423,109.3224,100.3233,103.323,19002400
2000-09-28,101.46902,104.26041,97.9902,100.3233,13339334
2000-09-29,101.9898,104.82285,98.6568,99.3234,10039004
2000-10-02,100.6566,102.61474,96.9903,98.24017,10348035
2000-10-03,98.24017,100.6566,95.11549,96.657,15052805
2000-10-04,94.5,100.375,90.0625,97.375,9852100
2000-10-05,97.0,101.75,95.0,96.9375,5893300
2000-10-06,96.0,96.5625,86.625,90.4375,10503800
2000-10-09,90.375,95.0,84.5,93.0,6280000
2000-10-10,90.0,92.5,81.98438,85.0,8612400
2000-10-11,82.375,89.5,80.25,83.125,12161800
2000-10-12,88.75,95.0,83.0,86.0,16115900
2000-10-13,84.5,94.0,83.625,92.875,8328900
2000-10-16,94.0625,102.4375,91.5625,98.3125,10549700
2000-10-17,102.0,102.0,95.125,97.0,9109600
2000-10-18,97.0625,100.4375,88.0,89.375,12701400
2000-10-19,93.875,97.4375,92.5,95.1875,8038400
2000-10-20,96.5,107.0,96.5,105.9375,11369900
2000-10-23,102.75,104.75,97.0,101.4375,11961600
2000-10-24,101.125,101.5,91.0,93.5,11191500
2000-10-25,81.125,82.5,74.0,76.875,38029900
2000-10-26,77.0,78.25,60.0,70.0,37234600
2000-10-27,77.5,79.75,71.0,76.0,19728000
2000-10-30,74.0,74.75,70.0,71.0,11007000
2000-10-31,71.0,77.75,70.8125,76.5,10567300
2000-11-01,74.0,77.5,71.625,73.625,12168100
2000-11-02,74.9375,76.25,71.125,71.25,14855800
2000-11-03,71.5,75.5,70.625,73.125,25205200
2000-11-06,74.0,74.5625,69.5,70.5,13630000
2000-11-07,68.5,70.875,67.1875,68.625,13302900
2000-11-08,68.6875,68.875,61.5,61.5,19014300
2000-11-09,60.0,65.5,59.375,64.0,15829500
2000-11-10,63.0,64.125,60.125,60.125,10785200
2000-11-13,58.9375,63.0,56.5,59.0,16525800
2000-11-14,60.0,66.875,60.0,66.5,14393400
2000-11-15,66.4375,69.75,65.625,67.75,10798000
2000-11-16,66.75,66.8125,63.125,63.8125,6975800
2000-11-17,63.8125,65.0,60.75,62.125,9633400
2000-11-20,60.0,62.125,58.5625,59.3125,9468000
2000-11-21,59.4375,65.6875,58.625,64.5625,11899900
2000-11-22,63.375,66.625,62.125,63.25,7504100
2000-11-24,64.9375,67.5,63.6875,67.5,2865100
2000-11-27,69.5,70.4375,63.25,64.3125,8930000
2000-11-28,64.375,66.0,61.0,61.0,8237000
2000-11-29,62.25,63.6875,58.3125,62.25,11051200
2000-11-30,59.125,61.0,56.125,58.5,14695200
2000-12-01,59.5,63.5625,59.1875,60.9375,11691100
2000-12-04,60.8125,64.0625,59.4375,61.5,7879600
2000-12-05,64.25,69.5,63.5625,69.125,12010300
2000-12-06,69.0,73.5,68.0,69.75,12265500
2000-12-07,68.5625,71.9375,67.1875,71.5625,7853400
2000-12-08,75.0,78.0,74.0625,76.5,11212200
2000-12-11,77.5,79.75,76.1875,79.75,10858600
2000-12-12,78.0,79.4375,74.0,74.9375,7576900
2000-12-13,77.0,77.6875,70.5,72.5,8724200
2000-12-14,75.0,76.4375,68.5,70.0,13479500
2000-12-15,69.75,70.4375,65.5,70.0,14366900
2000-12-18,71.625,73.0,63.25,64.5,11176600
2000-12-19,65.75,68.5625,61.5,62.3125,9852100
2000-12-20,59.0,59.375,53.75,55.5625,17354400
2000-12-21,57.0,58.0,50.75,54.5,14676500
2000-12-22,54.0,58.25,51.0,56.25,13137700
2000-12-26,56.0,57.75,53.125,55.3125,5411200
2000-12-27,54.5,55.6875,52.0,53.9375,8267600
2000-12-28,53.75,56.875,53.625,54.9375,6848200
2000-12-29,55.5,57.0,52.3125,52.8125,7682100
2001-01-02,52.0,53.6875,47.0,47.375,10585200
2001-01-03,45.5,57.4375,45.5,55.4375,19040600
2001-01-04,56.8125,57.375,53.25,55.25,12232900
2001-01-05,55.125,55.375,49.5625,50.125,9403000
2001-01-08,50.5,53.0625,49.375,52.8125,9336500
2001-01-09,53.0625,54.25,51.125,52.75,7557000
2001-01-10,50.75,57.125,50.5625,57.0,12240600
2001-01-11,56.6875,59.9375,55.125,59.0,11004100
2001-01-12,59.0,61.875,58.125,60.875,10798500
2001-01-16,60.875,61.625,58.25,59.9375,6991200
2001-01-17,64.625,65.6875,63.5,63.9375,12086800
2001-01-18,64.75,70.25,63.75,68.875,10912500
2001-01-19,70.0,71.1875,68.3125,69.125,10653800
2001-01-22,68.0,68.0625,65.75,67.625,7547000
2001-01-23,67.625,70.0,66.6875,70.0,8914300
2001-01-24,69.75,72.1875,68.5625,70.125,9659000
2001-01-25,62.0,62.75,56.25,56.25,47158600
2001-01-26,55.875,56.875,54.375,55.0,22497100
2001-01-29,55.75,58.0,55.0,57.75,9404200
2001-01-30,57.75,58.5,56.5,58.08,6429600
2001-01-31,58.99,59.92,56.5,56.71,8362000
2001-02-01,56.53,57.5,53.82,54.5,9577800
2001-02-02,54.89,55.23,51.08,51.08,14209800
2001-02-05,51.09,52.35,49.5,51.76,10142500
2001-02-06,51.9,52.36,49.5,49.75,7877500
2001-02-07,49.1,49.24,45.5,46.5,13239000
2001-02-08,47.15,48.1,42.87,43.05,15802900
2001-02-09,43.05,43.18,40.08,40.96,15704300
2001-02-12,39.75,42.34,39.19,41.7,12426500
2001-02-13,42.3,43.37,39.25,39.55,11244000
2001-02-14,39.55,40.65,36.75,38.9,29391300
2001-02-15,40.54,44.5,37.7,42.01,24909300
2001-02-16,35.0,37.5,32.2,33.0,48270200
2001-02-20,33.2,34.0,30.0,30.05,25074400
2001-02-21,30.05,32.0,29.5,30.3,17727800
2001-02-22,30.95,32.49,29.33,31.51,18639100
2001-02-23,31.0,33.5,30.4,33.2,16742400
2001-02-26,33.75,33.76,31.9,32.47,11697500
2001-02-27,31.9,31.95,28.5,28.65,17878800
2001-02-28,29.0,29.9,26.6,27.1,20038100
2001-03-01,27.0,30.51,26.88,30.25,16838700
2001-03-02,29.5,30.0,27.4,27.7,16685000
2001-03-05,28.5,29.55,28.25,29.55,9712600
2001-03-06,30.75,32.37,30.6,31.0,15754700
2001-03-07,31.89,31.95,29.65,30.1,10169400
2001-03-08,30.7,31.0,28.15,28.5,11426200
2001-03-09,27.6,28.15,26.8,27.01,12970600
2001-03-12,24.6,26.51,23.2,23.43,28300700
