,open,high,low,close,volume
2002-02-13,9.625,10.06,9.525,10.05,19054000
2002-02-14,10.175,10.195,9.925,10.0,2755400
2002-02-15,10.0,10.025,9.85,9.95,2097400
2002-02-19,9.9,9.9,9.375,9.55,1852600
2002-02-20,9.6,9.875,9.525,9.875,1723200
2002-02-21,9.84,9.925,9.75,9.85,1744200
2002-02-22,9.925,9.925,9.6,9.675,881400
2002-02-25,9.65,9.825,9.54,9.75,863400
2002-02-26,9.7,9.85,9.545,9.75,690400
2002-02-27,9.675,9.68,9.5,9.575,1022800
2002-02-28,9.6,9.725,9.55,9.55,687800
2002-03-01,9.525,9.775,9.49,9.685,478400
2002-03-04,9.725,9.905,9.71,9.85,795200
2002-03-05,9.8,9.825,9.58,9.625,861200
2002-03-06,9.62,9.715,9.6,9.675,329200
2002-03-07,9.675,10.3,9.675,10.21,675200
2002-03-08,10.15,10.5,10.15,10.45,400200
2002-03-11,10.4,10.7,10.375,10.585,1365600
2002-03-12,10.5,10.95,10.5,10.6,1454800
2002-03-13,10.6,10.75,10.325,10.51,1265800
2002-03-14,10.51,10.6,10.42,10.5,424200
2002-03-15,10.5,10.55,9.95,10.175,427000
2002-03-18,10.2,10.2,9.525,9.65,551800
2002-03-19,9.725,9.75,9.3,9.35,807400
2002-03-20,9.275,9.275,8.5,9.01,2309000
2002-03-21,9.01,9.625,9.01,9.375,1106800
2002-03-22,9.375,9.795,9.255,9.65,623600
2002-03-25,9.75,9.905,9.59,9.86,1892800
2002-03-26,10.0,10.05,9.89,9.99,454200
2002-03-27,9.99,10.5,9.95,10.3,342400
2002-03-28,10.25,10.3,10.05,10.1,428600
2002-04-01,10.025,10.025,9.5,9.525,470000
2002-04-02,9.5,9.5,9.175,9.32,524600
2002-04-03,9.325,9.4,9.22,9.3,141800
2002-04-04,9.275,9.525,9.275,9.475,190800
2002-04-05,9.475,9.7,9.245,9.245,209400
2002-04-08,9.3,9.3,8.885,9.15,389600
2002-04-09,9.1,9.6,9.1,9.475,890600
2002-04-10,9.45,9.525,9.375,9.46,325600
2002-04-11,9.455,9.455,9.25,9.25,361000
2002-04-12,9.325,9.325,9.03,9.125,309000
2002-04-15,9.1,9.285,9.095,9.28,389800
2002-04-16,9.375,9.6,9.375,9.5,306400
2002-04-17,9.625,10.125,9.625,9.905,837200
2002-04-18,9.905,10.075,9.87,9.905,246200
2002-04-19,9.905,10.175,9.905,10.135,161600
2002-04-22,10.075,10.075,9.905,10.0,193200
2002-04-23,9.975,10.125,9.75,9.775,206200
2002-04-24,9.76,9.805,9.7,9.705,266200
2002-04-25,9.705,9.705,9.585,9.7,431800
2002-04-26,9.65,9.79,9.625,9.625,413400
2002-04-29,9.575,9.575,9.4,9.45,640600
2002-04-30,9.375,9.65,9.35,9.525,1723600
2002-05-01,9.65,10.25,9.65,10.25,418000
2002-05-02,10.2,10.495,10.2,10.415,829000
2002-05-03,10.4,10.405,10.28,10.4,115800
2002-05-06,10.395,11.295,10.395,10.875,536600
2002-05-07,10.825,11.0,10.725,10.75,113200
2002-05-08,10.85,11.25,10.85,11.2,164600
2002-05-09,11.25,11.6,11.25,11.425,211800
2002-05-10,11.5,11.715,11.0,11.03,174000
2002-05-13,11.035,11.035,10.425,10.75,482400
2002-05-14,11.0,11.2,10.4,10.4,989600
2002-05-15,10.35,10.5,9.925,9.925,1457400
2002-05-16,9.925,10.35,9.925,10.3,1321600
2002-05-17,10.375,10.75,10.375,10.615,1087800
2002-05-20,10.615,10.75,10.55,10.69,584000
2002-05-21,11.3,11.325,10.225,10.25,968000
2002-05-22,10.23,10.75,10.15,10.625,461800
2002-05-23,10.625,11.35,10.625,11.205,539400
2002-05-24,11.17,11.85,11.17,11.73,553000
2002-05-28,11.775,12.145,11.65,12.105,520600
2002-05-29,12.105,12.105,11.75,11.8,1182000
2002-05-30,11.8,11.8,11.575,11.63,985400
2002-05-31,11.63,12.15,11.63,12.095,677000
2002-06-03,12.095,12.095,11.57,11.625,454400
2002-06-04,11.605,11.95,11.45,11.715,483400
2002-06-05,11.75,11.84,11.555,11.625,438000
2002-06-06,11.625,11.825,11.595,11.625,350800
2002-06-07,11.5,11.62,11.28,11.475,438000
2002-06-10,11.475,11.65,11.15,11.25,213600
2002-06-11,11.31,11.375,11.26,11.375,80800
2002-06-12,11.255,11.26,10.91,11.2,133000
2002-06-13,11.2,11.55,11.05,11.48,324400
2002-06-14,11.47,11.47,10.675,11.255,179600
2002-06-17,11.3,11.725,11.3,11.51,234200
2002-06-18,11.51,11.575,11.15,11.26,65000
2002-06-19,11.25,11.575,11.25,11.5,226400
2002-06-20,11.43,11.43,10.895,10.95,127400
2002-06-21,10.875,10.875,10.45,10.5,254000
2002-06-24,10.5,10.5,9.95,10.26,273200
2002-06-25,10.26,10.395,9.99,9.99,207400
2002-06-26,9.875,9.875,9.18,9.475,720600
2002-06-27,9.55,10.0,9.455,10.0,408000
2002-06-28,9.975,10.66,9.915,10.495,870000
2002-07-01,10.45,10.495,9.825,9.87,272000
2002-07-02,9.865,9.865,8.935,9.38,409400
2002-07-03,9.35,9.55,8.625,9.25,556600
2002-07-05,9.3,9.73,9.3,9.505,113800
2002-07-08,9.55,10.175,9.485,9.905,358400
2002-07-09,9.85,10.215,9.62,9.75,540600
2002-07-10,9.75,10.05,9.475,9.6,536000
2002-07-11,9.525,9.545,8.875,9.215,610800
2002-07-12,9.215,9.215,8.785,8.845,263200
2002-07-15,8.835,8.835,7.9,8.35,325000
2002-07-16,8.225,8.435,8.045,8.095,311600
2002-07-17,8.12,8.325,7.15,8.045,1599600
2002-07-18,8.045,8.2,7.98,8.02,315400
2002-07-19,7.975,8.005,7.825,7.89,338400
2002-07-22,7.86,8.235,7.8,7.9,249800
2002-07-23,7.95,8.2,7.625,8.0,634000
2002-07-24,7.9,8.81,7.495,8.795,446200
2002-07-25,8.8,8.8,8.3,8.49,140200
2002-07-26,8.495,8.85,8.495,8.77,167200
2002-07-29,8.78,9.175,8.78,9.15,234000
2002-07-30,9.15,9.2,8.825,8.975,179200
2002-07-31,8.875,8.88,8.615,8.75,194400
2002-08-01,8.7,8.7,8.105,8.345,252800
2002-08-02,8.275,8.275,7.425,7.55,274800
2002-08-05,7.55,7.84,7.55,7.675,175600
2002-08-06,7.75,7.945,7.75,7.895,422200
2002-08-07,7.91,8.0,7.725,7.945,390200
2002-08-08,7.9,7.925,6.925,7.45,1234400
2002-08-09,7.45,7.8,7.45,7.625,236600
2002-08-12,7.62,8.125,7.6,8.125,231600
2002-08-13,8.25,8.605,8.13,8.175,440200
2002-08-14,8.175,8.9,8.175,8.65,806200
2002-08-15,9.0,9.375,9.0,9.05,851800
2002-08-16,9.05,9.9,9.05,9.465,430800
2002-08-19,9.465,10.215,9.35,9.975,430600
2002-08-20,10.35,10.75,10.1,10.46,1358200
2002-08-21,10.475,10.75,10.26,10.725,498600
2002-08-22,10.6,10.75,10.2,10.25,758800
2002-08-23,10.25,10.255,9.875,9.875,333400
2002-08-26,9.88,10.375,9.865,10.33,517400
2002-08-27,10.35,10.52,10.225,10.305,466200
2002-08-28,10.275,10.625,10.18,10.45,615400
2002-08-29,10.41,10.72,10.235,10.715,347000
2002-08-30,10.8,10.995,10.4,10.4,194600
2002-09-03,10.4,10.4,9.775,10.0,271400
2002-09-04,10.1,10.29,9.3,9.3,577200
2002-09-05,9.25,9.75,9.215,9.59,323200
2002-09-06,9.625,9.9,9.625,9.805,334800
2002-09-09,9.825,10.025,9.3,10.025,425000
2002-09-10,10.06,10.245,9.92,10.2,354200
2002-09-11,10.3,10.445,10.3,10.4,149800
2002-09-12,10.525,10.54,10.2,10.2,293000
2002-09-13,10.1,10.1,9.8,9.8,72000
2002-09-16,9.805,10.12,9.8,10.105,121200
2002-09-17,10.23,10.43,9.93,10.21,97200
2002-09-18,10.15,10.195,9.925,10.05,102000
2002-09-19,10.1,10.375,10.0,10.14,769600
2002-09-20,10.435,10.435,9.9,10.025,184400
2002-09-23,10.03,10.045,9.94,9.95,398800
2002-09-24,9.93,9.935,9.325,9.71,274800
2002-09-25,9.73,9.885,9.725,9.825,210000
2002-09-26,9.9,10.325,9.875,10.325,338400
2002-09-27,10.325,11.075,10.325,10.64,734600
2002-09-30,10.64,10.7,9.725,10.225,572600
2002-10-01,10.225,10.225,9.505,10.0,852800
2002-10-02,9.925,9.995,9.65,9.9,390000
2002-10-03,9.94,9.94,9.575,9.575,303000
2002-10-04,9.645,9.825,9.25,9.655,515200
2002-10-07,9.55,9.6,9.3,9.3,355200
2002-10-08,9.4,9.64,9.385,9.45,313800
2002-10-09,9.4,9.45,8.735,8.735,370600
2002-10-10,8.75,9.365,8.635,9.155,513200
2002-10-11,9.205,9.375,9.2,9.285,457000
2002-10-14,9.235,9.425,9.175,9.37,168400
2002-10-15,9.75,9.925,9.585,9.795,460200
2002-10-16,9.755,9.85,9.58,9.75,284600
2002-10-17,9.85,10.33,9.74,9.89,322200
2002-10-18,9.89,10.445,9.88,10.175,356800
2002-10-21,10.18,10.495,10.05,10.425,404200
2002-10-22,9.1,9.9,9.1,9.585,1796800
2002-10-23,9.57,10.02,9.57,9.97,296200
2002-10-24,10.05,10.24,10.05,10.2,325200
2002-10-25,10.15,10.5,10.12,10.175,608800
2002-10-28,10.25,10.25,9.26,9.275,1180600
2002-10-29,9.28,9.28,8.91,9.0,1217800
2002-10-30,9.15,9.275,8.98,9.0,1231600
2002-10-31,9.075,9.075,8.9,8.95,411000
2002-11-01,8.95,8.95,8.59,8.815,685600
2002-11-04,8.94,9.175,8.94,9.04,334200
2002-11-05,9.045,9.375,8.955,9.375,556200
2002-11-06,9.385,9.49,9.25,9.3,227600
2002-11-07,9.225,9.38,9.125,9.235,208600
2002-11-08,9.235,9.235,8.515,8.515,566600
2002-11-11,8.55,8.74,8.45,8.7,270400
2002-11-12,8.725,9.51,8.72,9.2,633000
2002-11-13,9.2,9.58,9.01,9.5,941600
2002-11-14,9.55,9.765,9.375,9.5,438800
2002-11-15,9.55,10.2,9.55,10.085,626800
2002-11-18,10.45,10.475,9.9,10.12,1030000
2002-11-19,9.525,9.55,8.8,9.55,2350000
2002-11-20,9.55,9.775,9.275,9.625,538600
2002-11-21,9.7,9.85,9.375,9.72,728800
2002-11-22,9.72,9.72,9.15,9.25,954200
2002-11-25,9.35,9.475,9.25,9.28,425600
2002-11-26,9.285,9.415,9.03,9.25,445600
2002-11-27,9.3,9.435,9.24,9.335,354600
2002-11-29,9.575,9.575,9.3,9.3,115400
2002-12-02,9.5,9.875,9.375,9.45,932000
2002-12-03,9.375,9.665,9.13,9.53,417600
2002-12-04,9.475,9.625,9.4,9.4,386800
2002-12-05,9.425,9.865,9.4,9.625,615800
2002-12-06,9.575,9.65,9.375,9.61,281800
2002-12-09,9.3,9.36,8.975,9.075,351800
2002-12-10,9.175,9.3,9.02,9.06,572400
2002-12-11,9.1,9.18,8.575,8.605,747200
2002-12-12,8.605,9.05,8.575,9.05,399600
2002-12-13,8.85,8.85,7.9,7.9,1290800
2002-12-16,8.0,8.145,7.95,8.0,752800
2002-12-17,8.1,8.12,7.275,7.45,1640400
2002-12-18,6.75,6.85,6.34,6.66,3813400
2002-12-19,4.965,5.25,4.51,4.66,9740800
2002-12-20,4.75,4.825,4.565,4.735,5877200
2002-12-23,4.72,4.795,4.625,4.7,2560800
2002-12-24,4.55,4.6,4.46,4.575,1052000
2002-12-26,4.625,4.7,4.58,4.6,650600
2002-12-27,4.6,4.69,4.54,4.675,1029000
2002-12-30,4.625,4.87,4.595,4.865,630600
2002-12-31,4.865,4.925,4.625,4.9,720400
2003-01-02,4.9,4.975,4.79,4.86,703800
2003-01-03,4.875,4.985,4.83,4.935,473600
2003-01-06,5.15,5.15,4.875,4.94,703800
2003-01-07,5.1,5.165,5.0,5.05,876000
2003-01-08,5.375,5.375,4.985,5.075,822200
2003-01-09,5.235,5.44,5.235,5.3,2560200
2003-01-10,5.3,5.325,5.105,5.19,726600
2003-01-13,5.3,5.355,5.2,5.275,407200
2003-01-14,5.26,5.26,4.9,4.95,1348600
2003-01-15,4.945,4.945,4.365,4.77,2437400
2003-01-16,4.82,4.885,4.725,4.775,665000
2003-01-17,4.725,4.825,4.635,4.775,685400
2003-01-21,4.725,4.835,4.575,4.825,967400
2003-01-22,4.775,4.95,4.67,4.95,567200
2003-01-23,4.94,4.95,4.675,4.875,632800
2003-01-24,4.75,4.795,4.535,4.705,1419000
2003-01-27,4.66,4.725,4.5,4.5,899200
2003-01-28,4.55,4.625,4.45,4.495,1446800
2003-01-29,4.495,4.545,4.41,4.5,890200
2003-01-30,4.55,4.59,4.25,4.435,985200
2003-01-31,4.435,4.465,4.25,4.25,552000
2003-02-03,4.3,4.405,4.1,4.13,537400
2003-02-04,4.1,4.325,4.08,4.245,622400
2003-02-05,4.25,4.31,4.095,4.125,921400
2003-02-06,4.125,4.2,3.91,4.0,902400
2003-02-07,4.02,4.095,3.95,3.96,600800
2003-02-10,3.91,4.0,3.825,3.86,833800
2003-02-11,3.91,3.995,3.75,3.795,1314000
2003-02-12,3.825,4.075,3.825,4.0,529000
2003-02-13,4.02,4.09,3.86,3.96,804200
2003-02-14,3.975,4.125,3.94,4.115,482200
2003-02-18,4.5,5.125,4.465,5.1,3545800
2003-02-19,5.125,5.265,5.0,5.2,1145400
2003-02-20,5.2,5.225,5.085,5.095,673800
2003-02-21,5.14,5.325,5.125,5.3,1054400
2003-02-24,5.235,5.375,5.02,5.175,512200
2003-02-25,5.0,5.2,4.9,5.155,619800
2003-02-26,5.125,5.255,5.075,5.08,225400
2003-02-27,5.0,5.39,4.975,5.13,759400
2003-02-28,5.15,5.29,5.1,5.25,632200
2003-03-03,5.275,5.445,5.275,5.39,496000
2003-03-04,5.4,5.4,5.175,5.2,413800
2003-03-05,5.18,5.275,5.125,5.25,760200
2003-03-06,5.25,5.49,5.17,5.4,398400
2003-03-07,5.405,5.53,5.325,5.46,681800
2003-03-10,5.46,5.47,5.3,5.3,369600
2003-03-11,5.35,5.45,5.3,5.36,217800
2003-03-12,5.37,5.585,5.335,5.5,539800
2003-03-13,5.6,5.925,5.555,5.77,1338800
2003-03-14,6.0,6.17,6.0,6.05,1939400
2003-03-17,6.0,6.165,5.94,6.075,640000
2003-03-18,6.145,6.25,6.045,6.05,402600
2003-03-19,6.075,6.195,6.0,6.065,622800
2003-03-20,5.625,5.93,5.5,5.9,1394800
2003-03-21,5.925,6.15,5.925,6.06,658400
2003-03-24,6.0,6.015,5.825,5.885,327800
