,open,high,low,close,volume
2000-08-11,26.75,27.25,25.9375,27.0625,9492600
2000-08-14,26.0625,26.625,25.5625,26.4375,6989500
2000-08-15,26.9375,27.625,26.25,26.4375,5252500
2000-08-16,26.5,26.625,25.0625,25.5625,5645300
2000-08-17,25.5,26.1875,25.125,26.0,3578500
2000-08-18,25.5625,27.1875,25.5625,27.0,3432200
2000-08-21,26.5625,27.3125,26.25,27.125,3230800
2000-08-22,27.4375,29.125,27.375,28.375,5632100
2000-08-23,28.25,29.375,28.125,28.875,3331200
2000-08-24,27.5625,28.3125,27.1875,27.5625,3748300
2000-08-25,26.5,26.9375,26.25,26.4375,3809400
2000-08-28,26.5625,26.6875,25.8125,25.9375,3338600
2000-08-29,25.6875,26.75,25.5,26.75,3186800
2000-08-30,26.0,26.0,21.6875,22.5,5544900
2000-08-31,21.875,22.5,21.125,22.25,25967000
2000-09-01,22.4375,23.875,22.1875,23.5,5856200
2000-09-05,23.4375,24.0,22.875,22.9375,4649800
2000-09-06,22.9375,23.75,22.9375,23.3125,3171100
2000-09-07,23.375,23.75,22.8125,22.9375,5393700
2000-09-08,23.25,23.9375,23.125,23.875,3972900
2000-09-11,23.875,25.0,23.625,23.8125,4249700
2000-09-12,24.125,24.6875,23.875,24.6875,2698700
2000-09-13,24.6875,25.25,24.625,25.0,4678500
2000-09-14,25.25,25.5,25.0,25.25,3693700
2000-09-15,25.0625,25.125,23.9375,23.9375,4537700
2000-09-18,23.625,24.0,23.0,23.0,3509200
2000-09-19,23.375,23.375,22.9375,23.0625,2713100
2000-09-20,23.0,24.0,22.9375,24.0,2603100
2000-09-21,23.0,23.875,23.0,23.25,2130100
2000-09-22,22.875,23.625,22.8125,23.1875,2751200
2000-09-25,23.625,23.625,21.9375,22.0,3812000
2000-09-26,22.0,22.0,20.5,20.75,6836700
2000-09-27,20.25,20.75,19.5625,19.9375,8002300
2000-09-28,19.8125,20.4375,19.75,20.375,7966900
2000-09-29,20.0625,20.375,19.875,20.0625,3073800
2000-10-02,20.0625,20.1875,19.0625,19.4375,3751900
2000-10-03,19.75,20.25,19.0625,20.0,3620200
2000-10-04,19.25,20.4375,19.25,19.875,2960700
2000-10-05,19.75,22.0,19.5,21.1875,6870800
2000-10-06,20.125,20.8125,20.125,20.5,5813600
2000-10-09,20.125,21.875,20.125,21.3125,3991800
2000-10-10,21.5625,21.5625,20.8125,21.0,2345000
2000-10-11,20.125,20.5,19.0,19.25,6522600
2000-10-12,19.0,19.5,18.5625,18.75,3516800
2000-10-13,18.75,19.0,18.5,18.8125,4163900
2000-10-16,19.0625,20.125,19.0625,19.4375,4937900
2000-10-17,20.0,20.0625,19.125,19.1875,4188300
2000-10-18,19.875,21.9375,19.0,21.5,11038500
2000-10-19,21.75,24.1875,21.625,24.0625,8252900
2000-10-20,23.8125,23.8125,22.5,23.0,3593500
2000-10-23,23.0625,23.9375,23.0,23.125,2309400
2000-10-24,23.6875,25.0,23.625,24.3125,2762300
2000-10-25,23.5625,24.375,23.5,23.5,1898600
2000-10-26,23.875,24.1875,22.8125,23.125,4641500
2000-10-27,23.0625,23.125,22.6875,23.0,2320700
2000-10-30,23.0,23.5625,23.0,23.25,4323200
2000-10-31,23.3125,25.875,23.3125,25.8125,5149900
2000-11-01,25.3125,25.375,24.125,24.4375,5894800
2000-11-02,25.75,27.3125,24.625,27.1875,13873900
2000-11-03,26.75,26.8125,25.625,26.25,4919900
2000-11-06,26.3125,26.3125,25.625,25.8125,3130100
2000-11-07,25.8125,26.25,25.5625,26.125,4436600
2000-11-08,26.1875,26.625,25.6875,26.25,2604900
2000-11-09,25.0,25.5625,24.25,24.625,4179900
2000-11-10,23.6875,24.375,23.125,23.6875,5369500
2000-11-13,23.4375,24.5625,23.125,24.5,2981400
2000-11-14,24.5,25.9375,24.1875,25.625,3949700
2000-11-15,25.5625,25.625,24.5,24.875,2955900
2000-11-16,24.5,25.0,24.125,24.875,2117900
2000-11-17,24.875,24.875,24.3125,24.625,1931800
2000-11-20,24.5,24.5,23.5,23.75,1679100
2000-11-21,23.75,23.75,23.375,23.5,2896900
2000-11-22,23.5,24.6875,23.4375,24.4375,2487000
2000-11-24,24.5,25.0625,24.4375,25.0,1043800
2000-11-27,26.0,28.0,25.625,27.3125,4991900
2000-11-28,26.3125,26.875,25.1875,26.0,4511700
2000-11-29,25.0,25.875,24.375,25.8125,3376000
2000-11-30,25.25,25.25,23.625,24.9375,5237800
2000-12-01,25.0,25.6875,24.625,24.75,2435800
2000-12-04,24.8125,26.625,24.5625,26.5625,2225000
2000-12-05,26.125,27.3125,25.6875,27.0625,5226900
2000-12-06,27.0625,28.125,26.6875,27.0625,3617000
2000-12-07,26.8125,27.0,26.1875,26.375,1902300
2000-12-08,26.1875,27.1875,26.1875,26.6875,2693100
2000-12-11,26.0,26.0,25.0,25.5625,2159300
2000-12-12,25.4375,26.125,25.375,25.8125,1904400
2000-12-13,25.9375,26.125,25.0,25.4375,3637900
2000-12-14,25.125,25.25,24.375,24.8125,3282200
2000-12-15,23.5625,24.25,23.0625,23.875,4413000
2000-12-18,23.9375,23.9375,22.75,23.75,3843400
2000-12-19,23.8125,24.25,23.0,23.0,2226100
2000-12-20,21.625,23.3125,21.5,23.0,4235300
2000-12-21,22.625,24.0,22.625,23.875,2356900
2000-12-22,23.4375,24.375,23.25,24.125,2594300
2000-12-26,24.0,24.25,22.9375,23.4375,2001800
2000-12-27,23.625,26.375,23.1875,25.5625,4240400
2000-12-28,25.75,25.875,24.875,25.0625,3025100
2000-12-29,25.4375,26.0,25.375,25.5,2967400
2001-01-02,25.3125,25.9375,25.0,25.4375,3132900
2001-01-03,25.4375,30.625,25.375,30.3125,14414800
2001-01-04,29.375,30.75,29.0,29.5,15843800
2001-01-05,29.0,29.1875,27.0,27.5,5126800
2001-01-08,27.1875,27.5625,26.8125,27.125,3698300
2001-01-09,27.3125,28.3125,27.25,27.875,3616600
2001-01-10,27.8125,28.0,27.4375,27.8125,2007000
2001-01-11,27.8125,29.4375,26.9375,28.875,4288400
2001-01-12,29.0,29.875,28.25,29.5,3872300
2001-01-16,29.125,29.9375,29.0,29.375,3253900
2001-01-17,29.5,29.75,27.9375,28.1875,2728500
2001-01-18,28.25,28.5,27.0,27.375,3116200
2001-01-19,26.0,26.5625,25.75,26.0,4470500
2001-01-22,27.5,29.4375,27.5,29.25,8737300
2001-01-23,29.8125,30.0,28.8125,29.4375,3740400
2001-01-24,30.5,32.0,29.3125,30.0,10682100
2001-01-25,30.625,33.0,30.375,32.125,8595100
2001-01-26,32.125,32.75,31.4375,31.875,3902000
2001-01-29,31.8,32.5,31.64,32.17,2815900
2001-01-30,32.0,32.9,31.7,32.75,3373100
2001-01-31,32.75,34.0,32.3,32.6,4197600
2001-02-01,32.6,33.25,32.0,33.0,2775300
2001-02-02,33.35,33.45,31.6,32.12,2896200
2001-02-05,31.5,31.73,29.8,30.65,5825300
2001-02-06,30.64,30.64,29.91,30.0,4041700
2001-02-07,29.75,30.0,29.42,29.56,5285800
2001-02-08,27.6,27.99,25.85,26.61,10681600
2001-02-09,28.5,28.84,26.6,27.0,9604600
2001-02-12,27.05,28.45,27.05,28.01,3771300
2001-02-13,28.75,29.12,28.1,28.8,5832300
2001-02-14,29.3,29.3,28.42,28.9,4191200
2001-02-15,29.4,29.9,28.76,29.42,3419500
2001-02-16,29.05,29.95,29.02,29.44,2168300
2001-02-20,29.44,30.1,28.93,29.3,3123800
2001-02-21,29.15,29.19,27.37,27.61,3020100
2001-02-22,27.3,27.65,26.04,27.54,3816300
