,open,high,low,close,volume
2013-12-12,43.701146,44.973198,43.598561,44.111486,34678467
2013-12-13,45.116817,45.916979,44.21407,45.342504,5826029
2013-12-16,47.455752,53.241537,44.152519,44.152519,4718398
2013-12-17,44.337172,45.116817,44.275621,44.747512,2316786
2013-12-18,44.788546,45.506639,44.439757,44.788546,2858891
2013-12-19,44.62441,45.97853,44.21407,45.711809,1469525
2013-12-20,46.163183,46.265767,44.850096,44.993715,995244
2013-12-23,45.157851,45.527156,44.234587,44.234587,1221927
2013-12-24,44.316655,44.460274,43.393392,44.132002,1234234
2013-12-26,44.234587,45.055266,44.21407,44.521825,1309462
2013-12-27,44.316655,44.809062,44.21407,44.316655,1090482
2013-12-30,44.562859,45.075783,44.316655,44.911647,872188
2013-12-31,45.137334,46.101632,45.034749,45.650258,1134524
2014-01-02,45.650258,45.855428,44.665444,44.850096,1764060
2014-01-03,44.726995,45.321987,44.62441,45.157851,461306
2014-01-06,45.116817,45.383538,44.644927,45.137334,1173402
2014-01-07,45.137334,45.342504,44.932164,45.137334,1993007
2014-01-08,45.198885,45.198885,44.726995,45.198885,1154468
2014-01-09,45.137334,45.178368,44.542342,44.870613,459738
2014-01-10,44.644927,44.850096,44.255104,44.501308,812668
2014-01-13,44.234587,44.788546,44.234587,44.562859,728768
2014-01-14,44.542342,45.363021,44.398723,45.342504,1252443
2014-01-15,45.239919,45.486122,44.788546,44.952681,915689
2014-01-16,44.932164,45.198885,44.501308,45.055266,1130203
2014-01-17,45.055266,46.286284,44.726995,45.650258,2703248
2014-01-21,46.183699,46.347835,44.801061,44.973198,1280382
2014-01-22,45.116817,46.142666,44.932164,46.081115,1428958
2014-01-23,46.019564,46.491454,45.342504,46.491454,936261
2014-01-24,45.855428,46.122149,45.321987,46.060598,891567
2014-01-27,46.060598,46.060598,44.911647,45.116817,1100280
2014-01-28,44.809062,45.137334,44.62441,44.932164,686499
2014-01-29,44.747512,44.89113,44.234587,44.439757,437947
2014-01-30,44.644927,44.768029,44.316655,44.439757,520348
2014-01-31,44.132002,44.501308,43.783214,44.41924,428785
2014-02-03,44.41924,44.521825,42.757365,42.983052,1115224
2014-02-04,43.085637,43.249568,42.747107,43.147188,835975
2014-02-05,42.777882,43.003569,42.162373,42.675298,694880
2014-02-06,42.757365,43.495976,42.716332,43.495976,294129
2014-02-07,43.619078,44.870613,43.53701,44.41924,513072
2014-02-10,44.460274,44.501308,43.701146,43.926833,562498
2014-02-11,44.583376,44.665444,44.029418,44.501308,642518
