,open,high,low,close,volume
2000-08-11,45.1875,45.1875,44.5,44.875,557200
2000-08-14,45.125,45.5,44.5625,44.75,796600
2000-08-15,44.75,44.75,44.0,44.625,1264000
2000-08-16,44.625,45.4375,44.0,44.34375,1658800
2000-08-17,45.5,48.0,45.5,47.0,1430700
2000-08-18,47.5,47.625,46.5,46.875,625800
2000-08-21,47.0625,47.5625,46.625,47.5,556800
2000-08-22,47.5,47.5625,47.0625,47.3125,798400
2000-08-23,47.625,47.625,46.875,47.5625,837900
2000-08-24,47.6875,47.8125,47.375,47.6875,569800
2000-08-25,47.75,49.5,47.6875,49.0,528800
2000-08-28,49.0,49.0625,47.3125,47.75,728100
2000-08-29,47.5,47.9375,47.375,47.9375,396800
2000-08-30,48.1875,49.0,47.875,48.875,504500
2000-08-31,48.625,50.5,48.4375,49.875,844900
2000-09-01,49.1875,49.875,48.75,49.25,628300
2000-09-05,49.25,49.4375,48.6875,49.375,773400
2000-09-06,49.3125,49.875,48.375,49.5625,572800
2000-09-07,49.8125,49.8125,48.375,48.5625,625100
2000-09-08,48.9375,49.9375,48.0,49.875,705200
2000-09-11,49.625,49.875,49.0,49.625,529100
2000-09-12,49.625,49.625,48.375,48.625,798700
2000-09-13,48.5,49.5,48.1875,49.375,674600
2000-09-14,49.6875,50.5,49.5,50.0,814300
2000-09-15,50.625,50.625,48.75,48.9375,916700
2000-09-18,49.0,49.4375,48.375,48.375,444900
2000-09-19,48.625,48.8125,48.0625,48.3125,311400
2000-09-20,48.0625,48.5625,46.625,47.9375,749400
2000-09-21,47.8125,47.875,47.125,47.3125,482700
2000-09-22,47.375,47.375,46.25,46.875,697300
2000-09-25,47.625,48.5,47.375,48.375,862500
2000-09-26,48.25,48.25,46.6875,46.75,792300
2000-09-27,46.9375,47.875,46.25,47.5625,909300
2000-09-28,47.5625,49.1875,47.3125,48.1875,868000
2000-09-29,48.1875,48.1875,47.25,47.875,618800
2000-10-02,48.0,49.5,48.0,49.1875,889600
2000-10-03,49.1875,49.75,49.0,49.5625,875700
2000-10-04,49.5,49.6875,49.0,49.5625,1073100
2000-10-05,49.5,49.5,47.875,48.0,864700
2000-10-06,48.0625,49.3125,48.0625,48.3125,711100
2000-10-09,48.0,48.125,47.3125,48.125,465700
2000-10-10,48.0,48.0625,47.125,47.3125,805300
2000-10-11,47.375,47.875,46.4375,46.5,1314900
2000-10-12,46.5,46.5,42.625,43.5,2953800
2000-10-13,43.5625,45.0,43.125,44.10938,2001900
2000-10-16,45.6875,47.8125,45.125,47.625,1690000
2000-10-17,47.5,47.9375,46.625,47.25,1298800
2000-10-18,46.75,46.75,45.0625,45.75,1164900
2000-10-19,45.125,47.3125,45.125,46.875,858200
2000-10-20,46.5625,47.375,45.875,47.0,583700
2000-10-23,47.0,47.0,45.625,45.875,633600
2000-10-24,46.75,48.0625,46.5,47.5,699300
2000-10-25,48.1875,48.75,46.9375,47.0625,526900
2000-10-26,47.0625,47.9375,45.75,46.375,605500
2000-10-27,46.0,46.9375,45.9375,46.8125,464700
2000-10-30,46.9375,47.9375,46.8125,47.8125,787300
2000-10-31,47.9375,48.375,46.4375,48.1875,866400
2000-11-01,48.25,48.875,47.25,48.3125,774300
2000-11-02,48.25,48.6875,47.75,48.0,530300
2000-11-03,48.25,49.3125,48.125,48.8125,995600
2000-11-06,49.0,49.8125,48.875,49.375,1010200
2000-11-07,49.625,49.625,48.6875,49.25,643200
2000-11-08,49.5,49.875,49.125,49.75,562100
2000-11-09,49.625,49.75,48.25,48.375,670000
2000-11-10,48.625,48.625,46.625,47.1875,572100
2000-11-13,46.5,46.6875,44.5,45.8125,936500
2000-11-14,45.75,47.4375,45.6875,47.0625,885500
2000-11-15,46.8125,48.1875,46.25,47.3125,874600
2000-11-16,47.3125,48.0625,45.6875,47.875,828500
2000-11-17,48.0,48.1875,47.3125,47.9375,619300
2000-11-20,47.6875,47.75,46.375,47.0,669900
2000-11-21,46.375,47.0,45.5,45.8125,759900
2000-11-22,43.9375,44.875,43.0,43.9375,1007800
2000-11-24,44.5,44.8125,43.5,44.5,422900
2000-11-27,44.375,46.8125,44.375,45.625,823300
2000-11-28,45.625,45.6875,44.5,44.625,511000
2000-11-29,44.5625,47.8125,44.5625,46.9375,1457800
2000-11-30,46.6875,46.6875,44.8125,45.4375,1151600
2000-12-01,45.5,46.5,45.5,45.9375,738300
2000-12-04,45.75,46.6875,45.375,45.75,1215300
2000-12-05,45.625,47.5625,45.625,47.25,1300500
2000-12-06,48.0,49.5625,47.25,47.25,1676100
2000-12-07,46.0,46.625,45.0,46.3125,1399800
2000-12-08,46.3125,46.875,43.8125,43.9375,2352400
2000-12-11,41.25,42.0625,36.9375,40.9375,6993800
2000-12-12,40.9375,40.9375,39.6875,40.5,2600700
2000-12-13,41.5,41.5,37.75,38.375,3885500
2000-12-14,38.375,39.1875,37.5,38.9375,2735000
2000-12-15,38.6875,38.75,37.5,37.9375,3242200
2000-12-18,37.9375,37.9375,36.6875,37.625,2359400
2000-12-19,37.6875,37.6875,35.3125,35.6875,2632600
2000-12-20,34.875,36.25,34.5625,35.5,2346800
2000-12-21,35.5,36.25,34.75,35.25,1360100
2000-12-22,35.3125,37.875,35.3125,37.125,1829200
2000-12-26,37.0,37.5625,36.25,36.8125,954900
