,open,high,low,close,volume
2000-08-11,17.34375,17.6875,16.875,17.59375,383400
2000-08-14,17.53125,18.25,17.53125,18.1875,360200
2000-08-15,18.3125,18.5625,17.4375,17.65625,443400
2000-08-16,17.78125,19.25,17.3125,19.25,659400
2000-08-17,17.8125,18.1875,17.71875,18.0625,720400
2000-08-18,18.15625,18.15625,17.53125,17.8125,380000
2000-08-21,18.0,18.15625,17.71875,17.875,342600
2000-08-22,17.90625,18.125,17.875,18.125,306600
2000-08-23,18.3125,18.78125,18.3125,18.6875,624200
2000-08-24,18.6875,18.71875,17.875,18.0625,238000
2000-08-25,18.1875,18.1875,17.71875,18.125,254000
2000-08-28,18.125,18.71875,17.90625,18.375,351000
2000-08-29,18.375,19.09375,18.28125,18.53125,397400
2000-08-30,18.5,18.71875,18.03125,18.40625,309400
2000-08-31,18.0625,18.71875,18.0625,18.46875,386200
2000-09-01,18.46875,18.6875,18.1875,18.6875,205600
2000-09-05,18.78125,18.84375,18.15625,18.46875,265000
2000-09-06,18.8125,19.25,18.6875,19.15625,392600
2000-09-07,19.15625,19.15625,18.65625,19.0,254800
2000-09-08,19.0,19.0,18.3125,18.75,484800
2000-09-11,18.78125,19.3125,18.625,18.90625,631000
2000-09-12,18.96875,19.21875,18.5625,18.9375,457800
2000-09-13,18.9375,18.9375,17.90625,17.90625,794000
2000-09-14,18.03125,18.625,17.8125,18.40625,484800
2000-09-15,18.375,19.0,18.375,18.71875,433600
2000-09-18,18.625,18.9375,17.84375,18.0,614000
2000-09-19,18.0,18.0,17.5,17.71875,454600
2000-09-20,17.90625,18.25,17.125,17.28125,908400
2000-09-21,17.0,17.65625,16.5,16.5,531800
2000-09-22,16.46875,17.28125,16.46875,16.90625,615000
2000-09-25,16.75,17.1875,16.5,17.03125,745600
2000-09-26,17.15625,17.4375,17.09375,17.125,335400
2000-09-27,17.375,17.71875,17.0625,17.65625,407200
2000-09-28,17.6875,17.75,17.25,17.625,290400
2000-09-29,17.8125,18.40625,17.75,18.0625,477600
2000-10-02,18.09375,18.375,17.5,18.34375,372600
2000-10-03,18.5,18.5,18.0,18.21875,454200
2000-10-04,18.09375,18.09375,17.125,17.15625,454600
2000-10-05,17.125,17.1875,16.5625,16.875,437400
2000-10-06,17.0,17.71875,17.0,17.125,354400
2000-10-09,17.3125,17.5625,16.78125,17.25,435400
2000-10-10,17.46875,17.96875,17.40625,17.75,399200
2000-10-11,18.0,18.6875,17.40625,18.15625,582800
2000-10-12,18.15625,18.84375,18.0625,18.75,573600
2000-10-13,18.90625,18.90625,17.9375,18.09375,573200
2000-10-16,18.09375,18.09375,16.75,16.96875,695800
2000-10-17,17.09375,17.46875,17.03125,17.1875,477800
2000-10-18,17.15625,17.4375,16.59375,17.0,340600
2000-10-19,17.09375,17.5625,16.78125,17.03125,249000
2000-10-20,17.125,17.6875,16.875,17.625,469600
2000-10-23,17.625,17.625,16.65625,17.0,424600
2000-10-24,16.9375,17.0625,16.375,16.53125,526400
2000-10-25,16.5,16.53125,15.53125,15.625,626000
2000-10-26,16.0625,16.625,15.96875,16.40625,853600
2000-10-27,16.40625,16.4375,15.6875,15.875,989800
2000-10-30,15.25,16.3125,15.25,15.65625,583000
2000-10-31,15.78125,16.09375,15.46875,15.71875,529600
2000-11-01,15.84375,16.84375,15.84375,16.84375,604400
2000-11-02,16.75,16.75,15.78125,16.15625,856200
2000-11-03,15.5,16.375,15.46875,15.90625,794600
2000-11-06,15.90625,15.90625,14.9375,15.125,1065000
2000-11-07,15.46875,16.03125,15.40625,16.0,713800
2000-11-08,15.8125,16.28125,15.78125,16.125,369000
2000-11-09,16.0625,16.09375,15.125,15.5,441800
2000-11-10,15.5,15.75,14.9375,15.0625,552600
2000-11-13,15.03125,15.28125,14.40625,14.46875,680800
2000-11-14,14.59375,15.53125,14.4375,15.46875,1728600
2000-11-15,15.75,16.375,15.75,16.28125,646200
2000-11-16,16.21875,16.90625,16.0625,16.625,966000
2000-11-17,16.625,16.625,16.09375,16.25,865600
2000-11-20,16.375,16.84375,16.03125,16.25,663200
2000-11-21,16.25,16.90625,16.25,16.625,415200
2000-11-22,16.5,16.5,15.90625,16.0625,473000
2000-11-24,16.15625,16.90625,16.0625,16.78125,206000
2000-11-27,16.78125,16.90625,16.28125,16.59375,435600
2000-11-28,16.4375,17.09375,16.34375,16.40625,463800
2000-11-29,16.4375,16.4375,15.4375,15.71875,693400
2000-11-30,15.53125,15.90625,14.5625,14.90625,428400
