,open,high,low,close,volume
2000-08-11,23.625,23.875,23.15625,23.34375,541800
2000-08-14,23.28125,23.375,23.0,23.15625,476600
2000-08-15,23.125,23.46875,23.0625,23.09375,375400
2000-08-16,23.03125,23.0625,22.59375,22.71875,850600
2000-08-17,22.59375,22.9375,22.59375,22.71875,465000
2000-08-18,22.6875,22.71875,22.21875,22.25,1261600
2000-08-21,22.25,22.625,22.15625,22.5,1003400
2000-08-22,22.53125,22.5625,22.09375,22.28125,579800
2000-08-23,22.125,22.46875,22.03125,22.4375,444000
2000-08-24,22.375,22.46875,22.1875,22.21875,535200
2000-08-25,22.1875,22.4375,21.875,21.875,1104800
2000-08-28,21.96875,22.34375,21.90625,22.0625,1537600
2000-08-29,22.09375,22.21875,21.90625,22.0,626200
2000-08-30,22.09375,22.09375,21.5625,21.5625,893800
2000-08-31,21.5625,21.5625,21.125,21.34375,692200
2000-09-01,21.5,21.5,20.78125,21.21875,1724200
2000-09-05,21.1875,21.3125,20.78125,21.0625,1802800
2000-09-06,21.3125,22.5625,21.1875,22.21875,1343200
2000-09-07,22.21875,22.59375,22.03125,22.375,920400
2000-09-08,22.28125,22.5,22.125,22.40625,539400
2000-09-11,22.59375,22.59375,22.0625,22.09375,426400
2000-09-12,22.0625,22.625,22.0,22.5625,537800
2000-09-13,22.375,22.65625,22.25,22.625,584800
2000-09-14,22.59375,22.96875,22.53125,22.8125,1408800
2000-09-15,22.8125,23.46875,22.8125,23.40625,1349200
2000-09-18,24.4375,24.46875,23.71875,24.0625,2006400
2000-09-19,24.0,24.3125,23.9375,24.28125,1200800
2000-09-20,24.21875,24.5625,23.75,24.5625,1137400
2000-09-21,24.46875,25.09375,24.46875,24.875,1109200
2000-09-22,24.96875,26.03125,24.90625,25.46875,1029400
2000-09-25,25.34375,25.375,24.625,24.71875,899600
2000-09-26,24.65625,25.25,24.65625,25.0625,901000
2000-09-27,25.25,26.375,25.125,26.09375,1275200
2000-09-28,26.3125,27.1875,26.28125,26.75,1491800
2000-09-29,26.78125,27.34375,26.71875,27.0625,1210200
2000-10-02,26.84375,26.875,25.75,26.25,1028000
2000-10-03,26.1875,26.21875,25.40625,25.4375,1679200
2000-10-04,25.5,25.8125,25.3125,25.8125,1375400
2000-10-05,26.0,26.4375,25.90625,26.1875,569000
2000-10-06,26.25,26.625,26.125,26.375,628800
2000-10-09,26.3125,26.875,26.3125,26.8125,587000
2000-10-10,26.8125,26.84375,26.21875,26.3125,725200
2000-10-11,26.09375,26.625,26.0625,26.40625,754800
2000-10-12,26.40625,26.40625,25.8125,26.09375,646400
2000-10-13,26.03125,26.28125,25.21875,25.34375,1053200
2000-10-16,25.5,25.84375,25.0625,25.5625,1502800
2000-10-17,25.5625,25.65625,25.0,25.09375,1123600
2000-10-18,25.09375,25.21875,24.8125,25.15625,709400
2000-10-19,25.15625,25.375,24.5,24.65625,742800
2000-10-20,24.625,24.6875,24.28125,24.375,507200
2000-10-23,24.625,25.125,24.21875,24.875,722200
2000-10-24,25.0625,25.96875,25.0625,25.78125,1478200
2000-10-25,25.15625,26.5,24.625,26.34375,2276600
2000-10-26,26.5625,26.65625,25.6875,25.9375,2054000
2000-10-27,25.875,26.34375,25.8125,26.28125,587400
2000-10-30,26.28125,27.4375,26.28125,26.9375,1064200
2000-10-31,26.5,27.5,26.1875,27.15625,1416000
2000-11-01,27.28125,27.75,27.03125,27.28125,1029400
2000-11-02,27.28125,27.3125,26.8125,26.875,994200
2000-11-03,26.90625,27.3125,26.84375,27.15625,658000
2000-11-06,27.28125,28.6875,27.21875,28.1875,1376200
2000-11-07,28.4375,28.6875,28.25,28.65625,973000
2000-11-08,28.65625,29.46875,28.59375,29.0,1641000
2000-11-09,29.0,29.5625,29.0,29.3125,1174400
2000-11-10,29.34375,30.5,29.34375,30.1875,2147200
2000-11-13,30.0625,30.125,29.46875,29.90625,1953600
2000-11-14,29.84375,29.84375,29.21875,29.5,1439200
2000-11-15,29.21875,30.21875,29.15625,29.9375,892600
2000-11-16,29.96875,30.5625,29.8125,30.34375,942000
2000-11-17,30.28125,30.5625,29.90625,30.0,1285400
2000-11-20,30.03125,30.40625,29.53125,29.53125,1530000
2000-11-21,29.5625,29.8125,29.0625,29.78125,1791400
2000-11-22,29.90625,30.34375,29.40625,29.84375,1533000
2000-11-24,29.84375,29.84375,29.5625,29.65625,453000
2000-11-27,29.6875,30.46875,29.5,30.25,918800
2000-11-28,30.4375,31.53125,30.1875,30.96875,2647400
2000-11-29,31.0625,32.1875,30.9375,32.1875,2049400
2000-11-30,31.9375,32.5625,31.625,31.625,2326200
2000-12-01,31.875,31.875,30.90625,31.5,1506800
2000-12-04,31.46875,31.59375,31.125,31.3125,1268800
2000-12-05,31.21875,31.21875,29.8125,30.15625,1612800
2000-12-06,30.25,30.59375,29.625,30.34375,1685200
2000-12-07,30.53125,31.09375,30.53125,30.65625,1295400
2000-12-08,30.625,30.625,29.46875,30.375,940400
2000-12-11,30.0,30.0,28.84375,29.0,2922600
2000-12-12,29.03125,29.3125,28.8125,29.0,919000
2000-12-13,29.03125,29.65625,28.90625,29.5625,948600
2000-12-14,29.46875,30.15625,29.28125,29.625,1075800
2000-12-15,29.375,29.875,29.3125,29.34375,1158800
2000-12-18,29.4375,30.46875,29.4375,30.40625,590000
2000-12-19,30.40625,30.96875,30.34375,30.625,627000
2000-12-20,30.625,31.21875,30.625,30.8125,784800
2000-12-21,30.6875,31.0625,30.5625,30.75,804200
2000-12-22,30.75,31.0,30.46875,30.84375,852800
2000-12-26,30.9375,32.46875,30.78125,32.1875,779600
2000-12-27,32.21875,33.21875,32.21875,32.8125,1996800
2000-12-28,32.75,33.0,32.1875,32.71875,986600
2000-12-29,32.71875,32.96875,32.1875,32.1875,1844200
2001-01-02,32.09375,33.0625,32.09375,32.5625,1066000
2001-01-03,32.53125,32.5625,30.53125,30.6875,2448400
2001-01-04,30.59375,30.65625,27.5625,28.5,2824000
2001-01-05,28.6875,29.21875,28.375,28.875,1249400
2001-01-08,29.0,29.71875,28.75,29.59375,956200
2001-01-09,29.5,29.71875,29.21875,29.625,863400
2001-01-10,29.5625,29.625,29.0,29.25,964400
2001-01-11,29.1875,29.25,28.65625,28.65625,838600
2001-01-12,28.65625,28.71875,27.9375,28.59375,732600
2001-01-16,28.78125,29.46875,28.78125,29.4375,896200
2001-01-17,29.5,29.5,28.84375,28.9375,776200
2001-01-18,29.0,29.40625,28.96875,29.125,738200
2001-01-19,29.0,29.0,28.375,28.625,686200
2001-01-22,28.4375,28.65625,28.25,28.5,512600
2001-01-23,28.875,29.21875,28.53125,28.65625,860800
2001-01-24,28.75,29.3125,28.65625,29.21875,813600
2001-01-25,29.28125,29.375,29.0,29.1875,1375800
2001-01-26,29.28125,29.6875,28.96875,29.25,1124200
2001-01-29,29.375,29.875,29.285,29.655,680000
2001-01-30,30.5,30.5,29.35,29.505,1296600
2001-01-31,29.625,29.875,29.355,29.75,1249000
2001-02-01,29.775,30.07,29.35,29.9,1026400
2001-02-02,29.9,30.125,29.7,29.905,634600
2001-02-05,30.0,30.905,29.94,30.35,848200
2001-02-06,30.275,30.6,30.175,30.525,751600
2001-02-07,30.625,31.0,30.45,31.0,1065200
2001-02-08,30.975,31.95,30.975,31.82,1278400
2001-02-09,31.85,32.15,31.825,32.02,1028800
2001-02-12,32.015,32.335,31.9,32.335,1022400
2001-02-13,32.335,32.525,31.9,32.46,1449200
2001-02-14,32.375,32.375,31.275,31.76,1959600
2001-02-15,31.76,31.76,31.225,31.615,713800
2001-02-16,31.675,32.25,31.675,32.195,756000
2001-02-20,32.0,32.75,31.79,32.5,789200
2001-02-21,32.26,32.3,31.725,31.975,772200
2001-02-22,31.98,32.165,31.295,31.505,1143800
2001-02-23,31.595,31.675,31.155,31.41,877200
2001-02-26,31.6,31.96,31.36,31.96,987400
2001-02-27,31.735,32.0,31.655,31.95,787000
2001-02-28,31.875,32.05,31.8,32.045,944400
2001-03-01,32.05,32.575,32.04,32.45,759600
2001-03-02,32.455,32.5,31.0,31.75,1555800
2001-03-05,31.925,32.0,31.375,32.0,751800
2001-03-06,31.725,31.775,31.3,31.77,547200
2001-03-07,31.74,31.86,31.545,31.86,540800
2001-03-08,31.875,32.25,31.66,32.25,700000
2001-03-09,32.35,32.475,32.19,32.325,519000
2001-03-12,32.45,32.755,32.275,32.605,2202000
2001-03-13,32.6,32.6,32.135,32.375,1442600
2001-03-14,32.275,32.475,32.135,32.26,1106000
2001-03-15,32.36,32.625,32.08,32.6,1065800
2001-03-16,33.25,33.25,32.755,33.05,1721800
2001-03-19,33.055,33.65,33.055,33.205,1402000
2001-03-20,33.205,33.45,33.025,33.225,1116200
2001-03-21,33.075,33.235,32.6,32.91,1387400
2001-03-22,32.81,32.81,31.9,32.48,1352000
2001-03-23,32.48,32.52,31.815,32.355,1209400
2001-03-26,32.3,32.5,32.075,32.32,930800
2001-03-27,32.8,33.43,32.755,33.275,1175400
2001-03-28,33.48,34.0,33.45,33.95,1889600
2001-03-29,34.125,34.5,33.825,34.485,1883400
2001-03-30,34.625,35.075,34.5,34.66,1971600
2001-04-02,34.66,34.79,34.255,34.39,1249000
2001-04-03,34.4,34.4,33.45,33.74,2312200
