,open,high,low,close,volume
2000-08-11,34.875,35.5625,34.6875,35.0,1785200
2000-08-14,35.25,35.25,34.5,34.5,2377700
2000-08-15,34.875,35.125,34.5,34.5,2364700
2000-08-16,34.6875,34.8125,34.125,34.375,2305600
2000-08-17,34.75,34.75,33.125,33.125,3830400
2000-08-18,33.5,34.1875,33.125,33.9375,2406400
2000-08-21,34.3125,34.5,32.75,32.75,1659000
2000-08-22,33.25,33.4375,32.125,32.3125,3200000
2000-08-23,32.0625,32.125,31.0,31.0625,3651900
2000-08-24,31.1875,32.75,31.1875,32.0625,3917900
2000-08-25,32.1875,32.3125,31.25,31.5625,2464500
2000-08-28,31.5,31.6875,31.125,31.5,1984600
2000-08-29,31.1875,31.8125,31.0625,31.375,2843900
2000-08-30,31.5,32.25,31.3125,31.5,2629100
2000-08-31,31.5,32.3125,31.5,31.89063,2397700
2000-09-01,32.5,32.5,31.5625,31.8125,3458500
2000-09-05,32.3125,33.0625,32.0625,32.9375,2555900
2000-09-06,33.625,34.0,33.1875,33.4375,3778600
2000-09-07,33.5,33.5,32.0,32.5625,3151500
2000-09-08,32.5,32.5625,31.5625,32.125,3360700
2000-09-11,32.125,32.125,31.375,31.375,2706200
2000-09-12,31.5,31.5,30.75,31.25,3654200
2000-09-13,31.125,31.75,31.0625,31.5,2037800
2000-09-14,31.875,31.875,30.6875,30.75,2219900
2000-09-15,30.875,30.875,30.0,30.125,3803900
2000-09-18,30.1875,31.1875,29.5,30.9375,3759200
2000-09-19,30.6875,30.9375,28.3125,28.75,4484700
2000-09-20,28.75,29.625,28.0,28.875,4730400
2000-09-21,28.75,29.25,28.6875,28.8125,2497300
2000-09-22,29.625,29.9375,28.6875,29.3125,2055300
2000-09-25,29.5,29.5,28.25,28.5625,2928600
2000-09-26,28.625,29.0625,27.75,27.75,2398800
2000-09-27,28.125,28.125,27.0,27.75,3706400
2000-09-28,27.625,28.9375,27.625,28.625,2628900
2000-09-29,28.375,29.4375,28.375,28.6875,2119900
2000-10-02,29.125,29.1875,27.4375,28.0,3341300
2000-10-03,28.0,29.875,27.6875,29.625,3957500
2000-10-04,29.625,31.8125,29.5625,31.5,4474000
2000-10-05,31.0,31.125,29.5625,29.875,2029000
2000-10-06,30.375,31.0625,29.25,29.8125,1982500
2000-10-09,29.8125,30.5,28.9375,29.3125,1611900
2000-10-10,29.3125,29.9375,28.1875,28.375,2568900
2000-10-11,28.625,29.9375,28.625,29.8125,3449900
2000-10-12,29.5,29.6875,27.5625,28.125,3200700
2000-10-13,27.9375,27.9375,26.625,27.4375,2484500
2000-10-16,27.25,28.5625,27.125,27.625,2436800
2000-10-17,27.625,28.25,26.3125,26.8125,1934500
2000-10-18,27.0625,30.0625,26.375,30.0,9179000
2000-10-19,30.125,31.0625,30.0,30.6875,4803900
2000-10-20,29.625,30.375,29.5625,30.25,2274900
2000-10-23,30.1875,30.1875,29.25,29.6875,1364500
2000-10-24,29.8125,32.625,29.6875,32.5625,5124800
2000-10-25,32.25,32.3125,31.4375,32.0,3152900
2000-10-26,31.9375,34.0,31.8125,33.75,5430700
2000-10-27,33.25,33.375,32.125,33.25,3004500
2000-10-30,34.375,36.9375,34.125,36.0,7954400
2000-10-31,36.6875,37.1875,34.8125,36.4375,5852300
2000-11-01,36.625,37.5,35.75,36.0625,3178900
2000-11-02,35.75,36.0625,34.3125,35.4375,2530300
2000-11-03,34.75,37.0,34.3125,37.0,2834700
2000-11-06,37.0,37.5625,35.75,36.4375,3367300
2000-11-07,37.0,37.1875,36.3125,36.875,3630700
2000-11-08,37.125,38.1875,36.5,36.9375,3885500
2000-11-09,36.25,36.6875,34.75,36.3125,4676800
2000-11-10,36.125,36.375,35.6875,36.0625,1499900
2000-11-13,36.25,36.875,35.8125,36.1875,1935600
2000-11-14,35.375,36.25,34.8125,35.5,3066200
2000-11-15,35.5,37.0,35.3125,36.0,2825100
2000-11-16,35.0,35.3125,33.625,34.3125,2971200
2000-11-17,33.875,34.8125,33.0,33.4375,2706300
2000-11-20,32.5625,33.1875,32.1875,33.1875,2320300
2000-11-21,32.25,33.4375,32.0,33.0,1795900
2000-11-22,32.75,33.375,32.625,33.0625,1794300
2000-11-24,33.0625,34.0,33.0625,33.6875,743900
2000-11-27,34.1875,34.5,33.5625,33.6875,1214700
2000-11-28,33.6875,35.25,33.625,34.5625,2773500
2000-11-29,34.375,35.375,34.25,35.375,1959000
2000-11-30,35.125,35.375,32.75,33.875,3722300
2000-12-01,33.9375,36.375,33.8125,36.25,3805700
2000-12-04,36.75,38.1875,36.5625,37.3125,5303800
2000-12-05,37.5,37.5,36.25,37.25,4020700
2000-12-06,37.125,37.9375,35.875,36.375,2321600
2000-12-07,36.375,36.9375,35.0625,35.5625,1732300
2000-12-08,35.8125,37.375,35.75,37.0,3209800
2000-12-11,37.625,38.125,36.875,37.625,2419300
2000-12-12,37.8125,39.625,37.375,37.5625,3451100
2000-12-13,38.4375,38.4375,36.6875,37.9375,2362100
2000-12-14,37.5625,37.8125,36.5625,37.75,2172100
2000-12-15,37.0,37.8125,36.9375,37.375,2999800
2000-12-18,37.6875,38.8125,37.1875,37.8125,2380800
2000-12-19,38.0,40.125,38.0,39.5,4083400
2000-12-20,37.5625,38.9375,37.0,37.625,4849600
2000-12-21,38.25,40.3125,37.0625,39.5625,3777600
2000-12-22,40.1875,43.0,39.5,42.25,4106200
2000-12-26,42.25,43.0,40.375,42.75,2424600
2000-12-27,42.25,42.625,41.0625,42.125,2365600
2000-12-28,42.0,42.6875,40.3125,42.4375,2204200
2000-12-29,42.375,42.75,40.625,40.8125,2313200
2001-01-02,40.0,41.125,39.0,39.4375,3479500
2001-01-03,39.5625,42.0,39.25,41.0625,3031200
2001-01-04,41.0,43.3125,40.4375,42.625,4304900
2001-01-05,42.6875,42.6875,40.25,41.5,2518400
2001-01-08,41.5625,41.8125,39.25,40.0,3451400
2001-01-09,39.9375,39.9375,37.9375,38.3125,2885500
2001-01-10,38.5625,38.6875,37.0625,38.125,3032000
2001-01-11,38.0,38.0625,36.5625,37.75,3947900
2001-01-12,36.875,37.0,35.75,36.9375,3728900
2001-01-16,36.6875,38.0625,36.125,37.625,3198700
2001-01-17,37.875,37.9375,36.25,36.5625,2717700
2001-01-18,36.25,36.75,35.5625,35.8125,2580100
2001-01-19,35.875,36.0,34.625,34.6875,2969000
2001-01-22,34.6875,36.625,33.75,35.75,3988200
2001-01-23,36.375,36.8125,36.0,36.5625,2591600
2001-01-24,35.3125,37.25,35.3125,36.25,2896900
2001-01-25,36.5,38.1875,36.4375,37.625,3490100
2001-01-26,37.125,37.375,36.0625,36.75,2494500
2001-01-29,35.86,37.37,35.86,37.33,1980600
2001-01-30,37.5,38.95,36.81,38.51,3132900
2001-01-31,38.99,39.2,37.77,38.65,2979800
2001-02-01,38.65,39.61,38.15,38.85,2336900
2001-02-02,38.95,39.09,38.35,38.52,1837900
2001-02-05,38.69,39.15,38.41,39.0,1818700
2001-02-06,38.85,38.89,37.9,38.24,1893700
2001-02-07,38.0,38.18,37.38,37.89,1697400
2001-02-08,38.14,38.29,36.45,36.91,2874100
2001-02-09,36.9,37.01,35.83,36.6,2129200
2001-02-12,37.0,37.49,36.0,37.2,2095100
2001-02-13,37.45,38.24,36.8,37.11,1875400
2001-02-14,37.11,37.11,35.3,36.1,2621900
2001-02-15,36.85,38.17,36.1,37.9,3324900
2001-02-16,37.6,37.88,36.65,36.76,2468800
2001-02-20,37.24,37.74,36.82,36.96,2261600
2001-02-21,36.9,37.29,35.8,35.8,2326300
2001-02-22,36.3,36.85,35.75,36.13,1870700
2001-02-23,36.25,36.82,35.31,35.83,1858800
2001-02-26,36.08,37.2,36.08,37.2,2349800
2001-02-27,37.45,37.72,36.93,37.48,1698900
2001-02-28,37.63,38.22,37.14,37.66,2044700
2001-03-01,37.75,37.99,37.1,37.55,2918200
2001-03-02,37.6,39.2,37.5,39.0,3774500
2001-03-05,39.05,40.31,39.02,40.17,2469100
2001-03-06,40.25,40.4,39.36,39.59,2368300
2001-03-07,40.1,40.89,39.88,40.57,2122300
2001-03-08,40.57,41.3,39.57,40.92,2619300
2001-03-09,41.34,41.34,39.8,39.98,2702900
2001-03-12,39.97,39.98,37.53,37.89,2553300
2001-03-13,37.89,37.99,36.2,37.34,3042900
2001-03-14,36.0,36.59,35.01,35.45,3924000
2001-03-15,35.55,35.85,34.56,34.92,2928400
2001-03-16,35.25,36.25,34.76,35.82,3940100
2001-03-19,36.2,36.79,36.08,36.26,2088600
2001-03-20,36.27,38.4,36.05,37.36,4642200
2001-03-21,36.6,36.7,35.31,35.53,3894800
2001-03-22,35.0,35.0,32.9,34.16,4030800
2001-03-23,34.0,34.6,33.05,34.06,3682900
2001-03-26,34.0,35.85,33.4,35.65,3159100
2001-03-27,35.65,36.65,35.28,36.48,2844000
2001-03-28,36.08,36.31,34.94,36.22,1932700
2001-03-29,36.0,36.15,34.05,36.15,2828900
2001-03-30,34.86,36.3,34.5,36.08,2451000
2001-04-02,35.83,36.52,34.51,34.88,2370500
2001-04-03,34.43,34.54,33.31,33.99,2310700
2001-04-04,33.99,35.24,33.62,34.45,2182400
2001-04-05,35.4,35.6,34.73,35.55,1659100
2001-04-06,35.05,35.06,34.0,34.5,1658500
2001-04-09,34.7,35.6,34.4,35.0,1918200
2001-04-10,35.2,37.6,35.1,37.01,4192700
2001-04-11,37.01,37.6,36.25,36.59,3455800
2001-04-12,36.2,36.85,35.69,36.48,2735700
2001-04-16,36.47,37.23,36.3,37.05,1912000
2001-04-17,36.9,37.2,36.25,37.1,1637100
2001-04-18,37.1,39.5,36.45,38.81,3668000
2001-04-19,38.81,38.81,37.93,38.49,1972300
2001-04-20,37.55,38.78,37.55,37.68,2037100
2001-04-23,37.68,38.8,37.5,38.04,2392900
2001-04-24,38.05,38.49,36.85,37.38,1873800
2001-04-25,37.6,37.82,36.62,37.74,1356900
2001-04-26,37.74,38.88,37.26,38.4,2156800
2001-04-27,39.35,39.36,38.3,38.74,2229000
2001-04-30,38.74,39.72,38.51,39.18,2469300
2001-05-01,39.18,39.65,38.71,39.5,2565300
2001-05-02,39.5,39.5,38.31,38.97,2715300
2001-05-03,38.85,38.85,37.6,38.0,2317700
2001-05-04,37.77,38.57,37.4,38.55,3291200
2001-05-07,38.5,38.88,37.75,37.9,2096200
2001-05-08,37.85,38.35,37.62,37.66,2031300
2001-05-09,37.67,38.14,37.67,38.0,2289200
2001-05-10,38.6,38.6,38.07,38.43,2050600
2001-05-11,38.45,38.55,36.76,37.35,2077400
2001-05-14,37.39,37.5,36.85,37.4,1891700
2001-05-15,37.15,38.35,37.1,37.7,2489000
2001-05-16,37.75,40.0,37.27,39.85,4387600
2001-05-17,39.84,41.0,39.75,40.85,4897200
2001-05-18,40.98,40.98,39.95,40.3,4050000
2001-05-21,40.35,41.0,39.8,40.48,2296600
2001-05-22,40.5,40.5,39.18,39.21,2324500
2001-05-23,39.3,40.0,38.87,39.3,2594200
2001-05-24,38.8,39.13,37.95,38.44,3090300
2001-05-25,38.5,38.55,37.6,37.94,1743600
2001-05-29,38.1,39.2,38.05,39.0,4265600
2001-05-30,39.0,39.24,37.65,37.95,1832900
2001-05-31,38.36,38.99,38.1,38.25,1767300
2001-06-01,38.45,39.5,37.5,39.26,2424500
2001-06-04,39.27,39.76,38.81,39.35,1542600
2001-06-05,39.55,40.54,38.28,39.87,3363700
2001-06-06,39.95,40.31,39.35,39.65,2030600
2001-06-07,39.25,40.0,39.24,39.81,2232300
2001-06-08,39.88,39.88,39.2,39.28,1137700
2001-06-11,39.15,39.23,38.36,38.52,1317100
2001-06-12,38.27,38.44,37.92,38.38,1808600
2001-06-13,38.62,39.0,38.19,38.47,1897200
2001-06-14,37.2,37.5,36.78,37.0,9258600
2001-06-15,37.25,37.35,36.71,37.0,3622100
2001-06-18,36.9,37.09,36.54,36.56,2455000
2001-06-19,36.87,37.0,36.05,36.2,2672200
2001-06-20,36.25,36.99,36.2,36.45,2393600
2001-06-21,36.5,36.64,36.22,36.25,2878600
2001-06-22,36.55,36.55,35.76,36.0,1799200
2001-06-25,36.0,36.0,35.26,35.4,2160400
2001-06-26,35.41,35.87,35.11,35.5,3845400
2001-06-27,35.88,36.1,35.51,35.75,2993900
2001-06-28,35.85,36.05,35.45,35.46,2044100
2001-06-29,35.5,36.1,35.32,35.7,3505500
2001-07-02,35.85,36.75,35.67,36.3,2424400
2001-07-03,36.3,36.5,35.82,36.18,1153200
2001-07-05,36.1,36.19,35.66,36.0,2269700
2001-07-06,36.0,36.0,35.21,35.62,1966500
2001-07-09,35.95,36.4,35.74,36.34,2750200
2001-07-10,36.7,36.72,36.0,36.2,2520800
2001-07-11,36.7,37.16,36.31,36.99,3171000
2001-07-12,37.35,38.0,36.81,38.0,2730200
2001-07-13,38.0,38.84,37.84,38.65,3386100
2001-07-16,38.3,38.59,38.0,38.23,1912100
2001-07-17,38.7,39.28,38.01,39.0,3476400
2001-07-18,38.85,40.18,38.65,40.0,4753300
2001-07-19,39.85,40.34,39.51,39.98,2774500
2001-07-20,40.05,40.05,39.35,39.75,2122200
2001-07-23,39.77,39.99,39.3,39.52,1596500
2001-07-24,39.0,39.3,37.85,38.07,2514800
2001-07-25,38.5,39.35,38.12,39.21,2204200
2001-07-26,38.96,39.78,38.8,39.78,2442400
2001-07-27,39.5,39.85,38.72,39.05,1877400
2001-07-30,39.09,39.55,38.9,39.45,1524800
2001-07-31,39.25,40.9,39.05,40.75,3531400
2001-08-01,40.86,41.13,40.06,40.45,2544100
2001-08-02,40.7,40.94,40.08,40.79,1556900
2001-08-03,40.79,40.95,40.16,40.71,2050100
2001-08-06,40.5,41.35,40.46,40.56,2583700
2001-08-07,40.3,40.31,39.88,39.98,2683000
2001-08-08,39.85,40.6,39.45,39.7,2424900
2001-08-09,39.69,39.7,39.14,39.29,2178200
2001-08-10,39.49,39.94,38.9,39.82,2332100
2001-08-13,39.86,39.93,39.26,39.85,1243500
2001-08-14,39.85,40.72,39.85,40.6,2157400
2001-08-15,41.25,41.49,40.7,40.73,3701600
2001-08-16,40.95,41.6,40.74,41.5,3135100
2001-08-17,41.5,41.5,40.75,41.19,2509700
2001-08-20,40.85,41.34,40.41,41.0,2210500
2001-08-21,41.6,42.5,40.86,41.04,3796000
2001-08-22,40.6,40.79,39.47,40.49,3800100
2001-08-23,40.4,40.99,40.11,40.89,1694100
2001-08-24,40.89,41.61,40.76,41.27,1776000
2001-08-27,41.5,41.95,41.3,41.63,1519400
2001-08-28,41.55,41.63,40.92,41.1,1253800
2001-08-29,41.69,41.8,40.5,40.75,2862800
2001-08-30,40.5,41.0,40.1,40.1,2343700
2001-08-31,40.0,40.44,39.57,40.14,2188600
2001-09-04,40.25,41.85,40.01,41.1,3247200
2001-09-05,41.1,41.65,40.7,40.98,2677500
2001-09-06,40.98,41.05,40.23,40.73,2734500
2001-09-07,40.73,40.73,38.5,38.62,5503300
2001-09-10,38.62,38.62,37.65,37.84,3531400
2001-09-17,35.85,36.49,33.16,33.9,7393400
2001-09-18,33.9,35.42,33.75,34.3,3691800
2001-09-19,34.8,35.0,33.3,34.14,4468100
2001-09-20,34.0,34.0,32.15,32.5,4350700
2001-09-21,32.36,32.47,30.7,32.36,5714300
2001-09-24,33.45,34.1,33.0,33.54,3229500
2001-09-25,33.6,33.7,32.84,33.38,3181100
2001-09-26,33.63,33.95,33.0,33.45,4029200
2001-09-27,33.26,33.96,33.11,33.85,2389900
2001-09-28,33.95,35.23,33.8,34.84,3425700
2001-10-01,35.05,35.05,33.61,34.24,2855900
2001-10-02,34.49,35.2,34.08,34.52,2258500
2001-10-03,34.15,34.87,34.01,34.74,3147300
2001-10-04,34.74,34.93,33.82,34.51,2658900
2001-10-05,34.55,36.1,34.52,36.1,3129200
2001-10-08,35.55,35.9,34.89,35.0,1683300
2001-10-09,35.05,35.62,34.9,35.31,1685100
2001-10-10,35.4,37.04,35.4,36.81,2774500
2001-10-11,36.81,38.44,36.81,38.2,4151900
2001-10-12,37.55,38.0,37.13,37.9,3007900
2001-10-15,37.5,37.74,37.22,37.7,1838400
2001-10-16,37.7,37.73,37.31,37.6,2676700
2001-10-17,37.7,37.98,35.8,36.32,4201100
2001-10-18,36.6,36.93,35.57,36.26,2343900
2001-10-19,36.3,36.3,35.65,35.89,3058700
2001-10-22,35.95,36.79,35.8,36.73,2282700
2001-10-23,36.8,37.16,36.45,37.08,2968700
2001-10-24,37.08,37.38,36.72,37.01,2945700
2001-10-25,36.35,37.38,36.35,37.38,2489900
2001-10-26,37.2,37.88,37.05,37.75,3573300
2001-10-29,37.5,37.7,36.75,37.04,1952100
2001-10-30,36.5,37.03,35.8,36.55,3219200
2001-10-31,36.25,36.86,35.65,35.8,3042600
2001-11-01,35.88,36.49,35.5,36.2,3045700
2001-11-02,36.35,36.86,36.16,36.81,2691700
2001-11-05,36.81,37.23,36.61,37.05,1818400
2001-11-06,37.0,37.4,36.66,37.34,2816900
2001-11-07,37.3,37.99,37.23,37.46,1449800
2001-11-08,37.55,38.34,37.47,37.59,2247000
2001-11-09,37.5,37.58,37.01,37.55,1268200
2001-11-12,37.0,37.46,36.53,37.12,1742300
2001-11-13,37.65,38.08,37.6,37.9,3021600
2001-11-14,38.65,39.29,38.13,39.04,2486600
2001-11-15,39.1,39.97,39.01,39.66,2644100
