,open,high,low,close,volume
2000-08-11,7.90625,7.984375,7.84375,7.859375,619200
2000-08-14,7.921875,7.984375,7.875,7.953125,824400
2000-08-15,8.0,8.078125,7.890625,7.953125,1818000
2000-08-16,7.9375,8.21875,7.9375,8.09375,1026800
2000-08-17,8.125,8.1875,8.03125,8.171875,628800
2000-08-18,8.15625,8.203125,7.953125,8.109375,1010000
2000-08-21,8.109375,8.375,8.09375,8.359375,1426000
2000-08-22,8.359375,8.4375,8.171875,8.234375,1149200
2000-08-23,8.203125,8.203125,8.015625,8.078125,368000
2000-08-24,8.0625,8.203125,8.046875,8.15625,590000
2000-08-25,8.15625,8.171875,8.078125,8.140625,822800
2000-08-28,8.15625,8.203125,8.109375,8.15625,763200
2000-08-29,8.1875,8.1875,8.140625,8.15625,528800
2000-08-30,8.15625,8.25,8.15625,8.203125,803600
2000-08-31,8.171875,8.46875,8.09375,8.410155,2053600
2000-09-01,8.40625,8.453125,8.09375,8.140625,2457200
2000-09-05,8.203125,8.53125,8.1875,8.515625,1328400
2000-09-06,8.484375,8.5,8.203125,8.390625,2291200
2000-09-07,8.390625,8.46875,8.21875,8.4375,716000
2000-09-08,8.484375,8.484375,8.0,8.28125,1299200
2000-09-11,8.421875,8.5,8.34375,8.5,1474000
2000-09-12,8.40625,8.671875,8.328125,8.65625,1500400
2000-09-13,8.65625,8.734375,8.5625,8.6875,1476400
2000-09-14,8.65625,8.671875,8.34375,8.578125,1422400
2000-09-15,8.515625,8.515625,8.28125,8.296875,1052400
2000-09-18,8.296875,8.296875,7.875,7.90625,1382000
2000-09-19,7.90625,7.9375,7.796875,7.84375,1332400
2000-09-20,7.84375,7.890625,7.5625,7.65625,1724400
2000-09-21,7.6875,7.75,7.625,7.71875,1448400
2000-09-22,7.6875,7.734375,7.640625,7.734375,1354400
2000-09-25,7.734375,8.15625,7.71875,7.96875,1294400
2000-09-26,7.96875,8.234375,7.90625,8.1875,1269200
2000-09-27,8.1875,8.21875,8.046875,8.109375,985600
2000-09-28,8.046875,8.1875,8.046875,8.15625,1257600
2000-09-29,8.171875,8.171875,8.015625,8.109375,1038000
2000-10-02,8.109375,8.203125,8.0,8.09375,734400
2000-10-03,8.0625,8.1875,8.03125,8.078125,1568000
2000-10-04,8.109375,8.234375,8.0,8.078125,1536400
2000-10-05,8.109375,8.21875,8.0,8.046875,2060000
2000-10-06,7.96875,8.046875,7.765625,7.890625,1254400
2000-10-09,7.65625,8.1875,7.65625,8.171875,805600
2000-10-10,8.171875,8.21875,8.015625,8.140625,1106800
2000-10-11,8.171875,8.171875,7.96875,7.984375,721200
2000-10-12,7.9375,8.078125,7.859375,7.90625,689200
2000-10-13,7.9375,8.046875,7.9375,7.984375,997600
2000-10-16,8.046875,8.0625,7.9375,8.0,608000
2000-10-17,8.0,8.0,7.765625,7.78125,749600
2000-10-18,7.71875,7.734375,7.5,7.65625,1002400
2000-10-19,7.65625,7.96875,7.4375,7.8125,1793200
2000-10-20,7.75,7.890625,7.625,7.828125,908800
2000-10-23,7.8125,7.875,7.71875,7.75,748000
2000-10-24,7.8125,7.90625,7.765625,7.828125,808400
2000-10-25,7.859375,8.0,7.75,7.84375,602000
2000-10-26,7.859375,7.9375,7.6875,7.828125,751600
2000-10-27,7.765625,7.921875,7.765625,7.890625,586000
2000-10-30,7.84375,8.09375,7.703125,7.90625,1611200
2000-10-31,7.921875,8.234375,7.90625,8.140625,900400
2000-11-01,8.1875,8.265625,7.4375,7.71875,2629600
2000-11-02,7.71875,8.0,7.71875,7.90625,637600
2000-11-03,7.921875,7.984375,7.84375,7.9375,372000
2000-11-06,8.0,8.234375,8.0,8.203125,781200
2000-11-07,8.203125,8.21875,7.9375,8.09375,764800
2000-11-08,8.03125,8.25,8.03125,8.1875,672800
2000-11-09,8.1875,8.203125,7.90625,8.03125,664800
2000-11-10,8.03125,8.03125,7.828125,7.890625,666000
2000-11-13,7.859375,8.03125,7.765625,7.953125,807600
2000-11-14,8.03125,8.25,8.0,8.171875,1019600
2000-11-15,8.234375,8.40625,8.1875,8.265625,975600
2000-11-16,8.3125,8.328125,8.078125,8.203125,633600
2000-11-17,8.21875,8.390625,8.1875,8.390625,882400
2000-11-20,8.375,8.421875,8.359375,8.390625,1174000
2000-11-21,8.390625,8.515625,8.375,8.484375,1432000
2000-11-22,8.484375,8.484375,8.28125,8.34375,1022000
2000-11-24,8.375,8.484375,8.265625,8.453125,268000
2000-11-27,8.453125,8.6875,8.34375,8.59375,1526000
2000-11-28,8.53125,8.546875,8.25,8.34375,1407200
2000-11-29,8.375,8.4375,8.1875,8.265625,1066000
2000-11-30,8.265625,8.34375,8.09375,8.328125,2230000
