,open,high,low,close,volume
2000-08-11,9.0625,9.1875,9.0,9.125,486800
2000-08-14,9.125,9.1875,9.03125,9.09375,818400
2000-08-15,9.03125,9.09375,8.875,8.9375,779800
2000-08-16,8.9375,9.0625,8.75,8.96875,1339200
2000-08-17,8.84375,8.96875,8.65625,8.75,1052400
2000-08-18,8.6875,9.3125,8.625,9.125,1367000
2000-08-21,9.28125,9.40625,9.125,9.375,1309400
2000-08-22,9.375,9.5625,9.3125,9.46875,716800
2000-08-23,9.53125,9.75,9.3125,9.625,525000
2000-08-24,9.625,9.6875,9.40625,9.46875,597600
2000-08-25,9.59375,9.6875,9.46875,9.625,471200
2000-08-28,9.5625,9.6875,9.40625,9.5,554600
2000-08-29,9.4375,9.46875,9.125,9.34375,1100400
2000-08-30,9.21875,9.25,9.0,9.1875,844800
2000-08-31,9.0,9.15625,8.625,9.0,3086000
2000-09-01,8.375,9.5,8.375,9.46875,3928400
2000-09-05,9.59375,9.625,8.75,9.0625,1527800
2000-09-06,9.0,9.40625,9.0,9.34375,889200
2000-09-07,9.46875,9.46875,9.125,9.1875,713800
2000-09-08,9.125,9.5,9.0625,9.3125,871200
2000-09-11,9.40625,9.59375,9.15625,9.25,636000
2000-09-12,9.21875,9.28125,8.96875,9.125,1200000
2000-09-13,9.0,9.03125,8.96875,9.0,1239400
2000-09-14,9.0,9.0625,8.84375,8.875,946400
2000-09-15,8.625,9.1875,8.625,8.84375,1456000
2000-09-18,8.875,8.875,8.5625,8.5625,893200
2000-09-19,8.5,8.5625,8.40625,8.46875,669400
2000-09-20,8.5,8.5625,8.1875,8.1875,786600
2000-09-21,8.3125,8.46875,8.15625,8.25,1078600
2000-09-22,8.0625,8.21875,7.90625,8.0625,905800
2000-09-25,8.09375,8.125,7.8125,7.8125,993000
2000-09-26,7.75,7.75,7.375,7.5,1375400
2000-09-27,7.4375,7.59375,7.3125,7.4375,1072400
2000-09-28,7.4375,7.71875,7.4375,7.5625,928400
2000-09-29,7.5,8.0,7.5,7.78125,1558200
2000-10-02,7.75,7.75,7.4375,7.4375,978800
2000-10-03,7.3125,7.625,7.3125,7.46875,833600
2000-10-04,7.40625,7.90625,7.28125,7.59375,931400
2000-10-05,7.78125,8.53125,7.78125,8.1875,2841000
2000-10-06,8.125,8.15625,7.34375,7.40625,1807000
2000-10-09,7.5625,8.03125,7.53125,7.84375,844200
2000-10-10,7.78125,8.0,7.5,7.84375,1166400
2000-10-11,7.5,7.84375,7.25,7.3125,2108000
2000-10-12,7.3125,7.40625,7.125,7.15625,930000
2000-10-13,7.09375,7.5625,7.0625,7.4375,1475600
2000-10-16,7.46875,7.875,7.4375,7.8125,1066800
2000-10-17,7.71875,7.75,7.46875,7.5625,868600
2000-10-18,7.5,7.53125,7.25,7.4375,854000
2000-10-19,7.28125,7.9375,7.28125,7.8125,1390600
2000-10-20,7.78125,7.875,7.4375,7.5625,623200
2000-10-23,7.5,7.78125,7.4375,7.5,520600
2000-10-24,7.53125,7.84375,7.46875,7.625,709600
2000-10-25,7.71875,7.75,7.375,7.46875,571400
2000-10-26,7.40625,7.5625,7.28125,7.34375,457800
2000-10-27,7.375,7.625,7.375,7.5,497800
2000-10-30,7.5625,8.0,7.53125,7.90625,697800
2000-10-31,7.78125,8.3125,7.78125,8.21875,1472600
2000-11-01,8.09375,8.15625,7.9375,8.0625,437400
2000-11-02,8.09375,8.75,8.0,8.59375,2027200
2000-11-03,8.65625,8.6875,8.25,8.4375,887200
2000-11-06,8.625,9.03125,8.40625,8.90625,1946000
2000-11-07,9.03125,9.1875,8.96875,9.15625,1757400
2000-11-08,9.09375,9.5625,9.0,9.5,1924600
2000-11-09,9.25,9.28125,8.75,9.21875,1246400
2000-11-10,9.21875,9.21875,8.5625,8.8125,970600
2000-11-13,8.6875,9.09375,8.65625,8.9375,713000
2000-11-14,8.96875,9.40625,8.9375,9.15625,738000
2000-11-15,9.03125,9.125,8.6875,9.0625,752200
2000-11-16,8.75,8.75,8.375,8.625,1783800
2000-11-17,8.625,8.78125,8.5,8.6875,651200
2000-11-20,8.6875,8.6875,8.25,8.4375,603000
2000-11-21,8.4375,8.46875,7.9375,8.03125,1106800
2000-11-22,8.03125,8.0625,7.75,7.78125,1051800
2000-11-24,7.90625,7.9375,7.84375,7.875,304000
2000-11-27,8.0,8.625,8.0,8.25,978400
2000-11-28,8.21875,8.21875,8.0,8.1875,1086200
2000-11-29,8.125,8.1875,7.9375,8.125,943800
2000-11-30,8.09375,8.125,7.75,8.03125,1356800
2000-12-01,8.125,8.15625,7.90625,8.0,476200
2000-12-04,7.90625,8.59375,7.90625,8.5625,1757000
2000-12-05,8.375,8.8125,8.3125,8.46875,1296000
2000-12-06,8.34375,8.78125,8.28125,8.375,778600
2000-12-07,8.28125,8.28125,8.0,8.21875,616000
2000-12-08,8.25,8.40625,8.1875,8.34375,782800
2000-12-11,8.375,8.40625,8.0,8.125,647600
2000-12-12,8.125,8.375,7.96875,8.28125,1462200
2000-12-13,8.3125,8.3125,7.90625,8.09375,491800
