,open,high,low,close,volume
2007-06-01,39.75,40.86,39.04,40.58,4378862
2007-06-04,40.1,40.59,39.95,40.32,5046616
2007-06-05,40.05,40.23,39.94,40.07,4796700
2007-06-06,39.99,40.19,39.49,39.5,5449300
2007-06-07,39.0,39.53,38.38,38.43,6600359
2007-06-08,38.62,39.18,38.49,39.15,3820000
2007-06-11,38.95,39.3,38.57,39.11,4718900
2007-06-12,38.9,39.34,38.78,38.9,4767536
2007-06-13,39.25,39.34,38.93,39.13,3955030
2007-06-14,39.3,39.77,39.22,39.45,3515873
2007-06-15,39.69,39.82,38.93,38.95,4859630
2007-06-18,38.9,39.02,38.44,38.89,4069907
2007-06-19,38.87,38.9,38.34,38.65,3255300
2007-06-20,38.55,39.21,38.5,38.58,4702893
2007-06-21,38.35,38.92,38.07,38.87,4376873
2007-06-22,38.85,43.11,38.41,41.43,22515618
2007-06-25,41.25,41.56,40.22,40.54,7489501
2007-06-26,40.59,40.96,39.49,39.59,6585184
2007-06-27,39.27,39.93,38.52,39.19,7459541
2007-06-28,39.19,39.94,38.87,39.67,3942218
2007-06-29,39.6,40.69,39.53,39.78,5535337
2007-07-02,40.05,40.24,39.59,39.83,3704151
2007-07-03,39.78,39.84,38.86,39.36,2283698
2007-07-05,39.2,40.32,39.2,39.77,3667383
2007-07-06,39.75,43.03,39.22,41.99,13810271
2007-07-09,41.85,41.89,40.89,41.65,5741144
2007-07-10,40.8,41.12,40.02,40.13,6388460
2007-07-11,39.7,40.63,39.7,40.41,6154700
2007-07-12,39.48,40.41,38.81,39.25,13983507
2007-07-13,39.4,39.95,39.06,39.75,5925277
2007-07-16,39.65,40.66,39.61,40.14,5535447
2007-07-17,39.93,40.57,39.73,40.03,6261150
2007-07-18,45.38,45.5,42.0,43.09,37891051
2007-07-19,41.77,42.66,41.75,42.4,8202837
2007-07-20,41.85,42.7629,41.51,41.92,9055400
2007-07-23,42.28,42.3,41.2601,41.86,6116050
2007-07-24,41.52,42.18,40.68,40.84,7376013
2007-07-25,41.1,41.14,39.79,40.15,6081024
2007-07-26,39.01,39.67,36.84,38.04,10483145
2007-07-27,38.0,38.3,36.56,36.9,8145618
2007-07-30,37.25,37.4,36.11,36.59,7535009
2007-07-31,36.71,37.23,36.07,36.07,5857586
2007-08-01,36.3,36.3,34.83,35.6,6623427
2007-08-02,35.88,36.24,35.41,35.96,5519746
2007-08-03,35.07,36.11,33.61,33.7,7211030
2007-08-06,34.0,34.93,32.31,34.89,7372024
2007-08-07,34.65,34.88,33.54,34.6,6918186
2007-08-08,33.72,35.71,33.71,35.54,6740108
2007-08-09,33.9,36.71,32.85,33.56,9995484
2007-08-10,33.15,33.9,32.28,33.63,7963219
2007-08-13,34.0,34.64,33.04,33.36,4710500
2007-08-14,33.24,33.29,31.67,31.73,6341650
2007-08-15,31.4,33.0,30.7,31.1,10782059
2007-08-16,30.89,31.51,29.13,30.33,10655573
2007-08-17,31.48,31.9,30.43,30.91,7813900
2007-08-20,30.99,31.21,30.47,30.74,5906400
2007-08-21,30.68,31.5,30.34,30.63,7284600
2007-08-22,30.9,31.37,30.67,31.13,5635600
2007-08-23,31.6,31.82,30.93,31.13,4583100
2007-08-24,31.2,31.84,30.85,31.78,5161300
