,open,high,low,close,volume
2000-08-11,23.875,24.8125,23.75,24.5625,910800
2000-08-14,24.5625,25.4375,24.5625,25.125,1174700
2000-08-15,25.0,25.0,24.75,24.8125,371600
2000-08-16,24.8125,25.0,24.75,24.875,560200
2000-08-17,25.125,25.4375,25.0,25.125,828100
2000-08-18,24.875,25.1875,24.875,25.0,1016400
2000-08-21,24.8125,25.1875,24.8125,25.0625,611500
2000-08-22,25.0,25.875,24.9375,25.5,1209100
2000-08-23,25.3125,25.5,25.0,25.125,394600
2000-08-24,25.3125,26.0,25.1875,25.6875,933900
2000-08-25,25.8125,25.9375,25.5,25.625,352400
2000-08-28,25.5,26.3125,25.0,25.125,896800
2000-08-29,25.25,25.3125,24.9375,25.125,730700
2000-08-30,25.0625,25.1875,25.0,25.0625,452300
2000-08-31,24.875,25.625,24.75,24.95313,761600
2000-09-01,25.0,25.1875,24.75,24.8125,886200
2000-09-05,24.125,24.875,24.125,24.875,813400
2000-09-06,24.875,25.0,24.75,24.875,721600
2000-09-07,24.875,25.4375,24.3125,25.4375,1987700
2000-09-08,25.75,26.375,25.5,25.875,1578500
2000-09-11,25.625,25.8125,24.875,24.9375,1657400
2000-09-12,24.9375,25.875,24.9375,25.75,1700900
2000-09-13,25.75,28.625,25.6875,28.0,3798000
2000-09-14,29.0,29.0,27.8125,28.3125,2597600
2000-09-15,28.75,28.75,27.3125,28.0,1969400
2000-09-18,27.5625,28.25,27.125,27.625,1165100
2000-09-19,28.0,29.75,27.875,29.5625,2985400
2000-09-20,29.5625,30.0,29.0625,29.875,1689100
2000-09-21,29.875,30.25,29.3125,29.8125,1458100
2000-09-22,29.75,30.0,28.875,29.625,1147800
2000-09-25,29.9375,30.5,29.5625,30.375,1439600
2000-09-26,30.25,31.4375,30.0,30.5,2460800
2000-09-27,30.5,30.6875,29.8125,30.125,1711700
2000-09-28,30.0625,30.9375,29.6875,30.5,1606000
2000-09-29,30.0,30.9375,30.0,30.5625,1370900
2000-10-02,30.5625,31.5625,30.5,31.5625,983100
2000-10-03,31.8125,32.9375,31.75,32.5,3018800
2000-10-04,32.875,33.25,32.5625,33.0625,1770300
2000-10-05,32.875,33.6875,32.75,33.0625,1072600
2000-10-06,33.0625,33.4375,32.125,32.25,1677400
2000-10-09,32.25,32.5,31.875,32.0,701500
2000-10-10,32.125,32.4375,31.5,31.9375,1591800
2000-10-11,31.75,32.0,31.375,31.5625,856200
2000-10-12,31.5625,31.6875,30.0,31.0625,1320200
2000-10-13,30.8125,30.9375,29.125,30.0,1475500
2000-10-16,30.0,30.8125,30.0,30.5,1195200
2000-10-17,30.3125,30.9375,30.0625,30.25,1988700
2000-10-18,30.125,30.625,30.0,30.5,3442100
2000-10-19,30.625,30.875,29.875,30.0,5527100
2000-10-20,30.0,30.75,29.75,30.0,4221800
2000-10-23,29.875,30.0,28.8125,29.625,2282400
2000-10-24,26.5,27.8125,23.875,25.3125,7114100
2000-10-25,26.0,26.75,25.3125,26.3125,2475400
