,open,high,low,close,volume
2000-08-11,27.5,28.625,27.5,28.5625,188400
2000-08-14,28.6875,29.125,28.375,29.0,197200
2000-08-15,28.875,28.875,28.0625,28.25,227300
2000-08-16,28.3125,28.3125,27.75,27.875,171500
2000-08-17,28.0,28.0625,27.5625,28.0625,130600
2000-08-18,27.875,28.5,27.8125,28.1875,85200
2000-08-21,28.4375,28.4375,27.8125,27.8125,117400
2000-08-22,28.0,28.0,27.3125,27.375,135600
2000-08-23,27.5,27.5,27.0,27.3125,115100
2000-08-24,27.25,27.5,26.75,27.1875,129500
2000-08-25,27.0625,27.8125,27.0,27.625,89000
2000-08-28,27.5,27.8125,27.375,27.5625,83500
2000-08-29,27.4375,27.5625,26.9375,27.4375,171000
2000-08-30,27.25,27.75,27.0,27.6875,103100
2000-08-31,27.8125,27.9375,27.25,27.32813,146300
2000-09-01,27.3125,27.8125,27.25,27.5,96800
2000-09-05,27.4375,27.9375,27.125,27.5,142200
2000-09-06,27.4375,27.8125,27.1875,27.5,173800
2000-09-07,27.5625,27.6875,27.1875,27.375,162500
2000-09-08,27.4375,27.75,27.25,27.5,120400
2000-09-11,27.5625,27.875,27.4375,27.5625,344200
2000-09-12,27.5,28.0,27.5,27.9375,99500
2000-09-13,28.0625,28.1875,27.75,27.875,93900
2000-09-14,28.0,28.0625,27.625,27.8125,75500
2000-09-15,27.5,28.5,27.5,28.0,176700
2000-09-18,27.875,28.25,27.875,28.0625,127300
2000-09-19,28.0,28.1875,27.9375,28.1875,256100
2000-09-20,28.0625,28.25,28.0,28.0625,143400
2000-09-21,28.0,28.0625,27.875,28.0,127000
2000-09-22,28.0625,28.5625,27.375,28.5,204900
2000-09-25,28.5625,28.75,28.3125,28.625,170500
2000-09-26,28.6875,28.875,27.75,27.875,153300
2000-09-27,28.0,28.5625,27.875,28.0,232100
2000-09-28,27.875,29.125,27.875,29.0625,128700
2000-09-29,29.25,29.625,29.125,29.5,126400
2000-10-02,29.375,29.6875,28.875,29.1875,112100
2000-10-03,29.125,29.125,28.25,28.3125,246300
2000-10-04,28.4375,29.25,28.4375,29.0,352400
2000-10-05,29.0,29.4375,28.875,29.25,102900
2000-10-06,29.125,29.125,28.3125,28.3125,112000
2000-10-09,28.375,28.8125,28.375,28.5625,49800
2000-10-10,28.5625,29.375,28.5625,28.6875,98500
2000-10-11,28.625,28.75,28.0,28.25,101600
2000-10-12,28.1875,28.25,27.5625,27.5625,123400
2000-10-13,27.6875,29.125,27.5,28.875,130000
2000-10-16,28.875,28.875,28.375,28.5,57300
2000-10-17,28.0,28.5625,27.625,27.875,152300
2000-10-18,27.625,28.125,27.125,28.125,107800
2000-10-19,27.9375,29.3125,27.75,29.3125,126100
2000-10-20,28.8125,29.5,28.5625,29.1875,86800
2000-10-23,29.0,29.375,28.75,29.0625,158700
2000-10-24,29.1875,29.1875,28.9375,29.1875,75100
2000-10-25,29.1875,29.1875,28.5625,29.125,80700
2000-10-26,29.125,29.3125,28.8125,29.3125,77300
2000-10-27,29.25,30.0625,28.25,29.9375,139300
2000-10-30,30.0,30.875,30.0,30.8125,126500
2000-10-31,30.875,31.9375,30.625,31.75,136600
2000-11-01,31.8125,31.8125,31.0,31.5,45900
2000-11-02,31.5,32.3125,31.5,32.25,103900
2000-11-03,32.25,32.3125,31.3125,31.6875,71700
2000-11-06,31.5625,31.75,31.375,31.5625,69700
2000-11-07,31.5625,32.0,31.1875,32.0,63000
2000-11-08,32.0,32.1875,31.8125,32.125,47300
2000-11-09,31.875,31.9375,30.625,31.25,122600
2000-11-10,31.3125,31.375,30.8125,30.875,52400
2000-11-13,30.625,31.1875,30.3125,31.1875,115300
2000-11-14,31.5,31.8125,31.1875,31.375,82100
2000-11-15,31.375,31.4375,31.0,31.3125,60700
2000-11-16,31.375,31.4375,30.9375,31.0,65600
2000-11-17,31.25,32.625,31.1875,32.5625,214800
2000-11-20,32.5625,32.6875,32.0,32.125,76300
2000-11-21,31.875,32.375,31.4375,32.375,99000
2000-11-22,32.375,32.375,31.625,31.875,70900
2000-11-24,32.0,32.1875,32.0,32.0625,24700
2000-11-27,32.0625,32.5625,32.0625,32.3125,74200
2000-11-28,30.875,31.3125,29.875,30.75,305100
2000-11-29,30.75,30.75,30.0,30.3125,232000
2000-11-30,30.3125,30.75,30.0,30.6875,181900
2000-12-01,30.625,31.0,30.25,30.5,112800
2000-12-04,30.625,31.0625,30.4375,30.8125,104700
2000-12-05,30.9375,31.0625,30.5625,30.625,131300
2000-12-06,30.625,31.0,30.5,30.9375,101200
2000-12-07,30.9375,30.9375,30.4375,30.8125,75500
2000-12-08,30.875,31.0,30.375,30.875,129900
2000-12-11,30.9375,31.0,30.8125,30.8125,90900
2000-12-12,30.9375,30.9375,30.6875,30.75,90600
2000-12-13,30.8125,31.375,30.75,30.75,260700
2000-12-14,30.875,31.3125,30.375,30.4375,84700
2000-12-15,30.1875,30.3125,29.75,29.8125,243700
2000-12-18,30.0,30.25,29.5625,29.625,196700
2000-12-19,29.6875,30.0625,29.0,29.0625,201000
2000-12-20,29.1875,30.0,29.125,29.25,122200
2000-12-21,29.25,30.4375,29.25,29.9375,117900
2000-12-22,29.9375,30.125,29.875,29.9375,91400
2000-12-26,29.9375,30.125,29.875,30.0625,69700
2000-12-27,30.1875,31.1875,30.0625,31.1875,136500
2000-12-28,31.0625,32.375,31.0,32.1875,142200
2000-12-29,32.125,32.75,32.0625,32.1875,135900
2001-01-02,32.0625,32.0625,30.5,30.6875,116200
2001-01-03,30.6875,33.0,30.5,32.9375,237400
2001-01-04,32.9375,34.0,32.9375,33.8125,168400
2001-01-05,33.75,33.75,32.625,32.875,228900
2001-01-08,32.9375,32.9375,32.6875,32.8125,189200
2001-01-09,32.6875,32.9375,32.5625,32.5625,160300
2001-01-10,32.0,33.125,31.9375,33.0,270300
2001-01-11,32.8125,33.6875,32.8125,33.5,91000
2001-01-12,33.5625,34.0,33.0,33.8125,100000
2001-01-16,33.875,35.375,33.3125,35.125,263100
2001-01-17,35.125,35.25,34.375,34.4375,317800
2001-01-18,34.25,34.4375,34.1875,34.3125,100400
2001-01-19,34.5,34.5,34.0,34.0625,53000
2001-01-22,33.9375,34.125,33.75,34.0625,78400
2001-01-23,34.0625,35.0,33.8125,34.9375,128000
2001-01-24,34.8125,34.9375,34.25,34.4375,90100
2001-01-25,34.4375,35.3125,33.8125,35.1875,103000
2001-01-26,34.8125,34.875,34.1875,34.4375,89200
2001-01-29,34.25,34.99,34.25,34.96,93500
2001-01-30,34.96,36.3,34.96,36.3,134600
2001-01-31,35.0,35.6,34.0,35.3,475100
2001-02-01,35.4,36.37,35.4,36.37,142000
2001-02-02,36.37,37.15,36.04,36.87,291800
2001-02-05,36.87,37.11,36.3,36.5,178000
2001-02-06,36.5,36.99,36.5,36.8,82600
2001-02-07,36.81,36.99,36.5,36.61,64900
2001-02-08,36.61,36.96,36.28,36.49,83000
2001-02-09,36.49,36.57,36.25,36.52,62600
2001-02-12,36.53,36.93,36.53,36.88,51800
2001-02-13,36.75,37.48,36.75,37.45,80000
2001-02-14,37.55,37.55,35.85,36.5,139600
2001-02-15,36.51,36.91,36.35,36.7,157200
2001-02-16,36.7,36.99,36.3,36.86,116100
2001-02-20,36.85,36.98,36.4,36.41,185800
2001-02-21,36.5,36.7,35.93,36.21,216800
2001-02-22,36.2,36.2,35.46,35.87,98800
2001-02-23,35.95,35.95,34.6,35.3,151100
2001-02-26,35.46,36.15,35.3,36.12,110000
2001-02-27,36.12,36.5,35.8,36.44,62500
2001-02-28,36.4,36.4,35.55,35.94,93400
2001-03-01,36.0,36.55,35.85,36.44,88200
2001-03-02,36.5,36.65,35.83,36.2,275700
2001-03-05,36.2,36.55,35.6,35.69,86000
2001-03-06,35.8,36.13,35.58,36.12,91800
2001-03-07,36.05,36.08,35.21,35.39,88100
2001-03-08,35.5,35.65,35.2,35.53,54700
2001-03-09,35.53,35.66,34.96,35.0,232000
2001-03-12,35.05,35.05,33.7,33.76,226600
2001-03-13,33.65,33.65,32.85,33.0,148300
2001-03-14,33.0,33.21,32.3,32.9,177000
2001-03-15,32.7,33.55,32.4,33.5,94700
2001-03-16,33.0,33.75,33.0,33.09,228100
2001-03-19,33.0,33.65,33.0,33.34,100800
2001-03-20,33.25,34.0,33.2,33.71,222200
2001-03-21,33.72,33.82,32.87,33.01,193400
2001-03-22,33.01,33.18,31.93,33.17,200200
2001-03-23,32.95,33.23,32.51,33.23,111700
2001-03-26,33.3,33.96,33.2,33.84,128700
2001-03-27,33.9,34.8,33.8,34.78,100400
2001-03-28,34.7,34.75,34.17,34.4,132300
2001-03-29,34.35,34.95,33.9,34.65,187700
2001-03-30,34.7,34.99,34.2,34.91,110400
2001-04-02,35.25,35.32,34.56,34.68,133600
