,open,high,low,close,volume
2000-08-11,14.96875,15.28125,14.96875,15.21875,126200
2000-08-14,15.21875,15.21875,14.8125,14.90625,69000
2000-08-15,14.78125,14.8125,14.375,14.53125,191600
2000-08-16,14.625,14.84375,14.53125,14.625,147200
2000-08-17,14.6875,14.96875,14.65625,14.875,209200
2000-08-18,14.8125,14.875,14.65625,14.78125,33400
2000-08-21,14.71875,14.75,14.59375,14.65625,84600
2000-08-22,14.625,14.6875,14.5,14.5,85000
2000-08-23,14.59375,14.625,14.3125,14.375,75200
2000-08-24,14.375,14.65625,14.375,14.65625,154200
2000-08-25,14.65625,14.78125,14.5,14.65625,163800
2000-08-28,14.65625,15.0,14.65625,14.75,170200
2000-08-29,14.6875,14.8125,14.59375,14.71875,113000
2000-08-30,14.78125,14.78125,14.34375,14.375,69200
2000-08-31,14.28125,14.59375,14.28125,14.59375,197200
2000-09-01,14.59375,14.78125,14.46875,14.6875,215200
2000-09-05,14.59375,14.625,14.40625,14.5,126200
2000-09-06,14.5,14.5,14.09375,14.46875,208800
2000-09-07,14.4375,14.90625,14.3125,14.90625,102200
2000-09-08,14.875,14.90625,14.4375,14.46875,259600
2000-09-11,14.375,14.4375,14.29688,14.4375,157400
2000-09-12,14.5,14.875,14.40625,14.59375,188600
2000-09-13,14.65625,14.84375,14.375,14.375,145800
2000-09-14,14.375,14.59375,14.15625,14.28125,162600
2000-09-15,14.03125,14.3125,14.03125,14.125,232600
2000-09-18,14.21875,14.21875,13.8125,14.09375,243200
2000-09-19,14.21875,15.28125,14.1875,15.28125,1239200
2000-09-20,15.40625,15.40625,14.9375,15.21875,238200
2000-09-21,15.21875,15.6875,14.9375,14.96875,318200
2000-09-22,14.84375,15.25,14.6875,15.25,295600
2000-09-25,15.25,15.25,14.84375,15.09375,91800
2000-09-26,15.0,15.15625,14.75,14.8125,102400
2000-09-27,14.71875,14.9375,14.5625,14.9375,131600
2000-09-28,14.96875,15.125,14.65625,14.71875,299800
2000-09-29,14.8125,14.9375,14.75,14.875,583600
2000-10-02,14.875,15.125,14.875,15.0,190000
2000-10-03,15.09375,15.25,15.0,15.0625,128000
