,open,high,low,close,volume
2000-08-11,7.384615,7.846154,7.384615,7.692308,102871437
2000-08-14,7.692308,7.938462,7.6,7.846154,54758437
2000-08-15,7.753846,8.092308,7.661538,7.984615,42239437
2000-08-16,7.938462,8.369231,7.938462,8.369231,39913250
2000-08-17,8.123077,8.369231,8.076923,8.338462,48922656
2000-08-18,8.153846,8.246154,7.876923,7.876923,34703093
2000-08-21,7.846154,7.938462,7.753846,7.923077,28253875
2000-08-22,7.953846,7.984615,7.753846,7.830769,19029156
2000-08-23,7.8,7.938462,7.630769,7.630769,18661093
2000-08-24,7.753846,7.907692,7.723077,7.815385,17242875
2000-08-25,7.753846,7.923077,7.753846,7.892308,11923031
2000-08-28,7.861538,7.969231,7.815385,7.846154,12386968
2000-08-29,7.784615,7.8,7.538462,7.6,18999500
2000-08-30,7.523077,7.6,7.261538,7.507692,29161437
2000-08-31,7.384615,7.476923,7.230769,7.323077,29251621
2000-09-01,7.369231,7.369231,7.184615,7.2,25556781
2000-09-05,7.246154,7.461538,7.230769,7.307692,25497468
2000-09-06,7.384615,7.4,7.292308,7.323077,21295218
2000-09-07,7.323077,7.4,7.307692,7.323077,23406500
2000-09-08,7.307692,7.369231,7.2,7.261538,23988250
2000-09-11,7.215385,7.338462,7.215385,7.307692,17472812
2000-09-12,7.292308,7.323077,7.261538,7.307692,22145906
2000-09-13,7.184615,7.261538,6.830769,6.923077,37119062
2000-09-14,6.984615,7.030769,6.723077,6.753846,30810000
2000-09-15,6.738462,6.784615,6.646154,6.692308,39132437
2000-09-18,6.646154,6.692308,6.553846,6.569231,28987559
2000-09-19,6.646154,6.723077,6.630769,6.692308,31277593
2000-09-20,6.661538,6.676923,6.415385,6.415385,30006437
2000-09-21,6.415385,6.646154,6.415385,6.461538,26567937
2000-09-22,6.615385,6.861538,6.6,6.8,32392340
2000-09-25,6.830769,6.938462,6.769231,6.907692,20969000
2000-09-26,6.846154,7.015385,6.830769,6.923077,27672937
2000-09-27,6.953846,7.246154,6.923077,7.230769,30558937
2000-09-28,7.184615,7.476923,7.169231,7.446154,47874937
2000-09-29,7.415385,7.569231,7.230769,7.246154,38512093
2000-10-02,7.292308,7.415385,7.276923,7.292308,27070062
