,open,high,low,close,volume
2000-08-11,43.3125,45.625,43.3125,45.625,81200
2000-08-14,45.0,45.625,44.75,45.5625,77300
2000-08-15,45.4375,46.0,45.125,45.8125,105700
2000-08-16,45.875,46.25,45.1875,45.4375,182500
2000-08-17,45.5,45.875,45.1875,45.8125,71400
2000-08-18,45.6875,45.9375,44.125,44.8125,125400
2000-08-21,45.0,46.25,44.625,44.875,60400
2000-08-22,45.0625,46.9375,44.9375,46.5625,52100
2000-08-23,46.375,46.375,45.125,45.125,38300
2000-08-24,45.125,46.75,45.125,46.3125,46400
2000-08-25,46.3125,46.375,45.875,46.0,124200
2000-08-28,45.9375,46.125,45.5,46.125,78100
2000-08-29,46.3125,47.5,46.3125,46.9375,38200
2000-08-30,46.75,46.75,44.75,45.625,95900
2000-08-31,45.625,48.8125,45.625,47.3125,192700
2000-09-01,47.5,48.75,47.5,48.375,67200
2000-09-05,48.375,48.375,46.75,46.8125,113700
2000-09-06,46.8125,46.875,45.625,45.875,119800
2000-09-07,45.75,46.75,45.75,46.5625,58700
2000-09-08,46.9375,46.9375,45.8125,45.8125,63600
2000-09-11,45.6875,47.25,45.5,46.8125,336400
2000-09-12,46.8125,46.9375,46.125,46.3125,24800
2000-09-13,46.3125,46.75,45.75,46.3125,80100
2000-09-14,46.375,46.375,45.5625,45.875,126200
2000-09-15,45.875,46.0,45.25,45.3125,120400
2000-09-18,45.4375,45.4375,45.1875,45.25,94600
2000-09-19,45.1875,45.9375,45.0,45.9375,70200
2000-09-20,45.9375,46.75,45.625,46.3125,125900
2000-09-21,46.375,46.6875,46.125,46.125,17400
2000-09-22,45.9375,46.375,45.875,46.125,97200
2000-09-25,46.125,46.625,44.625,45.5625,67600
2000-09-26,45.3125,45.3125,43.625,44.625,110300
2000-09-27,44.625,45.0,43.3125,43.6875,349400
2000-09-28,43.0,44.6875,41.0,44.6875,139500
2000-09-29,44.5,45.3125,44.0,44.0,349400
2000-10-02,44.25,44.3125,43.125,43.375,93900
2000-10-03,43.5625,44.0,42.625,42.75,81800
2000-10-04,42.9375,44.25,42.375,43.125,141400
2000-10-05,43.0,44.25,42.4375,42.4375,57900
2000-10-06,42.5,44.25,42.0,43.5,196600
2000-10-09,43.75,45.125,43.375,44.3125,51600
2000-10-10,45.25,48.25,45.25,45.625,338100
2000-10-11,45.625,49.875,45.625,47.5625,286300
2000-10-12,47.5625,47.625,44.125,44.1875,124300
2000-10-13,44.125,44.125,39.5,41.3125,401500
2000-10-16,42.3125,43.625,41.75,43.0,340000
2000-10-17,43.0,43.8125,42.75,43.5625,119400
2000-10-18,43.375,46.4375,42.375,46.3125,129500
2000-10-19,46.25,47.9375,46.25,46.875,200100
2000-10-20,46.5625,46.875,44.5625,44.625,63200
2000-10-23,44.875,45.4375,43.5625,45.4375,124200
2000-10-24,45.3125,45.4375,44.5,44.75,62300
2000-10-25,44.5625,44.5625,43.0,43.75,50900
2000-10-26,43.75,45.5,43.75,45.25,58200
2000-10-27,45.25,45.25,44.0,44.125,91800
2000-10-30,44.0,47.4375,43.0625,47.0625,115400
2000-10-31,47.0,47.875,46.125,46.6875,239200
2000-11-01,46.875,47.5625,46.25,46.375,37900
2000-11-02,46.625,47.625,46.5625,47.4375,126900
2000-11-03,48.0,50.5625,47.125,50.0625,261500
2000-11-06,51.5,51.5,49.4375,49.875,565400
2000-11-07,49.875,50.1875,49.125,49.5625,171400
2000-11-08,49.5,49.625,48.0625,48.875,117800
2000-11-09,48.875,48.9375,47.3125,48.9375,119200
2000-11-10,48.3125,48.375,47.375,47.375,45600
2000-11-13,47.125,47.25,46.0625,47.25,59400
2000-11-14,47.0625,48.8125,46.8125,48.8125,83200
2000-11-15,48.6875,50.5,48.6875,50.3125,147500
2000-11-16,50.4375,50.75,50.0,50.0625,99500
2000-11-17,50.3125,50.875,49.0625,50.875,215200
2000-11-20,50.75,50.75,47.8125,47.875,154400
2000-11-21,47.9375,48.3125,47.5625,48.0625,74700
2000-11-22,47.875,47.9375,46.75,47.625,25900
2000-11-24,47.625,50.0,47.4375,50.0,53700
2000-11-27,49.75,50.875,49.75,50.0625,124000
2000-11-28,49.1875,49.1875,48.125,48.625,219100
2000-11-29,48.625,48.75,48.0625,48.5625,91200
2000-11-30,48.3125,48.3125,46.625,46.9375,134800
2000-12-01,46.5625,47.0,45.5625,46.125,173700
2000-12-04,46.375,47.9375,46.375,47.3125,86900
2000-12-05,47.5,50.5,47.5,50.3125,122700
2000-12-06,50.0,50.0,48.8125,49.0,132700
2000-12-07,48.75,48.8125,48.1875,48.1875,70300
2000-12-08,48.1875,49.6875,48.1875,49.125,113300
2000-12-11,49.125,49.25,46.75,47.3125,209100
2000-12-12,47.375,47.375,46.5625,46.625,68400
2000-12-13,46.625,47.0,45.75,46.25,49800
2000-12-14,46.125,46.3125,44.8125,45.6875,75800
2000-12-15,45.9375,47.5625,45.625,47.3125,157500
2000-12-18,46.8125,48.375,46.6875,48.1875,121800
2000-12-19,48.3125,48.8125,47.3125,48.1875,148100
2000-12-20,48.375,48.625,47.9375,48.25,397100
2000-12-21,48.3125,48.8125,48.0,48.5,109700
2000-12-22,48.625,49.875,48.625,49.375,140400
2000-12-26,49.625,51.0625,49.625,51.0,135000
2000-12-27,51.0,54.375,51.0,54.0,217500
2000-12-28,53.875,56.0,53.5,55.625,183300
2000-12-29,55.5,55.75,53.6875,54.375,236000
2001-01-02,53.625,53.6875,51.25,52.0,134100
2001-01-03,52.1875,53.0,51.375,52.9375,114500
2001-01-04,52.9375,53.8125,52.0,52.0,140400
2001-01-05,52.1875,53.1875,52.0,52.3125,136400
2001-01-08,52.0625,52.0625,50.625,50.75,169100
2001-01-09,50.9375,51.25,50.0,50.625,123900
2001-01-10,50.6875,51.25,50.25,50.5,153100
2001-01-11,50.6875,53.25,50.5625,53.0625,96000
2001-01-12,53.0625,53.1875,51.0625,51.5625,295700
2001-01-16,51.3125,51.3125,49.375,49.75,299800
2001-01-17,49.75,50.0,46.6875,47.0,200000
2001-01-18,47.125,49.125,47.125,48.8125,195200
2001-01-19,48.5,49.125,48.25,48.6875,125300
2001-01-22,48.5,49.5,48.125,49.0,154700
2001-01-23,49.0,50.25,49.0,50.25,133300
