,open,high,low,close,volume
2000-08-11,4.953141,5.2041,4.926724,5.177683,1056148
2000-08-14,5.12485,5.138058,4.953141,4.992766,292901
2000-08-15,4.992766,4.992766,4.781432,4.781432,311355
2000-08-16,4.834265,4.900307,4.662556,4.781432,1326336
2000-08-17,4.781432,4.781432,4.583306,4.675765,1580909
2000-08-18,4.662556,4.821057,4.662556,4.702182,358673
2000-08-21,4.755015,4.768223,4.688973,4.768223,234699
2000-08-22,4.807848,4.847474,4.675765,4.755015,163721
2000-08-23,4.755015,4.755015,4.675765,4.688973,143848
2000-08-24,4.688973,4.821057,4.688973,4.807848,305677
2000-08-25,4.847474,4.939932,4.821057,4.860682,917031
2000-08-28,4.87389,4.939932,4.728598,4.821057,412616
2000-08-29,4.79464,4.860682,4.662556,4.702182,337853
2000-08-30,4.71539,4.834265,4.71539,4.821057,682332
2000-08-31,4.821057,4.87389,4.79464,4.847474,2353147
2000-09-01,4.847474,4.847474,4.741807,4.807848,239904
2000-09-05,4.768223,4.821057,4.702182,4.821057,527127
2000-09-06,4.821057,4.913516,4.821057,4.913516,396055
2000-09-07,4.913516,4.913516,4.834265,4.900307,492112
2000-09-08,4.900307,4.913516,4.85408,4.860682,387538
2000-09-11,4.87389,5.28335,4.87389,5.005974,1149838
2000-09-12,5.032391,5.12485,5.032391,5.072016,492585
2000-09-13,5.058808,5.164475,5.058808,5.138058,493058
2000-09-14,5.138058,5.2041,5.138058,5.177683,360566
2000-09-15,5.151266,5.197498,4.860682,4.992766,1103466
2000-09-18,4.966349,5.151266,4.966349,5.098433,1227440
2000-09-19,4.543681,4.543681,4.015346,4.411597,4173488
2000-09-20,4.358764,4.477639,4.279514,4.451222,1845893
2000-09-21,4.438014,4.504056,4.424806,4.477639,1155043
2000-09-22,4.451222,4.451222,4.160638,4.200263,1846366
2000-09-25,4.239888,4.371972,4.239888,4.253097,1082646
2000-09-26,4.292722,4.38518,4.22668,4.358764,897631
2000-09-27,4.345555,4.345555,4.14743,4.173846,1058514
2000-09-28,4.173846,4.319139,4.173846,4.319139,459462
2000-09-29,4.292722,4.332347,4.06818,4.173846,1493370
2000-10-02,4.121013,4.173846,4.107805,4.160638,917031
2000-10-03,4.06818,4.121013,4.041763,4.107805,900470
2000-10-04,4.081388,4.319139,4.081388,4.253097,328390
2000-10-05,4.213472,4.319139,4.200263,4.253097,270188
2000-10-06,4.253097,4.266305,4.213472,4.22668,308043
2000-10-09,4.173846,4.239888,4.121013,4.200263,479336
2000-10-10,4.160638,4.173846,4.054971,4.054971,245582
2000-10-11,4.041763,4.14743,3.909679,3.962512,444793
2000-10-12,3.988929,3.988929,3.724762,3.790804,472711
2000-10-13,3.73797,4.06818,3.73797,4.041763,387538
2000-10-16,4.094596,4.22668,4.094596,4.121013,898577
2000-10-17,4.121013,4.160638,4.081388,4.081388,1030596
2000-10-18,4.081388,4.279514,4.06818,4.22668,1516083
2000-10-19,4.239888,4.371972,4.22668,4.22668,618925
2000-10-20,4.279514,4.688973,4.279514,4.583306,1126179
2000-10-23,4.63614,4.834265,4.596514,4.821057,1238324
2000-10-24,4.87389,5.111641,4.834265,5.072016,892899
2000-10-25,5.032391,5.032391,4.953141,4.992766,721133
2000-10-26,4.992766,5.138058,4.992766,5.111641,1037220
2000-10-27,5.085224,5.243725,5.085224,5.2041,672395
2000-10-30,5.2041,5.547518,5.2041,5.468267,653467
2000-10-31,5.481476,5.745643,5.481476,5.745643,589114
2000-11-01,5.732435,5.745643,5.600351,5.613559,626023
2000-11-02,5.639976,5.639976,5.534309,5.547518,457569
2000-11-03,5.28335,5.3626,5.230516,5.322975,820028
2000-11-06,5.322975,5.375809,5.256933,5.349392,454730
2000-11-07,5.349392,5.349392,5.12485,5.270142,396055
2000-11-08,5.270142,5.375809,5.217308,5.28335,772710
2000-11-09,5.28335,5.296558,5.098433,5.296558,468925
2000-11-10,5.256933,5.256933,4.992766,5.098433,586748
2000-11-13,5.098433,5.309767,5.032391,5.28335,282491
2000-11-14,5.309767,5.44185,5.296558,5.415434,223816
2000-11-15,5.44185,5.455059,5.349392,5.455059,292901
2000-11-16,5.428642,5.507892,5.375809,5.44185,383752
2000-11-17,5.44185,5.468267,5.3626,5.415434,590534
2000-11-20,5.415434,5.415434,5.296558,5.322975,419714
2000-11-21,5.3626,5.481476,5.28335,5.481476,249368
2000-11-22,5.481476,5.481476,5.336184,5.428642,259778
2000-11-24,5.428642,5.69281,5.402225,5.69281,176971
2000-11-27,5.666393,5.666393,5.547518,5.653184,230440
2000-11-28,5.639976,5.639976,5.455059,5.468267,430598
2000-11-29,5.44185,5.481476,5.389017,5.468267,157097
2000-11-30,5.468267,5.481476,5.28335,5.28335,225235
2000-12-01,5.28335,5.468267,5.28335,5.415434,274920
2000-12-04,5.428642,5.547518,5.389017,5.481476,1058040
2000-12-05,5.507892,5.798477,5.494684,5.798477,530913
2000-12-06,5.890935,5.890935,5.732435,5.798477,476496
2000-12-07,5.798477,5.864518,5.798477,5.811685,414036
2000-12-08,5.824893,5.917352,5.758852,5.917352,338800
2000-12-11,5.917352,6.102269,5.85131,6.062644,298106
2000-12-12,6.036227,6.102269,6.009811,6.075852,300472
2000-12-13,6.075852,6.075852,5.864518,5.904144,292901
2000-12-14,5.85131,5.85131,5.626768,5.732435,313721
2000-12-15,5.719226,5.732435,5.336184,5.507892,755675
2000-12-18,5.507892,5.666393,5.507892,5.666393,641638
2000-12-19,5.613559,5.679601,5.494684,5.560726,454730
2000-12-20,5.547518,5.587143,5.296558,5.428642,701732
2000-12-21,5.468267,5.587143,5.44185,5.573934,149526
2000-12-22,5.573934,5.917352,5.573934,5.864518,428705
2000-12-26,5.838102,5.970186,5.811685,5.917352,175078
2000-12-27,5.917352,6.207936,5.864518,6.115478,362459
2000-12-28,6.115478,6.485312,6.115478,6.458895,405992
2000-12-29,6.432479,6.564562,6.128686,6.128686,612774
2001-01-02,6.18152,6.18152,5.877727,5.917352,359147
2001-01-03,5.970186,6.089061,5.864518,6.089061,335014
2001-01-04,6.115478,6.18152,5.943769,6.062644,516717
2001-01-05,6.102269,6.168311,5.970186,5.970186,308516
2001-01-08,5.970186,6.128686,5.943769,6.115478,451418
2001-01-09,6.115478,6.26077,6.115478,6.234353,141955
2001-01-10,6.221145,6.538146,6.221145,6.524937,713562
2001-01-11,6.538146,6.538146,6.287186,6.366437,320819
2001-01-12,6.313603,6.353228,6.273978,6.300395,144321
2001-01-16,6.313603,6.326812,6.18152,6.287186,265456
2001-01-17,6.326812,6.34002,6.26077,6.26077,180756
2001-01-18,6.313603,6.326812,6.023019,6.234353,196844
2001-01-19,6.207936,6.221145,5.970186,5.996602,249841
2001-01-22,6.049436,6.089061,5.93056,6.049436,158043
2001-01-23,6.049436,6.128686,6.049436,6.128686,235645
2001-01-24,6.155103,6.326812,6.155103,6.247561,171292
2001-01-25,6.247561,6.287186,6.18152,6.26077,89905
2001-01-26,6.234353,6.247561,6.023019,6.023019,182649
2001-01-29,6.075852,6.287186,6.075852,6.26394,218611
2001-01-30,6.261826,6.306206,6.14982,6.306206,232333
2001-01-31,6.304093,6.35904,6.2259,6.329453,670502
2001-02-01,6.318887,6.34002,6.160386,6.255486,163248
2001-02-02,6.242806,6.297753,6.170953,6.215333,166560
2001-02-05,6.202653,6.202653,6.023019,6.154046,174605
2001-02-06,6.170953,6.287186,6.075852,6.118119,223343
2001-02-07,6.107553,6.266053,6.065286,6.234353,129179
2001-02-08,6.234353,6.234353,6.008226,6.054719,390850
2001-02-09,6.054719,6.094872,5.970186,6.054719,211986
2001-02-12,6.054719,6.236466,6.012452,6.18152,320345
2001-02-13,6.18152,6.1942,6.056832,6.056832,283910
2001-02-14,6.071626,6.177293,6.071626,6.139253,143848
2001-02-15,6.128686,6.18152,6.128686,6.18152,301418
2001-02-16,6.18152,6.211106,6.086419,6.143479,158990
2001-02-20,6.141366,6.21322,6.086419,6.154046,172239
2001-02-21,6.107553,6.124459,6.044152,6.044152,165141
2001-02-22,6.044152,6.044152,5.877198,5.938486,136750
2001-02-23,5.938486,5.991319,5.858178,5.984979,199210
2001-02-26,6.010339,6.166726,5.980752,6.160386,201103
2001-02-27,6.128686,6.143479,5.991319,5.991319,124447
2001-02-28,5.993432,6.020906,5.811685,5.959619,580124
2001-03-01,5.959619,5.991319,5.811685,5.896218,138169
2001-03-02,5.885652,6.023019,5.706018,5.997659,411670
2001-03-05,5.997659,6.15616,5.959619,5.959619,391796
2001-03-06,6.012452,6.029359,5.879312,5.879312,386591
2001-03-07,5.879312,6.126573,5.879312,6.008226,563089
2001-03-08,6.050492,6.086419,5.991319,6.010339,433910
2001-03-09,6.012452,6.020906,5.955392,5.959619,375708
2001-03-12,5.917352,5.993432,5.849725,5.849725,153311
2001-03-13,5.849725,5.917352,5.811685,5.917352,230914
2001-03-14,5.864518,5.917352,5.758852,5.807458,129652
2001-03-15,5.769418,5.811685,5.706018,5.758852,79968
2001-03-16,5.758852,5.790552,5.678544,5.678544,263090
2001-03-19,5.678544,5.744058,5.553858,5.737718,216718
2001-03-20,5.716585,5.769418,5.579218,5.663751,221923
2001-03-21,5.653184,5.653184,5.399584,5.399584,168926
2001-03-22,5.34675,5.389017,4.938876,5.186136,457096
2001-03-23,5.177683,5.230516,5.029749,5.135416,389430
2001-03-26,4.860682,5.350977,4.860682,5.230516,2161507
2001-03-27,5.12485,5.389017,5.008616,5.374224,829965
2001-03-28,5.32139,5.38479,5.230516,5.23263,256939
