,open,high,low,close,volume
2000-08-11,8.328125,8.375,8.28125,8.3125,1610800
2000-08-14,8.296875,9.0,8.296875,8.86719,2679200
2000-08-15,8.890625,9.109375,8.789065,8.789065,2820400
2000-08-16,8.8125,9.0625,8.78125,9.0625,1416000
2000-08-17,9.15625,9.390625,9.15625,9.351565,1751200
2000-08-18,9.375,9.40625,8.96875,9.078125,1295600
2000-08-21,9.078125,9.265625,9.015625,9.0625,1512800
2000-08-22,9.0625,9.171875,8.921875,8.96875,1426000
2000-08-23,9.0625,9.4375,9.0625,9.414065,974000
2000-08-24,9.4375,9.4375,9.1875,9.21094,809600
2000-08-25,9.21875,9.5625,9.203125,9.546875,896000
2000-08-28,9.515625,9.65625,9.46875,9.476565,1016000
2000-08-29,9.46875,9.734375,9.46875,9.507815,961200
2000-08-30,9.53125,9.640625,9.484375,9.609375,1649200
2000-08-31,9.609375,9.78125,9.609375,9.6875,1562000
2000-09-01,9.703125,9.859375,9.703125,9.83594,984000
2000-09-05,9.875,9.921875,9.703125,9.828125,1347200
2000-09-06,9.78125,10.34375,9.78125,10.328125,3726800
2000-09-07,10.375,10.375,10.140625,10.25,2186800
2000-09-08,10.265625,10.265625,9.984375,10.046875,990800
2000-09-11,10.0,10.328125,10.0,10.171875,1412800
2000-09-12,10.203125,10.28125,10.0625,10.125,580800
2000-09-13,10.171875,10.171875,9.703125,9.75,1129600
2000-09-14,9.765625,9.859375,9.609375,9.734375,1633200
2000-09-15,9.703125,10.15625,9.703125,10.0,1570000
2000-09-18,10.046875,10.203125,9.828125,9.859375,1002800
2000-09-19,9.859375,9.9375,9.453125,9.546875,1570000
2000-09-20,9.5625,9.953125,9.5625,9.5625,1386400
2000-09-21,9.46875,9.5,9.140625,9.140625,766800
2000-09-22,9.078125,9.375,9.015625,9.203125,2491200
2000-09-25,9.21875,9.21875,8.78125,9.125,1616800
2000-09-26,9.171875,9.390625,9.171875,9.36719,1317200
2000-09-27,9.390625,9.484375,9.171875,9.34375,2379200
2000-09-28,9.34375,9.34375,9.140625,9.1875,1148000
2000-09-29,9.15625,9.53125,9.15625,9.28125,2979600
2000-10-02,9.34375,9.53125,9.21875,9.46875,1179600
2000-10-03,9.40625,9.484375,9.359375,9.40625,1130400
2000-10-04,9.4375,9.4375,9.03125,9.140625,1326000
2000-10-05,9.140625,9.140625,8.953125,9.015625,1682800
2000-10-06,9.046875,9.375,9.015625,9.03125,1429600
2000-10-09,9.0625,9.234375,8.953125,9.046875,764400
