,open,high,low,close,volume
2000-08-11,26.125,26.90625,26.125,26.69531,1643200
2000-08-14,26.3125,26.75,26.25,26.6875,1500000
2000-08-15,26.71875,27.0,26.71875,26.8125,1270400
2000-08-16,26.9375,27.4375,26.8125,27.19531,2540600
2000-08-17,27.4375,27.5,27.09375,27.375,2474600
2000-08-18,27.25,27.59375,27.25,27.5,1558600
2000-08-21,27.3125,27.375,27.125,27.1875,1467600
2000-08-22,27.21875,27.40625,27.09375,27.21875,1149400
2000-08-23,26.9375,27.375,26.9375,27.34375,3221000
2000-08-24,27.3125,27.3125,26.84375,27.03125,1402800
2000-08-25,27.03125,27.03125,26.71875,26.78125,1587200
2000-08-28,26.625,26.9375,26.46875,26.59375,1007000
2000-08-29,26.46875,26.625,26.40625,26.5,791600
2000-08-30,26.375,26.84375,26.375,26.75,1289400
2000-08-31,26.625,27.0625,26.53125,26.6875,1259400
2000-09-01,26.8125,27.3125,26.71875,27.09375,884400
2000-09-05,27.28125,27.5625,27.21875,27.40625,2195600
2000-09-06,27.28125,28.4375,27.28125,28.125,1154800
2000-09-07,28.21875,28.8125,28.21875,28.75,959000
2000-09-08,28.59375,29.09375,28.53125,28.98438,1296600
2000-09-11,29.0,30.34375,29.0,29.47656,2177000
2000-09-12,30.8125,30.875,30.0,30.15625,5200400
2000-09-13,30.59375,30.9375,30.34375,30.5,2486200
2000-09-14,30.875,30.875,30.09375,30.57813,2920800
2000-09-15,30.78125,31.10156,30.6875,31.10156,2879600
2000-09-18,31.28125,31.5,30.5625,31.28125,2010600
2000-09-19,31.28125,31.59375,30.28125,30.34375,2880600
2000-09-20,30.4375,30.46875,29.65625,30.40625,2720400
2000-09-21,30.3125,30.6875,29.90625,30.3125,1450200
2000-09-22,30.375,30.84375,30.28125,30.5,1510600
2000-09-25,30.65625,30.875,30.15625,30.84375,1555600
2000-09-26,30.84375,31.90625,30.78125,31.65625,1778200
2000-09-27,31.65625,32.0625,31.21875,31.97656,1285000
2000-09-28,32.0625,32.875,31.875,31.96875,1846600
2000-09-29,32.0625,33.5625,32.0625,32.88282,2505400
2000-10-02,32.90625,34.25,32.5625,34.125,1837000
2000-10-03,33.9375,34.34375,31.78125,32.125,2260600
2000-10-04,32.3125,32.625,29.6875,31.9375,4191600
2000-10-05,31.6875,32.15625,30.65625,31.1875,2175000
2000-10-06,31.5,32.40625,31.5,31.90625,1745600
2000-10-09,31.875,32.5,31.875,32.1875,1014000
2000-10-10,32.25,32.90625,32.1875,32.6875,1613200
2000-10-11,32.6875,33.53125,32.6875,33.0,1406600
2000-10-12,32.8125,33.3125,32.125,32.59375,1257800
2000-10-13,32.46875,33.75,32.4375,33.75,1928800
2000-10-16,33.4375,34.03125,33.375,34.0,1514000
2000-10-17,33.875,34.71875,33.6875,33.84375,1039800
2000-10-18,33.8125,34.28125,33.03125,33.75,1571000
2000-10-19,33.34375,33.375,32.25,32.5,4191200
2000-10-20,32.3125,32.84375,31.75,32.5,3396400
2000-10-23,32.375,32.84375,32.3125,32.46875,1983600
2000-10-24,32.5,32.75,31.5,31.8125,1166000
2000-10-25,32.1875,32.34375,31.3125,31.59375,1175200
2000-10-26,31.53125,32.09375,30.6875,30.84375,2094400
2000-10-27,30.53125,32.40625,30.34375,32.375,2267600
2000-10-30,32.375,33.1875,32.375,33.0625,1064000
2000-10-31,33.09375,33.1875,32.25,33.0,1820800
2000-11-01,33.0,33.375,32.28125,33.0,1516200
2000-11-02,32.875,32.9375,32.21875,32.25,933800
2000-11-03,32.25,32.5,31.375,31.90625,1306400
2000-11-06,32.0625,32.5,31.84375,32.34375,1547200
2000-11-07,32.46875,32.59375,31.90625,32.15625,767000
2000-11-08,32.25,32.375,31.6875,32.0625,380200
2000-11-09,32.125,32.5,31.9375,32.5,574400
2000-11-10,32.5,33.0,32.28125,32.625,1608200
2000-11-13,32.75,33.40625,32.75,33.0,2634600
2000-11-14,32.875,33.09375,32.53125,32.75,911000
