,open,high,low,close,volume
2000-08-11,18.375,18.71875,18.15625,18.71875,242600
2000-08-14,18.625,19.15625,18.5,18.875,414600
2000-08-15,18.90625,19.25,18.84375,19.0625,498600
2000-08-16,18.96875,19.5625,18.46875,19.46875,509400
2000-08-17,19.53125,20.1875,19.53125,20.125,625200
2000-08-18,20.1875,20.5,19.90625,20.0625,695800
2000-08-21,20.0,20.375,20.0,20.03125,304200
2000-08-22,20.34375,20.46875,20.1875,20.21875,465000
2000-08-23,20.40625,21.15625,20.40625,21.15625,381400
2000-08-24,21.15625,21.21875,20.75,21.0625,606800
2000-08-25,21.0625,21.3125,20.9375,21.25,228000
2000-08-28,21.375,21.75,21.1875,21.53125,219400
2000-08-29,21.53125,22.15625,21.53125,22.15625,399600
2000-08-30,22.03125,22.21875,21.5,21.71875,258200
2000-08-31,21.65625,21.9375,21.625,21.625,328600
2000-09-01,22.0625,22.1875,21.8125,22.1875,190400
2000-09-05,22.09375,22.09375,21.40625,21.4375,98200
2000-09-06,21.5625,22.125,21.53125,22.125,215600
2000-09-07,22.0,22.0,20.84375,21.96875,742600
2000-09-08,21.90625,21.90625,21.34375,21.4375,839800
2000-09-11,21.40625,23.40625,21.40625,22.4375,898200
2000-09-12,22.46875,22.59375,22.25,22.59375,421600
2000-09-13,22.59375,22.59375,21.96875,22.03125,282400
2000-09-14,22.125,22.84375,21.96875,22.4375,307200
2000-09-15,22.46875,23.90625,22.46875,23.90625,431600
2000-09-18,24.75,25.125,23.3125,23.34375,883400
2000-09-19,23.75,24.25,22.78125,22.85938,470000
2000-09-20,22.90625,23.5625,22.875,22.90625,347000
2000-09-21,23.0,23.0,20.96875,21.09375,449200
2000-09-22,21.09375,21.78125,20.78125,21.65625,599800
2000-09-25,21.65625,21.65625,20.40625,21.4375,604800
2000-09-26,21.8125,22.34375,21.78125,22.3125,248800
2000-09-27,22.3125,22.46875,21.8125,22.125,285600
2000-09-28,22.125,22.875,22.125,22.53125,525600
2000-09-29,22.5625,23.75,22.5625,23.34375,521800
2000-10-02,23.71875,23.71875,23.15625,23.625,399200
2000-10-03,23.625,23.625,22.90625,23.09375,221800
2000-10-04,23.09375,23.09375,22.03125,22.4375,314200
2000-10-05,22.4375,22.4375,21.46875,21.46875,238400
2000-10-06,21.6875,22.53125,21.0625,21.25,568400
2000-10-09,21.46875,21.6875,21.1875,21.40625,408200
2000-10-10,21.59375,22.15625,21.5,21.875,1164800
2000-10-11,22.125,22.96875,22.0,22.375,1088000
2000-10-12,22.375,22.96875,22.125,22.375,588600
2000-10-13,22.34375,22.34375,21.15625,21.4375,346000
2000-10-16,21.40625,21.40625,20.59375,20.9375,368000
2000-10-17,20.875,21.3125,20.8125,20.875,349400
2000-10-18,20.5,20.65625,19.84375,20.0625,574800
2000-10-19,20.0625,20.875,19.9375,20.71875,402400
2000-10-20,20.90625,21.3125,20.71875,21.0625,344600
