,open,high,low,close,volume
2000-08-11,76.875,79.375,75.0,78.125,231610
2000-08-14,78.75,79.375,76.25,78.125,165900
2000-08-15,77.5,77.5,75.0,75.0,146440
2000-08-16,75.625,76.25,73.125,73.125,173500
2000-08-17,74.375,76.875,74.375,76.25,157930
2000-08-18,76.25,78.125,76.25,76.875,121150
2000-08-21,78.125,81.875,77.5,81.875,235390
2000-08-22,80.625,81.875,78.75,80.0,316140
2000-08-23,78.75,81.25,78.75,80.625,200100
2000-08-24,80.625,80.625,79.375,80.0,133010
2000-08-25,80.0,80.625,78.75,80.0,180140
2000-08-28,80.0,81.25,79.375,79.375,212000
2000-08-29,80.0,80.625,75.0,75.0,360770
2000-08-30,77.5,77.5,73.125,75.0,467830
2000-08-31,73.75,74.375,72.5,73.2813,284040
2000-09-01,73.125,74.375,71.875,73.75,261210
2000-09-05,74.375,76.875,73.75,75.625,194510
2000-09-06,76.25,76.875,74.375,75.0,241860
2000-09-07,75.0,78.125,75.0,77.5,235700
2000-09-08,78.125,79.375,76.875,77.5,343210
2000-09-11,76.875,81.875,76.875,80.0,197980
2000-09-12,80.0,81.875,79.375,80.625,233610
2000-09-13,81.25,83.125,80.0,80.0,183220
2000-09-14,81.875,81.875,79.375,81.25,194980
2000-09-15,80.625,81.25,79.375,80.625,222950
2000-09-18,80.0,80.625,78.125,80.0,106900
2000-09-19,78.75,79.375,76.25,76.25,146090
2000-09-20,76.25,76.25,75.0,76.25,104790
2000-09-21,75.0,76.875,74.375,76.25,153780
2000-09-22,75.625,78.125,75.0,78.125,97090
2000-09-25,77.5,79.375,76.875,78.125,151800
2000-09-26,77.5,78.125,75.625,77.5,120330
2000-09-27,77.5,80.0,77.5,79.375,153870
2000-09-28,79.375,80.0,78.125,78.125,121290
2000-09-29,78.75,79.375,76.875,78.125,127330
2000-10-02,77.5,78.125,72.5,73.75,170210
2000-10-03,73.75,76.875,73.75,75.625,151370
2000-10-04,75.0,76.25,72.5,73.125,248980
2000-10-05,72.5,73.125,61.875,63.125,835040
2000-10-06,63.75,66.25,63.125,65.625,124080
2000-10-09,66.875,68.125,65.625,66.875,88430
2000-10-10,66.25,67.5,65.0,66.875,76780
2000-10-11,65.0,66.875,65.0,65.625,97110
2000-10-12,63.75,66.875,63.125,65.625,268730
2000-10-13,65.625,70.0,65.0,68.75,121090
2000-10-16,69.375,69.375,64.375,65.0,167280
2000-10-17,64.375,65.625,61.25,61.875,194920
2000-10-18,62.5,63.75,60.625,63.75,204290
2000-10-19,63.75,65.625,63.125,65.0,58090
2000-10-20,64.375,68.125,63.75,66.25,149020
2000-10-23,66.25,70.625,66.25,70.0,148180
2000-10-24,70.625,73.75,70.0,73.125,139360
2000-10-25,72.5,75.0,72.5,75.0,156400
2000-10-26,75.0,77.5,73.125,74.375,155000
2000-10-27,75.0,75.0,69.375,70.0,206220
2000-10-30,68.75,73.75,68.75,73.75,174000
2000-10-31,75.0,87.5,74.375,83.125,434860
2000-11-01,82.5,84.375,78.75,80.0,197980
2000-11-02,78.75,79.375,77.5,78.75,100700
2000-11-03,77.5,78.75,75.0,76.25,87960
2000-11-06,76.25,76.875,65.625,69.375,393790
2000-11-07,69.375,70.625,68.125,70.625,356260
2000-11-08,70.625,70.625,68.125,70.0,76410
2000-11-09,70.0,70.0,66.25,66.875,97140
2000-11-10,66.25,69.375,66.25,67.5,62730
2000-11-13,67.5,69.375,66.25,68.75,99520
2000-11-14,68.125,69.375,66.875,66.875,102920
2000-11-15,65.625,71.875,65.0,70.0,287380
2000-11-16,68.125,68.75,66.25,66.875,124970
2000-11-17,66.875,67.5,65.625,66.25,132270
2000-11-20,66.25,69.375,66.25,68.75,115090
2000-11-21,68.75,69.375,67.5,68.125,82440
2000-11-22,66.875,68.125,66.25,66.875,41700
2000-11-24,66.875,67.5,65.625,66.875,52240
2000-11-27,66.875,69.375,66.875,68.75,82560
2000-11-28,67.5,70.0,67.5,68.75,75370
2000-11-29,68.75,68.75,66.875,68.125,90440
2000-11-30,66.25,68.75,65.0,66.25,118520
2000-12-01,66.25,66.25,64.375,65.625,189600
2000-12-04,65.0,65.625,63.75,65.0,297090
2000-12-05,63.125,66.25,62.5,65.0,181730
2000-12-06,64.375,65.0,62.5,62.5,355630
2000-12-07,62.5,65.625,61.25,65.625,455630
2000-12-08,64.375,67.5,63.125,66.875,129580
2000-12-11,66.875,66.875,63.75,63.75,94470
2000-12-12,63.75,65.625,63.75,64.375,215420
2000-12-13,65.0,69.375,65.0,68.125,133380
2000-12-14,66.25,68.75,65.0,65.625,115170
2000-12-15,65.0,66.875,63.75,63.75,136690
2000-12-18,65.0,66.25,63.75,66.25,99090
2000-12-19,65.625,66.25,64.375,65.0,103320
2000-12-20,63.75,64.375,61.25,61.25,133150
2000-12-21,60.625,62.5,60.0,60.625,343330
2000-12-22,60.625,63.75,60.625,63.125,131940
2000-12-26,62.5,63.75,61.25,61.875,162530
2000-12-27,62.5,70.0,60.625,69.375,515990
2000-12-28,68.75,69.375,66.875,68.125,210280
2000-12-29,68.75,73.75,68.125,71.25,227320
2001-01-02,71.25,76.875,71.25,73.125,302860
2001-01-03,73.125,81.25,73.125,81.25,496660
2001-01-04,80.0,80.625,76.875,80.0,440340
2001-01-05,79.375,85.0,79.375,81.25,243380
2001-01-08,80.0,81.875,78.75,80.0,154580
2001-01-09,80.625,81.25,78.125,80.0,98250
2001-01-10,80.0,80.625,76.875,77.5,251920
2001-01-11,77.5,81.875,76.875,80.625,355900
2001-01-12,80.625,80.625,78.125,80.0,249380
2001-01-16,83.125,88.75,82.5,88.125,584730
2001-01-17,87.5,90.0,86.25,88.125,351780
2001-01-18,88.125,91.875,86.25,91.25,942710
2001-01-19,90.0,91.25,88.125,88.75,232700
2001-01-22,88.75,90.0,87.5,89.375,160840
2001-01-23,88.75,89.375,87.5,88.75,185890
2001-01-24,88.75,89.375,88.125,89.375,262540
2001-01-25,90.0,91.875,88.75,90.625,175900
2001-01-26,90.0,93.125,88.125,93.125,151220
2001-01-29,92.1,100.0,90.9,100.0,428660
2001-01-30,99.0,100.9,98.1,99.8,363480
2001-01-31,99.8,101.2,99.3,100.2,226940
2001-02-01,102.0,102.0,99.0,101.0,143070
2001-02-02,100.2,100.5,97.7,99.0,209590
2001-02-05,99.8,99.8,92.5,95.5,135290
2001-02-06,95.7,97.5,95.2,97.2,131810
2001-02-07,97.3,97.9,96.5,97.1,70990
2001-02-08,98.0,98.0,93.5,94.1,110270
2001-02-09,93.1,93.1,89.0,90.2,165520
2001-02-12,91.1,94.0,90.0,92.4,104610
2001-02-13,94.0,100.0,93.9,96.0,118000
2001-02-14,95.7,95.9,93.5,94.5,113900
2001-02-15,90.0,94.0,89.1,90.9,214990
2001-02-16,90.9,92.2,86.0,91.0,146350
2001-02-20,90.0,95.0,90.0,95.0,86660
2001-02-21,95.0,95.0,90.6,90.6,119260
2001-02-22,90.3,92.3,89.0,92.3,102090
2001-02-23,91.3,92.6,88.9,90.2,77290
2001-02-26,92.5,94.1,90.8,91.5,243140
2001-02-27,90.7,92.4,90.2,91.9,128620
2001-02-28,94.4,94.4,90.2,92.0,136200
2001-03-01,92.5,92.8,91.2,92.5,159670
2001-03-02,92.5,95.0,90.6,92.5,199720
