,open,high,low,close,volume
2000-08-11,43.09375,43.15625,42.46875,42.5,1006000
2000-08-14,42.5,42.65625,42.28125,42.4375,947600
2000-08-15,42.6875,42.6875,42.25,42.53125,1136200
2000-08-16,42.65625,43.03125,41.4375,41.6875,797000
2000-08-17,41.75,42.625,41.4375,42.28125,1035200
2000-08-18,42.28125,42.5,41.125,42.0,1211200
2000-08-21,41.90625,42.1875,40.9375,41.375,1022000
2000-08-22,41.4375,41.4375,39.5,40.125,4304400
2000-08-23,40.125,41.21875,40.125,40.84375,2051600
2000-08-24,40.90625,40.9375,40.09375,40.1875,1376800
2000-08-25,40.1875,41.1875,40.125,40.90625,1021400
2000-08-28,41.03125,41.375,40.46875,40.53125,849000
2000-08-29,40.5,40.875,40.25,40.75,568600
2000-08-30,40.375,41.4375,40.28125,41.28125,953800
2000-08-31,42.0,42.15625,41.59375,41.726565,1327600
2000-09-01,41.84375,42.28125,41.5625,41.625,1018800
2000-09-05,41.78125,42.0,40.78125,40.96875,1629600
2000-09-06,41.0,41.0,40.75,40.875,1086200
2000-09-07,40.8125,40.8125,39.28125,40.0,2330800
2000-09-08,40.0,41.0625,39.25,40.3125,1813600
2000-09-11,40.1875,41.0,39.96875,40.3125,1178400
2000-09-12,40.625,41.21875,40.09375,41.1875,1836800
2000-09-13,41.3125,41.375,40.03125,40.75,1463400
2000-09-14,40.9375,41.21875,40.5625,40.8125,826600
2000-09-15,40.8125,40.8125,39.78125,40.0,2597000
2000-09-18,39.9375,40.0,38.0,38.28125,3690200
2000-09-19,38.5,39.59375,38.375,38.78125,3574400
2000-09-20,38.34375,39.0625,36.96875,37.59375,1968000
2000-09-21,37.28125,38.875,37.1875,38.625,1757200
2000-09-22,38.5,38.625,37.875,38.5,2105600
2000-09-25,38.5,38.5,37.8125,37.96875,2071000
2000-09-26,37.75,37.84375,35.9375,36.375,2194200
2000-09-27,36.125,36.1875,34.0625,35.0,4419800
2000-09-28,35.46875,37.25,35.46875,37.09375,2406800
2000-09-29,36.96875,37.1875,36.03125,36.46875,1836200
2000-10-02,36.5,37.125,36.5,36.8125,2331400
