,open,high,low,close,volume
2000-08-11,10.15625,10.15625,10.03125,10.125,1367200
2000-08-14,10.25,10.5,10.0625,10.3125,2824800
2000-08-15,10.4375,10.5,10.28125,10.3125,2232600
2000-08-16,10.25,10.4375,10.25,10.34375,1634400
2000-08-17,10.625,10.96875,10.59375,10.84375,2560600
2000-08-18,11.0625,11.0625,10.625,10.65625,1915400
2000-08-21,10.6875,10.6875,10.53125,10.625,2181800
2000-08-22,10.6875,10.78125,10.65625,10.75,1767000
2000-08-23,10.75,11.09375,10.75,11.01563,3843800
2000-08-24,10.8125,10.84375,10.5625,10.625,1830800
2000-08-25,10.65625,10.8125,10.40625,10.71875,1050600
2000-08-28,10.71875,10.90625,10.59375,10.71875,1731000
2000-08-29,10.6875,10.75,10.625,10.69532,1100400
2000-08-30,10.5625,10.625,10.4375,10.55469,1830800
2000-08-31,10.96875,11.03125,10.71875,10.80469,3858000
2000-09-01,10.9375,11.25,10.875,11.125,2851600
2000-09-05,11.25,11.28125,10.90625,11.21875,1595000
2000-09-06,11.09375,11.5,11.09375,11.40625,2264000
2000-09-07,11.34375,11.5,11.28125,11.4375,2387600
2000-09-08,11.375,11.4375,11.28125,11.39063,2258200
2000-09-11,11.34375,11.78125,11.28125,11.71875,1724600
2000-09-12,11.71875,11.78125,11.5625,11.6875,1244400
2000-09-13,11.65625,11.6875,11.375,11.4375,1103000
2000-09-14,11.28125,11.3125,11.09375,11.21875,1650400
2000-09-15,11.5,12.1875,11.5,11.90625,3962400
2000-09-18,12.03125,12.22657,11.9375,12.22657,3003400
2000-09-19,12.09375,12.1875,11.75,11.75,2838600
2000-09-20,11.9375,12.0,11.25,11.25,2532600
2000-09-21,11.28125,11.3125,10.875,11.09375,3604400
2000-09-22,11.125,11.25,11.0,11.14844,2328600
2000-09-25,11.03125,11.03125,10.40625,10.6875,3860000
2000-09-26,10.71875,11.1875,10.71875,10.875,2853200
2000-09-27,10.96875,11.25,10.9375,11.21875,1693800
2000-09-28,11.21875,11.21875,10.90625,10.97657,1514600
2000-09-29,11.0625,11.28125,10.84375,10.90625,3081200
2000-10-02,11.0,11.0625,10.875,11.0625,3611000
2000-10-03,11.0625,11.25,10.9375,11.09375,2977800
2000-10-04,11.125,11.125,10.46875,10.53125,2951600
2000-10-05,10.59375,10.65625,10.1875,10.5,2265800
2000-10-06,10.375,10.625,10.15625,10.3125,2499000
2000-10-09,10.1875,10.40625,10.15625,10.40625,3377200
2000-10-10,10.4375,10.875,10.4375,10.75,2620000
2000-10-11,10.9375,11.03125,10.5,10.71875,2794000
2000-10-12,10.84375,11.0,10.625,10.84375,2362200
2000-10-13,10.8125,10.84375,10.25,10.34375,2347400
2000-10-16,10.34375,10.40625,10.0625,10.1875,2109600
2000-10-17,10.28125,10.5,10.15625,10.1875,1716400
2000-10-18,10.375,10.40625,10.0625,10.125,1769200
2000-10-19,10.03125,10.3125,9.90625,10.0625,2166400
2000-10-20,10.0,10.25,10.0,10.21875,1533000
2000-10-23,10.40625,10.4375,10.125,10.25,2025000
2000-10-24,10.34375,10.40625,9.875,9.9375,2081400
2000-10-25,9.84375,9.96875,9.59375,9.6875,1869000
2000-10-26,9.75,9.96875,9.625,9.8125,1249000
2000-10-27,9.6875,9.875,9.53125,9.6875,1116800
2000-10-30,9.78125,10.0625,9.6875,10.0625,3575600
2000-10-31,10.125,10.1875,9.8125,9.9375,2731800
2000-11-01,10.03125,10.3125,10.0,10.3125,2679600
2000-11-02,10.3125,10.3125,9.875,9.96875,2538000
2000-11-03,9.9375,10.125,9.90625,10.03125,1692000
2000-11-06,10.03125,10.09375,9.96875,10.03125,1924800
2000-11-07,10.03125,10.5,9.9375,10.34375,3494200
2000-11-08,10.4375,10.46875,10.1875,10.25,2041600
2000-11-09,10.28125,10.4375,10.09375,10.21875,1278000
2000-11-10,10.21875,10.4375,10.15625,10.15625,928000
2000-11-13,10.15625,10.4375,10.0,10.0,1427400
2000-11-14,10.09375,10.5,10.03125,10.40625,1688200
2000-11-15,10.46875,10.5625,10.375,10.46875,1759000
2000-11-16,10.5,10.59375,10.4375,10.46875,2665800
2000-11-17,10.5,10.6875,10.40625,10.5625,2100600
2000-11-20,10.5625,10.59375,10.34375,10.375,1614200
2000-11-21,10.46875,11.0,10.375,10.96875,3775800
2000-11-22,10.96875,10.96875,10.71875,10.75,2083200
2000-11-24,10.75,11.0,10.75,10.9375,891600
2000-11-27,10.96875,11.1875,10.78125,11.09375,2672800
2000-11-28,11.1875,11.375,11.125,11.375,3655000
2000-11-29,11.3125,11.34375,10.96875,11.1875,3139600
2000-11-30,11.3125,11.3125,10.5,10.8125,3322400
2000-12-01,10.9375,11.46875,10.9375,11.28125,3341800
2000-12-04,11.1875,11.46875,11.1875,11.4375,2159600
2000-12-05,11.46875,11.46875,10.9375,11.15625,2136400
2000-12-06,11.21875,11.25,10.84375,10.875,5157000
2000-12-07,10.96875,11.0625,10.5625,10.71875,2022800
2000-12-08,10.59375,10.75,10.28125,10.6875,2277000
2000-12-11,10.75,10.84375,10.46875,10.71875,2039400
2000-12-12,10.8125,10.90625,10.71875,10.8125,1254000
2000-12-13,10.90625,11.09375,10.78125,10.875,1516800
2000-12-14,10.875,11.0,10.46875,10.625,1950000
2000-12-15,10.5625,10.90625,10.5625,10.59375,2624600
2000-12-18,10.9375,11.5,10.9375,11.4375,3205800
2000-12-19,11.46875,11.65625,11.40625,11.46875,2261000
2000-12-20,11.34375,11.6875,11.21875,11.53125,2074400
2000-12-21,11.28125,11.8125,11.28125,11.6875,3357400
2000-12-22,11.5,11.9375,11.46875,11.875,1628400
2000-12-26,11.84375,12.5,11.8125,12.5,2782600
2000-12-27,12.4375,12.75,12.34375,12.75,2609600
2000-12-28,12.5625,12.78125,12.53125,12.6875,2090800
2000-12-29,12.59375,12.65625,12.09375,12.125,2696800
2001-01-02,12.0,12.59375,11.96875,12.09375,2408800
2001-01-03,12.0,12.15625,11.59375,11.8125,2224200
2001-01-04,11.71875,11.875,11.54688,11.75,2624600
2001-01-05,11.75,12.28125,11.75,12.03125,2952400
2001-01-08,11.9375,12.15625,11.625,11.96875,1715600
2001-01-09,11.84375,11.875,11.46875,11.625,1661800
2001-01-10,11.625,11.8125,11.625,11.71875,1731200
2001-01-11,11.6875,11.875,11.6875,11.6875,1623400
2001-01-12,11.625,11.65625,11.4375,11.53125,1612400
2001-01-16,11.5625,11.59375,11.28125,11.46875,2052800
2001-01-17,11.53125,11.59375,11.15625,11.28125,2205000
