,open,high,low,close,volume
2000-08-11,42.875,43.25,42.5,42.875,7656700
2000-08-14,43.125,43.3125,42.71875,42.71875,7294500
2000-08-15,43.0,43.3125,42.0,42.0,7792500
2000-08-16,42.9375,43.75,42.75,43.4375,7821000
2000-08-17,43.9375,44.625,43.125,44.0,11434200
2000-08-18,43.5,43.6875,42.3125,42.75,10898900
2000-08-21,42.9375,43.75,42.0,43.75,6393100
2000-08-22,43.625,43.625,42.3125,42.5,9062200
2000-08-23,42.375,43.375,42.375,43.03125,6576500
2000-08-24,43.375,43.4375,43.0,43.09375,6095600
2000-08-25,43.5625,43.9375,43.0625,43.8125,5660100
2000-08-28,43.9375,43.9375,42.75,42.84375,7402100
2000-08-29,42.125,43.3125,42.0,42.5625,9721700
2000-08-30,42.5,42.8125,41.75,42.0,9389100
2000-08-31,42.75,43.4375,42.5625,43.14063,11088600
2000-09-01,43.75,43.875,42.875,43.15625,7489200
2000-09-05,42.5625,42.75,40.4375,40.8125,19353600
2000-09-06,40.5625,40.625,39.375,39.875,19182200
2000-09-07,39.875,40.5625,39.875,40.3125,13108200
2000-09-08,40.25,40.625,39.875,40.5,10759700
2000-09-11,40.0,41.0,39.6875,41.0,10413000
2000-09-12,40.25,41.0625,40.0,40.25,10328300
2000-09-13,41.25,41.5625,40.75,41.0625,9669100
2000-09-14,41.4375,41.4375,40.8125,41.375,8840900
2000-09-15,41.0,41.6875,41.0,41.25,13148600
2000-09-18,41.1875,42.0,41.0625,41.9375,7199400
2000-09-19,41.9375,42.125,40.8125,41.01563,8499900
2000-09-20,40.9375,41.0,40.25,40.92188,6536400
2000-09-21,40.875,43.8125,40.6875,42.5,13000900
2000-09-22,43.5,44.4375,42.625,44.3125,18000000
2000-09-25,44.0625,44.25,43.5,44.125,8898800
2000-09-26,43.375,44.125,43.25,43.5,9729600
2000-09-27,43.1875,43.375,42.0625,43.25,9103000
2000-09-28,43.125,44.875,43.125,43.6875,14355200
2000-09-29,44.5,45.375,43.125,44.92188,15212900
2000-10-02,44.375,44.625,43.5,44.25,9709100
2000-10-03,43.6875,44.8125,43.5625,44.25,8419900
2000-10-04,43.375,44.3125,42.25,42.75,12739100
2000-10-05,43.0,45.0,42.9375,44.75,10752700
2000-10-06,44.625,44.9375,43.125,44.625,8261800
2000-10-09,44.0625,44.625,43.125,43.125,5819000
2000-10-10,43.5,45.0,43.3125,44.5,11810100
2000-10-11,45.1875,45.25,43.75,44.125,13825000
2000-10-12,43.25,45.375,42.8125,44.625,15417300
2000-10-13,43.875,44.25,42.125,42.625,12761000
2000-10-16,42.9375,43.75,42.8125,43.6875,9073700
2000-10-17,43.125,45.0625,42.875,44.9375,13150300
2000-10-18,43.875,44.875,43.0,43.75,12203700
2000-10-19,41.0,43.25,41.0,43.0,10981500
2000-10-20,42.625,43.4375,42.5,43.375,7890700
2000-10-23,43.875,45.75,43.4375,45.375,14904600
2000-10-24,42.0,44.4375,41.75,43.0,23027600
2000-10-25,43.625,45.25,43.25,44.9375,13967100
2000-10-26,44.3125,46.0,44.3125,45.375,16083200
2000-10-27,45.4375,45.625,43.75,44.125,13924400
2000-10-30,44.625,44.75,43.375,43.875,11549600
2000-10-31,44.0,44.4375,43.0625,43.1875,11968900
2000-11-01,43.75,44.0,43.1875,43.5,16070700
2000-11-02,43.75,43.875,42.67188,43.1875,12153400
2000-11-03,43.4375,43.6875,42.625,43.625,9301500
2000-11-06,43.5,45.25,43.375,44.5,13240100
2000-11-07,44.875,45.3125,44.25,44.8125,10550900
2000-11-08,44.5,46.125,44.375,45.375,14384500
2000-11-09,44.75,45.25,43.5625,44.625,11657700
2000-11-10,44.9375,45.6875,44.125,44.125,11443300
2000-11-13,43.25,43.5625,41.0,42.1875,14661200
2000-11-14,41.75,43.75,41.375,42.8125,14789600
2000-11-15,43.0,43.25,42.125,43.0625,11581200
2000-11-16,42.875,43.6875,42.5625,43.3125,9197300
2000-11-17,43.625,44.75,42.9375,43.0,13195600
2000-11-20,43.25,43.8125,42.6875,43.0,8564000
