,open,high,low,close,volume
2000-08-11,53.9375,54.3125,53.125,53.8125,1097500
2000-08-14,54.125,56.0,53.9375,55.8125,1925800
2000-08-15,55.9375,57.5,54.875,56.375,2822600
2000-08-16,56.125,59.375,55.75,58.8125,3135800
2000-08-17,58.8125,59.25,58.0,59.25,2425100
2000-08-18,59.25,59.25,57.0625,57.6875,2301900
2000-08-21,56.25,56.3125,52.625,53.5,7355000
2000-08-22,54.1875,56.8125,54.0,55.875,5328900
2000-08-23,57.0,60.0,56.875,59.84375,4639600
2000-08-24,59.8125,59.875,58.0625,59.125,3096800
2000-08-25,59.25,59.25,57.3125,59.125,1101100
2000-08-28,59.0625,61.875,58.75,61.5,3336600
2000-08-29,61.5,61.9375,60.25,61.03125,2342800
2000-08-30,61.0625,61.1875,59.4375,60.04688,1804500
2000-08-31,60.0625,60.375,59.3125,59.76563,2310800
2000-09-01,59.75,60.0,59.5,59.9375,892200
2000-09-05,60.5,60.9375,59.0,60.6875,1338700
2000-09-06,60.9375,64.5625,60.9375,63.75,2747300
2000-09-07,63.5,63.5,61.75,62.5,2102400
2000-09-08,61.625,61.6875,59.75,61.1875,1438600
2000-09-11,61.1875,63.9375,61.0,63.375,1710900
2000-09-12,64.0,64.625,62.75,63.125,2197600
2000-09-13,63.125,63.5,61.6875,62.0625,1459500
2000-09-14,61.6875,63.3125,61.1875,62.4375,1556000
2000-09-15,63.0,64.4375,63.0,63.0625,1913300
2000-09-18,63.125,63.4375,60.25,61.01563,1931200
2000-09-19,61.0,61.75,59.0,59.875,1817100
2000-09-20,60.875,61.625,57.5,58.0,2489300
2000-09-21,57.9375,57.9375,56.125,56.125,2281400
2000-09-22,56.125,57.0,54.5,56.5,2030100
2000-09-25,54.625,55.8125,52.375,55.375,5062100
2000-09-26,56.0,57.25,55.5,57.25,1572800
2000-09-27,57.0,58.3125,56.4375,57.9375,2090200
2000-09-28,58.125,58.8125,56.125,57.89063,2194300
2000-09-29,58.625,59.875,58.5625,58.625,1450300
2000-10-02,59.0,59.875,57.125,59.6875,2376900
2000-10-03,60.375,60.75,58.75,60.0625,2469700
2000-10-04,59.6875,59.8125,56.75,56.875,2312300
2000-10-05,55.875,56.5625,55.125,55.9375,2456500
2000-10-06,56.1875,57.125,55.625,56.5,2375300
2000-10-09,56.875,58.0625,56.625,57.3125,1398900
2000-10-10,58.125,60.9375,58.0,60.5,2915200
2000-10-11,62.5,63.6875,61.625,63.1875,4812600
2000-10-12,63.5,65.5,63.1875,64.3125,4818900
2000-10-13,64.375,64.375,61.0625,61.75,3610300
2000-10-16,61.0625,61.0625,58.6875,59.5625,1920400
2000-10-17,59.5625,61.375,59.5625,60.1875,2077100
2000-10-18,60.8125,61.5,59.4375,60.375,1334200
2000-10-19,60.25,61.125,58.75,59.125,1747600
2000-10-20,59.25,61.4375,58.25,60.875,1990400
2000-10-23,61.1875,61.25,58.5625,59.0625,2087200
2000-10-24,58.125,59.125,56.0,56.4375,2813000
2000-10-25,56.1875,57.5625,54.6875,55.25,2600500
2000-10-26,55.875,56.5,53.5,54.4375,3133000
2000-10-27,54.3125,54.3125,50.875,51.6875,2964000
2000-10-30,51.6875,53.125,50.5,52.5625,4367500
2000-10-31,53.125,53.875,52.375,53.0,2196400
2000-11-01,53.875,56.0,53.875,55.5,2341800
2000-11-02,55.1875,55.3125,53.375,53.875,1710900
2000-11-03,53.125,54.6875,52.75,54.0625,1667600
2000-11-06,53.625,53.6875,51.125,53.0,2089900
2000-11-07,53.5,54.5,52.75,53.0,1895900
2000-11-08,54.0,55.75,53.8125,55.5,2445700
2000-11-09,56.25,56.4375,53.875,54.4375,2093000
2000-11-10,54.625,55.4375,52.0,52.5,2609500
2000-11-13,52.5625,53.25,50.0625,50.8125,2013000
2000-11-14,50.875,52.8125,50.3125,51.75,2537200
2000-11-15,52.5,54.5625,52.4375,54.3125,1832700
2000-11-16,53.9375,54.75,53.0625,54.1875,1636800
2000-11-17,52.1875,52.75,50.75,51.0625,2219400
2000-11-20,51.0,51.5,49.3125,49.3125,2318100
2000-11-21,49.3125,50.375,47.75,47.875,3208100
2000-11-22,47.75,47.75,46.375,46.5,3518800
2000-11-24,46.875,49.375,46.625,48.625,966900
2000-11-27,48.0625,48.9375,47.5,48.1875,1928200
2000-11-28,47.375,49.5625,47.125,47.3125,2719800
2000-11-29,46.875,47.125,41.5625,42.75,8872800
2000-11-30,42.75,43.125,39.8125,39.875,4996800
2000-12-01,39.6875,41.75,34.625,40.0625,10036500
2000-12-04,40.0,40.8125,37.5,39.0,5055900
2000-12-05,39.875,39.9375,35.25,37.0,7602100
2000-12-06,37.0,38.0,35.3125,35.6875,4889200
2000-12-07,35.9375,36.375,34.4375,35.0,7604100
2000-12-08,35.0,35.8125,34.375,35.5,6500900
2000-12-11,36.0625,38.625,35.9375,38.0625,3448000
2000-12-12,38.375,39.875,38.125,39.0625,4001800
2000-12-13,39.5625,41.0625,38.5625,39.5,4941400
2000-12-14,39.3125,40.5,38.1875,38.375,3527400
2000-12-15,39.5,39.9375,38.5,39.3125,2881200
2000-12-18,40.0,44.0,40.0,43.75,3681400
2000-12-19,44.0,45.9375,43.625,44.625,4112500
2000-12-20,43.75,44.5,42.0,42.125,2611700
2000-12-21,42.625,42.9375,41.8125,42.8125,2401200
2000-12-22,42.5,43.5,42.4375,43.125,1661500
2000-12-26,43.125,45.9375,43.125,45.8125,1304500
2000-12-27,45.875,46.5,43.5,45.125,2236000
2000-12-28,45.375,46.625,44.5,46.5,1558800
2000-12-29,46.125,47.375,45.375,46.0,1151000
2001-01-02,46.75,48.375,46.6875,47.3125,2913400
2001-01-03,47.375,47.75,45.3125,45.625,2760800
2001-01-04,45.5625,45.625,41.875,42.5,5669600
2001-01-05,42.875,43.1875,41.5,42.4375,4346600
2001-01-08,42.25,43.25,42.0,42.3125,1992000
2001-01-09,43.25,44.1875,42.375,42.8125,2494400
2001-01-10,42.8125,44.9375,42.5,44.3125,2054200
2001-01-11,44.5625,45.75,43.6875,44.3125,3546200
2001-01-12,44.3125,44.3125,42.8125,43.875,2910900
2001-01-16,44.75,46.0,43.5,45.6875,2696600
2001-01-17,45.0,45.6875,43.9375,44.1875,3220200
2001-01-18,43.625,44.1875,41.5,42.5,3471200
2001-01-19,40.75,43.125,40.0,41.75,3990700
2001-01-22,42.1875,42.6875,41.5625,42.4375,3353900
2001-01-23,43.125,43.9375,42.5625,43.8125,3570900
2001-01-24,43.8125,46.125,43.75,45.875,4203100
2001-01-25,46.0,46.75,44.5,45.6875,6240800
2001-01-26,45.9375,46.625,43.0,43.0,6758900
2001-01-29,43.75,43.75,40.9,41.0,3842800
2001-01-30,42.7,44.65,40.6,44.25,7667200
2001-01-31,44.25,45.45,44.25,45.45,12689600
2001-02-01,44.95,44.96,43.51,44.11,4367900
2001-02-02,43.55,45.5,43.55,45.37,3218400
2001-02-05,45.7,48.25,45.7,47.85,5564900
2001-02-06,47.5,49.5,46.7,49.0,4899700
2001-02-07,49.7,49.7,48.19,49.07,4740800
2001-02-08,49.0,49.93,48.65,49.75,5037100
2001-02-09,49.75,50.75,49.15,50.45,3431000
2001-02-12,50.45,50.45,49.3,49.36,3743000
2001-02-13,49.0,49.95,48.78,48.81,3360000
2001-02-14,49.15,49.75,48.75,49.3,2542100
2001-02-15,49.11,49.11,48.4,48.7,3035900
2001-02-16,49.2,51.3,48.92,50.06,4777000
2001-02-20,50.75,51.1,49.76,49.92,2200900
2001-02-21,50.42,50.85,48.65,48.65,3179000
2001-02-22,50.0,50.0,46.8,47.35,2884400
2001-02-23,48.2,48.2,46.05,46.72,2035200
2001-02-26,46.72,49.74,46.6,48.75,2450700
2001-02-27,49.15,50.0,48.25,48.48,2055900
2001-02-28,48.7,48.96,47.55,48.13,1754800
2001-03-01,47.75,49.3,47.59,48.1,2434700
2001-03-02,48.0,49.54,48.0,49.5,2838400
2001-03-05,49.5,50.5,49.1,50.12,2716700
2001-03-06,50.13,51.28,49.5,50.9,3039600
2001-03-07,51.4,52.8,51.0,52.5,3226400
2001-03-08,52.75,54.25,52.05,52.81,4185000
2001-03-09,52.95,54.5,50.86,51.6,3451500
2001-03-12,50.5,51.0,49.74,50.03,2815900
2001-03-13,50.4,50.4,47.5,48.01,3413700
2001-03-14,48.01,49.05,46.35,46.79,2861900
2001-03-15,47.8,47.8,45.71,46.35,2497800
2001-03-16,46.1,47.4,45.8,46.35,3641000
2001-03-19,46.35,47.98,46.2,47.7,2315600
2001-03-20,48.15,49.38,47.5,48.41,2214100
2001-03-21,48.5,48.96,47.2,47.4,3380700
2001-03-22,46.85,46.96,43.95,45.6,3111500
2001-03-23,46.0,47.75,44.5,45.05,5343500
2001-03-26,45.75,47.1,45.7,46.7,3282900
2001-03-27,46.95,47.25,44.75,45.65,3080800
2001-03-28,45.35,45.4,43.3,43.99,2442500
2001-03-29,43.15,43.15,42.07,42.3,3265600
2001-03-30,42.5,44.1,42.45,43.35,3012500
2001-04-02,43.6,43.6,41.26,41.4,3462200
2001-04-03,42.2,42.6,40.35,40.52,4812200
2001-04-04,41.0,43.36,41.0,43.05,3745500
2001-04-05,44.0,46.3,43.45,45.32,2425200
2001-04-06,45.07,46.65,43.88,45.48,3819300
2001-04-09,46.5,47.6,46.1,46.95,2417200
2001-04-10,47.1,48.49,46.45,47.49,2987600
2001-04-11,47.78,48.0,46.49,46.56,2746700
2001-04-12,46.56,47.6,46.34,46.39,2586400
2001-04-16,46.9,47.74,46.56,47.3,2116700
2001-04-17,47.45,48.7,46.93,48.6,2636200
2001-04-18,47.8,49.5,47.5,47.79,3094300
2001-04-19,47.7,48.1,46.1,46.28,3017400
2001-04-20,46.7,47.87,46.51,47.51,2346900
2001-04-23,48.15,49.98,48.15,49.75,2413700
2001-04-24,49.75,51.01,49.3,50.0,3641800
2001-04-25,49.9,51.28,49.1,51.27,2939100
2001-04-26,51.9,53.98,51.73,53.26,3913400
2001-04-27,52.85,53.35,52.43,53.0,2776100
2001-04-30,53.5,54.45,52.32,54.28,2879100
2001-05-01,53.75,54.48,53.0,54.26,2728600
2001-05-02,52.01,52.35,49.57,50.7,5349300
2001-05-03,50.73,51.09,49.12,50.33,3033700
2001-05-04,50.58,51.69,50.0,51.51,2013700
2001-05-07,52.7,52.86,50.19,50.8,2400900
2001-05-08,50.2,50.2,49.01,49.97,4229500
2001-05-09,50.5,50.76,50.25,50.5,1996500
2001-05-10,50.8,51.08,49.88,50.45,2572800
2001-05-11,50.1,50.43,49.7,49.91,1224500
2001-05-14,50.16,51.45,50.1,51.45,3407700
2001-05-15,51.55,53.5,51.55,53.0,3761600
2001-05-16,53.5,55.0,53.21,54.5,5143100
2001-05-17,54.65,57.1,54.06,56.88,4278200
2001-05-18,56.97,57.69,55.7,57.0,4142800
2001-05-21,57.25,57.57,56.15,57.43,3165800
2001-05-22,57.5,57.6,56.61,56.97,2535500
2001-05-23,56.97,56.97,54.6,54.82,3144900
2001-05-24,54.75,54.75,52.8,52.99,4126900
2001-05-25,53.45,55.45,53.15,54.4,1822300
2001-05-29,54.8,55.19,52.75,53.24,2788200
2001-05-30,53.65,53.8,52.01,52.81,2546900
2001-05-31,52.69,53.99,52.01,53.45,1983800
2001-06-01,53.35,54.05,52.76,53.4,1576000
2001-06-04,54.0,55.4,54.0,54.74,2038700
2001-06-05,54.74,55.69,54.0,54.86,2001300
2001-06-06,53.0,53.29,52.3,52.4,2570400
2001-06-07,52.4,52.65,51.0,51.01,2611000
2001-06-08,51.06,52.29,51.0,51.74,1510100
2001-06-11,52.1,52.2,50.44,50.89,2609800
2001-06-12,51.05,51.6,50.5,51.37,4313600
2001-06-13,51.95,53.3,50.42,50.97,3245800
2001-06-14,51.22,51.22,50.1,50.36,2266800
2001-06-15,50.36,51.6,50.09,50.1,2505300
2001-06-18,50.0,51.0,49.32,50.39,3319600
2001-06-19,50.51,50.9,48.5,48.8,3114500
2001-06-20,49.0,49.87,47.95,47.95,2666600
2001-06-21,47.7,48.2,44.79,46.21,4850800
2001-06-22,47.1,47.1,45.07,46.0,5014400
2001-06-25,46.25,46.5,45.1,45.85,3388500
2001-06-26,46.0,46.48,45.5,46.0,3742600
2001-06-27,45.75,45.75,42.95,42.95,4309200
2001-06-28,42.35,42.85,40.35,41.5,8116900
2001-06-29,41.95,42.8,41.0,41.25,5366000
2001-07-02,41.25,41.98,40.5,40.63,4569000
2001-07-03,40.9,41.12,40.5,40.8,2744400
2001-07-05,41.0,41.9,40.75,41.0,4069700
2001-07-06,41.2,41.95,40.01,41.65,3594300
2001-07-09,41.4,41.6,39.97,40.35,4108000
2001-07-10,40.7,41.45,39.51,39.55,5012400
2001-07-11,38.9,39.7,37.5,39.35,6788800
2001-07-12,39.1,39.6,36.9,37.23,6847000
2001-07-13,37.23,38.84,36.43,38.07,3633300
2001-07-16,38.32,38.85,33.9,34.51,9805900
2001-07-17,35.0,35.15,33.96,34.83,7940900
2001-07-18,33.75,34.2,32.0,33.89,10886900
2001-07-19,34.35,35.13,34.05,34.3,5618300
2001-07-20,34.85,36.46,34.85,36.37,4786200
2001-07-23,36.75,37.05,35.98,36.71,3921200
2001-07-24,36.71,36.75,35.89,36.32,4490300
2001-07-25,36.95,37.4,35.08,37.0,4380300
2001-07-26,37.1,37.68,36.0,36.7,3116600
2001-07-27,37.23,37.31,35.57,36.98,2497500
2001-07-30,37.0,37.1,36.18,36.43,2681900
2001-07-31,36.6,37.0,32.25,32.29,10133700
2001-08-01,32.5,33.3,30.45,32.47,8925300
2001-08-02,33.45,33.45,31.98,32.6,3734300
2001-08-03,32.6,32.62,31.0,31.02,4139200
2001-08-06,31.65,31.9,30.65,31.4,2750200
2001-08-07,31.7,32.1,30.98,31.01,2461800
2001-08-08,31.3,31.5,28.9,29.25,4211900
2001-08-09,29.3,29.95,29.0,29.75,4137100
2001-08-10,29.86,30.44,29.82,30.02,2783900
2001-08-13,30.15,30.27,29.31,29.77,2678500
2001-08-14,29.9,30.56,29.9,30.47,4471200
2001-08-15,30.6,32.7,30.52,31.99,5823200
2001-08-16,32.15,32.2,31.12,31.75,4719800
2001-08-17,31.94,32.1,31.15,31.75,3628800
2001-08-20,31.7,31.87,30.74,30.87,2192700
2001-08-21,31.15,31.75,30.82,31.05,2857800
2001-08-22,31.9,32.7,30.8,31.1,4500400
2001-08-23,31.3,31.6,30.25,30.45,2583000
2001-08-24,30.35,31.15,30.25,30.65,3640800
2001-08-27,30.9,30.97,30.02,30.35,3477100
2001-08-28,30.05,30.17,29.6,29.99,3274700
2001-08-29,29.8,30.24,29.6,29.82,3653300
2001-08-30,29.65,29.95,28.3,28.69,3297600
2001-08-31,28.7,29.42,28.52,28.9,2427100
2001-09-04,29.26,29.67,29.0,29.24,3307400
2001-09-05,28.6,29.05,28.3,28.5,3595000
2001-09-06,28.4,30.1,28.35,29.5,3604100
2001-09-07,29.5,30.0,29.01,29.38,2822400
2001-09-10,29.15,29.96,29.15,29.73,1781900
2001-09-17,30.5,31.0,27.89,27.89,2812900
2001-09-18,27.89,27.9,25.98,26.15,4041700
2001-09-19,26.3,26.5,23.7,25.5,5341100
2001-09-20,25.5,26.67,24.65,26.4,5709100
2001-09-21,26.4,28.09,25.25,27.05,4421000
2001-09-24,26.8,27.0,25.45,26.0,4334100
2001-09-25,26.04,26.27,24.81,25.1,4840300
2001-09-26,25.25,25.65,24.2,24.35,4300900
2001-09-27,24.4,24.79,23.05,23.98,6683200
2001-09-28,24.25,26.59,24.25,26.4,4173300
2001-10-01,25.75,26.28,25.25,25.5,3788600
2001-10-02,25.5,25.95,24.6,25.23,4481000
2001-10-03,25.24,25.9,24.2,25.8,5259500
2001-10-04,25.8,28.1,25.47,27.3,5377200
2001-10-05,27.3,27.6,25.78,27.1,3974200
2001-10-08,27.11,27.9,26.0,26.61,3274600
2001-10-09,26.36,27.29,26.28,26.74,2457100
2001-10-10,27.0,28.13,26.7,27.97,4792400
2001-10-11,27.77,28.67,27.02,28.53,3223400
2001-10-12,28.52,29.4,28.0,29.0,2914800
2001-10-15,28.75,29.24,26.62,27.99,4074300
2001-10-16,28.0,30.19,27.8,29.44,4189300
2001-10-17,29.8,30.51,28.66,28.88,3653700
2001-10-18,28.63,28.95,27.69,27.99,2072400
2001-10-19,27.99,29.21,27.05,28.7,2415800
2001-10-22,28.95,29.93,28.1,29.57,2018400
2001-10-23,29.58,31.33,28.81,29.9,3685400
2001-10-24,29.65,30.05,28.75,29.65,3163600
2001-10-25,29.4,31.9,29.32,31.89,2585800
2001-10-26,32.14,33.61,31.65,33.01,4469500
2001-10-29,33.15,33.45,31.85,32.0,4711100
2001-10-30,31.45,31.45,29.5,30.05,3672500
2001-10-31,30.05,30.85,29.0,30.15,3271300
2001-11-01,30.16,30.75,28.95,30.33,3506400
2001-11-02,30.55,30.55,29.34,29.59,1785800
2001-11-05,30.0,30.2,28.5,28.5,3253900
2001-11-06,28.21,28.88,27.3,28.59,3004400
2001-11-07,28.2,30.25,28.2,29.3,4422700
2001-11-08,29.95,31.1,29.58,30.02,3258500
2001-11-09,30.7,31.43,30.26,30.9,2685200
2001-11-12,30.1,31.1,29.2,31.1,2985100
2001-11-13,31.25,32.3,30.42,31.35,3213800
2001-11-14,29.5,29.94,28.05,28.25,5069700
2001-11-15,27.0,27.24,24.85,25.77,9556500
2001-11-16,25.25,27.43,25.02,27.05,4958900
2001-11-19,27.0,27.88,26.0,27.31,4401300
2001-11-20,28.15,29.13,28.14,28.84,3711300
2001-11-21,29.3,29.5,28.11,28.51,3071300
2001-11-23,27.75,28.98,27.4,28.84,1396100
2001-11-26,28.4,28.59,27.75,28.1,2294400
2001-11-27,27.6,28.6,27.21,27.9,3991300
2001-11-28,27.37,28.16,27.1,27.79,3332100
2001-11-29,27.8,28.25,27.12,28.2,2283500
2001-11-30,28.15,28.73,27.7,28.3,2325000
2001-12-03,27.95,29.5,27.68,28.7,3506000
2001-12-04,28.95,29.81,28.09,29.8,4047300
2001-12-05,30.5,31.5,30.19,30.85,4697900
2001-12-06,30.6,30.88,29.45,30.2,4184600
2001-12-07,30.21,31.48,29.32,31.24,4742100
2001-12-10,30.75,31.2,30.25,30.37,3263800
2001-12-11,29.75,30.5,29.71,30.41,2872500
2001-12-12,30.48,30.5,29.53,29.82,1733700
2001-12-13,29.6,30.5,29.37,29.88,2323900
2001-12-14,30.0,31.2,29.58,30.84,2990100
2001-12-17,30.65,31.08,29.2,29.33,4457900
2001-12-18,29.73,29.89,29.05,29.72,3304600
2001-12-19,29.65,31.75,29.48,31.5,5351800
2001-12-20,32.0,32.35,30.75,30.8,3826300
2001-12-21,30.8,31.75,30.35,31.6,2738800
2001-12-24,31.85,32.48,31.6,31.93,867000
2001-12-26,32.18,33.3,32.18,33.1,2692500
2001-12-27,32.8,32.98,32.15,32.82,1900100
2001-12-28,33.05,34.22,32.75,33.76,3575300
2001-12-31,33.63,34.05,33.6,33.82,3741400
2002-01-02,33.45,33.46,32.15,32.49,3983300
2002-01-03,32.48,32.8,31.36,31.6,3339800
2002-01-04,31.5,32.6,31.1,32.43,4152800
2002-01-07,32.65,33.24,31.9,32.55,2577600
2002-01-08,32.2,32.39,31.59,31.75,2101100
2002-01-09,31.3,32.1,30.95,31.78,2389200
2002-01-10,31.6,31.7,30.31,30.62,2671400
2002-01-11,30.65,30.65,29.45,29.45,2131100
2002-01-14,29.2,29.6,28.63,28.81,2152000
2002-01-15,29.06,30.1,29.06,29.61,2223000
2002-01-16,28.75,28.88,28.03,28.05,3170200
2002-01-17,28.4,28.5,27.52,28.18,3866700
2002-01-18,28.25,28.75,28.2,28.26,1957500
2002-01-22,28.5,28.7,27.9,27.9,2568900
2002-01-23,28.05,29.2,27.85,29.2,2937000
2002-01-24,29.0,30.01,28.75,29.84,2879900
2002-01-25,29.84,30.75,29.64,30.5,3123600
2002-01-28,30.5,30.55,29.11,29.6,2046100
2002-01-29,29.3,29.5,28.4,29.05,1620400
2002-01-30,28.7,30.01,28.22,29.75,2168000
2002-01-31,30.5,31.0,30.3,30.64,3028500
2002-02-01,30.5,31.45,30.19,30.42,2570800
2002-02-04,30.5,30.54,28.75,29.7,4282200
2002-02-05,28.65,28.66,27.66,27.95,5238800
2002-02-06,27.7,29.2,27.5,28.4,4399100
2002-02-07,28.0,28.15,27.14,27.2,3613100
2002-02-08,27.1,27.92,26.66,27.8,2892300
2002-02-11,27.6,28.85,27.18,28.85,2239800
2002-02-12,28.7,28.71,27.74,27.85,3281000
2002-02-13,27.45,28.34,27.08,28.0,2778000
2002-02-14,28.25,28.7,27.83,28.08,3135600
2002-02-15,28.49,28.51,27.35,27.44,2072700
2002-02-19,27.31,27.7,26.63,27.12,2830800
2002-02-20,27.12,27.3,26.51,26.65,2093000
2002-02-21,27.05,28.31,27.0,27.45,2972600
2002-02-22,27.46,28.3,26.9,28.07,2886100
2002-02-25,28.55,29.0,28.32,28.87,2648700
2002-02-26,28.9,29.45,28.5,29.0,3507800
2002-02-27,29.3,29.4,28.02,28.49,2958500
2002-02-28,28.69,28.95,27.96,28.01,2744300
2002-03-01,28.55,28.61,27.53,28.26,2835300
2002-03-04,28.36,29.25,28.1,29.24,3567900
2002-03-05,29.24,29.69,28.8,29.41,2658500
2002-03-06,29.05,30.33,28.8,30.33,3996100
2002-03-07,31.0,32.27,30.8,31.01,4496400
2002-03-08,30.9,31.26,30.6,31.2,4372000
2002-03-11,31.52,32.76,31.52,32.56,3847400
2002-03-12,32.4,33.49,32.15,33.4,3750200
2002-03-13,34.0,34.1,32.7,32.85,5379900
2002-03-14,31.8,32.14,31.23,31.95,4674600
2002-03-15,32.1,33.2,31.89,32.8,4467400
2002-03-18,32.8,33.75,32.58,33.68,3771000
2002-03-19,34.15,34.45,33.56,34.3,2988300
2002-03-20,34.0,34.66,33.5,33.7,3491200
2002-03-21,33.5,33.86,33.04,33.86,2415100
2002-03-22,33.1,33.11,31.77,32.28,2811000
2002-03-25,32.0,32.81,32.0,32.11,1879800
2002-03-26,32.12,32.39,31.05,31.78,2104700
2002-03-27,32.0,33.35,32.0,33.35,3042400
2002-03-28,33.1,33.6,32.68,33.23,2204100
2002-04-01,33.95,34.09,33.0,33.55,1960800
2002-04-02,33.55,34.55,33.3,34.0,2767700
2002-04-03,33.25,33.35,32.58,32.98,2325600
2002-04-04,32.95,33.16,31.6,31.96,2302600
2002-04-05,32.25,32.8,32.15,32.75,4546400
2002-04-08,33.25,34.0,32.6,32.75,3311700
2002-04-09,32.0,32.33,31.76,31.98,1907400
2002-04-10,31.97,32.9,31.65,32.35,1793300
