,open,high,low,close,volume
2000-08-11,27.25,27.6875,27.0,27.45313,174900
2000-08-14,27.3125,27.4375,26.75,27.3125,82700
2000-08-15,27.125,27.75,26.9375,27.25,92400
2000-08-16,27.25,27.5,27.1875,27.4375,176300
2000-08-17,27.25,27.3125,27.0625,27.125,83200
2000-08-18,27.0625,27.0625,26.6875,27.0,71200
2000-08-21,26.9375,27.125,26.625,26.9375,83700
2000-08-22,27.0,27.1875,27.0,27.125,84700
2000-08-23,27.0,27.0,26.6875,26.875,164500
2000-08-24,26.9375,26.9375,26.375,26.75,107600
2000-08-25,27.0,27.1875,26.125,26.3125,107500
2000-08-28,27.25,27.625,27.0,27.375,562300
2000-08-29,27.3125,27.5,27.1875,27.25,227100
2000-08-30,27.25,27.375,26.75,26.8125,121100
2000-08-31,27.0,27.375,26.75,27.375,305900
2000-09-01,27.5,27.875,27.25,27.8125,287600
2000-09-05,27.5625,27.9375,27.5,27.75,119700
2000-09-06,27.6875,28.5625,27.5625,28.5625,563500
2000-09-07,28.625,28.9375,28.4375,28.875,348900
2000-09-08,28.875,29.9375,28.75,29.59375,315000
2000-09-11,29.625,30.1875,29.5,29.82813,282200
2000-09-12,29.6875,30.0,29.375,29.625,203800
2000-09-13,29.6875,29.9375,29.3125,29.5625,179800
2000-09-14,29.4375,29.4375,28.6875,29.1875,156100
2000-09-15,28.625,29.5,28.625,29.20313,181400
2000-09-18,29.375,29.5,28.25,28.5,141400
2000-09-19,28.5,28.5,27.6875,27.75,232900
2000-09-20,27.5625,27.6875,26.1875,27.125,346300
2000-09-21,27.125,27.4375,26.6875,26.875,88300
2000-09-22,26.625,27.125,26.4375,26.8125,126900
2000-09-25,26.875,27.0,26.75,27.0,123900
2000-09-26,27.0,28.5,26.9375,28.375,224200
2000-09-27,28.5,29.20313,28.0,29.20313,288400
2000-09-28,29.375,30.5625,29.375,30.0,1368600
2000-09-29,30.0625,30.9375,29.8125,30.89063,640500
2000-10-02,30.625,31.125,30.25,30.375,538900
2000-10-03,30.375,30.75,29.5,29.75,501800
2000-10-04,29.625,30.125,28.25,28.8125,116200
2000-10-05,28.625,29.625,28.5625,28.6875,197600
2000-10-06,28.6875,29.875,28.6875,29.75,360800
2000-10-09,29.625,30.1875,29.5625,29.625,220600
2000-10-10,29.625,30.0625,29.1875,29.75,298000
2000-10-11,29.625,29.9375,29.0625,29.1875,149900
2000-10-12,29.375,29.625,28.625,29.0,170000
2000-10-13,29.1875,29.8125,29.0,29.3125,366700
2000-10-16,29.5,29.75,29.0625,29.3125,161500
2000-10-17,29.1875,29.3125,28.8125,28.9375,224800
2000-10-18,28.8125,29.0,27.8125,27.8125,342500
2000-10-19,28.0,28.0625,27.6875,27.875,168500
2000-10-20,28.0,28.25,27.5625,27.6875,89300
2000-10-23,27.6875,28.1875,27.6875,27.875,125300
2000-10-24,27.875,28.0625,27.3125,27.5,134900
2000-10-25,27.25,27.625,26.25,26.5625,331100
2000-10-26,26.5625,26.625,26.0625,26.0625,143200
2000-10-27,26.125,26.75,26.125,26.375,404400
2000-10-30,26.5,27.25,26.5,26.9375,208900
2000-10-31,26.875,26.875,26.0,26.5,1120900
2000-11-01,26.625,27.375,26.625,27.0,371900
2000-11-02,27.125,27.125,26.4375,26.6875,111900
2000-11-03,26.5625,26.6875,25.875,26.0625,199700
2000-11-06,26.3125,26.5625,26.0625,26.5625,217400
2000-11-07,26.4375,26.4375,25.75,26.0,128700
2000-11-08,26.0625,26.5,25.8125,26.1875,163400
2000-11-09,26.3125,26.5625,26.0625,26.25,148400
2000-11-10,26.375,26.5,26.0625,26.375,76800
2000-11-13,26.5625,26.5625,25.8125,26.3125,124000
2000-11-14,26.1875,26.25,26.0,26.125,140800
2000-11-15,26.0625,26.875,26.0625,26.5625,159600
2000-11-16,26.5625,27.0625,26.5625,26.75,116700
2000-11-17,26.75,27.125,26.6875,27.0,125700
2000-11-20,26.875,27.1875,26.8125,27.0625,150100
2000-11-21,27.125,27.5,26.5625,27.1875,291200
2000-11-22,27.0,27.375,27.0,27.3125,297400
2000-11-24,27.25,27.625,27.1875,27.625,167700
2000-11-27,27.5625,27.875,27.5,27.8125,286500
2000-11-28,27.75,28.0,27.75,28.0,244700
2000-11-29,28.0,28.375,27.8125,28.375,228800
2000-11-30,28.5,28.625,27.9375,28.1875,289800
2000-12-01,28.0625,28.25,27.8125,28.25,245500
2000-12-04,28.25,28.5,28.0,28.4375,448800
2000-12-05,28.5,28.5,28.0,28.375,620900
2000-12-06,28.3125,28.9375,28.3125,28.875,594300
2000-12-07,28.75,29.8125,28.75,29.5,992600
2000-12-08,29.25,29.75,29.0,29.75,292200
2000-12-11,29.625,29.625,29.1875,29.5,465400
2000-12-12,29.25,29.5625,28.875,29.0,370200
2000-12-13,29.125,29.375,28.875,29.125,214100
2000-12-14,29.0625,29.25,28.8125,28.875,140500
2000-12-15,28.875,28.875,28.4375,28.5625,284200
2000-12-18,28.5625,29.0625,28.5625,28.9375,129800
2000-12-19,29.0,29.75,28.9375,29.75,215800
2000-12-20,29.75,29.9375,29.625,29.6875,293000
2000-12-21,29.625,29.875,29.25,29.375,284600
